"Site_ID","Deploy_Date","Deploy_Time_Arriving","Deploy_Time_Leaving","Retrieve_Date","Retrieve_Time_Arriving","Retrieve_Time_Leaving","Deploy_Date_Time","Retrieve_Date_Time","Total_Inc_Days"
"S32","2022-07-25","10:08:00","10:36:00","2022-08-29","09:10:00","09:31",2022-07-25 10:08:00,2022-08-29 09:10:00,34.9597222222222
"S34R","2022-07-25","13:20:00","13:36:00","2022-08-29","10:34:00","10:51",2022-07-25 13:20:00,2022-08-29 10:34:00,34.8847222222222
"S36","2022-07-25","13:58:00","14:10:00","2022-08-29","09:59:00","10:19",2022-07-25 13:58:00,2022-08-29 09:59:00,34.8340277777778
"S37","2022-07-25","10:40:00","11:05:00","2022-08-29","09:16:00","09:35",2022-07-25 10:40:00,2022-08-29 09:16:00,34.9416666666667
"S38","2022-07-25","10:00:00","10:25:00","2022-08-29","08:49:00","09:08",2022-07-25 10:00:00,2022-08-29 08:49:00,34.9506944444444
"S39","2022-07-25","09:00:00","09:30:00","2022-08-29","07:59:00","08:31",2022-07-25 09:00:00,2022-08-29 07:59:00,34.9576388888889
"S41R","2022-07-26","10:08:00","10:36:00","2022-08-30","08:59:00","09:20",2022-07-26 10:08:00,2022-08-30 08:59:00,34.9520833333333
"S42","2022-07-26","08:35:00","08:50:00","2022-08-30","08:08:00","08:26",2022-07-26 08:35:00,2022-08-30 08:08:00,34.98125
"S43","2022-07-26","11:30:00","11:55:00","2022-08-30","10:20:00","10:30",2022-07-26 11:30:00,2022-08-30 10:20:00,34.9513888888889
"S45","2022-07-27","11:05:00","11:25:00","2022-08-31","07:44:00","07:54",2022-07-27 11:05:00,2022-08-31 07:44:00,34.8604166666667
"S47R","2022-07-27","09:58:00","10:15:00","2022-08-31","08:20:00","08:28",2022-07-27 09:58:00,2022-08-31 08:20:00,34.9319444444444
"S48R","2022-07-27","08:27:00","08:44:00","2022-08-31","09:05:00","09:19",2022-07-27 08:27:00,2022-08-31 09:05:00,35.0263888888889
"S49R","2022-07-26","11:28:00","11:45:00","2022-08-30","10:04:00","10:24",2022-07-26 11:28:00,2022-08-30 10:04:00,34.9416666666667
"S50P","2022-07-28","09:09:00","09:29:00","2022-09-01","11:21:00","11:31",2022-07-28 09:09:00,2022-09-01 11:21:00,35.0916666666667
"S51","2022-07-26","12:08:00","12:21:00","2022-08-30","10:30:00","10:49",2022-07-26 12:08:00,2022-08-30 10:30:00,34.9319444444444
"S52","2022-07-27","12:00:00","12:25:00","2022-08-31","07:11:00","07:23",2022-07-27 12:00:00,2022-08-31 07:11:00,34.7993055555556
"S53","2022-07-27","07:30:00","07:51:00","2022-08-31","09:35:00","09:47",2022-07-27 07:30:00,2022-08-31 09:35:00,35.0868055555556
"S54","2022-07-26","10:45:00","11:08:00","2022-08-30","09:34:00","09:52",2022-07-26 10:45:00,2022-08-30 09:34:00,34.9506944444444
"S55","2022-07-26","13:26:00","13:38:00","2022-08-30","12:31:00","N/A",2022-07-26 13:26:00,2022-08-30 12:31:00,34.9618055555556
"S56","2022-07-26","14:30:00","15:21:00","2022-08-30","13:32:00","13:42",2022-07-26 14:30:00,2022-08-30 13:32:00,34.9597222222222
"S57","2022-07-26","16:03:00","16:15:00","2022-08-30","11:35:00","11:50",2022-07-26 16:03:00,2022-08-30 11:35:00,34.8138888888889
"S58","2022-07-26","13:34:00","13:55:00","2022-08-30","11:33:00","11:52",2022-07-26 13:34:00,2022-08-30 11:33:00,34.9159722222222
"S63P","2022-07-25","11:40:00","12:05:00","2022-08-29","09:45:00","10:03",2022-07-25 11:40:00,2022-08-29 09:45:00,34.9201388888889
"T02","2022-07-25","14:48:00","15:05:00","2022-08-29","11:15:00","12:03",2022-07-25 14:48:00,2022-08-29 11:15:00,34.8520833333333
"T03","2022-07-25","11:58:00","12:22:00","2022-08-29","07:35:00","08:13",2022-07-25 11:58:00,2022-08-29 07:35:00,34.8173611111111
"T05P","2022-07-27","10:27:00","10:50:00","2022-08-31","08:50:00","09:05",2022-07-27 10:27:00,2022-08-31 08:50:00,34.9326388888889
"T07","2022-07-25","07:59:00","08:39:00","2022-08-29","12:44:00","13:43",2022-07-25 07:59:00,2022-08-29 12:44:00,35.1979166666667
"T41","2022-07-26","12:53:00","13:10:00","2022-08-30","11:03:00","11:20",2022-07-26 12:53:00,2022-08-30 11:03:00,34.9236111111111
"U20","2022-07-28","11:47:00","12:10:00","2022-09-01","09:41:00","09:57",2022-07-28 11:47:00,2022-09-01 09:41:00,34.9125
"W10","2022-07-28","10:20:00","10:48:00","2022-09-01","10:30:00","10:45",2022-07-28 10:20:00,2022-09-01 10:30:00,35.0069444444444
"W20","2022-07-26","09:10:00","09:30:00","2022-08-30","08:25:00","08:48",2022-07-26 09:10:00,2022-08-30 08:25:00,34.96875
