COMID,FromNode,ToNode,Hydrosq,AreSqKM,pred_stream_area_m2_fill,pred_logw_m,stream_length_m,cum_totco2g_day,cum_stream_area_m2,cum_stream_length_m,TOT_urban16,TOT_forest16,TOT_wetland16,TOT_agrc16,TOT_shrub16,CAT_STREAM_LENGTH,CAT_STREAM_SLOPE,TOT_STREAM_LENGTH,TOT_STREAM_SLOPE,CAT_BASIN_AREA,TOT_BASIN_AREA,cum_totco2g_day_Tsurface_m2,cum_totco2g_day_Tdrain_m2
23099412,50019140,50019139,50004374,0.6732,154507.8479,2.070024768,1315,2016413195,68513675.76,11437559,5.1,28.94,1.33,14.62,23.4,1.315,0,11437.56,0.033914,0.67,15230.09,29.43081323,0.13239667
23099414,50019141,50019140,50004383,0.1881,37128.01817,2.070014711,316,2015902135,68359167.91,11436244,5.11,28.95,1.33,14.62,23.4,0.316,0,11436.24,0.033918,0.19,15229.42,29.48985772,0.132368937
23099416,50019142,50019141,50004392,0.0018,2467.352254,2.070011859,21,2015840744,68322039.89,11435928,5.11,28.95,1.33,14.62,23.4,0.021,0,11435.93,0.033919,0,15229.23,29.50498473,0.132366557
23099418,50019143,50019142,50004402,0.1494,20091.29568,2.070011859,171,2015503127,68319572.54,11435907,5.11,28.95,1.33,14.62,23.4,0.171,0,11435.91,0.033919,0.15,15229.23,29.50110858,0.132344388
23099420,50019144,50019143,50004412,5.8797,383495.0319,2.070009607,3264,2015458646,68299481.24,11435736,5.11,28.95,1.33,14.62,23.4,3.264,0,11435.74,0.033919,5.88,15229.08,29.50913549,0.132342771
23099422,50019145,50019144,50004425,0.3618,50159.03681,2.069921324,427,2015409903,67915986.21,11432472,5.08,28.96,1.32,14.63,23.41,0.427,0,11432.47,0.033929,0.36,15223.2,29.67504436,0.132390687
23099424,50019146,50019145,50004438,4.9896,80582.36248,2.069915918,686,2015058656,67865827.17,11432045,5.08,28.96,1.32,14.63,23.41,0.686,0,11432.05,0.03393,4.99,15222.84,29.69180131,0.132370744
23099426,50019147,50019146,50004449,7.0056,31358.27744,2.069840968,267,2014561023,67785244.81,11431359,5.06,28.97,1.32,14.63,23.41,0.267,0,11431.36,0.033932,7.01,15217.85,29.71975728,0.132381448
23099428,50019148,50019147,50004460,0.4761,52368.54777,2.069735637,446,2014474565,67753886.53,11431092,5.03,28.98,1.32,14.63,23.41,0.446,0,11431.09,0.033933,0.48,15210.84,29.7322363,0.132436773
23099430,50019149,50019148,50004472,0.5418,25479.34447,2.069728574,217,2014264089,67701517.99,11430646,5.03,28.98,1.32,14.63,23.41,0.217,0,11430.65,0.033934,0.54,15210.37,29.75212593,0.132427028
23099432,50019150,50019149,50004484,12.006,257136.9499,2.069720307,2190,2014249233,67676038.64,11430429,5.03,28.98,1.32,14.63,23.41,2.19,0,11430.43,0.033935,12.01,15209.82,29.7631078,0.13243084
23099434,50019151,50019150,50004497,0.3609,45179.53551,2.06948105,385,2013889333,67415236.85,11425764,4.99,29.01,1.32,14.63,23.41,0.385,0,11425.76,0.033948,0.36,15193.91,29.87291044,0.132545825
23099436,50019152,50019151,50004510,5.7807,379972.7451,2.069475634,3238,2013833549,67370057.32,11425379,4.99,29.01,1.32,14.63,23.41,3.238,0,11425.38,0.033949,5.78,15193.55,29.89211571,0.132545294
23099438,50019153,50019152,50004523,7.6689,315972.3668,2.069251483,2694,2013622094,66985745.79,11420304,4.94,29.04,1.32,14.62,23.4,2.694,0,11420.3,0.033963,7.67,15178.66,30.06045645,0.132661387
23099440,50019154,50019153,50004535,0.3141,47606.03526,2.069135935,406,2013583280,66669773.43,11417610,4.93,29.06,1.32,14.61,23.41,0.406,0,11417.61,0.033971,0.31,15170.99,30.20234172,0.132725899
23099442,50019155,50019154,50004547,0.0405,11021.96686,2.069131264,94,2013580871,66622167.39,11417204,4.93,29.06,1.32,14.61,23.41,0.094,0,11417.2,0.033972,0.04,15170.68,30.22388718,0.132728452
23099444,50019156,50019155,50004559,0.1602,49716.03597,2.069130661,424,2013348609,66611145.42,11417110,4.93,29.06,1.32,14.61,23.41,0.424,0,11417.11,0.033973,0.16,15170.64,30.22540141,0.132713492
23099446,50019157,50019156,50004572,11.9268,134725.0184,2.06912825,1149,2013207161,66561429.39,11416686,4.93,29.06,1.32,14.6,23.41,1.149,0,11416.69,0.033974,11.93,15170.48,30.24585228,0.132705568
23099448,50019158,50019157,50004584,0.063,22503.4784,2.068948403,192,2013173892,66426704.37,11415537,4.93,29.08,1.32,14.58,23.4,0.192,0,11415.54,0.033977,0.06,15158.55,30.30669535,0.132807814
23099450,50019159,50019158,50004596,1.8243,155531.5131,2.068947498,1327,2013170841,66404200.89,11415345,4.93,29.08,1.32,14.58,23.4,1.327,0,11415.35,0.033978,1.82,15158.49,30.31691992,0.132808139
