Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,18O
37,319.119547,319.1194680243051,319.11958128956906,1192288.1,-9999,507959.4,18.03,-1,-0.3549304731000702,0.9774011529685582,0,0.5864406917811349,7,1.3333333333333333,0.05555555555555555,S2 O1,de-protonated,0,-9999,C18 H24 O1 S2,18,24,1,-9999,-9999,2,-9999,N/A
38,321.062385,321.0623068292655,321.06246033532904,1366807.8,-9999,568469.7,20.95,-1,-0.47811900336887664,0.9593697053016986,0,0.5756218231810192,8,1.125,0.1875,S2 O3,de-protonated,0,-9999,C16 H18 O3 S2,16,18,3,-9999,-9999,2,-9999,N/A
39,321.098831,321.0987528443659,321.0988458446791,1931291.3,-9999,413668.9,30.43,-1,-0.2896314153828974,0.984894185728846,0,0.5909365114373076,7,1.2941176470588236,0.1176470588235294,S2 O2,de-protonated,0,-9999,C17 H22 O2 S2,17,22,2,-9999,-9999,2,-9999,N/A
40,321.135215,321.13513685944054,321.1352313540291,1387166.8,-9999,514712.2,21.29,-1,-0.29425170247975163,0.984412202424489,0,0.5906473214546933,6,1.4444444444444444,0.05555555555555555,S2 O1,de-protonated,0,-9999,C18 H26 O1 S2,18,26,1,-9999,-9999,2,-9999,N/A
41,323.041652,323.04157464931916,323.04172489043907,1532634,-9999,541774.7,23.49,-1,-0.4650827070781581,0.9615125129655692,0,0.5769075077793415,8,1.0666666666666669,0.26666666666666666,S2 O4,de-protonated,0,-9999,C15 H16 O4 S2,15,16,4,-9999,-9999,2,-9999,N/A
41,323.041652,323.04157464931916,323.0413447679191,1532634,-9999,541774.7,23.49,-1,0.7116160323836935,0.9122099209562552,0,0.547325952573753,13,0.7647058823529411,0.0588235294117647,N2 S1 P1 O1,de-protonated,0,-9999,C17 H13 O1 N2 P1 S1,17,13,1,2,1,1,-9999,N/A
42,323.078061,323.0779836644042,323.07811039978907,2708957.5,-9999,415005.5,43.03,-1,-0.3922747496284676,0.9724649654813609,0,0.5834789792888164,7,1.25,0.1875,S2 O3,de-protonated,0,-9999,C16 H20 O3 S2,16,20,3,-9999,-9999,2,-9999,N/A
43,323.114542,323.1144646795191,323.11449590913907,2601697.3,-9999,369149.1,41.25,-1,-0.09665186919075149,0.998306417620031,0,0.5989838505720186,6,1.411764705882353,0.1176470588235294,S2 O2,de-protonated,0,-9999,C17 H24 O2 S2,17,24,2,-9999,-9999,2,-9999,N/A
44,323.151011,323.150933694629,323.1508814184891,1054436.9,-9999,520182.8,15.54,-1,0.16177006735920996,0.995262824656402,0,0.5971576947938412,5,1.5555555555555556,0.05555555555555555,S2 O1,de-protonated,0,-9999,C18 H28 O1 S2,18,28,1,-9999,-9999,2,-9999,N/A
45,325.057452,325.05737548450935,325.05737495489905,1796647.6,-9999,420755,27.87,-1,0.00162928253552126,0.9999995183334044,0,0.5999997110000427,7,1.2,0.26666666666666666,S2 O4,de-protonated,0,-9999,C15 H18 O4 S2,15,18,4,-9999,-9999,2,-9999,N/A
46,325.093846,325.0937694995881,325.0937604642491,4220843.5,-9999,403480.2,68.15,-1,0.02779302502234829,0.9998598493778492,0,0.5999159096267095,6,1.375,0.1875,S2 O3,de-protonated,0,-9999,C16 H22 O3 S2,16,22,3,-9999,-9999,2,-9999,N/A
47,325.130158,325.130081514633,325.1301459735991,2171311.3,-9999,451255.1,34.1,-1,-0.1982558889297333,0.9928934589970216,0,0.595736075398213,5,1.5294117647058822,0.1176470588235294,S2 O2,de-protonated,0,-9999,C17 H26 O2 S2,17,26,2,-9999,-9999,2,-9999,N/A
49,326.097173,326.09709691528855,326.0968715224191,1046164.9,-9999,565898.1,15.4,-1,0.6911837834328075,0.9169664517024798,0,0.5501798710214879,11,1,0.1176470588235294,N3 S1 O2,de-protonated,0,-9999,C17 H17 O2 N3 S1,17,17,2,3,-9999,1,-9999,N/A
51,327.073215,327.0731393196841,327.0730250193591,2508157.8,-9999,418472.4,39.69,-1,0.34946423671261106,0.9780842507707216,0,0.5868505504624328,6,1.3333333333333333,0.26666666666666666,S2 O4,de-protonated,0,-9999,C15 H20 O4 S2,15,20,4,-9999,-9999,2,-9999,N/A
52,327.109481,327.10940533470995,327.109410528709,3580033.8,-9999,436908.9,57.5,-1,-0.0158784764529451,0.9999542531123108,0,0.5999725518673864,5,1.5,0.1875,S2 O3,de-protonated,0,-9999,C16 H24 O3 S2,16,24,3,-9999,-9999,2,-9999,N/A
53,329.052494,329.0524191397428,329.05228957446906,1262553,-9999,441250.9,18.73,-1,0.39375284072414046,0.9722599809886624,0,0.5833559885931974,6,1.2857142857142858,0.35714285714285715,S2 O5,de-protonated,0,-9999,C14 H18 O5 S2,14,18,5,-9999,-9999,2,-9999,N/A
54,329.088871,329.0887961548146,329.08867508381906,2180317,-9999,438910.5,33.76,-1,0.3678977877382409,0.9757402563977052,0,0.5854441538386231,5,1.4666666666666666,0.26666666666666666,S2 O4,de-protonated,0,-9999,C15 H22 O4 S2,15,22,4,-9999,-9999,2,-9999,N/A
55,329.125319,329.1252441699158,329.12506059316905,1451873.3,-9999,369478.3,21.83,-1,0.5577720104469477,0.9451133316034864,0,0.5670679989620919,4,1.625,0.1875,S2 O3,de-protonated,0,-9999,C16 H26 O3 S2,16,26,3,-9999,-9999,2,-9999,N/A
55,329.125319,329.1252441699158,329.1255286238191,1451873.3,-9999,369478.3,21.83,-1,-0.8642717703919459,0.8732477745802965,0,0.5239486647481778,10,1.125,0.25,N4 O4,de-protonated,0,-9999,C16 H18 O4 N4,16,18,4,4,-9999,-9999,-9999,N/A
