Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,33S,34S
66,291.022651,291.02265346789557,291.0227207792391,1620226.1,-9999,595988.2,25.34,-1,-0.23129239989884057,0.990340148481304,0,0.5942040890887824,5,1.5,0.5,N4 S2 O4,de-protonated,0,-9999,C8 H12 O4 N4 S2,8,12,4,4,-9999,2,-9999,N/A,N/A,N/A
67,291.059054,291.05905643425035,291.0591062885891,1785989.6,-9999,553762.2,28.14,-1,-0.17128596099373333,0.994690643409648,0,0.5968143860457887,4,1.7777777777777777,0.3333333333333333,N4 S2 O3,de-protonated,0,-9999,C9 H16 O3 N4 S2,9,16,3,4,-9999,2,-9999,N/A,N/A,N/A
68,291.095431,291.09543340062925,291.0954917979391,1945865.1,-9999,567203.2,30.83,-1,-0.20061220964989024,0.99272414878562,0,0.5956344892713721,3,2,0.2,N4 S2 O2,de-protonated,0,-9999,C10 H20 O2 N4 S2,10,20,2,4,-9999,2,-9999,N/A,N/A,N/A
70,293.038371,293.0383716048819,293.03837084369906,3005636.8,-9999,620894.5,48.7,-1,0.00259755345393531,0.9999987757149412,0,0.5999992654289648,4,1.75,0.5,N4 S2 O4,de-protonated,0,-9999,C8 H14 O4 N4 S2,8,14,4,4,-9999,2,-9999,N/A,N/A,N/A
71,293.074754,293.0747545712552,293.07475635304905,2846408.3,-9999,606606.4,46.01,-1,-0.00607965652771694,0.9999932932755938,0,0.5999959759653563,3,2,0.3333333333333333,N4 S2 O3,de-protonated,0,-9999,C9 H18 O3 N4 S2,9,18,3,4,-9999,2,-9999,N/A,N/A,N/A
72,293.111083,293.11108353767844,293.11114186239905,2508491.8,-9999,570247.1,40.31,-1,-0.1989850001664934,0.9928412803513164,0,0.5957047682107899,2,2.2,0.2,N4 S2 O2,de-protonated,0,-9999,C10 H22 O2 N4 S2,10,22,2,4,-9999,2,-9999,N/A,N/A,N/A
75,295.017633,295.0176317755643,295.0176353988091,1117571.9,-9999,667811.5,16.86,-1,-0.01228145144832227,0.9999726317343528,0,0.5999835790406116,4,1.7142857142857142,0.7142857142857143,N4 S2 O5,de-protonated,0,-9999,C7 H12 O5 N4 S2,7,12,5,4,-9999,2,-9999,N/A,N/A,N/A
76,295.053992,295.0539907419598,295.0540209081591,3157639.3,-9999,579387.1,51.25,-1,-0.10223958035856244,0.9981051268015791,0,0.5988630760809476,3,2,0.5,N4 S2 O4,de-protonated,0,-9999,C8 H16 O4 N4 S2,8,16,4,4,-9999,2,-9999,N/A,N/A,N/A
77,295.090418,295.09041670829333,295.0904064175091,3734154.8,-9999,640454.4,60.97,-1,0.03487332702887312,0.99977935571836,0,0.599867613431016,2,2.2222222222222223,0.3333333333333333,N4 S2 O3,de-protonated,0,-9999,C9 H20 O3 N4 S2,9,20,3,4,-9999,2,-9999,N/A,N/A,N/A
78,295.126791,295.12678967467593,295.1267919268591,3678350.5,-9999,555826.7,60.03,-1,-0.00763123922562723,0.9999894332442232,0,0.599993659946534,1,2.4,0.2,N4 S2 O2,de-protonated,0,-9999,C10 H24 O2 N4 S2,10,24,2,4,-9999,2,-9999,N/A,N/A,N/A
80,297.033311,297.0333079125895,297.03328546326907,1933638.8,-9999,656495.6,30.41,-1,0.07557846730587785,0.9989640830352496,0,0.5993784498211497,3,2,0.7142857142857143,N4 S2 O5,de-protonated,0,-9999,C7 H14 O5 N4 S2,7,14,5,4,-9999,2,-9999,N/A,N/A,N/A
81,297.069668,297.0696648789868,297.06967097261906,4225354,-9999,555553.3,68.79,-1,-0.02051246839529086,0.9999236563183648,0,0.5999541937910189,2,2.25,0.5,N4 S2 O4,de-protonated,0,-9999,C8 H18 O4 N4 S2,8,18,4,4,-9999,2,-9999,N/A,N/A,N/A
82,297.105149,297.1051458461938,297.1049903976091,937549.6,-9999,758173.2,13.73,-1,0.5232109515461427,0.9515419324212314,0,0.5709251594527388,10,1.0555555555555556,0.1111111111111111,P1 O2,de-protonated,0,-9999,C18 H19 O2 P1,18,19,2,-9999,1,-9999,-9999,N/A,N/A,N/A
83,297.106058,297.1060548453537,297.10605648196906,5363021.5,-9999,581653.5,87.85,-1,-0.00550852239525368,0.9999944941690656,0,0.5999966965014394,1,2.4444444444444446,0.3333333333333333,N4 S2 O3,de-protonated,0,-9999,C9 H22 O3 N4 S2,9,22,3,4,-9999,2,-9999,N/A,N/A,N/A
85,299.048981,299.0489760496221,299.04893552772904,3102730.3,-9999,530580.5,49.99,-1,0.1355025491469131,0.9966739749245352,0,0.5980043849547211,2,2.2857142857142856,0.7142857142857143,N4 S2 O5,de-protonated,0,-9999,C7 H16 O5 N4 S2,7,16,5,4,-9999,2,-9999,N/A,N/A,N/A
86,299.084537,299.08453201675974,299.08425495271905,1045773.8,-9999,865211,15.54,-1,0.9263745452991043,0.8558041014208749,0,0.5134824608525249,10,1,0.17647058823529413,P1 O3,de-protonated,0,-9999,C17 H17 O3 P1,17,17,3,-9999,1,-9999,-9999,N/A,N/A,N/A
87,299.085353,299.0853480160056,299.0853210370791,6018062,-9999,589445.9,98.81,-1,0.09020478300738607,0.99852465904932,0,0.599114795429592,1,2.5,0.5,N4 S2 O4,de-protonated,0,-9999,C8 H20 O4 N4 S2,8,20,4,4,-9999,2,-9999,N/A,N/A,N/A
91,301.043561,301.04355420614695,301.0434562241291,939725.2,-9999,545618.2,13.67,-1,0.32547466428122457,0.980962014803584,0,0.5885772088821505,6,1.4,0.3,N4 S2 O3,de-protonated,0,-9999,C10 H14 O3 N4 S2,10,14,3,4,-9999,2,-9999,N/A,N/A,N/A
95,303.022743,303.0227343769033,303.0227207792391,1074448.3,-9999,530427.8,15.91,-1,0.04487341477401146,0.9996346974270236,0,0.5997808184562141,6,1.3333333333333333,0.4444444444444444,N4 S2 O4,de-protonated,0,-9999,C9 H12 O4 N4 S2,9,12,4,4,-9999,2,-9999,N/A,N/A,N/A
