Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C
0,257.075146,257.075314768253,257.0754078017291,1335170.6,-9999,615759.6,21.78,-1,-0.36189177681621154,0.9765165831090206,0,0.5859099498654123,9,1,0.07142857142857142,N2 S1 O1,de-protonated,0,-9999,C14 H14 O1 N2 S1,14,14,1,2,-9999,1,-9999
1,259.090784,259.09095139491416,259.0910578661891,924935.2,-9999,809668.5,14.39,-1,-0.4109415269266531,0.9698229277559364,0,0.5818937566535618,8,1.1428571428571428,0.07142857142857142,N2 S1 O1,de-protonated,0,-9999,C14 H16 O1 N2 S1,14,16,1,2,-9999,1,-9999
3,269.075224,269.07538459209565,269.0754078017291,1416234.5,-9999,414468.2,22.74,-1,-0.08625698520011399,0.9986508841132604,0,0.5991905304679561,10,0.9333333333333332,0.06666666666666667,N2 S1 O1,de-protonated,0,-9999,C15 H14 O1 N2 S1,15,14,1,2,-9999,1,-9999
5,271.054402,271.05456124359847,271.0546723568391,1128044.9,-9999,567263.1,17.7,-1,-0.40992925764649363,0.969969162265251,0,0.5819814973591506,10,0.8571428571428571,0.14285714285714285,N2 S1 O2,de-protonated,0,-9999,C14 H12 O2 N2 S1,14,12,2,2,-9999,1,-9999
6,271.09093,271.09108921871047,271.0910578661891,2039216.4,-9999,460409.6,33.63,-1,0.11565310055713451,0.9975759505180902,0,0.5985455703108541,9,1.0666666666666669,0.06666666666666667,N2 S1 O1,de-protonated,0,-9999,C15 H16 O1 N2 S1,15,16,1,2,-9999,1,-9999
7,273.070215,273.07037287014043,273.0703224212991,1708778.9,-9999,553499.8,27.7,-1,0.184746701361718,0.9938260501689145,0,0.5962956301013486,9,1,0.14285714285714285,N2 S1 O2,de-protonated,0,-9999,C14 H14 O2 N2 S1,14,14,2,2,-9999,1,-9999
8,273.106618,273.10677584533755,273.1067079306491,986990.3,-9999,580157.6,15.15,-1,0.24867455268337144,0.9888421049402392,0,0.5933052629641434,8,1.2,0.06666666666666667,N2 S1 O1,de-protonated,0,-9999,C15 H18 O1 N2 S1,15,18,1,2,-9999,1,-9999
9,281.075297,281.07544941594165,281.0754078017291,1313820.3,-9999,537364.6,20.71,-1,0.1480535521055736,0.9960305703308936,0,0.597618342198536,11,0.875,0.0625,N2 S1 O1,de-protonated,0,-9999,C16 H14 O1 N2 S1,16,14,1,2,-9999,1,-9999
12,283.054573,283.0547240673778,283.0546723568391,1613242.1,-9999,502740.4,25.73,-1,0.1826874584130219,0.993962502554946,0,0.5963775015329675,11,0.8,0.13333333333333333,N2 S1 O2,de-protonated,0,-9999,C15 H12 O2 N2 S1,15,12,2,2,-9999,1,-9999
13,283.09099,283.0911410425653,283.0910578661891,2495421,-9999,422066.9,40.9,-1,0.293814918948951,0.9844580835139136,0,0.5906748501083481,10,1,0.0625,N2 S1 O1,de-protonated,0,-9999,C16 H16 O1 N2 S1,16,16,1,2,-9999,1,-9999
15,285.070239,285.07038869401987,285.0703224212991,3197527.3,-9999,443273.1,52.97,-1,0.232478499274177,0.9902413065752684,0,0.594144783945161,10,0.9333333333333332,0.13333333333333333,N2 S1 O2,de-protonated,0,-9999,C15 H14 O2 N2 S1,15,14,2,2,-9999,1,-9999
16,285.106593,285.1067426692503,285.1067079306491,2332250,-9999,451638.2,38.09,-1,0.1218442085732885,0.9973098357720012,0,0.5983859014632007,9,1.125,0.0625,N2 S1 O1,de-protonated,0,-9999,C16 H18 O1 N2 S1,16,18,1,2,-9999,1,-9999
17,287.049503,287.0496513454641,287.0495869764091,1014446.6,-9999,458336.5,15.34,-1,0.22424367745805185,0.990917310737265,0,0.5945503864423589,10,0.8571428571428571,0.21428571428571427,N2 S1 O3,de-protonated,0,-9999,C14 H12 O3 N2 S1,14,12,3,2,-9999,1,-9999
18,287.085946,287.08609432063395,287.0859724857591,2991089.5,-9999,396689.7,49.13,-1,0.42438463221211736,0.9678488712361412,0,0.5807093227416846,9,1.0666666666666669,0.13333333333333333,N2 S1 O2,de-protonated,0,-9999,C15 H16 O2 N2 S1,15,16,2,2,-9999,1,-9999
19,287.122441,287.12258929576836,287.1223579951091,981748.2,-9999,524679.7,14.79,-1,0.8055821945769144,0.8889152104492378,0,0.5333491262695427,8,1.25,0.0625,N2 S1 O1,de-protonated,0,-9999,C16 H20 O1 N2 S1,16,20,1,2,-9999,1,-9999
20,289.101665,289.1018119472399,289.10162255021913,969609.3,-9999,548041.2,14.58,-1,0.6551226489825002,0.9250798889514916,0,0.5550479333708949,8,1.2,0.13333333333333333,N2 S1 O2,de-protonated,0,-9999,C15 H18 O2 N2 S1,15,18,2,2,-9999,1,-9999
21,295.054561,295.0547038912817,295.0546723568391,1336643.4,-9999,476230.9,20.72,-1,0.106876608143915,0.9979295289243032,0,0.5987577173545819,12,0.75,0.125,N2 S1 O2,de-protonated,0,-9999,C16 H12 O2 N2 S1,16,12,2,2,-9999,1,-9999
22,295.091053,295.0911958664182,295.0910578661891,2126278,-9999,435145.9,34.13,-1,0.4676530360707932,0.9610943345189396,0,0.5766566007113638,11,0.9411764705882352,0.0588235294117647,N2 S1 O1,de-protonated,0,-9999,C17 H16 O1 N2 S1,17,16,1,2,-9999,1,-9999
24,297.070355,297.0704965178366,297.0703224212991,3197145.3,-9999,445474.2,52.01,-1,0.5860448666124508,0.9395837746665966,0,0.5637502647999579,11,0.875,0.125,N2 S1 O2,de-protonated,0,-9999,C16 H14 O2 N2 S1,16,14,2,2,-9999,1,-9999
25,297.106671,297.10681249309295,297.1067079306491,3455452,-9999,414091.4,56.37,-1,0.3519356548752317,0.9777766596995712,0,0.5866659958197427,10,1.0588235294117647,0.0588235294117647,N2 S1 O1,de-protonated,0,-9999,C17 H18 O1 N2 S1,17,18,1,2,-9999,1,-9999
28,299.049591,299.04973116929995,299.0495869764091,2074477.8,-9999,522219.5,33.05,-1,0.4821705065749408,0.9586926799760436,0,0.5752156079856261,11,0.8,0.2,N2 S1 O3,de-protonated,0,-9999,C15 H12 O3 N2 S1,15,12,3,2,-9999,1,-9999
29,299.085989,299.08612914450043,299.0859724857591,5091696.5,-9999,432941.4,84,-1,0.5237916711043789,0.9638610658871126,0.9756566031012848,0.9685792807727814,10,1,0.125,N2 S1 O2,de-protonated,0,-9999,C16 H16 O2 N2 S1,16,16,2,2,-9999,1,-9999
30,299.122479,299.1226191196383,299.1223579951091,2618227.3,-9999,386546.1,42.23,-1,0.8729689446312271,0.8708570237927005,0,0.5225142142756203,9,1.1764705882352942,0.0588235294117647,N2 S1 O1,de-protonated,0,-9999,C17 H20 O1 N2 S1,17,20,1,2,-9999,1,-9999
31,300.089297,300.08943646090455,300.0893273208291,1056700.5,-9999,475392.4,15.86,-1,0.3636919593642369,0.9762851710035616,0.9756566031012848,0.976033743842651,10,1.0666666666666669,0.13333333333333333,13C1 N2 S1 O2,de-protonated,1,29,C15 H16 O2 N2 S1 13C1,15,16,2,2,-9999,1,1
32,301.065355,301.0654937958752,301.06523704086914,3112711,-9999,431604.3,50.26,-1,0.8528218289673412,0.8763685565637723,0,0.5258211339382634,10,0.9333333333333332,0.2,N2 S1 O3,de-protonated,0,-9999,C15 H14 O3 N2 S1,15,14,3,2,-9999,1,-9999
33,301.101664,301.1018027711364,301.10162255021913,3912201.8,-9999,449763.2,63.68,-1,0.5985385125464582,0.9370640031099516,0,0.562238401865971,9,1.125,0.125,N2 S1 O2,de-protonated,0,-9999,C16 H18 O2 N2 S1,16,18,2,2,-9999,1,-9999
34,301.138078,301.138216746326,301.1380080595691,977676.6,-9999,547894.1,14.43,-1,0.6929937482131401,0.9165497066177752,0,0.549929823970665,8,1.2941176470588236,0.0588235294117647,N2 S1 O1,de-protonated,0,-9999,C17 H22 O1 N2 S1,17,22,1,2,-9999,1,-9999
35,303.080895,303.08103242260313,303.08088710532905,1806499,-9999,434074.8,28.34,-1,0.4794669682512654,0.9591450351781792,0,0.5754870211069075,9,1.0666666666666669,0.2,N2 S1 O3,de-protonated,0,-9999,C15 H16 O3 N2 S1,15,16,3,2,-9999,1,-9999
36,303.117132,303.1172693979134,303.1172726146791,1101605.8,-9999,623335.4,16.51,-1,-0.01061228115383759,0.999979565364965,0,0.599987739218979,8,1.25,0.125,N2 S1 O2,de-protonated,0,-9999,C16 H20 O2 N2 S1,16,20,2,2,-9999,1,-9999
38,305.075482,305.07561806360724,305.0754078017291,879296.7,-9999,588963.5,12.77,-1,0.6892128068884696,0.9174192448158888,0,0.5504515468895331,13,0.7777777777777778,0.05555555555555555,N2 S1 O1,de-protonated,0,-9999,C18 H14 O1 N2 S1,18,14,1,2,-9999,1,-9999
39,307.054715,307.0548497150726,307.0546723568391,1417313.3,-9999,483551.9,21.66,-1,0.577611251198249,0.9412583879018842,0,0.5647550327411305,13,0.7058823529411765,0.1176470588235294,N2 S1 O2,de-protonated,0,-9999,C17 H12 O2 N2 S1,17,12,2,2,-9999,1,-9999
40,307.090988,307.09112269035825,307.0910578661891,1351652.3,-9999,495981.5,20.56,-1,0.21109103471882773,0.991947348596025,0,0.5951684091576149,12,0.8888888888888888,0.05555555555555555,N2 S1 O1,de-protonated,0,-9999,C18 H16 O1 N2 S1,18,16,1,2,-9999,1,-9999
42,309.070397,309.0705303417038,309.0703224212991,2075145.6,-9999,364175.7,32.62,-1,0.6727284684574178,0.9211641123547808,0,0.5526984674128684,12,0.8235294117647058,0.1176470588235294,N2 S1 O2,de-protonated,0,-9999,C17 H14 O2 N2 S1,17,14,2,2,-9999,1,-9999
43,309.10675,309.1068833169349,309.1067079306491,3189388.8,-9999,432646.1,51.2,-1,0.567397216804342,0.9432579255489676,0,0.5659547553293806,11,1,0.05555555555555555,N2 S1 O1,de-protonated,0,-9999,C18 H18 O1 N2 S1,18,18,1,2,-9999,1,-9999
