Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,18O,34S
1,171.138772,171.13895695808853,171.13905343141906,1011629.6,-9999,1050565.5,17.27,-1,-0.5637131244750865,0.9439714091065948,0,0.5663828454639569,1,2,0.2,O2,de-protonated,0,-9999,C10 H20 O2,10,20,2,-9999,-9999,-9999,-9999,N/A,-9999
6,187.097375,187.09754296551273,187.0975825416391,1026129.8,-9999,753511.5,17.53,-1,-0.21152665807506457,0.9919142130579892,0,0.5951485278347934,2,1.7777777777777777,0.4444444444444444,O4,de-protonated,0,-9999,C9 H16 O4,9,16,4,-9999,-9999,-9999,-9999,N/A,-9999
7,201.113001,201.11315404180124,201.11323260609907,747205.5,-9999,803593.6,12.01,-1,-0.3906470838297511,0.9726898510806752,0,0.5836139106484051,2,1.8,0.4,O4,de-protonated,0,-9999,C10 H18 O4,10,18,4,-9999,-9999,-9999,-9999,N/A,-9999
9,205.159564,205.15971273305763,205.15978887630908,7640796.5,-9999,588160.6,140.36,-1,-0.3711412059110123,0.9650760502670854,0.9987411178686324,0.9785420773077044,4,1.5714285714285714,0.07142857142857142,O1,de-protonated,0,-9999,C14 H22 O1,14,22,1,-9999,-9999,-9999,-9999,N/A,-9999
10,206.162892,206.16303966472307,206.1631437113791,1169741.8,-9999,778411.5,19.75,-1,-0.5046811672870097,0.9548361352239396,0.9987411178686324,0.9723981282818168,4,1.6923076923076923,0.07692307692307693,13C1 O1,de-protonated,1,9,C13 H22 O1 13C1,13,22,1,-9999,-9999,-9999,1,N/A,-9999
11,209.154447,209.15459147934249,209.15470349587903,850226.8,-9999,615561.1,13.77,-1,-0.5355678582999173,0.9492857127645672,0,0.5695714276587402,3,1.6923076923076923,0.15384615384615383,O2,de-protonated,0,-9999,C13 H22 O2,13,22,2,-9999,-9999,-9999,-9999,N/A,-9999
12,211.133728,211.13387037182196,211.13396805098907,2810413.5,-9999,797899.2,49.92,-1,-0.4626407016067139,0.9619078460699853,0,0.5771447076419911,3,1.6666666666666667,0.25,O3,de-protonated,0,-9999,C12 H20 O3,12,20,3,-9999,-9999,-9999,-9999,N/A,-9999
13,211.133882,211.134024371658,211.13396805098907,2251373.5,-9999,737913.3,39.59,-1,0.26675323469754997,0.9871715980344572,0,0.5923029588206742,3,1.6666666666666667,0.25,O3,de-protonated,0,-9999,C12 H20 O3,12,20,3,-9999,-9999,-9999,-9999,N/A,-9999
14,215.128681,215.12881911803225,215.12888267055905,925702.5,-9999,607317,15.06,-1,-0.29541605960194556,0.9842895722478526,0,0.5905737433487116,2,1.818181818181818,0.3636363636363637,O4,de-protonated,0,-9999,C11 H20 O4,11,20,4,-9999,-9999,-9999,-9999,N/A,-9999
15,215.16505,215.1651880793069,215.16526817990908,778955.6,-9999,768602.5,12.36,-1,-0.372274776948016,0.975166841636869,0,0.5851001049821214,1,2,0.25,O3,de-protonated,0,-9999,C12 H24 O3,12,24,3,-9999,-9999,-9999,-9999,N/A,-9999
30,227.128654,227.1287793405698,227.12888267055905,1078177.9,-9999,453046.4,17.6,-1,-0.4549398915865891,0.9631419347447912,0,0.5778851608468747,3,1.6666666666666667,0.3333333333333333,O4,de-protonated,0,-9999,C12 H20 O4,12,20,4,-9999,-9999,-9999,-9999,N/A,-9999
31,227.201386,227.2015112631254,227.20165368925908,953245.4,-9999,952095.1,15.33,-1,-0.6268710255893208,0.9311793320511148,0,0.5587075992306688,1,2,0.14285714285714285,O2,de-protonated,0,-9999,C14 H28 O2,14,28,2,-9999,-9999,-9999,-9999,N/A,-9999
32,227.201551,227.20167626294972,227.20165368925908,917341.4,-9999,775787.8,14.68,-1,0.09935530959572682,0.9982104365491524,0,0.5989262619294914,1,2,0.14285714285714285,O2,de-protonated,0,-9999,C14 H28 O2,14,28,2,-9999,-9999,-9999,-9999,N/A,-9999
33,229.144399,229.14452219422276,229.14453273501908,1255187.9,-9999,712186.9,20.74,-1,-0.04600064509008158,0.999616117512765,0,0.599769670507659,2,1.8333333333333333,0.3333333333333333,O4,de-protonated,0,-9999,C12 H22 O4,12,22,4,-9999,-9999,-9999,-9999,N/A,-9999
34,229.180819,229.1809421554431,229.18091824436908,796249.7,-9999,757247.7,12.43,-1,0.10433274372423604,0.9980268220098248,0,0.5988160932058949,1,2,0.2307692307692308,O3,de-protonated,0,-9999,C13 H26 O3,13,26,3,-9999,-9999,-9999,-9999,N/A,-9999
37,239.067261,239.06737362844927,239.06734504114908,989091.2,-9999,749539.9,15.72,-1,0.11957844007477832,0.9974088275279558,0,0.5984452965167735,6,1.2,0.5,N2 O5,de-protonated,0,-9999,C10 H12 O5 N2,10,12,5,2,-9999,-9999,-9999,N/A,-9999
38,239.092352,239.09246460173264,239.09249716120908,880599.3,-9999,614197.1,13.78,-1,-0.13617941530019245,0.9966407194378952,0,0.5979844316627371,5,1.3333333333333333,0.4166666666666667,O5,de-protonated,0,-9999,C12 H16 O5,12,16,5,-9999,-9999,-9999,-9999,N/A,-9999
39,239.128749,239.12886156297745,239.12888267055905,4076013.3,-9999,536452.5,71.02,-1,-0.08826864155956061,0.998587268065148,0,0.5991523608390887,4,1.5384615384615383,0.3076923076923077,O4,de-protonated,0,-9999,C13 H20 O4,13,20,4,-9999,-9999,-9999,-9999,N/A,-9999
40,241.136292,241.13640242536383,241.13629052652908,1818100.3,-9999,522348,30.45,-1,0.4640480887442589,0.9616802402324832,0,0.5770081441394899,3,1.7692307692307692,0.15384615384615383,P1 O2,de-protonated,0,-9999,C13 H23 O2 P1,13,23,2,-9999,1,-9999,-9999,N/A,-9999
41,241.144377,241.14448741675497,241.14453273501908,1576053.6,-9999,612708.9,26.13,-1,-0.18792988420600285,0.9936121499853108,0,0.5961672899911864,3,1.6923076923076923,0.3076923076923077,O4,de-protonated,0,-9999,C13 H22 O4,13,22,4,-9999,-9999,-9999,-9999,N/A,-9999
