Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C
0,265.147957,265.14798332211024,265.14790403833905,1264569.1,-9999,569027.2,20.21,-1,0.2990171522311445,0.9839073378814568,0,0.5903444027288741,0,2.1666666666666665,0.3333333333333333,S1 O4,de-protonated,0,-9999,C12 H26 O4 S1,12,26,4,-9999,-9999,1,-9999
1,267.051081,267.0511070361796,267.05102627142907,1072269.5,-9999,697275.6,16.83,-1,0.3024319046769844,0.9835407440260452,0,0.5901244464156271,7,1,0.5833333333333334,O7,de-protonated,0,-9999,C12 H12 O7,12,12,7,-9999,-9999,-9999,-9999
1,267.051081,267.0511070361796,267.0508640800991,1072269.5,-9999,697275.6,16.83,-1,0.9097745530594534,0.860550295807565,0,0.516330177484539,2,2.4285714285714284,0.14285714285714285,N4 S2 P1 O1,de-protonated,0,-9999,C7 H17 O1 N4 P1 S2,7,17,1,4,1,2,-9999
2,269.066624,269.0666497333588,269.0666763358891,1072488.3,-9999,547947.3,16.75,-1,-0.09886965805574806,0.9982278731912514,0,0.5989367239147508,6,1.1666666666666667,0.5833333333333334,O7,de-protonated,0,-9999,C12 H14 O7,12,14,7,-9999,-9999,-9999,-9999
3,269.10306,269.1030857278846,269.1030618452391,928876.2,-9999,714000.7,14.24,-1,0.08874906641229811,0.9985718589152174,0,0.5991431153491305,5,1.3846153846153846,0.4615384615384616,O6,de-protonated,0,-9999,C13 H18 O6,13,18,6,-9999,-9999,-9999,-9999
4,269.131152,269.13117772366394,269.1312051460991,967151.2,-9999,517844.6,14.91,-1,-0.1018924399271016,0.998117960423458,0,0.5988707762540747,4,1.6428571428571428,0.21428571428571427,P1 O3,de-protonated,0,-9999,C14 H23 O3 P1,14,23,3,-9999,1,-9999,-9999
5,271.082233,271.08225843052816,271.0823264003491,1003068.9,-9999,555092.9,15.54,-1,-0.2507349771592905,0.9886574955612316,0,0.5931944973367389,5,1.3333333333333333,0.5833333333333334,O7,de-protonated,0,-9999,C12 H16 O7,12,16,7,-9999,-9999,-9999,-9999
6,277.035357,277.0353815361143,277.0353762069691,814865.6,-9999,666457.8,12.18,-1,0.01923633466388714,0.9999328596042676,0,0.5999597157625605,9,0.7692307692307693,0.5384615384615384,O7,de-protonated,0,-9999,C13 H10 O7,13,10,7,-9999,-9999,-9999,-9999
6,277.035357,277.0353815361143,277.0352140156391,814865.6,-9999,666457.8,12.18,-1,0.6046901863977393,0.935806314991232,0,0.5614837889947392,4,1.875,0.125,N4 S2 P1 O1,de-protonated,0,-9999,C8 H15 O1 N4 P1 S2,8,15,1,4,1,2,-9999
7,277.071728,277.07175253064986,277.0717617163191,870101.1,-9999,610715.6,13.14,-1,-0.03315267196850883,0.9998005896956904,0,0.5998803538174143,8,1,0.42857142857142855,O6,de-protonated,0,-9999,C14 H14 O6,14,14,6,-9999,-9999,-9999,-9999
