Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,17O,18O,33S,34S
13,199.043397,199.04345561635753,199.04343896754904,978876.4,-9999,887185.1,16.39,-1,0.08364409575669922,0.9987313296931916,0,0.5992387978159149,4,1.3333333333333333,0.3333333333333333,S1 O3,de-protonated,0,-9999,C9 H12 O3 S1,9,12,3,-9999,-9999,1,-9999,N/A,-9999,-9999,-9999
15,213.076793,213.07684337940577,213.07684709674908,764388.1,-9999,823715.3,12.1,-1,-0.01744602172849025,0.9999447751361134,0,0.599966865081668,4,1.4,0.5,O5,de-protonated,0,-9999,C10 H14 O5,10,14,5,-9999,-9999,-9999,-9999,N/A,-9999,-9999,-9999
24,221.048904,221.0489497001468,221.0489182711491,774538.9,-9999,683652,12.14,-1,0.1421811875908549,0.9963386450432584,0,0.5978031870259549,2,1.75,0.625,S1 O5,de-protonated,0,-9999,C8 H14 O5 S1,8,14,5,-9999,-9999,1,-9999,N/A,-9999,-9999,-9999
25,225.059035,225.05907834638617,225.0590890320091,1207658,-9999,846226.8,19.87,-1,-0.04747918868572384,0.9995910487039438,0,0.5997546292223662,5,1.2727272727272727,0.2727272727272727,S1 O3,de-protonated,0,-9999,C11 H14 O3 S1,11,14,3,-9999,-9999,1,-9999,N/A,-9999,-9999,-9999
26,227.038307,227.0383491846454,227.03835358711905,1377894.9,-9999,747208.5,22.95,-1,-0.01939088079206256,0.9999317764857903,0,0.5999590658914742,5,1.2,0.4,S1 O4,de-protonated,0,-9999,C10 H12 O4 S1,10,12,4,-9999,-9999,1,-9999,N/A,-9999,-9999,-9999
27,227.056077,227.0561191742152,227.05611165185908,1736361.8,-9999,797203.2,29.43,-1,0.03312994340250987,0.9998008629952606,0,0.5998805177971563,5,1.2,0.6,O6,de-protonated,0,-9999,C10 H12 O6,10,12,6,-9999,-9999,-9999,-9999,N/A,-9999,-9999,-9999
28,227.074707,227.07474916328027,227.07473909646907,823980.8,-9999,1038239.9,12.93,-1,0.04433258952451139,0.9996434482338624,0,0.5997860689403175,4,1.4545454545454546,0.2727272727272727,S1 O3,de-protonated,0,-9999,C11 H16 O3 S1,11,16,3,-9999,-9999,1,-9999,N/A,-9999,-9999,-9999
29,227.092498,227.09254015283776,227.09249716120908,828143.7,-9999,927720.8,13,-1,0.18931329410116676,0.993518064542753,0,0.5961108387256518,4,1.4545454545454546,0.4545454545454546,O5,de-protonated,0,-9999,C11 H16 O5,11,16,5,-9999,-9999,-9999,-9999,N/A,-9999,-9999,-9999
30,229.017599,229.0176400228929,229.01761814222908,3178281,-9999,743449.7,55.3,-1,0.09554139976788426,0.9983450784237808,0,0.5990070470542684,5,1.1111111111111112,0.5555555555555556,S1 O5,de-protonated,0,-9999,C9 H10 O5 S1,9,10,5,-9999,-9999,1,-9999,N/A,-9999,-9999,-9999
31,229.053968,229.054009001546,229.05400365157908,1279599,-9999,809336,21.08,-1,0.0233567927765909,0.9999010174247174,0,0.5999406104548304,4,1.4,0.4,S1 O4,de-protonated,0,-9999,C10 H14 O4 S1,10,14,4,-9999,-9999,1,-9999,N/A,-9999,-9999,-9999
32,229.071735,229.07177599111756,229.0717617163191,1740465.9,-9999,859704.5,29.39,-1,0.06231583660500345,0.9992956351223024,0,0.5995773810733814,4,1.4,0.6,O6,de-protonated,0,-9999,C10 H14 O6,10,14,6,-9999,-9999,-9999,-9999,N/A,-9999,-9999,-9999
33,235.043441,235.0434784860035,235.04343896754904,1166293.9,-9999,900208.5,18.88,-1,0.16813255700312654,0.9948838398762851,0,0.5969303039257712,7,1,0.25,S1 O3,de-protonated,0,-9999,C12 H12 O3 S1,12,12,3,-9999,-9999,1,-9999,N/A,-9999,-9999,-9999
34,237.04043,237.04046631386365,237.04046158739908,836968.5,-9999,860841.9,12.93,-1,0.01993948432108199,0.9999278616826948,0,0.5999567170096168,7,0.9090909090909092,0.5454545454545454,O6,de-protonated,0,-9999,C11 H10 O6,11,10,6,-9999,-9999,-9999,-9999,N/A,-9999,-9999,-9999
35,237.076847,237.07688329248856,237.07684709674908,909486.7,-9999,766747.8,14.22,-1,0.15267513435514987,0.9957794179612912,0,0.5974676507767747,6,1.1666666666666667,0.4166666666666667,O5,de-protonated,0,-9999,C12 H14 O5,12,14,5,-9999,-9999,-9999,-9999,N/A,-9999,-9999,-9999
40,239.001962,239.00199716253547,239.00196807776905,2113974.8,-9999,784852.6,35.67,-1,0.12169258127254871,0.997316518093497,0,0.5983899108560982,7,0.8,0.5,S1 O5,de-protonated,0,-9999,C10 H8 O5 S1,10,8,5,-9999,-9999,1,-9999,N/A,-9999,-9999,-9999
41,239.038378,239.03841314116096,239.03835358711905,937660.9,-9999,821699.3,14.72,-1,0.24914011085490764,0.9888005221827114,0,0.5932803133096268,6,1.0909090909090908,0.3636363636363637,S1 O4,de-protonated,0,-9999,C11 H12 O4 S1,11,12,4,-9999,-9999,1,-9999,N/A,-9999,-9999,-9999
42,239.056063,239.0560981307807,239.05611165185908,820799.9,-9999,691856,12.63,-1,-0.05656027069658567,0.9994197024374206,0,0.5996518214624523,6,1.0909090909090908,0.5454545454545454,O6,de-protonated,0,-9999,C11 H12 O6,11,12,6,-9999,-9999,-9999,-9999,N/A,-9999,-9999,-9999
43,239.074731,239.0747661198235,239.07473909646907,1181955,-9999,670925.3,19.07,-1,0.11303308117645516,0.9976844100770236,0,0.5986106460462142,5,1.3333333333333333,0.25,S1 O3,de-protonated,0,-9999,C12 H16 O3 S1,12,16,3,-9999,-9999,1,-9999,N/A,-9999,-9999,-9999
44,239.092471,239.0925061094109,239.09249716120908,915334.1,-9999,771968.6,14.32,-1,0.03742569054231277,0.9997458803283196,0,0.5998475281969916,5,1.3333333333333333,0.4166666666666667,O5,de-protonated,0,-9999,C12 H16 O5,12,16,5,-9999,-9999,-9999,-9999,N/A,-9999,-9999,-9999
46,240.051346,240.0513805465958,240.0513606240591,827369.8,-9999,818786.3,12.7,-1,0.08299280888201054,0.9987509972445916,0,0.599250598346755,6,1.1,0.6,N1 O6,de-protonated,0,-9999,C10 H11 O6 N1,10,11,6,1,-9999,-9999,-9999,N/A,-9999,-9999,-9999
48,241.017607,241.01764097944545,241.01761814222908,3614862.8,-9999,713621.1,62.13,-1,0.09475330699616014,0.9983722455981934,0,0.599023347358916,6,1,0.5,S1 O5,de-protonated,0,-9999,C10 H10 O5 S1,10,10,5,-9999,-9999,1,-9999,N/A,-9999,-9999,-9999
49,241.053982,241.05401595809505,241.05400365157908,2874773,-9999,747004.9,49.01,-1,0.05105294147781962,0.9995271834428504,0,0.5997163100657102,5,1.2727272727272727,0.3636363636363637,S1 O4,de-protonated,0,-9999,C11 H14 O4 S1,11,14,4,-9999,-9999,1,-9999,N/A,-9999,-9999,-9999
50,241.071751,241.07178494766544,241.0717617163191,1605784,-9999,695434.9,26.5,-1,0.0963669332737268,0.9983163800818932,0,0.5989898280491359,5,1.2727272727272727,0.5454545454545454,O6,de-protonated,0,-9999,C11 H14 O6,11,14,6,-9999,-9999,-9999,-9999,N/A,-9999,-9999,-9999
51,241.09036,241.09039393674283,241.0903891609291,3465371.3,-9999,763749.2,59.48,-1,0.0198092248222827,0.9999288010925976,0,0.5999572806555585,4,1.5,0.25,S1 O3,de-protonated,0,-9999,C12 H18 O3 S1,12,18,3,-9999,-9999,1,-9999,N/A,-9999,-9999,-9999
52,242.067026,242.06705936348524,242.06701068851908,817090,-9999,707398.5,12.51,-1,0.2010805438860508,0.9926902624267104,0,0.5956141574560262,5,1.3,0.6,N1 O6,de-protonated,0,-9999,C10 H13 O6 N1,10,13,6,1,-9999,-9999,-9999,N/A,-9999,-9999,-9999
53,242.176116,242.1761492994545,242.1761672165691,841428.6,-9999,750774,12.94,-1,-0.07398380612900222,0.9990073148611616,0,0.599404388916697,2,1.9230769230769231,0.2307692307692308,N1 O3,de-protonated,0,-9999,C13 H25 O3 N1,13,25,3,1,-9999,-9999,-9999,N/A,-9999,-9999,-9999
54,243.033244,243.03327679636013,243.03326820668903,14649831,-9999,754836.9,256.76,-1,0.03534360185348473,0.9988447861956152,0.9964610949840376,0.997891309710984,5,1.2,0.5,S1 O5,de-protonated,0,-9999,C10 H12 O5 S1,10,12,5,-9999,-9999,1,-9999,N/A,-9999,-9999,-9999
55,243.050996,243.05102878594053,243.05102627142907,1814890,-9999,756407.4,30.07,-1,0.01034561138621095,0.9999805794317674,0,0.5999883476590604,5,1.2,0.7,O7,de-protonated,0,-9999,C10 H12 O7,10,12,7,-9999,-9999,-9999,-9999,N/A,-9999,-9999,-9999
56,243.087383,243.08741576458303,243.0874117807791,1962224.3,-9999,765512.6,32.68,-1,0.01638835978738321,0.999951268001109,0,0.5999707608006654,4,1.4545454545454546,0.5454545454545454,O6,de-protonated,0,-9999,C11 H16 O6,11,16,6,-9999,-9999,-9999,-9999,N/A,-9999,-9999,-9999
57,243.123778,243.12381074322087,243.12379729012903,824822.4,-9999,776895.5,12.59,-1,0.05533432745079915,0.999444578785568,0,0.5996667472713408,3,1.6666666666666667,0.4166666666666667,O5,de-protonated,0,-9999,C12 H20 O5,12,20,5,-9999,-9999,-9999,-9999,N/A,-9999,-9999,-9999
58,244.036617,244.0366492074268,244.03662304175907,1648402.1,-9999,814609.2,27.13,-1,0.10722024995054466,0.997916206996041,0.9964610949840376,0.9973341621912396,5,1.3333333333333333,0.5555555555555556,13C1 S1 O5,de-protonated,1,54,C9 H12 O5 S1 13C1,9,12,5,-9999,-9999,1,1,N/A,-9999,-9999,-9999
