Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,18O
11,265.155518,265.1555731614535,265.1557661243091,1301696.4,-9999,634447.6,20.72,-1,-0.7277339595477899,0.9083780536659188,0,0.5450268321995512,5,1.5714285714285714,0.21428571428571427,N2 O3,de-protonated,0,-9999,C14 H22 O3 N2,14,22,3,2,-9999,-9999,-9999,N/A,-9999
22,277.043177,277.043232679015,277.0434562241291,1002354.5,-9999,699470.6,15.3,-1,-0.8068954855361808,0.8885737146253228,0,0.5331442287751936,4,1.75,0.375,N4 S2 O3,de-protonated,0,-9999,C8 H14 O3 N4 S2,8,14,3,4,-9999,2,-9999,N/A,-9999
23,277.079512,277.07956768059694,277.0798417334791,1175158.3,-9999,669460,18.28,-1,-0.9890754969662408,0.8373560858711948,0,0.5024136515227169,3,2,0.2222222222222222,N4 S2 O2,de-protonated,0,-9999,C9 H18 O2 N4 S2,9,18,2,4,-9999,2,-9999,N/A,-9999
24,277.115946,277.1160016821832,277.11622724282904,947194.1,-9999,851410.1,14.34,-1,-0.8139568299157296,0.8867302821016853,0,0.5320381692610111,2,2.2,0.1,N4 S2 O1,de-protonated,0,-9999,C10 H22 O1 N4 S2,10,22,1,4,-9999,2,-9999,N/A,-9999
25,279.058843,279.0588987667725,279.0591062885891,1419332.6,-9999,600037.8,22.35,-1,-0.7436482520335332,0.9045267212149124,0,0.5427160327289474,3,2,0.375,N4 S2 O3,de-protonated,0,-9999,C8 H16 O3 N4 S2,8,16,3,4,-9999,2,-9999,N/A,-9999
26,279.095227,279.0952827683566,279.0954917979391,1774920.4,-9999,538659.1,28.44,-1,-0.748953632845269,0.9032279764658276,0,0.5419367858794966,2,2.2222222222222223,0.2222222222222222,N4 S2 O2,de-protonated,0,-9999,C9 H20 O2 N4 S2,9,20,2,4,-9999,2,-9999,N/A,-9999
27,279.131617,279.1316727699409,279.1318773072891,1259724.1,-9999,683800.9,19.61,-1,-0.7327624137413107,0.9071683858902698,0,0.5443010315341619,1,2.4,0.1,N4 S2 O1,de-protonated,0,-9999,C10 H24 O1 N4 S2,10,24,1,4,-9999,2,-9999,N/A,-9999
28,281.038178,281.03823385294817,281.03837084369906,1263120,-9999,726738.7,19.67,-1,-0.4874450078739861,0.9578034528383292,0,0.5746820717029976,3,2,0.5714285714285714,N4 S2 O4,de-protonated,0,-9999,C7 H14 O4 N4 S2,7,14,4,4,-9999,2,-9999,N/A,-9999
29,281.0745,281.07455585452954,281.07475635304905,2605075.8,-9999,496210.2,42.67,-1,-0.7133280915013687,0.9118062113419724,0,0.5470837268051834,2,2.25,0.375,N4 S2 O3,de-protonated,0,-9999,C8 H18 O3 N4 S2,8,18,3,4,-9999,2,-9999,N/A,-9999
30,281.110896,281.1109518561142,281.11114186239905,3004695.5,-9999,482486.8,49.52,-1,-0.6759116113606621,0.9204468568301278,0,0.5522681140980766,1,2.4444444444444446,0.2222222222222222,N4 S2 O2,de-protonated,0,-9999,C9 H22 O2 N4 S2,9,22,2,4,-9999,2,-9999,N/A,-9999
