Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,18O,33S,34S
6,199.006773,199.00688699749705,199.0070534581991,9002764,-9999,751467.2,167.15,-1,-0.8364562921497313,0.9400594418141034,0.9898508222475094,0.9599759939874658,5,1,0.5,S1 O4,de-protonated,0,-9999,C8 H8 O4 S1,8,8,4,-9999,-9999,1,-9999,-9999,-9999,-9999
7,199.006937,199.00705099738784,199.0070534581991,8996492,-9999,719226.7,167.03,-1,-0.01236544743962736,0.9996576966366082,0.9897938515900496,0.9957121586179848,5,1,0.5,S1 O4,de-protonated,0,-9999,C8 H8 O4 S1,8,8,4,-9999,-9999,1,-9999,-9999,-9999,-9999
8,199.170071,199.17018488877088,199.17035356033907,879594.8,-9999,755915.1,14.51,-1,-0.8468708579100541,0.8779784512059619,0,0.5267870707235771,1,2,0.16666666666666666,O2,de-protonated,0,-9999,C12 H24 O2,12,24,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999
9,200.010307,200.0104203293296,200.01040829326908,888040.9,-9999,736350.3,14.66,-1,0.06017717091745248,0.9993431371709686,0.9897938515900496,0.995523422938601,5,1.1428571428571428,0.5714285714285714,13C1 S1 O4,de-protonated,1,7,C7 H8 O4 S1 13C1,7,8,4,-9999,-9999,1,1,-9999,-9999,-9999
9,200.010307,200.0104203293296,200.01040829326908,888040.9,-9999,736350.3,14.66,-1,0.06017717091745248,0.9993431371709686,0.9898508222475094,0.9955462112015848,5,1.1428571428571428,0.5714285714285714,13C1 S1 O4,de-protonated,1,6,C7 H8 O4 S1 13C1,7,8,4,-9999,-9999,1,1,-9999,-9999,-9999
15,205.159491,205.1596009009284,205.15978887630908,18392450,-9999,794768.6,340.73,-1,-0.9162389067498464,0.9293280947329854,0.9916933907009952,0.9542742131201892,4,1.5714285714285714,0.07142857142857142,O1,de-protonated,0,-9999,C14 H22 O1,14,22,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999
16,205.159677,205.15978690080456,205.15978887630908,18911618,-9999,671084.6,350.4,-1,-0.00962910192160145,0.9999651205560428,0.9950076938323515,0.9979821498665664,4,1.5714285714285714,0.07142857142857142,O1,de-protonated,0,-9999,C14 H22 O1,14,22,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999
21,206.162861,206.16297023287015,206.1631437113791,2839925.8,-9999,871779.1,50.8,-1,0.01708051758683858,0.9999470648208733,0.9916933907009952,0.996645595172922,4,1.6923076923076923,0.07692307692307693,13C1 O1,de-protonated,1,15,C13 H22 O1 13C1,13,22,1,-9999,-9999,-9999,1,-9999,-9999,-9999
21,206.162861,206.16297023287015,206.1631437113791,2839925.8,-9999,871779.1,50.8,-1,0.01708051758683858,0.9999470648208733,0.9950076938323515,0.9979713164254644,4,1.6923076923076923,0.07692307692307693,13C1 O1,de-protonated,1,16,C13 H22 O1 13C1,13,22,1,-9999,-9999,-9999,1,-9999,-9999,-9999
22,206.163038,206.1631472327523,206.1631437113791,2989493.8,-9999,694038.1,53.57,-1,0.01708051758683858,0.9999470648208733,0.9916933907009952,0.996645595172922,4,1.6923076923076923,0.07692307692307693,13C1 O1,de-protonated,1,15,C13 H22 O1 13C1,13,22,1,-9999,-9999,-9999,1,-9999,-9999,-9999
