Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,33S,34S
3,265.155539,265.1557325809278,265.1557661243091,2187767,-9999,548048.7,36.4,-1,-0.12650443838433156,0.9971004209283648,0,0.598260252557019,5,1.5714285714285714,0.21428571428571427,N2 O3,de-protonated,0,-9999,C14 H22 O3 N2,14,22,3,2,-9999,-9999,-9999,N/A,-9999,N/A
5,267.095135,267.0953278173588,267.0954917979391,970132.1,-9999,586832.8,15.02,-1,-0.6139399028363028,0.9338942789980124,0,0.5603365673988074,1,2.5,0.25,N4 S2 O2,de-protonated,0,-9999,C8 H20 O2 N4 S2,8,20,2,4,-9999,2,-9999,N/A,-9999,N/A
10,277.079615,277.07980388672587,277.0798417334791,836461.6,-9999,752701.7,12.53,-1,-0.13659150731884143,0.996620392109554,0,0.5979722352657324,3,2,0.2222222222222222,N4 S2 O2,de-protonated,0,-9999,C9 H18 O2 N4 S2,9,18,2,4,-9999,2,-9999,N/A,-9999,N/A
11,279.095239,279.0954270932266,279.0954917979391,1161267.4,-9999,645430.5,18.07,-1,-0.23183718256763827,0.9902948113456616,0,0.594176886807397,2,2.2222222222222223,0.2222222222222222,N4 S2 O2,de-protonated,0,-9999,C9 H20 O2 N4 S2,9,20,2,4,-9999,2,-9999,N/A,-9999,N/A
12,279.13164,279.13182807889643,279.1318773072891,949302.9,-9999,649665.9,14.4,-1,-0.17636248899780513,0.994372165429907,0,0.5966232992579442,1,2.4,0.1,N4 S2 O1,de-protonated,0,-9999,C10 H24 O1 N4 S2,10,24,1,4,-9999,2,-9999,N/A,-9999,N/A
13,281.074525,281.0747123140326,281.07475635304905,1068786.1,-9999,652275.1,16.47,-1,-0.15668079568602838,0.9955555454230968,0,0.597333327253858,2,2.25,0.375,N4 S2 O3,de-protonated,0,-9999,C8 H18 O3 N4 S2,8,18,3,4,-9999,2,-9999,N/A,-9999,N/A
14,281.110949,281.11113629969344,281.11114186239905,1708021.5,-9999,566669.6,27.51,-1,-0.0197882786611184,0.999928951578281,0,0.5999573709469685,1,2.4444444444444446,0.2222222222222222,N4 S2 O2,de-protonated,0,-9999,C9 H22 O2 N4 S2,9,22,2,4,-9999,2,-9999,N/A,-9999,N/A
15,283.090209,283.0903955205097,283.0904064175091,1654449.5,-9999,582857.6,26.44,-1,-0.03849300140875708,0.9997311815951307,0,0.5998387089570785,1,2.5,0.375,N4 S2 O3,de-protonated,0,-9999,C8 H20 O3 N4 S2,8,20,3,4,-9999,2,-9999,N/A,-9999,N/A
20,285.134027,285.13421271591113,285.13436197415905,8250993,-9999,597207.5,139.8,-1,-0.5234663647078157,0.9522156809783716,0.994381566762497,0.9690820352920216,4,1.5714285714285714,0.42857142857142855,O6,de-protonated,0,-9999,C14 H22 O6,14,22,6,-9999,-9999,-9999,-9999,N/A,-9999,N/A
21,286.137384,286.13756932091525,286.1377168092291,1188302.5,-9999,702564.8,18.42,-1,-0.5154452042041269,0.9529355854448638,0.994381566762497,0.9695139779719172,4,1.6923076923076923,0.4615384615384616,13C1 O6,de-protonated,1,20,C13 H22 O6 13C1,13,22,6,-9999,-9999,-9999,1,N/A,-9999,N/A
