Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,34S
0,269.132851,269.13292710256974,269.1329226791391,848257.1,-9999,681237.9,12.87,-1,0.01643585856700071,0.999950985116417,0,0.5999705910698502,4,1.6923076923076923,0.15384615384615383,N2 S1 O2,de-protonated,0,-9999,C13 H22 O2 N2 S1,13,22,2,2,-9999,1,-9999,-9999
20,297.155274,297.1553445050617,297.1554913422191,1557104,-9999,694318.4,24.48,-1,-0.4941425000244427,0.9566615938923516,0,0.573996956335411,0,2.1666666666666665,0.6666666666666666,O8,de-protonated,0,-9999,C12 H26 O8,12,26,8,-9999,-9999,-9999,-9999,-9999
41,311.171067,311.17113470539243,311.17114140667906,6100173,-9999,340980.4,100.47,-1,-0.02153569444842329,0.9986669189012928,0.9489279221901772,0.9787713202168468,0,2.1538461538461537,0.6153846153846154,O8,de-protonated,0,-9999,C13 H28 O8,13,28,8,-9999,-9999,-9999,-9999,-9999
42,312.174466,312.1745335049625,312.17449624174907,1288101,-9999,364764.2,19.52,-1,0.11936661662971214,0.9974179876467824,0.9489279221901772,0.9780219614641404,0,2.3333333333333335,0.6666666666666666,13C1 O8,de-protonated,1,41,C12 H28 O8 13C1,12,28,8,-9999,-9999,-9999,1,-9999
53,321.027906,321.0279717364786,321.0281966269091,1049974.3,-9999,550529.5,15.44,-1,-0.7005317067627008,0.9148044283307408,0,0.5488826569984445,10,0.8461538461538461,0.4615384615384616,N2 P1 O6,de-protonated,0,-9999,C13 H11 O6 N2 P1,13,11,6,2,1,-9999,-9999,-9999
58,323.043484,323.0435493338648,323.0438466913691,2278733.5,-9999,411491.4,35.39,-1,-0.9204865139073888,0.8574943908112381,0,0.5144966344867429,9,1,0.4615384615384616,N2 P1 O6,de-protonated,0,-9999,C13 H13 O6 N2 P1,13,13,6,2,1,-9999,-9999,-9999
61,323.116251,323.11631631932954,323.1166177100691,3085141.5,-9999,342045.2,48.6,-1,-0.9327614954409172,0.8539622053769407,0,0.5123773232261644,7,1.4,0.26666666666666666,N2 P1 O4,de-protonated,0,-9999,C15 H21 O4 N2 P1,15,21,4,2,1,-9999,-9999,-9999
64,325.059123,325.05918793123885,325.0594967558291,3500846.3,-9999,351547.5,55.41,-1,-0.9500555847323326,0.8489316495393786,0,0.5093589897236271,8,1.1538461538461535,0.4615384615384616,N2 P1 O6,de-protonated,0,-9999,C13 H15 O6 N2 P1,13,15,6,2,1,-9999,-9999,-9999
65,325.095507,325.09557192397114,325.0958822651791,5820722.5,-9999,362760,93.42,-1,-0.9546143919626232,0.4237975955739818,0.8684926696514785,0.6016756252049804,7,1.3571428571428572,0.35714285714285715,N2 P1 O5,de-protonated,0,-9999,C14 H19 O5 N2 P1,14,19,5,2,1,-9999,-9999,-9999
67,325.131975,325.1320399166866,325.13226777452905,2297590.8,-9999,320400.9,35.69,-1,-0.7008158372168217,0.914738339199862,0,0.5488430035199172,6,1.5333333333333334,0.26666666666666666,N2 P1 O4,de-protonated,0,-9999,C15 H23 O4 N2 P1,15,23,4,2,1,-9999,-9999,-9999
