Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,18O,33S,34S
54,307.118713,307.11870700004937,307.1187119096991,979612.4,-9999,780250.8,14.43,-1,-0.01598616272238305,0.9999536305208468,0,0.599972178312508,7,1.25,0.375,O6,de-protonated,0,-9999,C16 H20 O6,16,20,6,-9999,-9999,-9999,-9999,N/A,-9999,N/A
55,309.098001,309.09799495674156,309.0979764648091,1536043.1,-9999,618136.5,23.75,-1,0.05982547237146175,0.9993507901673978,0,0.5996104741004387,7,1.2,0.4666666666666667,O7,de-protonated,0,-9999,C15 H18 O7,15,18,7,-9999,-9999,-9999,-9999,N/A,-9999,N/A
55,309.098001,309.09799495674156,309.09781427347906,1536043.1,-9999,618136.5,23.75,-1,0.5845504372911954,0.939882065854204,0,0.5639292395125224,2,2.3,0.1,N4 S2 P1 O1,de-protonated,0,-9999,C10 H23 O1 N4 P1 S2,10,23,1,4,1,2,-9999,N/A,-9999,N/A
56,309.09856,309.09855395672935,309.0988458446791,1167915.3,-9999,871112.5,17.58,-1,-0.9443191188412222,0.8506072292667672,0,0.5103643375600603,6,1.375,0.125,S2 O2,de-protonated,0,-9999,C16 H22 O2 S2,16,22,2,-9999,-9999,2,-9999,N/A,-9999,N/A
57,311.077272,311.07726591343413,311.0772410199191,1150399.5,-9999,716972.8,17.29,-1,0.08002358181210782,0.9988387184943376,0,0.5993032310966026,7,1.1428571428571428,0.5714285714285714,O8,de-protonated,0,-9999,C14 H16 O8,14,16,8,-9999,-9999,-9999,-9999,N/A,-9999,N/A
57,311.077272,311.07726591343413,311.0770788285891,1150399.5,-9999,716972.8,17.29,-1,0.6014099326846636,0.9364783416295752,0,0.5618870049777451,2,2.3333333333333335,0.2222222222222222,N4 S2 P1 O2,de-protonated,0,-9999,C9 H21 O2 N4 P1 S2,9,21,2,4,1,2,-9999,N/A,-9999,N/A
58,311.113676,311.1136699126376,311.1136265292691,1290178.4,-9999,652153.8,19.63,-1,0.1394454141738777,0.9964779430690984,0,0.5978867658414591,6,1.3333333333333333,0.4666666666666667,O7,de-protonated,0,-9999,C15 H20 O7,15,20,7,-9999,-9999,-9999,-9999,N/A,-9999,N/A
58,311.113676,311.1136699126376,311.1134643379391,1290178.4,-9999,652153.8,19.63,-1,0.6607708185673765,0.9238331695576696,0,0.5542999017346016,1,2.5,0.1,N4 S2 P1 O1,de-protonated,0,-9999,C10 H25 O1 N4 P1 S2,10,25,1,4,1,2,-9999,N/A,-9999,N/A
59,311.114241,311.1142349126252,311.11449590913907,845762.4,-9999,902238.7,12.19,-1,-0.8389082389441218,0.8801194838063955,0,0.5280716902838373,5,1.5,0.125,S2 O2,de-protonated,0,-9999,C16 H24 O2 S2,16,24,2,-9999,-9999,2,-9999,N/A,-9999,N/A
60,311.168638,311.168631911435,311.16863948322913,3279814.5,-9999,651041.5,52.95,-1,-0.02433341014427103,0.999892567309763,0,0.5999355403858577,4,1.6470588235294117,0.17647058823529413,S1 O3,de-protonated,0,-9999,C17 H28 O3 S1,17,28,3,-9999,-9999,1,-9999,N/A,-9999,N/A
