Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,17O,18O,34S
3,205.159779,205.15987604548923,205.15978887630908,3091116.5,-9999,631742.9,55.87,-1,0.42488433345188065,0.9677743465190008,0,0.5806646079114005,4,1.5714285714285714,0.07142857142857142,O1,de-protonated,0,-9999,C14 H22 O1,14,22,1,-9999,-9999,-9999,-9999,N/A,-9999,-9999
35,239.129033,239.1291167474089,239.12888267055905,1028702.9,-9999,750499.5,16.5,-1,0.9788731799902772,0.8404121883327821,0,0.5042473129996692,4,1.5384615384615383,0.3076923076923077,O4,de-protonated,0,-9999,C13 H20 O4,13,20,4,-9999,-9999,-9999,-9999,N/A,-9999,-9999
37,249.149551,249.14963082463643,249.14961811544907,1171768.5,-9999,648950,18.82,-1,0.05101026224939392,0.999527973456083,0,0.5997167840736498,5,1.4666666666666666,0.2,O3,de-protonated,0,-9999,C15 H22 O3,15,22,3,-9999,-9999,-9999,-9999,N/A,-9999,-9999
39,253.144642,253.1447202606621,253.14453273501908,2099935,-9999,567133.7,35.16,-1,0.7407848828014605,0.905224601142933,0,0.5431347606857598,4,1.5714285714285714,0.2857142857142857,O4,de-protonated,0,-9999,C14 H22 O4,14,22,4,-9999,-9999,-9999,-9999,N/A,-9999,-9999
43,255.232939,255.23301644314807,255.2329538181791,8558037,-9999,516456.6,148.8,-1,0.2453639627048789,0.993677322653409,0.9937353780048368,0.9937005447939802,1,2,0.125,O2,de-protonated,0,-9999,C16 H32 O2,16,32,2,-9999,-9999,-9999,-9999,N/A,-9999,-9999
46,256.236257,256.2363340503752,256.23630865324907,1555302.6,-9999,573951,25.4,-1,0.09911603187984748,0.9982190381218669,0.9937353780048368,0.9964255740750548,1,2.1333333333333333,0.13333333333333333,13C1 O2,de-protonated,1,43,C15 H32 O2 13C1,15,32,2,-9999,-9999,-9999,1,N/A,-9999,-9999
88,265.147984,265.1480575616656,265.14790403833905,6141071.5,-9999,352673.4,104.29,-1,0.579010145740152,0.9616834703817888,0.9831925373346228,0.9702870971629224,0,2.1666666666666665,0.3333333333333333,S1 O4,de-protonated,0,-9999,C12 H26 O4 S1,12,26,4,-9999,-9999,1,-9999,N/A,-9999,-9999
90,266.151269,266.1513421689056,266.15125887340906,931339.1,-9999,502043.8,14.13,-1,0.31296300045436076,0.9823848492045844,0.9831925373346228,0.9827079244565996,0,2.363636363636364,0.3636363636363637,13C1 S1 O4,de-protonated,1,88,C11 H26 O4 S1 13C1,11,26,4,-9999,-9999,1,1,N/A,-9999,-9999
92,267.087323,267.0873958024648,267.08741178077906,922620.6,-9999,776352,13.97,-1,-0.05982428803221411,0.999350815863056,0,0.5996104895178336,6,1.2307692307692308,0.4615384615384616,O6,de-protonated,0,-9999,C13 H16 O6,13,16,6,-9999,-9999,-9999,-9999,N/A,-9999,-9999
93,269.131127,269.1311990023686,269.1312051460991,2983918.8,-9999,505281.6,49.33,-1,-0.02282801245133242,0.9999054482661168,0,0.59994326895967,4,1.6428571428571428,0.21428571428571427,P1 O3,de-protonated,0,-9999,C14 H23 O3 P1,14,23,3,-9999,1,-9999,-9999,N/A,-9999,-9999
97,277.071721,277.0717898938324,277.0717617163191,1091100,-9999,553128.9,16.66,-1,0.10169752814817368,0.9981251471599564,0,0.5988750882959739,8,1,0.42857142857142855,O6,de-protonated,0,-9999,C14 H14 O6,14,14,6,-9999,-9999,-9999,-9999,N/A,-9999,-9999
99,277.072486,277.0725548935329,277.07263109618907,845404.1,-9999,657198.4,12.46,-1,-0.27502772772817435,0.9863689318014034,0,0.591821359080842,7,1.2,0.06666666666666667,S2 O1,de-protonated,0,-9999,C15 H18 O1 S2,15,18,1,-9999,-9999,2,-9999,N/A,-9999,-9999
100,277.108096,277.1081648795925,277.1081472256691,945311.8,-9999,482519.8,14.17,-1,0.06370770251371255,0.9992638305194482,0,0.599558298311669,7,1.2,0.3333333333333333,O5,de-protonated,0,-9999,C15 H18 O5,15,18,5,-9999,-9999,-9999,-9999,N/A,-9999,-9999
103,279.087428,279.0874961047354,279.08741178077906,1165997.4,-9999,563639.3,17.81,-1,0.30214174048795683,0.983572051362431,0,0.5901432308174586,7,1.1428571428571428,0.42857142857142855,O6,de-protonated,0,-9999,C14 H16 O6,14,16,6,-9999,-9999,-9999,-9999,N/A,-9999,-9999
104,279.123971,279.1240390904298,279.12379729012906,932785.1,-9999,518825.5,13.86,-1,0.8662833591236643,0.8726963593027973,0,0.5236178155816784,6,1.3333333333333333,0.3333333333333333,O5,de-protonated,0,-9999,C15 H20 O5,15,20,5,-9999,-9999,-9999,-9999,N/A,-9999,-9999
105,279.163422,279.1634900749858,279.1635541027991,847925.2,-9999,714977.4,12.41,-1,-0.22935591815414105,0.9905004568736115,0,0.5943002741241669,0,2.1538461538461537,0.3076923076923077,S1 O4,de-protonated,0,-9999,C13 H28 O4 S1,13,28,4,-9999,-9999,1,-9999,N/A,-9999,-9999
106,281.103145,281.1032123156346,281.1030618452391,1197850.5,-9999,372562.2,18.35,-1,0.5352855088909674,0.9493377937958764,0,0.5696026762775258,6,1.2857142857142858,0.42857142857142855,O6,de-protonated,0,-9999,C14 H18 O6,14,18,6,-9999,-9999,-9999,-9999,N/A,-9999,-9999
108,283.070934,283.0710005452964,283.0709308197291,938047.3,-9999,582031.6,13.84,-1,0.24631835949535327,0.989051389220697,0,0.5934308335324182,1,2.3333333333333335,0.2222222222222222,N2 S2 P1 O2,de-protonated,0,-9999,C9 H21 O2 N2 P1 S2,9,21,2,2,1,2,-9999,N/A,-9999,-9999
109,283.08219,283.08225654088994,283.0823264003491,875072.4,-9999,577825.1,12.78,-1,-0.24678142227959252,0.9890104123888168,0,0.5934062474332901,6,1.2307692307692308,0.5384615384615384,O7,de-protonated,0,-9999,C13 H16 O7,13,16,7,-9999,-9999,-9999,-9999,N/A,-9999,-9999
111,283.118642,283.1187085266199,283.1187119096991,1149124,-9999,711577.5,17.4,-1,-0.01194933085839808,0.9999740919113274,0,0.5999844551467964,5,1.4285714285714286,0.42857142857142855,O6,de-protonated,0,-9999,C14 H20 O6,14,20,6,-9999,-9999,-9999,-9999,N/A,-9999,-9999
113,283.264139,283.2642054696616,283.26425394709906,4201426.5,-9999,342364.8,68.86,-1,-0.17113856336811772,0.9835350176705636,0.9889580887689732,0.9857042461099276,1,2,0.1111111111111111,O2,de-protonated,0,-9999,C18 H36 O2,18,36,2,-9999,-9999,-9999,-9999,N/A,-9999,-9999
115,284.267431,284.26749707689885,284.2676087821691,885045.4,-9999,487996,12.95,-1,-0.39295813795658696,0.9723702823337682,0.9889580887689732,0.9790054049078504,1,2.1176470588235294,0.1176470588235294,13C1 O2,de-protonated,1,113,C17 H36 O2 13C1,17,36,2,-9999,-9999,-9999,1,N/A,-9999,-9999
117,285.06832000000003,285.0683857633716,285.0686048882591,1061635.9,-9999,540463.3,15.92,-1,-0.7686742197967009,0.8983363008200997,0,0.5390017804920598,10,0.9375,0.1875,P1 O3,de-protonated,0,-9999,C16 H15 O3 P1,16,15,3,-9999,1,-9999,-9999,N/A,-9999,-9999
118,285.097958,285.0980237517691,285.0979764648091,889734.8,-9999,529259.9,13.03,-1,0.16586213833579358,0.9950207392941548,0,0.5970124435764929,5,1.3846153846153846,0.5384615384615384,O7,de-protonated,0,-9999,C13 H18 O7,13,18,7,-9999,-9999,-9999,-9999,N/A,-9999,-9999
120,285.126033,285.1260987407785,285.1261197656691,4344457.5,-9999,422312.1,71.27,-1,-0.07373891461558693,0.999013872461656,0,0.5994083234769936,4,1.6428571428571428,0.2857142857142857,P1 O4,de-protonated,0,-9999,C14 H23 O4 P1,14,23,4,-9999,1,-9999,-9999,N/A,-9999,-9999
122,286.129524,286.12958934793784,286.1296109463591,898219.2,-9999,460987.3,13.17,-1,-0.07548474687570753,0.9989666492751558,0,0.5993799895650934,4,1.6153846153846154,0.4615384615384616,N1 O6,de-protonated,0,-9999,C13 H21 O6 N1,13,21,6,1,-9999,-9999,-9999,N/A,-9999,-9999
