Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,18O,34S
2,205.159706,205.15984665651467,205.15978887630908,814529.5,-9999,672134.5,13.25,-1,0.28163513869261353,0.9857108621372744,0,0.5914265172823646,4,1.5714285714285714,0.07142857142857142,O1,de-protonated,0,-9999,C14 H22 O1,14,22,1,-9999,-9999,-9999,-9999,N/A,N/A,N/A
11,239.074852,239.07496310800695,239.07473909646907,821729.6,-9999,723556.6,12.79,-1,0.9369937565453372,0.8527369180593324,0,0.5116421508355994,5,1.3333333333333333,0.25,S1 O3,de-protonated,0,-9999,C12 H16 O3 S1,12,16,3,-9999,-9999,1,-9999,N/A,N/A,N/A
12,239.128816,239.12892706099092,239.12888267055905,4098922.8,-9999,629317.4,71.77,-1,0.18563391996595133,0.9937667944661722,0,0.5962600766797033,4,1.5384615384615383,0.3076923076923077,O4,de-protonated,0,-9999,C13 H20 O4,13,20,4,-9999,-9999,-9999,-9999,N/A,N/A,N/A
14,241.136384,241.13649331190103,241.13629052652908,2163389.8,-9999,770899.3,36.79,-1,0.8409574996412285,0.8795699029246536,0,0.5277419417547922,3,1.7692307692307692,0.15384615384615383,P1 O2,de-protonated,0,-9999,C13 H23 O2 P1,13,23,2,-9999,1,-9999,-9999,N/A,N/A,N/A
16,241.144439,241.14454830488316,241.14453273501908,998207.1,-9999,754536.5,15.9,-1,0.0645665232330553,0.999243856219331,0,0.5995463137315986,3,1.6923076923076923,0.3076923076923077,O4,de-protonated,0,-9999,C13 H22 O4,13,22,4,-9999,-9999,-9999,-9999,N/A,N/A,N/A
17,242.176095,242.1762034060548,242.1761672165691,2011628.1,-9999,721940.1,34.07,-1,0.1494345463456458,0.9959563245512308,0,0.5975737947307385,2,1.9230769230769231,0.2307692307692308,N1 O3,de-protonated,0,-9999,C13 H25 O3 N1,13,25,3,1,-9999,-9999,-9999,N/A,N/A,N/A
19,243.160061,243.16016854877623,243.16018279947903,848976.1,-9999,837774.2,13.17,-1,-0.05860623495346888,0.999376974032241,0,0.5996261844193446,2,1.8461538461538465,0.3076923076923077,O4,de-protonated,0,-9999,C13 H24 O4,13,24,4,-9999,-9999,-9999,-9999,N/A,N/A,N/A
20,245.048904,245.0490099031253,245.0489182711491,834856.1,-9999,626348.4,12.91,-1,0.3739334041977152,0.974947867516128,0,0.5849687205096769,4,1.4,0.5,S1 O5,de-protonated,0,-9999,C10 H14 O5 S1,10,14,5,-9999,-9999,1,-9999,N/A,N/A,N/A
22,249.149522,249.1496243304695,249.14961811544907,2379484.8,-9999,727843.1,40.33,-1,0.02494493255537032,0.9998870999902862,0,0.5999322599941718,5,1.4666666666666666,0.2,O3,de-protonated,0,-9999,C15 H22 O3,15,22,3,-9999,-9999,-9999,-9999,N/A,N/A,N/A
24,253.144453,253.1445518498933,253.14453273501908,8284996,-9999,591360.4,144.84,-1,0.07550972566473778,0.9975215599718836,0.9900037392205604,0.9945144316713544,4,1.5714285714285714,0.2857142857142857,O4,de-protonated,0,-9999,C14 H22 O4,14,22,4,-9999,-9999,-9999,-9999,N/A,N/A,N/A
25,254.147827,254.1479249757056,254.14788757008907,1365593,-9999,683417.4,22.1,-1,0.14718051321160472,0.9960771543237754,0.9900037392205604,0.9936477882824896,4,1.6923076923076923,0.3076923076923077,13C1 O4,de-protonated,1,24,C13 H22 O4 13C1,13,22,4,-9999,-9999,-9999,1,N/A,N/A,N/A
26,255.123729,255.1238261254528,255.12379729012903,924071.9,-9999,800633.8,14.3,-1,0.1130248296097636,0.9976847477553692,0,0.5986108486532215,4,1.5384615384615383,0.38461538461538464,O5,de-protonated,0,-9999,C13 H20 O5,13,20,5,-9999,-9999,-9999,-9999,N/A,N/A,N/A
