Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,17O,18O,33S,34S,36S
4,163.018069,163.0181950233485,163.0182868474891,750660.4,-9999,1568675.2,12.31,-1,-0.5632750923743656,0.9440559676383596,0,0.5664335805830157,2,2,0.75,N2 S1 O3,de-protonated,0,-9999,C4 H8 O3 N2 S1,4,8,3,2,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999
5,163.018212,163.01833802325743,163.0182868474891,912974.4,-9999,1683768.9,15.41,-1,0.3139265497373934,0.98227718368323,0,0.5893663102099379,2,2,0.75,N2 S1 O3,de-protonated,0,-9999,C4 H8 O3 N2 S1,4,8,3,2,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999
102,220.018359,220.01844870945436,220.0186212001191,1636880.8,-9999,978779.7,27.94,-1,-0.7839821184105333,0.8944704281045216,0,0.536682256862713,8,0.7777777777777778,0.2222222222222222,N3 S1 O2,de-protonated,0,-9999,C9 H7 O2 N3 S1,9,7,2,3,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999
107,220.020353,220.020442708184,220.02027497039907,3899633,-9999,487768.1,69.29,-1,0.7623742172992266,0.8999099304801331,0,0.5399459582880799,3,1.7142857142857142,0.42857142857142855,N1 S1 P1 O3,de-protonated,0,-9999,C7 H12 O3 N1 P1 S1,7,12,3,1,1,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999
140,223.02453,223.02461779427503,223.02481152293907,1113546.3,-9999,714365,18.3,-1,-0.8686417564610477,0.8720486897260311,0,0.5232292138356186,7,0.8,0.6,O6,de-protonated,0,-9999,C10 H8 O6,10,8,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
152,233.154453,233.15453434067717,233.15470349587903,4023889.5,-9999,605645.3,70.52,-1,-0.7255062813679298,0.9089118036670352,0,0.545347082200221,5,1.4666666666666666,0.13333333333333333,O2,de-protonated,0,-9999,C15 H22 O2,15,22,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
156,239.092252,239.0923295578086,239.09249716120908,2372665.3,-9999,641543.3,40.44,-1,-0.7009981596013354,0.914695919164698,0,0.5488175514988187,5,1.3333333333333333,0.4166666666666667,O5,de-protonated,0,-9999,C12 H16 O5,12,16,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
158,239.128633,239.1287105346309,239.12888267055905,4462655,-9999,540237,77.81,-1,-0.7198458263629548,0.9102620809722244,0,0.5461572485833346,4,1.5384615384615383,0.3076923076923077,O4,de-protonated,0,-9999,C13 H20 O4,13,20,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
164,241.13601,241.1360862557659,241.13629052652908,4009999,-9999,566688.5,69.44,-1,-0.8471174651707729,0.8779119028245692,0,0.5267471416947415,3,1.7692307692307692,0.15384615384615383,P1 O2,de-protonated,0,-9999,C13 H23 O2 P1,13,23,2,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
165,241.136247,241.1363232556149,241.13629052652908,3740687,-9999,502793.4,64.64,-1,0.13572857805594712,0.9966628880776804,0,0.5979977328466083,3,1.7692307692307692,0.15384615384615383,P1 O2,de-protonated,0,-9999,C13 H23 O2 P1,13,23,2,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
