Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S
12,281.066704,281.066703310816,281.06651414455905,1138953.6,-9999,590431.8,17.63,-1,0.6730302168831174,0.9210962409180526,0,0.5526577445508316,2,2.375,0.125,N4 S2 P1 O1,de-protonated,0,N/A,C8 H19 O1 N4 P1 S2,8,19,1,4,1,2
13,281.103037,281.1030363107672,281.1030618452391,814348.8,-9999,569825,12.03,-1,-0.09083669071552251,0.9985039318871952,0,0.5991023591323171,6,1.2857142857142858,0.42857142857142855,O6,de-protonated,0,N/A,C14 H18 O6,14,18,6,-9999,-9999,-9999
14,283.045913,283.04591230815856,283.0459408909991,1169840.3,-9999,623655,18.06,-1,-0.10098304333217133,0.9981513742227132,0,0.598890824533628,7,1,0.6666666666666666,O8,de-protonated,0,N/A,C12 H12 O8,12,12,8,-9999,-9999,-9999
14,283.045913,283.04591230815856,283.0457786996691,1169840.3,-9999,623655,18.06,-1,0.47203844583450955,0.9603759566316828,0,0.5762255739790096,2,2.4285714285714284,0.2857142857142857,N4 S2 P1 O2,de-protonated,0,N/A,C7 H17 O2 N4 P1 S2,7,17,2,4,1,2
15,283.082308,283.08230730810976,283.0823264003491,1459891.3,-9999,616899.7,23.03,-1,-0.06744412325503678,0.9991749831030774,0,0.5995049898618464,6,1.2307692307692308,0.5384615384615384,O7,de-protonated,0,N/A,C13 H16 O7,13,16,7,-9999,-9999,-9999
16,283.118733,283.1187323080608,283.1187119096991,1101110.4,-9999,675837.3,16.88,-1,0.07204879401180486,0.9990585381120076,0,0.5994351228672046,5,1.4285714285714286,0.42857142857142855,O6,de-protonated,0,N/A,C14 H20 O6,14,20,6,-9999,-9999,-9999
17,285.061595,285.0615943054523,285.06159095545905,1627734.5,-9999,602663.1,25.91,-1,0.01175182251057566,0.9999749412828528,0,0.5999849647697116,6,1.1666666666666667,0.6666666666666666,O8,de-protonated,0,N/A,C12 H14 O8,12,14,8,-9999,-9999,-9999
18,285.097992,285.09799130540335,285.0979764648091,1444441.5,-9999,666640.2,22.76,-1,0.05205436541800994,0.9995084571512104,0,0.5997050742907262,5,1.3846153846153846,0.5384615384615384,O7,de-protonated,0,N/A,C13 H18 O7,13,18,7,-9999,-9999,-9999
19,285.12613700000003,285.1261363053656,285.1261197656691,2247643.8,-9999,667732.9,36.53,-1,0.05800835264286794,0.999389617159208,0,0.5996337702955248,4,1.6428571428571428,0.2857142857142857,P1 O4,de-protonated,0,N/A,C14 H23 O4 P1,14,23,4,-9999,1,-9999
20,287.040897,287.0408963027947,287.0408555105691,822775.1,-9999,843505.9,12.04,-1,0.14211295995454293,0.9963421516722036,0,0.5978052910033222,6,1.0909090909090908,0.8181818181818182,O9,de-protonated,0,N/A,C11 H12 O9,11,12,9,-9999,-9999,-9999
