Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,34S
6,265.107859,265.1079135785366,265.1081472256691,1403170,-9999,539939.9,22.41,-1,-0.8813276200908783,0.8685430228581308,0,0.5211258137148784,6,1.2857142857142858,0.35714285714285715,O5,de-protonated,0,-9999,C14 H18 O5,14,18,5,-9999,-9999,-9999,-9999,-9999
7,265.14763,265.14768455794916,265.14790403833905,6002086.5,-9999,487706.1,102.41,-1,-0.8277658866790759,0.8830901575065956,0,0.5298540945039574,0,2.1666666666666665,0.3333333333333333,S1 O4,de-protonated,0,-9999,C12 H26 O4 S1,12,26,4,-9999,-9999,1,-9999,-9999
7,265.14763,265.14768455794916,265.1475239158191,6002086.5,-9999,487706.1,102.41,-1,0.6058594389683607,0.940398517921616,0.9908801046314796,0.9605911526055616,5,1.6428571428571428,0.07142857142857142,N2 P1 O1,de-protonated,0,-9999,C14 H23 O1 N2 P1,14,23,1,2,1,-9999,-9999,-9999
8,266.150973,266.15102703856877,266.1508787508891,837020.8,-9999,555594.4,12.56,-1,0.5571564534166131,0.9452310325777484,0.9908801046314796,0.9634906613992408,5,1.7692307692307692,0.07692307692307693,13C1 N2 P1 O1,de-protonated,1,7,C13 H23 O1 N2 P1 13C1,13,23,1,2,1,-9999,1,-9999
8,266.150973,266.15102703856877,266.15101509650907,837020.8,-9999,555594.4,12.56,-1,0.04486948770757629,0.999634761350962,0,0.5997808568105771,5,1.6153846153846154,0.2307692307692308,N3 O3,de-protonated,0,-9999,C13 H21 O3 N3,13,21,3,3,-9999,-9999,-9999,-9999
9,267.050691,267.05074457282973,267.0508640800991,959748.7,-9999,657715.8,14.69,-1,-0.4475075179327683,0.9643148263044378,0,0.5785888957826626,2,2.4285714285714284,0.14285714285714285,N4 S2 P1 O1,de-protonated,0,-9999,C7 H17 O1 N4 P1 S2,7,17,1,4,1,2,-9999,-9999
10,267.086451,267.08650455431865,267.0863802095791,924872.8,-9999,580664.9,14.08,-1,0.4655600164386493,0.9614350178725124,0,0.5768610107235074,2,2.4285714285714284,0.7142857142857143,N4 P1 O5,de-protonated,0,-9999,C7 H17 O5 N4 P1,7,17,5,4,1,-9999,-9999,-9999
13,269.066358,269.0664105294199,269.0666763358891,1243751.6,-9999,581335.2,19.51,-1,-0.9878832742169836,0.8377142745844907,0,0.5026285647506944,6,1.1666666666666667,0.5833333333333334,O7,de-protonated,0,-9999,C12 H14 O7,12,14,7,-9999,-9999,-9999,-9999,-9999
15,269.102769,269.1028215105718,269.1030618452391,1532139.8,-9999,616542.8,24.5,-1,-0.8930952537231042,0.8652585251321535,0,0.5191551150792921,5,1.3846153846153846,0.4615384615384616,O6,de-protonated,0,-9999,C13 H18 O6,13,18,6,-9999,-9999,-9999,-9999,-9999
17,269.130918,269.1309704960005,269.1312051460991,1342830.9,-9999,526412.8,21.22,-1,-0.8718799385512918,0.8711573295660838,0,0.5226943977396503,4,1.6428571428571428,0.21428571428571427,P1 O3,de-protonated,0,-9999,C14 H23 O3 P1,14,23,3,-9999,1,-9999,-9999,-9999
