Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,33S,34S
131,309.025003,309.0250300190972,309.02520544610906,905317.6,-9999,717342.7,12.63,-1,-0.5676786513736858,0.9432032524064436,0,0.5659219514438661,9,0.7692307692307693,0.6923076923076923,O9,de-protonated,0,-9999,C13 H10 O9,13,10,9,-9999,-9999,-9999,-9999,N/A,-9999
131,309.025003,309.0250300190972,309.02504325477906,905317.6,-9999,717342.7,12.63,-1,-0.04283045068878052,0.999667197301,0,0.5998003183806,4,1.875,0.375,N4 S2 P1 O3,de-protonated,0,-9999,C8 H15 O3 N4 P1 S2,8,15,3,4,1,2,-9999,N/A,-9999
132,309.02527,309.025297018501,309.02520544610906,889061.6,-9999,654089.6,12.37,-1,0.2963266113970104,0.9841933461166216,0,0.5905160076699728,9,0.7692307692307693,0.6923076923076923,O9,de-protonated,0,-9999,C13 H10 O9,13,10,9,-9999,-9999,-9999,-9999,N/A,-9999
132,309.02527,309.025297018501,309.02504325477906,889061.6,-9999,654089.6,12.37,-1,0.8211752655537806,0.8848332428006499,0,0.5308999456803899,4,1.875,0.375,N4 S2 P1 O3,de-protonated,0,-9999,C8 H15 O3 N4 P1 S2,8,15,3,4,1,2,-9999,N/A,-9999
133,309.061402,309.0614289378264,309.06159095545905,2384009.5,-9999,306509.7,36.41,-1,-0.5242244180068402,0.9513586686790756,0,0.5708152012074454,8,1,0.5714285714285714,O8,de-protonated,0,-9999,C14 H14 O8,14,14,8,-9999,-9999,-9999,-9999,N/A,-9999
133,309.061402,309.0614289378264,309.06142876412906,2384009.5,-9999,306509.7,36.41,-1,5.6201560059516e-4,0.999999942687341,0,0.5999999656124047,3,2.111111111111111,0.2222222222222222,N4 S2 P1 O2,de-protonated,0,-9999,C9 H19 O2 N4 P1 S2,9,19,2,4,1,2,-9999,N/A,-9999
134,309.096838,309.09686485870577,309.0969448936091,1457901.5,-9999,572504.2,21.52,-1,-0.2589313955633144,0.9879083862308012,0,0.5927450317384808,3,2.111111111111111,0.6666666666666666,N4 P1 O6,de-protonated,0,-9999,C9 H19 O6 N4 P1,9,19,6,4,1,-9999,-9999,N/A,-9999
135,309.097737,309.0977638566985,309.0979764648091,3581421.5,-9999,584882.6,55.67,-1,-0.6878340421982787,0.9177353527182656,0,0.5506412116309594,7,1.2,0.4666666666666667,O7,de-protonated,0,-9999,C15 H18 O7,15,18,7,-9999,-9999,-9999,-9999,N/A,-9999
135,309.097737,309.0977638566985,309.09781427347906,3581421.5,-9999,584882.6,55.67,-1,-0.16310946959413414,0.9951842454130836,0,0.5971105472478502,2,2.3,0.1,N4 S2 P1 O1,de-protonated,0,-9999,C10 H23 O1 N4 P1 S2,10,23,1,4,1,2,-9999,N/A,-9999
136,309.098146,309.09817285578526,309.0979764648091,3826157.5,-9999,497838.9,59.6,-1,0.6353680422086151,0.9293689396276842,0,0.5576213637766105,7,1.2,0.4666666666666667,O7,de-protonated,0,-9999,C15 H18 O7,15,18,7,-9999,-9999,-9999,-9999,N/A,-9999
137,309.134392,309.13441877485616,309.13436197415905,2505201.5,-9999,421409.8,38.36,-1,0.18374113038293124,0.9938928714328846,0,0.5963357228597308,6,1.375,0.375,O6,de-protonated,0,-9999,C16 H22 O6,16,22,6,-9999,-9999,-9999,-9999,N/A,-9999
140,311.040833,311.0408555182022,311.0408555105691,1538629.5,-9999,441069.6,22.81,-1,2.4540521541314085e-5,0.9999999998907247,0,0.5999999999344349,8,0.9230769230769232,0.6923076923076923,O9,de-protonated,0,-9999,C13 H12 O9,13,12,9,-9999,-9999,-9999,-9999,N/A,-9999
