Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C
0,295.082129,295.0821297119867,295.0823264003491,1024312.3,-9999,511289.5,15.42,-1,-0.6665541945292961,0.9225472800296648,0,0.5535283680177988,7,1.1428571428571428,0.5,O7,de-protonated,0,-9999,C14 H16 O7,14,16,7,-9999,-9999,-9999,-9999
0,295.082129,295.0821297119867,295.0821642090191,1024312.3,-9999,511289.5,15.42,-1,-0.1169065317610269,0.9975231882874592,0,0.5985139129724756,2,2.3333333333333335,0.1111111111111111,N4 S2 P1 O1,de-protonated,0,-9999,C9 H21 O1 N4 P1 S2,9,21,1,4,1,2,-9999
1,295.118468,295.1184687120586,295.1187119096991,1205562.5,-9999,725980.6,18.5,-1,-0.8240671657608362,0.8840696865957827,0,0.5304418119574695,6,1.3333333333333333,0.4,O6,de-protonated,0,-9999,C15 H20 O6,15,20,6,-9999,-9999,-9999,-9999
2,297.096959,297.09695971597534,297.0969448936091,934193.6,-9999,672832.5,13.81,-1,0.04989067212729565,0.9995484618293864,0,0.5997290770976318,2,2.375,0.75,N4 P1 O6,de-protonated,0,-9999,C8 H19 O6 N4 P1,8,19,6,4,1,-9999,-9999
3,297.097691,297.0976917159768,297.0979764648091,1364145.6,-9999,595575.6,21.08,-1,-0.9584341021179456,0.846472110827,0,0.5078832664962,6,1.2857142857142858,0.5,O7,de-protonated,0,-9999,C14 H18 O7,14,18,7,-9999,-9999,-9999,-9999
4,297.098193,297.09819371597774,297.0979764648091,882097.7,-9999,644228.4,12.93,-1,0.7312441882655853,0.9075343248291776,0,0.5445205948975066,6,1.2857142857142858,0.5,O7,de-protonated,0,-9999,C14 H18 O7,14,18,7,-9999,-9999,-9999,-9999
5,299.077022,299.0770227198952,299.0772410199191,1257513.6,-9999,741052.7,19.28,-1,-0.7299118554070957,0.907854953926142,0,0.5447129723556852,6,1.2307692307692308,0.6153846153846154,O8,de-protonated,0,-9999,C13 H16 O8,13,16,8,-9999,-9999,-9999,-9999
6,307.081413,307.0814137357412,307.08129482914904,878630.5,-9999,679185.3,12.71,-1,0.38721535356157366,0.9731610988855192,0,0.5838966593313115,4,1.8888888888888888,0.6666666666666666,N4 P1 O6,de-protonated,0,-9999,C9 H17 O6 N4 P1,9,17,6,4,1,-9999,-9999
7,307.082212,307.08221273574276,307.0823264003491,1228198.5,-9999,479857.2,18.56,-1,-0.37014375802649185,0.9754468243410696,0,0.5852680946046418,8,1.0666666666666669,0.4666666666666667,O7,de-protonated,0,-9999,C15 H16 O7,15,16,7,-9999,-9999,-9999,-9999
7,307.082212,307.08221273574276,307.0821642090191,1228198.5,-9999,479857.2,18.56,-1,0.15802521061115105,0.9954791194441038,0,0.5972874716664622,3,2.1,0.1,N4 S2 P1 O1,de-protonated,0,-9999,C10 H21 O1 N4 P1 S2,10,21,1,4,1,2,-9999
8,307.082605,307.0826057357435,307.0823264003491,866726.6,-9999,684830.7,12.51,-1,0.909643344594174,0.8605875721944611,0,0.5163525433166767,8,1.0666666666666669,0.4666666666666667,O7,de-protonated,0,-9999,C15 H16 O7,15,16,7,-9999,-9999,-9999,-9999
9,307.118499,307.11849973581457,307.1187119096991,1176105,-9999,752462.9,17.69,-1,-0.6908530033448853,0.9170425165937548,0,0.5502255099562527,7,1.25,0.375,O6,de-protonated,0,-9999,C16 H20 O6,16,20,6,-9999,-9999,-9999,-9999
10,309.061359,309.06135973966076,309.06159095545905,1107373.9,-9999,510823.1,16.54,-1,-0.748122073595154,0.9034320267588078,0,0.5420592160552847,8,1,0.5714285714285714,O8,de-protonated,0,-9999,C14 H14 O8,14,14,8,-9999,-9999,-9999,-9999
10,309.061359,309.06135973966076,309.06142876412906,1107373.9,-9999,510823.1,16.54,-1,-0.22333575748623252,0.9909903783550228,0,0.5945942270130136,3,2.111111111111111,0.2222222222222222,N4 S2 P1 O2,de-protonated,0,-9999,C9 H19 O2 N4 P1 S2,9,19,2,4,1,2,-9999
11,309.097064,309.0970647397315,309.0969448936091,1324464.4,-9999,770516,20.16,-1,0.38772988339750153,0.9730906937344872,0,0.5838544162406922,3,2.111111111111111,0.6666666666666666,N4 P1 O6,de-protonated,0,-9999,C9 H19 O6 N4 P1,9,19,6,4,1,-9999,-9999
12,309.097904,309.09790473973317,309.0979764648091,1744112.5,-9999,398671.2,27.18,-1,-0.2320464105300996,0.99027737147556,0,0.594166422885336,7,1.2,0.4666666666666667,O7,de-protonated,0,-9999,C15 H18 O7,15,18,7,-9999,-9999,-9999,-9999
12,309.097904,309.09790473973317,309.09781427347906,1744112.5,-9999,398671.2,27.18,-1,0.29267840123717975,0.9845771574197436,0,0.5907462944518461,2,2.3,0.1,N4 S2 P1 O1,de-protonated,0,-9999,C10 H23 O1 N4 P1 S2,10,23,1,4,1,2,-9999
13,309.134266,309.1342667398051,309.13436197415905,880691,-9999,706360.6,12.75,-1,-0.3080678359821901,0.98292689468063,0,0.589756136808378,6,1.375,0.375,O6,de-protonated,0,-9999,C16 H22 O6,16,22,6,-9999,-9999,-9999,-9999
14,311.076301,311.0763017436497,311.07620944871906,1104445.1,-9999,641078.5,16.48,-1,0.2966955615677986,0.9841542742392146,0,0.5904925645435287,3,2.125,0.875,N4 P1 O7,de-protonated,0,-9999,C8 H17 O7 N4 P1,8,17,7,4,1,-9999,-9999
15,311.077109,311.0771097436513,311.0772410199191,1940925.1,-9999,419687.8,30.47,-1,-0.4220053750941599,0.9682025855445828,0,0.5809215513267496,7,1.1428571428571428,0.5714285714285714,O8,de-protonated,0,-9999,C14 H16 O8,14,16,8,-9999,-9999,-9999,-9999
15,311.077109,311.0771097436513,311.0770788285891,1940925.1,-9999,419687.8,30.47,-1,0.09938071402737098,0.998209522095256,0,0.5989257132571535,2,2.3333333333333335,0.2222222222222222,N4 S2 P1 O2,de-protonated,0,-9999,C9 H21 O2 N4 P1 S2,9,21,2,4,1,2,-9999
16,311.113382,311.1133827437231,311.1136265292691,2266687.8,-9999,515792.2,35.91,-1,-0.7835900622865016,0.8945701796929588,0,0.5367421078157752,6,1.3333333333333333,0.4666666666666667,O7,de-protonated,0,-9999,C15 H20 O7,15,20,7,-9999,-9999,-9999,-9999
16,311.113382,311.1133827437231,311.1134643379391,2266687.8,-9999,515792.2,35.91,-1,-0.2622651390947788,0.987596973941688,0,0.5925581843650128,1,2.5,0.1,N4 S2 P1 O1,de-protonated,0,-9999,C10 H25 O1 N4 P1 S2,10,25,1,4,1,2,-9999
18,311.168491,311.16849174383225,311.16863948322913,1911619.9,-9999,415031.8,29.98,-1,-0.4747888383777987,0.9599222679435678,0,0.5759533607661407,4,1.6470588235294117,0.17647058823529413,S1 O3,de-protonated,0,-9999,C17 H28 O3 S1,17,28,3,-9999,-9999,1,-9999
20,313.056274,313.0562747475694,313.0565055750291,1113295.9,-9999,672527.2,16.53,-1,-0.7373348121974111,0.9060626101931768,0,0.543637566115906,7,1.0769230769230769,0.6923076923076923,O9,de-protonated,0,-9999,C13 H14 O9,13,14,9,-9999,-9999,-9999,-9999
20,313.056274,313.0562747475694,313.056343383699,1113295.9,-9999,672527.2,16.53,-1,-0.21924529271118964,0.9913159601179474,0,0.5947895760707684,2,2.375,0.375,N4 S2 P1 O3,de-protonated,0,-9999,C8 H19 O3 N4 P1 S2,8,19,3,4,1,2,-9999
21,313.09272,313.0927207476415,313.0928910843791,1920210.8,-9999,535741.6,29.94,-1,-0.5440453694325273,0.9477105451550224,0,0.5686263270930134,6,1.2857142857142858,0.5714285714285714,O8,de-protonated,0,-9999,C14 H18 O8,14,18,8,-9999,-9999,-9999,-9999
22,313.129082,313.1290827477135,313.12927659372906,1095125.5,-9999,507439.6,16.23,-1,-0.6190606566263158,0.932824978026212,0,0.5596949868157272,5,1.4666666666666666,0.4666666666666667,O7,de-protonated,0,-9999,C15 H22 O7,15,22,7,-9999,-9999,-9999,-9999
23,315.072019,315.0720197515599,315.0721556394891,916076.4,-9999,495378.5,13.25,-1,-0.4312914574839656,0.9668115425156456,0,0.5800869255093873,6,1.2307692307692308,0.6923076923076923,O9,de-protonated,0,-9999,C13 H16 O9,13,16,9,-9999,-9999,-9999,-9999
24,319.082143,319.08214375949854,319.0823264003491,1166779.5,-9999,632477.4,17.3,-1,-0.5723941297528052,0.942283638245135,0,0.565370182947081,9,1,0.4375,O7,de-protonated,0,-9999,C16 H16 O7,16,16,7,-9999,-9999,-9999,-9999
24,319.082143,319.08214375949854,319.0821642090191,1166779.5,-9999,632477.4,17.3,-1,-0.06408857291889036,0.9992550052595696,0,0.5995530031557417,4,1.9090909090909092,0.09090909090909093,N4 S2 P1 O1,de-protonated,0,-9999,C11 H21 O1 N4 P1 S2,11,21,1,4,1,2,-9999
25,319.118725,319.11872575957096,319.1187119096991,908606.7,-9999,435242.9,13.04,-1,0.04340037539084882,0.9996582829986338,0,0.5997949697991802,8,1.1764705882352942,0.35294117647058826,O6,de-protonated,0,-9999,C17 H20 O6,17,20,6,-9999,-9999,-9999,-9999
26,321.061459,321.06145976341696,321.06159095545905,1023470.1,-9999,549125.9,14.93,-1,-0.4086195477319918,0.9701578630432162,0,0.5820947178259297,9,0.9333333333333332,0.5333333333333333,O8,de-protonated,0,-9999,C15 H14 O8,15,14,8,-9999,-9999,-9999,-9999
26,321.061459,321.06145976341696,321.0614287641291,1023470.1,-9999,549125.9,14.93,-1,0.09655251321702173,0.9983098948178996,0,0.5989859368907398,4,1.9,0.2,N4 S2 P1 O2,de-protonated,0,-9999,C10 H19 O2 N4 P1 S2,10,19,2,4,1,2,-9999
27,321.097042,321.09704276348737,321.0969448936091,1015409.4,-9999,606871.3,14.8,-1,0.30479853466427564,0.9832843112941224,0,0.5899705867764734,4,1.9,0.6,N4 P1 O6,de-protonated,0,-9999,C10 H19 O6 N4 P1,10,19,6,4,1,-9999,-9999
28,321.097894,321.0978947634891,321.0979764648091,1884529.5,-9999,517811.2,29.15,-1,-0.25444358425148533,0.9883214628068684,0,0.5929928776841209,8,1.125,0.4375,O7,de-protonated,0,-9999,C16 H18 O7,16,18,7,-9999,-9999,-9999,-9999
28,321.097894,321.0978947634891,321.09781427347906,1884529.5,-9999,517811.2,29.15,-1,0.2506713108675546,0.9886632222064792,0,0.5931979333238874,3,2.090909090909091,0.09090909090909093,N4 S2 P1 O1,de-protonated,0,-9999,C11 H23 O1 N4 P1 S2,11,23,1,4,1,2,-9999
29,321.134275,321.1342757635611,321.13436197415905,1140340.9,-9999,599649.1,16.86,-1,-0.26845647227612446,0.9870083267629856,0,0.5922049960577914,7,1.2941176470588236,0.35294117647058826,O6,de-protonated,0,-9999,C17 H22 O6,17,22,6,-9999,-9999,-9999,-9999
30,323.040771,323.0407717673353,323.0408555105691,863146.5,-9999,646964.8,12.14,-1,-0.25923418779124,0.9878802621973588,0,0.5927281573184152,9,0.8571428571428571,0.6428571428571429,O9,de-protonated,0,-9999,C14 H12 O9,14,12,9,-9999,-9999,-9999,-9999
30,323.040771,323.0407717673353,323.0406933192391,863146.5,-9999,646964.8,12.14,-1,0.24284276814688077,0.9893565441003136,0,0.5936139264601881,4,1.8888888888888888,0.3333333333333333,N4 S2 P1 O3,de-protonated,0,-9999,C9 H17 O3 N4 P1 S2,9,17,3,4,1,2,-9999
31,323.076347,323.0763477674057,323.07620944871906,1179310,-9999,538791.2,17.3,-1,0.4281302138834307,0.9672882664644412,0,0.5803729598786647,4,1.8888888888888888,0.7777777777777778,N4 P1 O7,de-protonated,0,-9999,C9 H17 O7 N4 P1,9,17,7,4,1,-9999,-9999
32,323.077189,323.0771897674074,323.0772410199191,1922862.1,-9999,409002.4,29.43,-1,-0.15863857056047034,0.9954440368145222,0,0.5972664220887133,8,1.0666666666666669,0.5333333333333333,O8,de-protonated,0,-9999,C15 H16 O8,15,16,8,-9999,-9999,-9999,-9999
32,323.077189,323.0771897674074,323.0770788285891,1922862.1,-9999,409002.4,29.43,-1,0.34338189108810213,0.9788324272225676,0,0.5872994563335406,3,2.1,0.2,N4 S2 P1 O2,de-protonated,0,-9999,C10 H21 O2 N4 P1 S2,10,21,2,4,1,2,-9999
33,323.11261,323.1126107674775,323.1125949580691,1275953.5,-9999,451588.6,18.87,-1,0.04892848083499153,0.9995657068603728,0,0.5997394241162237,3,2.1,0.6,N4 P1 O6,de-protonated,0,-9999,C10 H21 O6 N4 P1,10,21,6,4,1,-9999,-9999
34,323.113529,323.11352976747935,323.1136265292691,2131505.8,-9999,406340.7,32.84,-1,-0.29946675655208144,0.9838593003833572,0,0.5903155802300144,7,1.25,0.4375,O7,de-protonated,0,-9999,C16 H20 O7,16,20,7,-9999,-9999,-9999,-9999
34,323.113529,323.11352976747935,323.1134643379391,2131505.8,-9999,406340.7,32.84,-1,0.2024971023444223,0.9925872933852982,0,0.5955523760311788,2,2.272727272727273,0.09090909090909093,N4 S2 P1 O1,de-protonated,0,-9999,C11 H25 O1 N4 P1 S2,11,25,1,4,1,2,-9999
35,325.056476,325.05647677132566,325.0565055750291,1308917.1,-9999,413904,19.41,-1,-0.08861137360401569,0.9985762838016476,0,0.5991457702809885,8,1,0.6428571428571429,O9,de-protonated,0,-9999,C14 H14 O9,14,14,9,-9999,-9999,-9999,-9999
35,325.056476,325.05647677132566,325.056343383699,1308917.1,-9999,413904,19.41,-1,0.4103523261803005,0.969908086098993,0,0.5819448516593958,3,2.111111111111111,0.3333333333333333,N4 S2 P1 O3,de-protonated,0,-9999,C9 H19 O3 N4 P1 S2,9,19,3,4,1,2,-9999
36,325.09197,325.091970771396,325.0918595131791,1498872.9,-9999,489287.1,22.51,-1,0.34223624388840096,0.9789719439626164,0,0.5873831663775698,3,2.111111111111111,0.7777777777777778,N4 P1 O7,de-protonated,0,-9999,C9 H19 O7 N4 P1,9,19,7,4,1,-9999,-9999
37,325.092819,325.09281977139767,325.0928910843791,4075769,-9999,522503.7,64.56,-1,-0.21936186057241797,0.9913067637052873,0,0.5947840582231724,7,1.2,0.5333333333333333,O8,de-protonated,0,-9999,C15 H18 O8,15,18,8,-9999,-9999,-9999,-9999
37,325.092819,325.09281977139767,325.09272889304907,4075769,-9999,522503.7,64.56,-1,0.2795459280512133,0.9859205797018992,0,0.5915523478211395,2,2.3,0.2,N4 S2 P1 O2,de-protonated,0,-9999,C10 H23 O2 N4 P1 S2,10,23,2,4,1,2,-9999
38,325.129171,325.1291717714696,325.12927659372906,2383100.8,-9999,602446.9,36.94,-1,-0.32240178601342084,0.9813164378979043,0,0.5887898627387427,6,1.375,0.4375,O7,de-protonated,0,-9999,C16 H22 O7,16,22,7,-9999,-9999,-9999,-9999
38,325.129171,325.1291717714696,325.12911440239907,2383100.8,-9999,602446.9,36.94,-1,0.1764501177871391,0.9943665872505298,0,0.5966199523503178,1,2.4545454545454546,0.09090909090909093,N4 S2 P1 O1,de-protonated,0,-9999,C11 H27 O1 N4 P1 S2,11,27,1,4,1,2,-9999
39,325.184232,325.18423277157865,325.18428954768905,2009346.4,-9999,463156.7,30.84,-1,-0.17459672014591074,0.9944839849693542,0,0.5966903909816125,4,1.6666666666666667,0.16666666666666666,S1 O3,de-protonated,0,-9999,C18 H30 O3 S1,18,30,3,-9999,-9999,1,-9999
40,327.07207,327.0720707753159,327.0721556394891,2039243.4,-9999,507242.8,31.32,-1,-0.25946621169590656,0.9878586895865592,0,0.5927152137519355,7,1.1428571428571428,0.6428571428571429,O9,de-protonated,0,-9999,C14 H16 O9,14,16,9,-9999,-9999,-9999,-9999
40,327.07207,327.0720707753159,327.07199344815905,2039243.4,-9999,507242.8,31.32,-1,0.2364224342721319,0.9899090811625963,0,0.5939454486975578,2,2.3333333333333335,0.3333333333333333,N4 S2 P1 O3,de-protonated,0,-9999,C9 H21 O3 N4 P1 S2,9,21,3,4,1,2,-9999
41,327.107603,327.1076037753862,327.10750957763906,1817039.3,-9999,563556.1,27.7,-1,0.287971827003986,0.985065506957056,0,0.5910393041742336,2,2.3333333333333335,0.7777777777777778,N4 P1 O7,de-protonated,0,-9999,C9 H21 O7 N4 P1,9,21,7,4,1,-9999,-9999
42,327.108578,327.1085787753882,327.10854114883904,2654159.5,-9999,419999.3,41.36,-1,0.1150277184020566,0.9976020638598346,0,0.5985612383159008,6,1.3333333333333333,0.5333333333333333,O8,de-protonated,0,-9999,C15 H20 O8,15,20,8,-9999,-9999,-9999,-9999
42,327.108578,327.1085787753882,327.1083789575091,2654159.5,-9999,419999.3,41.36,-1,0.6108613901287137,0.9345334347517592,0,0.5607200608510555,1,2.5,0.2,N4 S2 P1 O2,de-protonated,0,-9999,C10 H25 O2 N4 P1 S2,10,25,2,4,1,2,-9999
