Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,34S
2,265.147639,265.1476945468607,265.14790403833905,2957306,-9999,521710.3,49.76,-1,-0.7900929072706062,0.8929106472533191,0,0.5357463883519915,0,2.1666666666666665,0.3333333333333333,S1 O4,de-protonated,0,-9999,C12 H26 O4 S1,12,26,4,-9999,-9999,1,-9999,N/A
2,265.147639,265.1476945468607,265.1475239158191,2957306,-9999,521710.3,49.76,-1,0.6435324723858125,0.9276098284738732,0,0.5565658970843239,5,1.6428571428571428,0.07142857142857142,N2 P1 O1,de-protonated,0,-9999,C14 H23 O1 N2 P1,14,23,1,2,1,-9999,-9999,N/A
3,267.014318,267.0143725213072,267.0144785707491,943540.5,-9999,659239.2,14.51,-1,-0.39716738366224785,0.971783665071922,0,0.5830701990431532,3,2.1666666666666665,0.3333333333333333,N4 S2 P1 O2,de-protonated,0,-9999,C6 H13 O2 N4 P1 S2,6,13,2,4,1,2,-9999,N/A
4,267.087094,267.0871484813241,267.08741178077906,1072187.6,-9999,744593.9,16.76,-1,-0.9858175389160218,0.8383342384665722,0,0.5030005430799432,6,1.2307692307692308,0.4615384615384616,O6,de-protonated,0,-9999,C13 H16 O6,13,16,6,-9999,-9999,-9999,-9999,N/A
5,269.06643,269.0664833938769,269.0666763358891,1209720.8,-9999,704721.8,19.07,-1,-0.7170788103690734,0.9109190162860626,0,0.5465514097716375,6,1.1666666666666667,0.5833333333333334,O7,de-protonated,0,-9999,C12 H14 O7,12,14,7,-9999,-9999,-9999,-9999,N/A
6,269.102838,269.10289137387434,269.1030618452391,916348.1,-9999,890582.6,13.96,-1,-0.6334798407167849,0.9297730446798383,0,0.557863826807903,5,1.3846153846153846,0.4615384615384616,O6,de-protonated,0,-9999,C13 H18 O6,13,18,6,-9999,-9999,-9999,-9999,N/A
7,269.130989,269.1310423584082,269.1312051460991,1116542.8,-9999,741886.9,17.44,-1,-0.6048636790690187,0.9357706831816154,0,0.5614624099089692,4,1.6428571428571428,0.21428571428571427,P1 O3,de-protonated,0,-9999,C14 H23 O3 P1,14,23,3,-9999,1,-9999,-9999,N/A
8,271.045642,271.0456943064978,271.0459408909991,830126.1,-9999,856911.3,12.45,-1,-0.9097516843778054,0.860556793081493,0,0.5163340758488958,6,1.0909090909090908,0.7272727272727273,O8,de-protonated,0,-9999,C11 H12 O8,11,12,8,-9999,-9999,-9999,-9999,N/A
9,271.082118,271.0821702864579,271.0823264003491,941873.4,-9999,672920.1,14.4,-1,-0.5758910706827002,0.9415973361300836,0,0.5649584016780502,5,1.3333333333333333,0.5833333333333334,O7,de-protonated,0,-9999,C12 H16 O7,12,16,7,-9999,-9999,-9999,-9999,N/A
10,277.071571,277.0716199958524,277.0717617163191,951469.8,-9999,732287.9,14.48,-1,-0.5114937220393078,0.9536374962246428,0,0.5721824977347857,8,1,0.42857142857142855,O6,de-protonated,0,-9999,C14 H14 O6,14,14,6,-9999,-9999,-9999,-9999,N/A
11,279.050818,279.0508659084541,279.05102627142907,918474.8,-9999,618374.6,13.83,-1,-0.5746725862118645,0.9418368909641568,0,0.565102134578494,8,0.9230769230769232,0.5384615384615384,O7,de-protonated,0,-9999,C13 H12 O7,13,12,7,-9999,-9999,-9999,-9999,N/A
