Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,18O,34S
16,265.144536,265.14450104928676,265.1445327350191,2003351.9,-9999,517529.5,32.89,-1,-0.11950362316471168,0.997412064765016,0,0.5984472388590096,5,1.4666666666666666,0.26666666666666666,O4,de-protonated,0,-9999,C15 H22 O4,15,22,4,-9999,-9999,-9999,-9999,-9999,N/A
21,266.154468,266.15443354720543,266.1543863998291,1107335,-9999,516471.3,17.29,-1,0.17714296192233714,0.9943223864637304,0,0.5965934318782382,0,2.5,0.3,N3 S1 O3,de-protonated,0,-9999,C10 H25 O3 N3 S1,10,25,3,3,-9999,1,-9999,-9999,N/A
24,267.146163,267.14612903613283,267.14626406870906,3822322,-9999,477377.3,64.57,-1,-0.5054630903985731,0.9546992996547564,0,0.5728195797928539,5,1.6666666666666667,0.25,N4 O3,de-protonated,0,-9999,C12 H20 O3 N4,12,20,3,4,-9999,-9999,-9999,-9999,N/A
41,279.053794,279.05376590685665,279.05401745222906,1546663.6,-9999,593083.5,24.51,-1,-0.9014217917514756,0.862915790107021,0,0.5177494740642126,8,1.0833333333333333,0.3333333333333333,N2 P1 O4,de-protonated,0,-9999,C12 H13 O4 N2 P1,12,13,4,2,1,-9999,-9999,-9999,N/A
48,281.105803,281.1057759185422,281.1060530260391,2642967.8,-9999,574108.2,43.29,-1,-0.9857756314040051,0.838346806967184,0,0.5030080841803104,6,1.4615384615384617,0.2307692307692308,N2 P1 O3,de-protonated,0,-9999,C13 H19 O3 N2 P1,13,19,3,2,1,-9999,-9999,-9999,N/A
51,283.085063,283.0850368943609,283.08531758114907,4573373.5,-9999,484632.7,75.92,-1,-0.9915271854634642,0.8366186311655605,0,0.5019711786993363,6,1.4166666666666667,0.3333333333333333,N2 P1 O4,de-protonated,0,-9999,C12 H17 O4 N2 P1,12,17,4,2,1,-9999,-9999,-9999,N/A
54,285.028039,285.0280138522907,285.0281966269091,1065181.1,-9999,667480,16.16,-1,-0.641251007998105,0.9281033184150248,0,0.5568619910490148,7,1.1,0.6,N2 P1 O6,de-protonated,0,-9999,C10 H11 O6 N2 P1,10,11,6,2,1,-9999,-9999,-9999,N/A
55,285.06439,285.0643648702126,285.06458213625905,3319136,-9999,345862.4,54.55,-1,-0.7621642955632216,0.8999621895037688,0,0.5399773137022613,6,1.3636363636363635,0.4545454545454546,N2 P1 O5,de-protonated,0,-9999,C11 H15 O5 N2 P1,11,15,5,2,1,-9999,-9999,-9999,N/A
56,285.100758,285.1007328881428,285.1009676456091,3283043,-9999,416106.2,53.94,-1,-0.823418693626481,0.8842410805256925,0,0.5305446483154155,5,1.5833333333333333,0.3333333333333333,N2 P1 O4,de-protonated,0,-9999,C12 H19 O4 N2 P1,12,19,4,2,1,-9999,-9999,-9999,N/A
57,285.128727,285.1287019019322,285.1284887473891,2043877.3,-9999,368346.9,32.83,-1,0.7475736430691566,0.9035665032908994,0,0.5421399019745397,13,0.8571428571428571,0.04761904761904761,O1,de-protonated,0,-9999,C21 H18 O1,21,18,1,-9999,-9999,-9999,-9999,-9999,N/A
61,287.116405,287.1163808819011,287.1166177100691,1080197.8,-9999,505845.5,16.32,-1,-0.8248500901412189,0.8838626209061883,0,0.5303175725437129,4,1.75,0.3333333333333333,N2 P1 O4,de-protonated,0,-9999,C12 H21 O4 N2 P1,12,21,4,2,1,-9999,-9999,-9999,N/A
62,289.059272,289.05924883977724,289.0594967558291,1021472.8,-9999,656463.7,15.32,-1,-0.8576644416060644,0.8750523816406454,0,0.5250314289843871,5,1.5,0.6,N2 P1 O6,de-protonated,0,-9999,C10 H15 O6 N2 P1,10,15,6,2,1,-9999,-9999,-9999,N/A
