Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,18O
0,283.090372,283.09047890960295,283.0904064175091,905156.7,-9999,373989,13.67,-1,0.25607400399438635,0.9881722076331838,0,0.5929033245799102,1,2.5,0.375,N4 S2 O3,de-protonated,0,-9999,C8 H20 O3 N4 S2,8,20,3,4,-9999,2,-9999,N/A
3,295.054041,295.0541442488716,295.0540209081591,846544.1,-9999,632666.7,12.52,-1,0.4180275602135195,0.9687897944231264,0,0.5812738766538758,3,2,0.5,N4 S2 O4,de-protonated,0,-9999,C8 H16 O4 N4 S2,8,16,4,4,-9999,2,-9999,N/A
4,295.054385,295.05448824876635,295.0546723568391,826704.1,-9999,636113.1,12.18,-1,-0.6239795197068866,0.9317906387767556,0,0.5590743832660533,12,0.75,0.125,N2 S1 O2,de-protonated,0,-9999,C16 H12 O2 N2 S1,16,12,2,2,-9999,1,-9999,N/A
7,297.069927,297.070029632036,297.0703224212991,1491936.6,-9999,449539,23.46,-1,-0.9855890711515936,0.8384027541381284,0,0.503041652482877,11,0.875,0.125,N2 S1 O2,de-protonated,0,-9999,C16 H14 O2 N2 S1,16,14,2,2,-9999,1,-9999,N/A
9,299.049256,299.04935802638636,299.0495869764091,1145712.4,-9999,581716,17.55,-1,-0.7655921717185739,0.8991074160614755,0,0.5394644496368852,11,0.8,0.2,N2 S1 O3,de-protonated,0,-9999,C15 H12 O3 N2 S1,15,12,3,2,-9999,1,-9999,N/A
10,299.085494,299.08559601529794,299.0853210370791,1680499,-9999,455508.4,26.67,-1,0.9193972405157594,0.857806273567295,0,0.514683764140377,1,2.5,0.5,N4 S2 O4,de-protonated,0,-9999,C8 H20 O4 N4 S2,8,20,4,4,-9999,2,-9999,N/A
11,299.121965,299.12206700413833,299.1223579951091,988789.6,-9999,437608.2,14.87,-1,-0.972815849402312,0.8422168839012365,0,0.5053301303407419,9,1.1764705882352942,0.0588235294117647,N2 S1 O1,de-protonated,0,-9999,C17 H20 O1 N2 S1,17,20,1,2,-9999,1,-9999,N/A
12,301.064862,301.06496340963645,301.06523704086914,881701.1,-9999,365911.7,12.98,-1,-0.908876877904958,0.8608052505451089,0,0.5164831503270654,10,0.9333333333333332,0.2,N2 S1 O3,de-protonated,0,-9999,C15 H14 O3 N2 S1,15,14,3,2,-9999,1,-9999,N/A
15,307.054326,307.05442557693624,307.0546723568391,1042644.7,-9999,506705.9,15.62,-1,-0.8037002041300191,0.8894038438830411,0,0.5336423063298246,13,0.7058823529411765,0.1176470588235294,N2 S1 O2,de-protonated,0,-9999,C17 H12 O2 N2 S1,17,12,2,2,-9999,1,-9999,N/A
17,309.033599,309.0336979713037,309.03393691194907,887927.3,-9999,426338.5,13,-1,-0.7731857794068783,0.8972031430880328,0,0.5383218858528197,13,0.625,0.1875,N2 S1 O3,de-protonated,0,-9999,C16 H10 O3 N2 S1,16,10,3,2,-9999,1,-9999,N/A
18,309.069955,309.0700539601792,309.0703224212991,1517434.4,-9999,405862.5,23.63,-1,-0.8686085347773597,0.8720578220407167,0,0.52323469322443,12,0.8235294117647058,0.1176470588235294,N2 S1 O2,de-protonated,0,-9999,C17 H14 O2 N2 S1,17,14,2,2,-9999,1,-9999,N/A
19,309.106332,309.10643094904833,309.1067079306491,2160765.3,-9999,446137.5,34.49,-1,-0.8960711420517049,0.8644230042487515,0,0.5186538025492509,11,1,0.05555555555555555,N2 S1 O1,de-protonated,0,-9999,C18 H18 O1 N2 S1,18,18,1,2,-9999,1,-9999,N/A
20,311.049403,311.0495013544932,311.0495869764091,1635618.8,-9999,521364.3,25.62,-1,-0.27526773699571117,0.9863452937346882,0,0.5918071762408129,12,0.75,0.1875,N2 S1 O3,de-protonated,0,-9999,C16 H12 O3 N2 S1,16,12,3,2,-9999,1,-9999,N/A
21,311.085703,311.08580134338587,311.0859724857591,2440486,-9999,353415.5,39.2,-1,-0.5501449386020086,0.9465635578114426,0,0.5679381346868656,11,0.9411764705882352,0.1176470588235294,N2 S1 O2,de-protonated,0,-9999,C17 H16 O2 N2 S1,17,16,2,2,-9999,1,-9999,N/A
22,311.122097,311.12219533224976,311.1223579951091,2006441.1,-9999,331444.8,31.88,-1,-0.5228260044913968,0.9516114581668068,0,0.5709668749000841,10,1.1111111111111112,0.05555555555555555,N2 S1 O1,de-protonated,0,-9999,C18 H20 O1 N2 S1,18,20,1,2,-9999,1,-9999,N/A
23,311.176316,311.17641431565943,311.1765015691991,1040045.8,-9999,595371.9,15.57,-1,-0.2803988708504695,0.9858351434741962,0,0.5915010860845177,9,1.263157894736842,0.10526315789473684,N2 O2,de-protonated,0,-9999,C19 H24 O2 N2,19,24,2,2,-9999,-9999,-9999,N/A
