Sorting code,Citation,Study Codes,Data point code,Scientific Name,Common Name 2,Nativity,Authority,sp_code,variety,Subspecies,Species,Genus,plant form,Subfamily,Family,Order,Subclass,Class,Subdivision,Division,Superdivision,Subkingdom,Kingdom,Plant type,Clade,Latitude 2,Longitude 2,Lat_DD,Long_DD,"State, Territory, or Region",Country,Continent,"Elev (m, asl) 3",Source for elevation data,Stream order,Stream order 2,Land use,Duration (d),Duration (dd) 2,# sampling dates,mesh size category,T50 (d),k (d),n,estimated k?,equation used,min (ºC),max (ºC),range (ºC),mean (ºC),estimated mean?
1,Gama et al. 2007 International Review of Hydrobiology,,NG1,Eucalyptus globulus,Tasmanian bluegum,Australia,Labill.,globulus,,,globulus,Eucalyptus,,Leptospermoideae,Myrtaceae,Myrtales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,semi-deciduous leaf,Eudicot,40.1822,-8.2337,40.3061,-8.3936,Central,Portugal,Europe,62,GPS Visualizer,3,3,plantation,90,1035,7,coarse,67.3,0.0103,24,no,exponential,8,15,7,11.5,Y
2,Gama et al. 2007 International Review of Hydrobiology,,NG2,Eucalyptus globulus,Tasmanian bluegum,Australia,Labill.,globulus,,,globulus,Eucalyptus,,Leptospermoideae,Myrtaceae,Myrtales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,semi-deciduous leaf,Eudicot,40.1822,-8.2337,40.3061,-8.3936,Central,Portugal,Europe,62,GPS Visualizer,3,3,plantation,90,1035,7,coarse,77.88,0.0089,24,no,exponential,8,15,7,11.5,N
3,Gama et al. 2007 International Review of Hydrobiology,,NG3,Eucalyptus globulus,Tasmanian bluegum,Australia,Labill.,globulus,,,globulus,Eucalyptus,,Leptospermoideae,Myrtaceae,Myrtales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,semi-deciduous leaf,Eudicot,40.1822,-8.2337,40.3061,-8.3936,Central,Portugal,Europe,62,GPS Visualizer,3,3,plantation,90,1035,7,fine,82.52,0.0084,24,no,exponential,8,15,7,11.5,N
4,Gama et al. 2007 International Review of Hydrobiology,,NG4,Eucalyptus globulus,Tasmanian bluegum,Australia,Labill.,globulus,,,globulus,Eucalyptus,,Leptospermoideae,Myrtaceae,Myrtales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,semi-deciduous leaf,Eudicot,40.1822,-8.2337,40.3061,-8.3936,Central,Portugal,Europe,62,GPS Visualizer,3,3,plantation,90,1035,7,fine,72.96,0.0095,24,no,exponential,8,15,7,11.5,N
5,Garden and Davies 1988 Freshwater Biology,,NG5,Populus balsamifera ssp. Balsamifera,balsam poplar,US,L.,balsamifera_balsamifera,,balsamifera,balsamifera,Populus,tree,,Salicaceae,Salicales,Dilleniidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,51.163,-114.1952,51.2842,-114.3311,"Calgary, Alberta",Canada,North America,1267,GPS Visualizer,1,1,forest - unspecified,120,240,10,coarse,40.07,0.0173,72,no,exponential,1,3,2,2,N
6,Garden and Davies 1988 Freshwater Biology,E,NG6,Populus balsamifera ssp. Balsamifera,balsam poplar,US,L.,balsamifera_balsamifera,,balsamifera,balsamifera,Populus,tree,,Salicaceae,Salicales,Dilleniidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,51.163,-114.1952,51.2842,-114.3311,"Calgary, Alberta",Canada,North America,1267,GPS Visualizer,1,1,forest - unspecified,120,240,10,coarse,115.52,0.006,72,no,exponential,1,3,2,2,N
7,Garden and Davies 1989 Freshwater Biology,,NG7,Populus balsamifera ssp. Balsamifera,balsam poplar,US,L.,balsamifera_balsamifera,,balsamifera,balsamifera,Populus,tree,,Salicaceae,Salicales,Dilleniidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,51.163,-114.1952,51.2842,-114.3311,"Calgary, Alberta",Canada,North America,1267,GPS Visualizer,1,1,forest - unspecified,120,240,10,coarse,55.45,0.0125,72,no,exponential,1,3,2,2,N
8,Garden and Davies 1989 Freshwater Biology,,NG8,Populus balsamifera ssp. Balsamifera,balsam poplar,US,L.,balsamifera_balsamifera,,balsamifera,balsamifera,Populus,tree,,Salicaceae,Salicales,Dilleniidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,51.163,-114.1952,51.2842,-114.3311,"Calgary, Alberta",Canada,North America,1267,GPS Visualizer,1,1,forest - unspecified,120,240,10,coarse,62.45,0.0111,72,no,exponential,1,3,2,2,N
9,Garden and Davies 1989 Freshwater Biology,,NG9,Populus balsamifera ssp. Balsamifera,balsam poplar,US,L.,balsamifera_balsamifera,,balsamifera,balsamifera,Populus,tree,,Salicaceae,Salicales,Dilleniidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,51.163,-114.1952,51.2842,-114.3311,"Calgary, Alberta",Canada,North America,1267,GPS Visualizer,1,1,forest - unspecified,120,240,10,coarse,173.29,0.004,72,no,exponential,1,3,2,2,N
10,Garden and Davies 1989 Freshwater Biology,,NG10,Populus balsamifera ssp. Balsamifera,balsam poplar,US,L.,balsamifera_balsamifera,,balsamifera,balsamifera,Populus,tree,,Salicaceae,Salicales,Dilleniidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,51.163,-114.1952,51.2842,-114.3311,"Calgary, Alberta",Canada,North America,1267,GPS Visualizer,1,1,forest - unspecified,120,240,10,coarse,192.54,0.0036,72,no,exponential,1,3,2,2,N
11,Gazzera et al. 1991 Verh. Internation. Verein. Limnol.,,NG11,Ulmus procera,English elm,Europe,Salisb.,procera,,,procera,Ulmus,tree,,Ulmaceae,Urticales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,42.58,13.04,42.9667,13.0667,Appennines,Italy,Europe,792,GPS Visualizer,2,2,forest - unspecified,25,450,4,.,19.2,0.0361,20,no,exponential,,,0,18,N
12,Gazzera et al. 1991 Verh. Internation. Verein. Limnol.,,NG12,Ulmus americana,American elm,North America,L.,americana-ulmus,,,americana,Ulmus,tree,,Ulmaceae,Urticales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,42.58,13.04,42.9667,13.0667,Appennines,Italy,Europe,792,GPS Visualizer,2,2,forest - unspecified,25,450,4,.,23.1,0.03,20,no,exponential,,,0,18,N
13,Gazzera et al. 1991 Verh. Internation. Verein. Limnol.,,NG13,Acer pseudoplatanus,sycamore,Europe,L.,pseudoplatanus,,,pseudoplatanus,Acer,tree,,Sapindaceae,Sapindales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,42.58,13.04,42.9667,13.0667,Appennines,Italy,Europe,792,GPS Visualizer,2,2,forest - unspecified,45,675,4,.,12.79,0.0542,20,no,exponential,,,0,15,N
14,Gazzera et al. 1991 Verh. Internation. Verein. Limnol.,,NG14,Acer rubrum,red maple,US,L.,rubrum,,,rubrum,Acer,tree,,Sapindaceae,Sapindales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,42.58,13.04,42.9667,13.0667,Appennines,Italy,Europe,792,GPS Visualizer,2,2,forest - unspecified,45,675,4,.,45.6,0.0152,20,no,exponential,,,0,15,N
15,Gazzera et al. 1991 Verh. Internation. Verein. Limnol.,,NG15,Ulmus procera,English elm,Europe,Salisb.,procera,,,procera,Ulmus,tree,,Ulmaceae,Urticales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,39.25,-77.25,39.4167,-77.0103,"Appalachian Mountains, MD",USA,North America,188,GPS Visualizer,2,2,forest - unspecified,28,450,4,.,26.36,0.0263,20,no,exponential,,,0,16.1,N
16,Gazzera et al. 1991 Verh. Internation. Verein. Limnol.,,NG16,Ulmus americana,American elm,North America,L.,americana-ulmus,,,americana,Ulmus,tree,,Ulmaceae,Urticales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,39.25,-77.25,39.4167,-77.0103,"Appalachian Mountains, MD",USA,North America,188,GPS Visualizer,2,2,forest - unspecified,28,450,4,.,53.73,0.0129,20,no,exponential,,,0,16.1,N
17,Gazzera et al. 1991 Verh. Internation. Verein. Limnol.,,NG17,Acer pseudoplatanus,sycamore,Europe,L.,pseudoplatanus,,,pseudoplatanus,Acer,tree,,Sapindaceae,Sapindales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,39.25,-77.25,39.4167,-77.0103,"Appalachian Mountains, MD",USA,North America,188,GPS Visualizer,2,2,forest - unspecified,49,675,4,.,24.32,0.0285,20,no,exponential,,,0,13.8,N
18,Gazzera et al. 1991 Verh. Internation. Verein. Limnol.,,NG18,Acer rubrum,red maple,US,L.,rubrum,,,rubrum,Acer,tree,,Sapindaceae,Sapindales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,39.25,-77.25,39.4167,-77.0103,"Appalachian Mountains, MD",USA,North America,188,GPS Visualizer,2,2,forest - unspecified,49,675,4,.,47.48,0.0146,20,no,exponential,,,0,13.8,N
21,Goncalves et al. 2006 JNABS,,NG21,Alnus glutinosa,european alder,Europe,(L.) Gaertn.,glutinosa,,,glutinosa,Alnus,tree,Betuleae,Betulaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,40.6,-8.14,40.1,-8.2372,"Lousa Mountains, Central (temperate)",Portugal,Europe,230,Reported value,4,4,shrubland,35,371,4,coarse,23.5,0.0295,12,no,exponential,7.5,12.4,4.9,10.6,N
22,Goncalves et al. 2006 JNABS,,NG22,Alnus glutinosa,european alder,Europe,(L.) Gaertn.,glutinosa,,,glutinosa,Alnus,tree,Betuleae,Betulaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,40.6,-8.14,40.1,-8.2372,"Lousa Mountains, Central (temperate)",Portugal,Europe,230,Reported value,4,4,shrubland,35,371,4,fine,41.76,0.0166,12,no,exponential,7.5,12.4,4.9,10.6,N
