partnerid,part.str,k
1,1 1,0.001888451
1,1 3,0.000277046
1,1 4,0.000159489
2,2 1,0.004162961
2,2 2,0.000484193
2,2 3,0.004138023
2,2 4,0.002457862
3,3 1,0.005060228
3,3 2,0.001372695
3,3 3,0.006570458
3,3 4,0.002882196
4,4 1,0.005679603
4,4 2,0.005246377
4,4 3,0.00273236
5,5 1,0.003138216
5,5 4,0.005396193
8,8 2,0.000767024
10,10 1,0.005163708
10,10 2,0.004774897
10,10 3,0.006837336
10,10 4,0.005128234
11,11 1,0.000989776
11,11 2,0.001873274
11,11 3,0.00255693
11,11 4,0.003050427
12,12 1,0.003021356
12,12 2,0.001609623
12,12 3,0.001346165
12,12 4,0.003862598
13,13 1,0.000182694
13,13 2,0.000402517
13,13 3,0.000140558
13,13 4,0.000151777
14,14 1,0.000319669
14,14 2,0.000670806
14,14 3,0.000461114
14,14 4,0.000406039
15,15 1,0.00118483
15,15 2,0.001481127
15,15 4,0.000264234
16,16 1,0.001049386
16,16 2,0.000448221
16,16 3,0.000230291
17,17 2,0.007520319
17,17 3,0.00598144
17,17 4,0.010125518
18,18 3,0.002254577
18,18 4,0.001100599
19,19 1,0.003322981
19,19 2,0.005751646
19,19 3,0.001573096
19,19 4,0.003000058
20,20 1,0.000920106
20,20 2,0.000349457
20,20 3,0.000204935
20,20 4,0.000307558
21,21 1,0.001122487
21,21 2,0.000644469
21,21 3,0.000572105
21,21 4,0.00067825
22,22 1,0.005634068
22,22 2,0.000637522
22,22 3,0.00367267
22,22 4,0.001539746
23,23 1,0.001128075
23,23 2,0.000864726
23,23 3,0.001656316
23,23 4,0.001117283
26,26 1,0.006237113
26,26 2,0.000513854
26,26 3,0.000642195
26,26 4,0.000444654
27,27 1,0.00324403
27,27 2,0.001163146
27,27 3,0.001322025
28,28 1,0.000340349
28,28 2,0.006696812
28,28 3,0.001122164
30,30 1,0.006592049
30,30 2,0.000819117
30,30 3,0.002842294
30,30 4,0.000935161
33,33 1,0.000199058
33,33 2,0.000268254
33,33 3,0.000162667
33,33 4,0.000271643
34,34 1,0.002003476
34,34 2,0.000173376
34,34 4,0.000538681
35,35 1,0.002094586
35,35 2,0.000365844
35,35 3,0.000321777
35,35 4,0.000300996
36,36 1,0.006129425
36,36 2,0.00360843
36,36 3,0.007254375
36,36 4,0.010704872
39,39 3,0.000384713
41,41 1,0.006705936
41,41 2,0.010981597
41,41 3,0.007603874
41,41 4,0.00650821
42,42 1,0.009211193
42,42 2,0.004952489
42,42 3,0.005272228
42,42 4,0.002134668
43,43 1,0.000193218
43,43 2,0.000647841
43,43 3,0.002064715
43,43 4,0.001387792
44,44 1,0.003868794
44,44 2,0.007529191
44,44 3,0.004975078
45,45 1,0.00037298
45,45 2,0.000215459
45,45 3,0.000385362
45,45 4,0.000508651
46,46 1,0.000333474
46,46 2,0.000134274
46,46 4,0.000398876
47,47 1,0.000269572
47,47 2,0.000213568
47,47 3,0.000232268
48,48 3,0.000280604
48,48 4,0.004149386
49,49 1,0.00106943
49,49 2,0.003983038
49,49 4,0.001739612
53,53 1,0.000263995
53,53 2,0.000954562
53,53 3,0.002431432
53,53 4,0.00017779
55,55 1,0.005365227
55,55 2,0.000384829
57,57 1,0.005093659
57,57 2,0.005166716
57,57 3,0.001659768
57,57 4,0.00089411
57,57 5,0.002352233
57,57 6,0.002154783
57,57 7,0.000174023
57,57 8,0.002699755
57,57 9,0.000361079
57,57 10,0.002760522
57,57 11,0.00094396
57,57 12,0.000265011
58,58 1,0.002344279
58,58 3,0.005756267
58,58 4,0.007190752
59,59 1,0.000767568
59,59 2,0.003501289
59,59 3,0.002404435
61,61 1,0.002026193
61,61 2,0.000950661
61,61 3,0.002062127
61,61 4,0.001601151
62,62 1,0.000285914
62,62 2,0.000283038
62,62 3,0.000329203
