partnerid,part.str,k
1,1 1,0.009515589
1,1 2,0.004792487
1,1 3,0.002030021
1,1 4,0.001612509
2,2 1,0.029536562
2,2 2,0.0035165
2,2 3,0.030112676
2,2 4,0.016360422
3,3 1,0.062298606
3,3 2,0.016572547
3,3 3,0.071309484
3,3 4,0.028801801
4,4 1,0.024854597
4,4 2,0.022062822
4,4 3,0.01168762
5,5 1,0.023501052
5,5 2,0.036863863
5,5 3,0.060756228
5,5 4,0.041894881
6,6 1,0.080502858
6,6 2,0.12517232
6,6 3,0.123557714
7,7 1,0.002489176
7,7 2,0.008898666
7,7 3,0.016976431
7,7 4,0.002074345
8,8 1,0.047915591
8,8 2,0.004979171
9,9 1,0.003886171
9,9 2,0.0047652
9,9 3,0.004057503
9,9 4,0.024414944
10,10 1,0.02043005
10,10 2,0.016998967
10,10 3,0.040228801
10,10 4,0.020109672
11,11 1,0.011882175
11,11 2,0.022452668
11,11 3,0.037593861
11,11 4,0.038768281
12,12 1,0.024157013
12,12 2,0.012512064
12,12 3,0.009783205
12,12 4,0.026164888
13,13 1,0.003088982
13,13 2,0.005864299
13,13 3,0.002428477
13,13 4,0.002579836
14,14 1,0.002231276
14,14 2,0.003834794
14,14 3,0.00332595
14,14 4,0.002908196
15,15 1,0.003112718
15,15 2,0.00347068
15,15 3,0.001252897
15,15 4,0.001333446
16,16 1,0.009206086
16,16 2,0.005195183
16,16 3,0.002808762
16,16 4,0.002201339
17,17 1,0.026733218
17,17 2,0.070353675
17,17 3,0.053761599
17,17 4,0.080234291
18,18 1,0.0091108
18,18 2,0.006967407
18,18 3,0.009386078
18,18 4,0.005702578
19,19 1,0.026619927
19,19 2,0.048003629
19,19 3,0.012040088
19,19 4,0.030953303
20,20 1,0.007979793
20,20 2,0.003527387
20,20 3,0.002419134
20,20 4,0.003102875
21,21 1,0.008402769
21,21 2,0.005160804
21,21 3,0.004929149
21,21 4,0.005831145
22,22 1,0.056885785
22,22 2,0.006693771
22,22 3,0.038274068
22,22 4,0.019658493
23,23 1,0.026111399
23,23 2,0.01941097
23,23 3,0.042128408
23,23 4,0.027434082
25,25 1,0.026715663
25,25 2,0.049861282
25,25 4,0.053282992
26,26 1,0.033304175
26,26 2,0.003515195
26,26 3,0.003407765
26,26 4,0.003162623
27,27 1,0.027523039
27,27 2,0.009385732
27,27 3,0.011388799
27,27 4,0.021489804
28,28 1,0.00325187
28,28 2,0.055286639
28,28 3,0.01231804
29,29 1,0.088936162
29,29 2,0.038637002
29,29 3,0.078014159
29,29 4,0.083103455
30,30 1,0.088312333
30,30 2,0.009929551
30,30 3,0.041810215
30,30 4,0.012621872
31,31 1,0.003257291
31,31 2,0.012287703
31,31 3,0.021859386
32,32 1,0.161208934
32,32 2,0.076480985
32,32 4,0.085582108
33,33 1,0.002016992
33,33 2,0.002960216
33,33 3,0.002459027
33,33 4,0.002640938
34,34 1,0.030516373
34,34 2,0.002885636
34,34 3,0.003366089
34,34 4,0.008268968
35,35 1,0.015615538
35,35 2,0.003126452
35,35 3,0.00266725
35,35 4,0.002485959
36,36 1,0.075264257
36,36 2,0.045674256
36,36 3,0.089897697
36,36 4,0.135611287
37,37 1,0.104437435
37,37 2,0.002275371
37,37 3,0.106057591
37,37 4,0.006422781
38,38 1,0.039121764
38,38 2,0.045062771
38,38 3,0.032630228
38,38 4,0.060352928
39,39 1,0.002814273
39,39 2,0.026175934
39,39 3,0.003699333
39,39 4,0.014746378
40,40 1,0.006984138
40,40 2,0.025669912
40,40 3,0.028073446
40,40 4,0.007576897
41,41 1,0.062073444
41,41 2,0.098509235
41,41 3,0.072505922
41,41 4,0.061716746
42,42 1,0.089907487
42,42 2,0.047234226
42,42 3,0.04129999
42,42 4,0.016840892
43,43 1,0.002967012
43,43 2,0.009594244
43,43 3,0.032647112
43,43 4,0.024669164
44,44 1,0.105392133
44,44 2,0.20233336
44,44 3,0.117854719
45,45 1,0.002628553
45,45 2,0.002105955
45,45 3,0.002656201
45,45 4,0.003247779
46,46 1,0.003826866
46,46 2,0.001729649
46,46 3,0.00718315
46,46 4,0.005149728
47,47 1,0.002589717
47,47 2,0.002516494
47,47 3,0.002337527
47,47 4,0.001790293
48,48 2,0.073783986
48,48 3,0.003142668
48,48 4,0.054569537
49,49 1,0.012661776
49,49 2,0.054460466
49,49 3,0.11152427
49,49 4,0.025178876
50,50 1,0.035569449
50,50 2,0.070492638
50,50 3,0.088860872
50,50 4,0.033827874
51,51 1,0.007295264
51,51 2,0.007646315
51,51 3,0.013761581
51,51 4,0.023729949
52,52 1,0.05529947
52,52 2,0.040878862
52,52 3,0.022718523
52,52 4,0.038931899
53,53 1,0.004793373
53,53 2,0.021909056
53,53 3,0.058621968
53,53 4,0.003506974
54,54 3,0.101757442
55,55 1,0.040928258
