Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,17O,18O,33S,34S
174,265.12111,265.1211337486228,265.12103438523906,1013549.4,-9999,592712,15.21,-1,0.37478498823840456,0.9748350812768576,0,0.5849010487661146,1,2.090909090909091,0.4545454545454546,P1 O5,de-protonated,0,-9999,C11 H23 O5 P1,11,23,5,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
175,265.144428,265.1444517298204,265.1445327350191,1130288.9,-9999,617852,17.18,-1,-0.30551336608376867,0.98320647695892,0,0.589923886175352,5,1.4666666666666666,0.26666666666666666,O4,de-protonated,0,-9999,C15 H22 O4,15,22,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
176,265.147725,265.14774872716185,265.14790403833905,3838001.3,-9999,483048.9,63.06,-1,-0.5857529885396138,0.939642086538302,0,0.5637852519229811,0,2.1666666666666665,0.3333333333333333,S1 O4,de-protonated,0,-9999,C12 H26 O4 S1,12,26,4,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999
176,265.147725,265.14774872716185,265.1475239158191,3838001.3,-9999,483048.9,63.06,-1,0.84787268406393,0.8777080135623905,0,0.5266248081374343,5,1.6428571428571428,0.07142857142857142,N2 P1 O1,de-protonated,0,-9999,C14 H23 O1 N2 P1,14,23,1,2,1,-9999,-9999,-9999,-9999,-9999,-9999
177,265.180736,265.18075970054355,265.1809182443691,1567414.4,-9999,572229.6,24.59,-1,-0.5978704145997643,0.9371999202912964,0,0.5623199521747778,4,1.625,0.1875,O3,de-protonated,0,-9999,C16 H26 O3,16,26,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
181,267.072936,267.07295817477114,267.0730250193591,1072207.8,-9999,1001202,16.2,-1,-0.25028580827026936,0.9886978669760838,0,0.59321872018565025,1,2,0.4,S2 O4,de-protonated,0,-9999,C10 H20 O4 S2,10,20,4,-9999,-9999,2,-9999,-9999,-9999,-9999,-9999
182,267.073401,267.07342317439617,267.07349305000906,3965775.8,-9999,564282.9,65.22,-1,-0.26163439919131837,0.9876561907398844,0,0.5925937144439306,7,1.2,0.5,N4 O5,de-protonated,0,-9999,C10 H12 O5 N4,10,12,5,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999
183,267.087213,267.0872351632589,267.08741178077906,1289169.9,-9999,547297.8,19.87,-1,-0.6612723488616092,0.9237220311776418,0,0.554233218706585,6,1.2307692307692308,0.4615384615384616,O6,de-protonated,0,-9999,C13 H16 O6,13,16,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
184,267.123653,267.12367513387557,267.12379729012906,1575255.3,-9999,504216.5,24.72,-1,-0.45730202526233504,0.9627654271722572,0,0.5776592563033544,5,1.4285714285714286,0.35714285714285715,O5,de-protonated,0,-9999,C14 H20 O5,14,20,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
185,267.160038,267.16006010453657,267.16018279947906,5226588.5,-9999,638562.7,86.58,-1,-0.45925609574271126,0.4812263001752948,0.8604105061749867,0.6328999825751715,4,1.6,0.26666666666666666,O4,de-protonated,0,-9999,C15 H24 O4,15,24,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
186,267.196428,267.1964500751936,267.19656830882906,3352930,-9999,598901.7,54.84,-1,-0.4424968337889032,0.9650954424900118,0,0.579057265494007,3,1.75,0.1875,O3,de-protonated,0,-9999,C16 H28 O3,16,28,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
190,269.102972,269.10299253785496,269.1030618452391,1918711.5,-9999,625552.6,30.26,-1,-0.2575495933131825,0.9880363240242112,0,0.5928217944145266,5,1.3846153846153846,0.4615384615384616,O6,de-protonated,0,-9999,C13 H18 O6,13,18,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
192,269.139365,269.13938550850946,269.1394473545891,10758013,-9999,580980.7,178.69,-1,-0.22979195446699405,0.9935796239896472,0.9992406253009558,0.9958440245141706,4,1.5714285714285714,0.35714285714285715,O5,de-protonated,0,-9999,C14 H22 O5,14,22,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
194,269.175725,269.17574547919065,269.1758328639391,12303234,-9999,625478.4,204.64,-1,-0.3246381649875506,0.9890067188697368,0.9995313299381922,0.993216563297119,3,1.7333333333333334,0.26666666666666666,O4,de-protonated,0,-9999,C15 H26 O4,15,26,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
196,269.212156,269.2121764498146,269.2122183732891,10581895,-9999,531128.2,175.73,-1,-0.15572649247305428,0.9957640255207816,0.997416266547304,0.9964249219313904,2,1.875,0.1875,O3,de-protonated,0,-9999,C16 H30 O3,16,30,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
