Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,18O,34S
81,265.180528,265.1806613330484,265.1809182443691,970001.9,-9999,778598.2,14.64,-1,-0.9688152615306516,0.84340476890095,0,0.50604286134057,4,1.625,0.1875,O3,de-protonated,0,-9999,C16 H26 O3,16,26,3,-9999,-9999,-9999,-9999,N/A,-9999
82,266.089106,266.08923710975586,266.0890094364491,1194641.1,-9999,854034.2,18.48,-1,0.8556283750674961,0.8756064315564154,0,0.5253638589338492,1,2.1,0.3,N1 S2 O3,de-protonated,0,-9999,C10 H21 O3 N1 S2,10,21,3,1,-9999,2,-9999,N/A,-9999
84,267.073119,267.07324770187364,267.0730250193591,1817625.6,-9999,850407.2,29.14,-1,0.8337888655925291,0.8814880537999737,0,0.5288928322799842,1,2,0.4,S2 O4,de-protonated,0,-9999,C10 H20 O4 S2,10,20,4,-9999,-9999,2,-9999,N/A,-9999
84,267.073119,267.07324770187364,267.07349305000906,1817625.6,-9999,850407.2,29.14,-1,-0.9186540102516936,0.8580189296823014,0,0.5148113578093808,7,1.2,0.5,N4 O5,de-protonated,0,-9999,C10 H12 O5 N4,10,12,5,4,-9999,-9999,-9999,N/A,-9999
85,267.15985,267.15997848964264,267.16018279947906,1599781.6,-9999,839366.3,25.41,-1,-0.7647465811665228,0.8993185529385463,0,0.5395911317631278,4,1.6,0.26666666666666666,O4,de-protonated,0,-9999,C15 H24 O4,15,24,4,-9999,-9999,-9999,-9999,N/A,-9999
86,267.196213,267.1963414006623,267.19656830882906,1131690.6,-9999,864826.6,17.4,-1,-0.8492181176452862,0.8773444492280711,0,0.5264066695368427,3,1.75,0.1875,O3,de-protonated,0,-9999,C16 H28 O3,16,28,3,-9999,-9999,-9999,-9999,N/A,-9999
88,269.139121,269.1392446463616,269.1394473545891,3490612.5,-9999,825524.2,57.36,-1,-0.7531717460868277,0.9021901469900492,0,0.5413140881940296,4,1.5714285714285714,0.35714285714285715,O5,de-protonated,0,-9999,C14 H22 O5,14,22,5,-9999,-9999,-9999,-9999,N/A,-9999
91,269.175529,269.1756525572711,269.1758328639391,4289849.5,-9999,822955.7,70.94,-1,-0.669847162922863,0.921810914331846,0,0.5530865485991076,3,1.7333333333333334,0.26666666666666666,O4,de-protonated,0,-9999,C15 H26 O4,15,26,4,-9999,-9999,-9999,-9999,N/A,-9999
94,269.211905,269.212028468259,269.2122183732891,5304638.5,-9999,780920.7,88.19,-1,-0.7054101453159718,0.4568333218424919,0.8524773804394659,0.6150909452812815,2,1.875,0.1875,O3,de-protonated,0,-9999,C16 H30 O3,16,30,3,-9999,-9999,-9999,-9999,N/A,-9999
98,271.154813,271.1549317139583,271.15509741904907,1918787.6,-9999,820785.5,30.64,-1,-0.6111081529660679,0.9344823046181128,0,0.5606893827708677,3,1.7142857142857142,0.35714285714285715,O5,de-protonated,0,-9999,C14 H24 O5,14,24,5,-9999,-9999,-9999,-9999,N/A,-9999
100,271.191211,271.1913296248923,271.19148292839907,4290632.5,-9999,823630.3,70.95,-1,-0.5652961704186558,0.943665330280574,0,0.5661991981683443,2,1.8666666666666667,0.26666666666666666,O4,de-protonated,0,-9999,C15 H28 O4,15,28,4,-9999,-9999,-9999,-9999,N/A,-9999
105,273.134128,273.1342418705696,273.13436197415905,1225801.5,-9999,819654.1,18.72,-1,-0.4397234700539852,0.9655239953333083,0,0.579314397199985,3,1.6923076923076923,0.4615384615384616,O6,de-protonated,0,-9999,C13 H22 O6,13,22,6,-9999,-9999,-9999,-9999,N/A,-9999
106,273.170528,273.1706417814987,273.17074748350905,1077582.3,-9999,790157.9,16.22,-1,-0.38694483689808,0.9731980792917064,0,0.5839188475750238,2,1.8571428571428572,0.35714285714285715,O5,de-protonated,0,-9999,C14 H26 O5,14,26,5,-9999,-9999,-9999,-9999,N/A,-9999
107,273.206909,273.2070226924743,273.2071329928591,1574739,-9999,777678,24.61,-1,-0.4037243961455804,0.9708581225570968,0,0.582514873534258,1,2,0.26666666666666666,O4,de-protonated,0,-9999,C15 H30 O4,15,30,4,-9999,-9999,-9999,-9999,N/A,-9999
110,277.056397,277.0565012727677,277.0565055750291,855236.8,-9999,478988.3,12.46,-1,-0.01552846194069852,0.9999562476674524,0,0.5999737486004714,4,1.4,0.9,O9,de-protonated,0,-9999,C10 H14 O9,10,14,9,-9999,-9999,-9999,-9999,N/A,-9999
111,277.057052,277.0571562711649,277.0573749548991,1480388.9,-9999,424986.6,23.01,-1,-0.7893084753269939,0.8931113985830456,0,0.5358668391498274,3,1.6363636363636365,0.3636363636363637,S2 O4,de-protonated,0,-9999,C11 H18 O4 S2,11,18,4,-9999,-9999,2,-9999,N/A,-9999
111,277.057052,277.0571562711649,277.0569948323791,1480388.9,-9999,424986.6,23.01,-1,0.5826916079907909,0.9402521607666048,0,0.5641512964599629,8,1.1538461538461535,0.07692307692307693,N2 S1 P1 O1,de-protonated,0,-9999,C13 H15 O1 N2 P1 S1,13,15,1,2,1,1,-9999,N/A,-9999
112,277.057599,277.0577032698264,277.05784298554903,1311685,-9999,535021.3,20.16,-1,-0.504283586177179,0.9549056376904276,0,0.5729433826142565,9,0.9090909090909092,0.4545454545454546,N4 O5,de-protonated,0,-9999,C11 H10 O5 N4,11,10,5,4,-9999,-9999,-9999,N/A,-9999
114,277.059521,277.0596252651233,277.0594967558291,8563525,-9999,837124.9,142.49,-1,0.4638328435032296,0.957678977061094,0.961036644096401,0.9590220438752168,4,1.6666666666666667,0.6666666666666666,N2 P1 O6,de-protonated,0,-9999,C9 H15 O6 N2 P1,9,15,6,2,1,-9999,-9999,N/A,-9999
116,277.060111,277.06021526367954,277.0603661356991,1606213.3,-9999,619148.9,25.13,-1,-0.5445456586393037,0.9476168981338532,0,0.5685701388803119,3,1.9,0.1,N2 S2 P1 O1,de-protonated,0,-9999,C10 H19 O1 N2 P1 S2,10,19,1,2,1,2,-9999,N/A,-9999
117,277.060429,277.0605332629014,277.0603661356991,1009093.3,-9999,549887.1,15.06,-1,0.6032158429376633,0.9361087567720646,0,0.5616652540632388,3,1.9,0.1,N2 S2 P1 O1,de-protonated,0,-9999,C10 H19 O1 N2 P1 S2,10,19,1,2,1,2,-9999,N/A,-9999
118,277.06088,277.0609842617978,277.06121428886905,1417669.4,-9999,562579.4,21.95,-1,-0.8302391652273571,0.8824333226517521,0,0.5294599935910512,4,1.75,0.625,N4 S1 O5,de-protonated,0,-9999,C8 H14 O5 N4 S1,8,14,5,4,-9999,1,-9999,N/A,-9999
119,277.061499,277.0616032602831,277.0618657375491,1168965.5,-9999,582948,17.75,-1,-0.9473597721825242,0.8497199289994946,0,0.5098319573996967,13,0.625,0.1875,N2 O3,de-protonated,0,-9999,C16 H10 O3 N2,16,10,3,2,-9999,-9999,-9999,N/A,-9999
120,277.061827,277.0619312594805,277.0618657375491,1221829.5,-9999,597307.4,18.64,-1,0.23648845074887911,0.989903473529898,0,0.5939420841179388,13,0.625,0.1875,N2 O3,de-protonated,0,-9999,C16 H10 O3 N2,16,10,3,2,-9999,-9999,-9999,N/A,-9999
124,277.063593,277.0636972551591,277.0635195078291,934405.8,-9999,410216.1,13.8,-1,0.6415399990511687,0.92804089092822994,0,0.5568245345569379,8,1.0714285714285714,0.2857142857142857,P1 O4,de-protonated,0,-9999,C14 H15 O4 P1,14,15,4,-9999,1,-9999,-9999,N/A,-9999
