Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,17O,18O,33S,34S
2,187.097532,187.09756119043283,187.0975825416391,1481683,-9999,1015269.2,26.16,-1,-0.1141180232336534,0.9976397973571468,0,0.5985838784142881,2,1.7777777777777777,0.4444444444444444,O4,de-protonated,0,-9999,C9 H16 O4,9,16,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
6,199.097538,199.09756559544303,199.0975825416391,3739317,-9999,686193.1,68.04,-1,-0.08511502677822584,0.9986863462922254,0,0.5992118077753352,3,1.6,0.4,O4,de-protonated,0,-9999,C10 H16 O4,10,16,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
8,201.113183,201.11321032753207,201.11323260609907,1220675.9,-9999,640387.6,20.81,-1,-0.11077623641757796,0.997775852297912,0,0.5986655113787471,2,1.8,0.4,O4,de-protonated,0,-9999,C10 H18 O4,10,18,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
14,209.154624,209.15465025869793,209.15470349587903,918522.3,-9999,811218,14.96,-1,-0.25453494587866154,0.9883131238157375,0,0.5929878742894426,3,1.6923076923076923,0.15384615384615383,O2,de-protonated,0,-9999,C13 H22 O2,13,22,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
16,211.097557,211.09758300045152,211.0975825416391,984329,-9999,767178.7,16.12,-1,0.00217346128362538,0.9999991428487576,0,0.5999994857092545,4,1.4545454545454546,0.3636363636363637,O4,de-protonated,0,-9999,C11 H16 O4,11,16,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
17,211.133975,211.134000995611,211.13396805098907,1005454.2,-9999,808427.1,16.51,-1,0.15603657822224168,0.9955919379126372,0,0.5973551627475824,3,1.6666666666666667,0.25,O3,de-protonated,0,-9999,C12 H20 O3,12,20,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
19,213.07679,213.0768157373803,213.07684709674908,837064.3,-9999,874843.1,13.41,-1,-0.14717398543248947,0.9960775016063652,0,0.5976465009638191,4,1.4,0.5,O5,de-protonated,0,-9999,C10 H14 O5,10,14,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
20,213.113226,213.11325173253735,213.11323260609907,873101.7,-9999,707526.8,14.07,-1,0.08974777431453891,0.9985395594637184,0,0.5991237356782311,3,1.6363636363636365,0.3636363636363637,O4,de-protonated,0,-9999,C11 H18 O4,11,18,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
21,213.14957,213.1495957277067,213.14961811544907,990643.1,-9999,675975.1,16.23,-1,-0.10503299313569128,0.998000272981716,0,0.5988001637890297,2,1.8333333333333333,0.25,O3,de-protonated,0,-9999,C12 H22 O3,12,22,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
22,215.092475,215.09250046946403,215.09249716120908,965976,-9999,792436.9,15.72,-1,0.01538061527061543,0.9999570768164754,0,0.5999742460898853,3,1.6,0.5,O5,de-protonated,0,-9999,C10 H16 O5,10,16,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
23,215.128847,215.1288724646296,215.12888267055905,1675133.5,-9999,737941.7,28.7,-1,-0.04744100055424784,0.9995917061548584,0,0.5997550236929151,2,1.818181818181818,0.3636363636363637,O4,de-protonated,0,-9999,C11 H20 O4,11,20,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
24,217.108098,217.108123201556,217.1081472256691,786897.9,-9999,754111.4,12.39,-1,-0.11065505092835327,0.997780710521296,0,0.5986684263127776,2,1.8,0.5,O5,de-protonated,0,-9999,C10 H18 O5,10,18,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
25,218.103378,218.1034030692676,218.10339619786907,1502864.5,-9999,787237.7,25.45,-1,0.03150523389964572,0.999819913923376,0,0.5998919483540255,2,1.8888888888888888,0.5555555555555556,N1 O5,de-protonated,0,-9999,C9 H17 O5 N1,9,17,5,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
27,225.113218,225.11324213754943,225.11323260609907,1293475.9,-9999,726899,21.37,-1,0.04234069338928454,0.9996747636141556,0,0.5998048581684934,4,1.5,0.3333333333333333,O4,de-protonated,0,-9999,C12 H18 O4,12,18,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
31,227.092479,227.0925028744745,227.09249716120908,991036.6,-9999,863475.3,15.91,-1,0.02515831866147986,0.9998851602820086,0,0.5999310961692051,4,1.4545454545454546,0.4545454545454546,O5,de-protonated,0,-9999,C11 H16 O5,11,16,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
33,227.128849,227.12887286964036,227.12888267055905,2721859,-9999,669107.3,47.14,-1,-0.04315135342860606,0.9996621924844724,0,0.5997973154906835,3,1.6666666666666667,0.3333333333333333,O4,de-protonated,0,-9999,C12 H20 O4,12,20,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
34,227.140098,227.14012186814517,227.14011605984908,997317,-9999,669946.5,16.02,-1,0.02557142346984376,0.999881358160166,0,0.5999288148960995,3,1.818181818181818,0.2727272727272727,N2 O3,de-protonated,0,-9999,C11 H20 O3 N2,11,20,3,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
35,229.144517,229.14454060172633,229.14453273501908,3155879,-9999,723924.1,54.75,-1,0.03433076563583707,0.9997861671772368,0,0.5998717003063421,2,1.8333333333333333,0.3333333333333333,O4,de-protonated,0,-9999,C12 H22 O4,12,22,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
36,229.180883,229.18090659689273,229.18091824436908,1710893.4,-9999,864278.9,28.78,-1,-0.05082219080485489,0.9995314468864904,0,0.5997188681318942,1,2,0.2307692307692308,O3,de-protonated,0,-9999,C13 H26 O3,13,26,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
37,231.087419,231.08744234348407,231.0874117807791,1088833.5,-9999,714552.2,17.52,-1,0.1322560356829757,0.996831192758947,0,0.5980987156553682,3,1.6,0.6,O6,de-protonated,0,-9999,C10 H16 O6,10,16,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
38,231.123755,231.12377833865443,231.12379729012903,810376,-9999,764025.7,12.54,-1,-0.0819970719233768,0.998780770029724,0,0.5992684620178343,2,1.818181818181818,0.4545454545454546,O5,de-protonated,0,-9999,C11 H20 O5,11,20,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
66,232.089435,232.08945821030036,232.0896746857791,798069.3,-9999,723891.7,12.31,-1,-0.9327234355873306,0.8539732069334635,0,0.512383924160078,7,1.2307692307692308,0.07692307692307693,N1 P1 O1,de-protonated,0,-9999,C13 H16 O1 N1 P1,13,16,1,1,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999
77,232.092936,232.09295920983504,232.0930459890991,913589.9,-9999,670494.9,14.38,-1,-0.3738985961883637,0.9749524724084524,0,0.5849714834450714,2,2,0.1,N1 S1 P1 O1,de-protonated,0,-9999,C10 H20 O1 N1 P1 S1,10,20,1,1,1,1,-9999,-9999,-9999,-9999,-9999,-9999
78,233.103031,233.10305407557743,233.1030618452391,1085355.9,-9999,784766.1,17.45,-1,-0.03333144393018066,0.9997984335204628,0,0.5998790601122777,2,1.8,0.6,O6,de-protonated,0,-9999,C10 H18 O6,10,18,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
