Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,17O,34S
20,218.98531500000001,218.9853249594153,218.9852691855291,1279693.9,-9999,787354.9,21.39,-1,0.254692411093468,0.9882987443884776,0,0.5929792466330865,9,0.5,0.4,P1 O4,de-protonated,0,-9999,C10 H5 O4 P1,10,5,4,-9999,1,-9999,-9999,N/A,-9999,-9999
59,251.077465,251.07747627873715,251.0772410199191,830096.9,-9999,733570.8,12.57,-1,0.9369977824751032,0.8527357507057606,0,0.5116414504234563,2,1.7777777777777777,0.8888888888888888,O8,de-protonated,0,-9999,C9 H16 O8,9,16,8,-9999,-9999,-9999,-9999,N/A,-9999,-9999
60,251.07802,251.07803127875997,251.07811039978907,3088593,-9999,651728,52.17,-1,-0.31512515757226484,0.982142807706282,0,0.5892856846237692,1,2,0.3,S2 O3,de-protonated,0,-9999,C10 H20 O3 S2,10,20,3,-9999,-9999,2,-9999,N/A,-9999,-9999
83,259.100462,259.10047360856595,259.1005737224391,1470032.9,-9999,520642.4,23.48,-1,-0.38639000951265107,0.9732738493194298,0,0.5839643095916579,8,1.2142857142857142,0.07142857142857142,N2 P1 O1,de-protonated,0,-9999,C14 H17 O1 N2 P1,14,17,1,2,1,-9999,-9999,N/A,-9999,-9999
91,262.975084,262.9750957678533,262.97509842466906,1054990,-9999,971234.3,16.16,-1,-0.01010291760780492,0.9999814798956628,0,0.5999888879373977,10,0.4545454545454546,0.5454545454545454,P1 O6,de-protonated,0,-9999,C11 H5 O6 P1,11,5,6,-9999,1,-9999,-9999,N/A,-9999,-9999
94,263.043671,263.04368277067294,263.0438466913691,2665751.8,-9999,535648.9,43.85,-1,-0.6231687157879212,0.9319616190196516,0,0.5591769714117909,4,1.625,0.75,N2 P1 O6,de-protonated,0,-9999,C8 H13 O6 N2 P1,8,13,6,2,1,-9999,-9999,N/A,-9999,-9999
99,265.040792,265.04080385277547,265.0407363694891,905523.9,-9999,740433.6,13.48,-1,0.2546147709627079,0.9883058354244496,0,0.5929835012546697,17,0.3333333333333333,0.05555555555555555,N2 O1,de-protonated,0,-9999,C18 H6 O1 N2,18,6,1,2,-9999,-9999,-9999,N/A,-9999,-9999
106,265.147557,265.1475688571646,265.1475239158191,13525827,-9999,443168.6,228.82,-1,0.16949562579099145,0.9870997654287008,0.9943889234156628,0.9900154286234856,5,1.6428571428571428,0.07142857142857142,N2 P1 O1,de-protonated,0,-9999,C14 H23 O1 N2 P1,14,23,1,2,1,-9999,-9999,N/A,-9999,-9999
109,266.089078,266.08908989587087,266.0890094364491,1556166.1,-9999,578510,24.58,-1,0.3023778469901784,0.983546578795689,0,0.5901279472774134,1,2.1,0.3,N1 S2 O3,de-protonated,0,-9999,C10 H21 O3 N1 S2,10,21,3,1,-9999,2,-9999,N/A,-9999,-9999
110,266.150957,266.1509688984148,266.1508787508891,1948110.8,-9999,489484,31.27,-1,0.3387083527516395,0.979398764869122,0.9943889234156628,0.9853948282877384,5,1.7692307692307692,0.07692307692307693,13C1 N2 P1 O1,de-protonated,1,106,C13 H23 O1 N2 P1 13C1,13,23,1,2,1,-9999,1,N/A,-9999,-9999
110,266.150957,266.1509688984148,266.15101509650907,1948110.8,-9999,489484,31.27,-1,-0.173578501049345,0.994547959143548,0,0.5967287754861288,5,1.6153846153846154,0.2307692307692308,N3 O3,de-protonated,0,-9999,C13 H21 O3 N3,13,21,3,3,-9999,-9999,-9999,N/A,-9999,-9999
112,267.050597,267.05060893539934,267.0508640800991,1074890.8,-9999,589682.4,16.37,-1,-0.9554161175053804,0.8473597144144257,0,0.5084158286486554,2,2.4285714285714284,0.14285714285714285,N4 S2 P1 O1,de-protonated,0,-9999,C7 H17 O1 N4 P1 S2,7,17,1,4,1,2,-9999,N/A,-9999,-9999
113,267.073204,267.0732159363287,267.0730250193591,1915725.8,-9999,512832.7,30.71,-1,0.714849317445673,0.9114468373382092,0,0.5468681024029255,1,2,0.4,S2 O4,de-protonated,0,-9999,C10 H20 O4 S2,10,20,4,-9999,-9999,2,-9999,N/A,-9999,-9999
114,267.087147,267.087158936902,267.08741178077906,1403855.8,-9999,582028.6,21.98,-1,-0.9466708872819356,0.8499211228550553,0,0.5099526737130331,6,1.2307692307692308,0.4615384615384616,O6,de-protonated,0,-9999,C13 H16 O6,13,16,6,-9999,-9999,-9999,-9999,N/A,-9999,-9999
135,271.064201,271.06421310040037,271.0641882130891,1498724.9,-9999,567858.9,23.4,-1,0.09181335031254746,0.9984716127636248,0,0.5990829676581749,10,0.9285714285714286,0.14285714285714285,N2 P1 O2,de-protonated,0,-9999,C14 H13 O2 N2 P1,14,13,2,2,1,-9999,-9999,N/A,-9999,-9999
138,271.15485,271.15486210412695,271.15509741904907,1684528.8,-9999,437120,26.55,-1,-0.8678240769284968,0.8722733880729833,0,0.52336403284379,3,1.7142857142857142,0.35714285714285715,O5,de-protonated,0,-9999,C14 H24 O5,14,24,5,-9999,-9999,-9999,-9999,N/A,-9999,-9999
141,271.227605,271.2276171071179,271.2278684377491,1909370.3,-9999,547762,30.36,-1,-0.9266401445505608,0.8557276801053822,0,0.5134366080632293,1,2,0.1875,O3,de-protonated,0,-9999,C16 H32 O3,16,32,3,-9999,-9999,-9999,-9999,N/A,-9999,-9999
144,273.134086,273.1340981854942,273.13436197415905,2700657.8,-9999,547017.1,43.4,-1,-0.965783517378956,0.8443028270425593,0,0.5065816962255356,3,1.6923076923076923,0.4615384615384616,O6,de-protonated,0,-9999,C13 H22 O6,13,22,6,-9999,-9999,-9999,-9999,N/A,-9999,-9999
145,273.170469,273.17048118698995,273.17074748350905,1068406.4,-9999,582257,15.99,-1,-0.9748354154091188,0.8416159979509165,0,0.5049695987705498,2,1.8571428571428572,0.35714285714285715,O5,de-protonated,0,-9999,C14 H26 O5,14,26,5,-9999,-9999,-9999,-9999,N/A,-9999,-9999
146,273.206895,273.2069071884874,273.2071329928591,850427.1,-9999,426286.2,12.33,-1,-0.8264951549755926,0.8834270564186308,0,0.5300562338511785,1,2,0.26666666666666666,O4,de-protonated,0,-9999,C15 H30 O4,15,30,4,-9999,-9999,-9999,-9999,N/A,-9999,-9999
147,274.093027,274.09303922491665,274.0932254370091,917100.6,-9999,526701.8,13.44,-1,-0.679375027045635,0.9196632406568096,0,0.5517979443940857,4,1.5454545454545454,0.6363636363636364,N1 O7,de-protonated,0,-9999,C11 H17 O7 N1,11,17,7,1,-9999,-9999,-9999,N/A,-9999,-9999
