Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,17O,18O,34S
36,241.134401,241.13440973476335,241.1346367562491,1198033.8,-9999,862876.1,19.37,-1,-0.9414719045821,0.851436331687728,0,0.5108617990126368,8,1.2,0.06666666666666667,N2 O1,de-protonated,0,-9999,C15 H18 O1 N2,15,18,1,2,-9999,-9999,-9999,-9999,N/A,-9999,-9999
45,245.046933,245.04694242510257,245.0468843783491,907875.3,-9999,941868.4,14.13,-1,0.2368801937602555,0.98987016617729,0,0.593922099706374,14,0.42857142857142855,0.07142857142857142,N4 O1,de-protonated,0,-9999,C14 H6 O1 N4,14,6,1,4,-9999,-9999,-9999,-9999,N/A,-9999,-9999
73,263.041972,263.04198460020245,263.04172489043907,1387535.9,-9999,543281.9,22.04,-1,0.9873329544657834,0.8378795172983817,0,0.502727710379029,3,1.6,0.4,S2 O4,de-protonated,0,-9999,C10 H16 O4 S2,10,16,4,-9999,-9999,2,-9999,-9999,N/A,-9999,-9999
73,263.041972,263.04198460020245,263.04219292108905,1387535.9,-9999,543281.9,22.04,-1,-0.7919675710056792,0.8924302600414357,0,0.5354581560248614,9,0.8,0.5,N4 O5,de-protonated,0,-9999,C10 H8 O5 N4,10,8,5,4,-9999,-9999,-9999,-9999,N/A,-9999,-9999
77,265.144599,265.14461197119647,265.1445327350191,1130579.1,-9999,753499.5,17.47,-1,0.2988414528761483,0.983926091316058,0,0.5903556547896347,5,1.4666666666666666,0.26666666666666666,O4,de-protonated,0,-9999,C15 H22 O4,15,22,4,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
83,266.088039,266.0880521376599,266.0881400565791,3281092,-9999,752984.6,54.49,-1,-0.3304127693025271,0.980385689027633,0,0.5882314134165798,2,1.8888888888888888,0.8888888888888888,N1 O8,de-protonated,0,-9999,C9 H17 O8 N1,9,17,8,1,-9999,-9999,-9999,-9999,N/A,-9999,-9999
113,277.056555,277.0565700729785,277.0565055750291,1526881.3,-9999,650780.7,23.96,-1,0.23279709403496193,0.9902146724813214,0,0.5941288034887928,4,1.4,0.9,O9,de-protonated,0,-9999,C10 H14 O9,10,14,9,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
114,277.058,277.0580150732335,277.05784298554903,8933217,-9999,457126.6,149.76,-1,0.6211254754860208,0.8941801906262569,0.991197666252074,0.9329871808765836,9,0.9090909090909092,0.4545454545454546,N4 O5,de-protonated,0,-9999,C11 H10 O5 N4,11,10,5,4,-9999,-9999,-9999,-9999,N/A,-9999,-9999
116,277.060084,277.0600990736012,277.0603661356991,1564001.6,-9999,437782.1,24.59,-1,-0.9639130332630188,0.8448559699415132,0,0.5069135819649079,3,1.9,0.1,N2 S2 P1 O1,de-protonated,0,-9999,C10 H19 O1 N2 P1 S2,10,19,1,2,1,2,-9999,-9999,N/A,-9999,-9999
118,277.061603,277.06161807386917,277.0618657375491,949857.8,-9999,582943,14.15,-1,-0.8938930634990089,0.8650347227988494,0,0.5190208336793096,13,0.625,0.1875,N2 O3,de-protonated,0,-9999,C16 H10 O3 N2,16,10,3,2,-9999,-9999,-9999,-9999,N/A,-9999,-9999
119,277.061932,277.0619470739273,277.0618657375491,908481.8,-9999,388627.8,13.45,-1,0.29356756822730135,0.9844840367165638,0,0.5906904220299383,13,0.625,0.1875,N2 O3,de-protonated,0,-9999,C16 H10 O3 N2,16,10,3,2,-9999,-9999,-9999,-9999,N/A,-9999,-9999
120,277.07065,277.07066507546546,277.07073014511906,824418.6,-9999,849996.9,12.02,-1,-0.2348485297138095,0.9900423189579952,0,0.594025391374797,4,1.875,0.625,N4 P1 O5,de-protonated,0,-9999,C8 H15 O5 N4 P1,8,15,5,4,1,-9999,-9999,-9999,N/A,-9999,-9999
121,277.143408,277.14342308830317,277.14350116381905,1485417.8,-9999,724391.7,23.25,-1,-0.2817151243282132,0.9857028029342436,0,0.5914216817605461,2,2.3,0.3,N4 P1 O3,de-protonated,0,-9999,C10 H23 O3 N4 P1,10,23,3,4,1,-9999,-9999,-9999,N/A,-9999,-9999
122,278.06144,278.06145525028353,278.0611978206191,965315.4,-9999,602677.3,14.32,-1,0.9258021847256656,0.8559687363934834,0.991197666252074,0.9100603083369196,9,1,0.5,13C1 N4 O5,de-protonated,1,114,C10 H10 O5 N4 13C1,10,10,5,4,-9999,-9999,1,-9999,N/A,-9999,-9999
123,278.061923,278.0619382503687,278.0621397833491,1996739.5,-9999,747660,31.72,-1,-0.724776773065792,0.909086305611151,0,0.5454517833666905,3,1.8,0.4,N1 S1 P1 O4,de-protonated,0,-9999,C10 H18 O4 N1 P1 S1,10,18,4,1,1,1,-9999,-9999,N/A,-9999,-9999
125,279.037849,279.0378644225641,279.0379769205291,1154721.6,-9999,722575.7,17.51,-1,-0.4031636347400356,0.9709378336591674,0,0.5825627001955004,8,1.0909090909090908,0.09090909090909093,N4 S2 O1,de-protonated,0,-9999,C11 H12 O1 N4 S2,11,12,1,4,-9999,2,-9999,-9999,N/A,-9999,-9999
127,279.055654,279.0556694257057,279.0557349852691,7435299.5,-9999,744152.4,123.46,-1,-0.2349335821459328,0.4950175705965787,0.8936766034327008,0.6544811837310276,8,1.0909090909090908,0.2727272727272727,N4 S1 O3,de-protonated,0,-9999,C11 H12 O3 N4 S1,11,12,3,4,-9999,1,-9999,-9999,N/A,-9999,-9999
129,279.159133,279.15914844396383,279.1591512282791,2330157.3,-9999,731180,37.34,-1,-0.00997393509876263,0.9999819497598456,0,0.5999891698559073,1,2.5,0.3,N4 P1 O3,de-protonated,0,-9999,C10 H25 O3 N4 P1,10,25,3,4,1,-9999,-9999,-9999,N/A,-9999,-9999
131,281.06567,281.0656857803591,281.0656447646891,915809.6,-9999,767599.9,13.48,-1,0.1459291476656439,0.9961434485316644,0,0.5976860691189987,3,2.142857142857143,0.8571428571428571,N4 P1 O6,de-protonated,0,-9999,C7 H15 O6 N4 P1,7,15,6,4,1,-9999,-9999,-9999,N/A,-9999,-9999
136,282.083403,282.08341895993095,282.08354393349913,833728.2,-9999,791925,12.01,-1,-0.44303742938729695,0.965011615647862,0,0.5790069693887172,6,1.5,0.08333333333333333,N3 S1 P1 O1,de-protonated,0,-9999,C12 H18 O1 N3 P1 S1,12,18,1,3,1,1,-9999,-9999,N/A,-9999,-9999
150,285.124662,285.12467849654007,285.12446599538913,3483477.3,-9999,565651.9,56.39,-1,0.7452925872171958,0.9041249798431588,0,0.5424749879058952,9,1.125,0.1875,N2 O3,de-protonated,0,-9999,C16 H18 O3 N2,16,18,3,2,-9999,-9999,-9999,-9999,N/A,-9999,-9999
152,285.125908,285.1259244967599,285.1261197656691,1067349.3,-9999,665848.2,15.91,-1,-0.6848510032730416,0.9184174753536722,0,0.5510504852122033,4,1.6428571428571428,0.2857142857142857,P1 O4,de-protonated,0,-9999,C14 H23 O4 P1,14,23,4,-9999,1,-9999,-9999,-9999,N/A,-9999,-9999
