Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,34S
34,212.977953,212.97793654133952,212.9780758048191,1345970.5,-9999,887561,30.36,-1,-0.6538864578233277,0.9253515485965704,0,0.5552109291579423,6,0.875,0.375,S1 P1 O3,de-protonated,0,-9999,C8 H7 O3 P1 S1,8,7,3,-9999,1,1,-9999,-9999
42,242.985328,242.9853694554375,242.9852691855291,675557.1,-9999,882524.3,13.71,-1,0.4126583835780781,0.9695741331905792,0,0.5817444799143474,11,0.4166666666666667,0.3333333333333333,P1 O4,de-protonated,0,-9999,C12 H5 O4 P1,12,5,4,-9999,1,-9999,-9999,-9999
49,253.144369,253.1444300623407,253.14453273501908,1491736.6,-9999,751889.8,32.46,-1,-0.4055891600166772,0.970592300633696,0,0.5823553803802176,4,1.5714285714285714,0.2857142857142857,O4,de-protonated,0,-9999,C14 H22 O4,14,22,4,-9999,-9999,-9999,-9999,-9999
53,255.232666,255.23273109274444,255.2329538181791,2097136.1,-9999,964041.1,46.28,-1,-0.8726358855153942,0.8709488974181517,0,0.522569338450891,1,2,0.125,O2,de-protonated,0,-9999,C16 H32 O2,16,32,2,-9999,-9999,-9999,-9999,-9999
54,255.232931,255.2329960932559,255.2329538181791,1282928.1,-9999,713257.5,27.53,-1,0.16563330150541877,0.9950344352526816,0,0.5970206611516089,1,2,0.125,O2,de-protonated,0,-9999,C16 H32 O2,16,32,2,-9999,-9999,-9999,-9999,-9999
60,262.974926,262.9750060352712,262.97509842466906,941507.4,-9999,693320.8,19.48,-1,-0.35132375054282516,0.9778530097849564,0,0.5867118058709738,10,0.4545454545454546,0.5454545454545454,P1 O6,de-protonated,0,-9999,C11 H5 O6 P1,11,5,6,-9999,1,-9999,-9999,-9999
62,262.9758,262.975880036958,262.9759678045391,1887427.5,-9999,599099.6,41.08,-1,-0.333747535225951,0.9799917746812266,0,0.5879950648087359,9,0.75,0.08333333333333333,S2 P1 O1,de-protonated,0,-9999,C12 H9 O1 P1 S2,12,9,1,-9999,1,2,-9999,-9999
63,265.147377,265.1474612280918,265.1475239158191,792568.7,-9999,844659.5,16.01,-1,-0.2364258445772102,0.989908791518876,0,0.5939452749113255,5,1.6428571428571428,0.07142857142857142,N2 P1 O1,de-protonated,0,-9999,C14 H23 O1 N2 P1,14,23,1,2,1,-9999,-9999,-9999
65,269.13941,269.13950193269744,269.1394473545891,854768.1,-9999,598100.8,17.33,-1,0.20278747275388329,0.9925660985359116,0,0.595539659121547,4,1.5714285714285714,0.35714285714285715,O5,de-protonated,0,-9999,C14 H22 O5,14,22,5,-9999,-9999,-9999,-9999,-9999
66,276.991382,276.9914890869679,276.99161786899907,878414.6,-9999,727563.2,17.77,-1,-0.46493114913739864,0.9615371043193218,0,0.5769222625915931,9,0.8461538461538461,0.07692307692307693,S2 P1 O1,de-protonated,0,-9999,C13 H11 O1 P1 S2,13,11,1,-9999,1,2,-9999,-9999
67,277.180623,277.18073045220217,277.1809182443691,766426.7,-9999,695515.2,15.25,-1,-0.6775075575240078,0.9200861801989224,0,0.5520517081193534,5,1.5294117647058822,0.17647058823529413,O3,de-protonated,0,-9999,C17 H26 O3,17,26,3,-9999,-9999,-9999,-9999,-9999
