Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,33S,34S
34,190.957555,190.95745921773425,190.95734035992908,744868.9,-9999,687603.4,12.1,-1,0.6224311930230059,0.9321169800346656,0,0.5592701880207993,4,1,0.8,S1 P1 O4,de-protonated,0,-9999,C5 H5 O4 P1 S1,5,5,4,-9999,1,1,-9999,N/A,-9999,-9999
35,195.139102,195.1390095432044,195.13905343141903,826432.4,-9999,760670.9,13.56,-1,-0.22490738727461485,0.9908637125412568,0,0.5945182275247541,3,1.6666666666666667,0.16666666666666666,O2,de-protonated,0,-9999,C12 H20 O2,12,20,2,-9999,-9999,-9999,-9999,N/A,-9999,-9999
36,199.061273,199.06118366239988,199.06119703228907,754602.9,-9999,770950.2,12.16,-1,-0.06716471812677668,0.9991818018539126,0,0.5995090811123476,4,1.3333333333333333,0.5555555555555556,O5,de-protonated,0,-9999,C9 H12 O5,9,12,5,-9999,-9999,-9999,-9999,N/A,-9999,-9999
37,209.154818,209.15473668952063,209.15470349587903,1133567.3,-9999,746155.9,18.95,-1,0.15870377770949756,0.9954402992120716,0,0.597264179527243,3,1.6923076923076923,0.15384615384615383,O2,de-protonated,0,-9999,C13 H22 O2,13,22,2,-9999,-9999,-9999,-9999,N/A,-9999,-9999
38,211.134088,211.13400826358,211.13396805098907,1023715.1,-9999,841231.3,16.86,-1,0.1904600728295697,0.9934395560625654,0,0.5960637336375392,3,1.6666666666666667,0.25,O3,de-protonated,0,-9999,C12 H20 O3,12,20,3,-9999,-9999,-9999,-9999,N/A,-9999,-9999
41,215.092571,215.09249441165343,215.09249716120908,809818.9,-9999,659747,12.87,-1,-0.01278313137064435,0.999970350191408,0,0.5999822101148448,3,1.6,0.5,O5,de-protonated,0,-9999,C10 H16 O5,10,16,5,-9999,-9999,-9999,-9999,N/A,-9999,-9999
42,217.108202,217.10812701462976,217.1081472256691,799922.4,-9999,672668.1,12.64,-1,-0.0930920354014625,0.9984287782937564,0,0.5990572669762538,2,1.8,0.5,O5,de-protonated,0,-9999,C10 H18 O5,10,18,5,-9999,-9999,-9999,-9999,N/A,-9999,-9999
43,218.103454,218.1033798061265,218.10339619786907,912663.7,-9999,655318.3,14.7,-1,-0.07515583371175377,0.9989756303849604,0,0.5993853782309763,2,1.8888888888888888,0.5555555555555556,N1 O5,de-protonated,0,-9999,C9 H17 O5 N1,9,17,5,1,-9999,-9999,-9999,N/A,-9999,-9999
46,227.09255,227.0924829549091,227.09249716120908,957785.8,-9999,683168.6,15.33,-1,-0.06255732871734827,0.9992901672457456,0,0.5995741003474474,4,1.4545454545454546,0.4545454545454546,O5,de-protonated,0,-9999,C11 H16 O5,11,16,5,-9999,-9999,-9999,-9999,N/A,-9999,-9999
47,227.128967,227.12889998387053,227.12888267055905,1136447.9,-9999,724381.3,18.56,-1,0.07622681567701063,0.9989462430235888,0,0.5993677458141533,3,1.6666666666666667,0.3333333333333333,O4,de-protonated,0,-9999,C12 H20 O4,12,20,4,-9999,-9999,-9999,-9999,N/A,-9999,-9999
48,229.071764,229.07169852892395,229.0717617163191,936898.1,-9999,697002.9,14.89,-1,-0.2758410494098597,0.9862887481060184,0,0.591773248863611,4,1.4,0.6,O6,de-protonated,0,-9999,C10 H14 O6,10,14,6,-9999,-9999,-9999,-9999,N/A,-9999,-9999
49,229.108205,229.10813955790448,229.1081472256691,812840.2,-9999,916215.7,12.66,-1,-0.03346788274104689,0.9997967801280832,0,0.59987806807685,3,1.6363636363636365,0.4545454545454546,O5,de-protonated,0,-9999,C11 H18 O5,11,18,5,-9999,-9999,-9999,-9999,N/A,-9999,-9999
50,229.108401,229.10833555806033,229.1081472256691,855304.3,-9999,847275.2,13.42,-1,0.8220239809328935,0.8846093641865311,0,0.5307656185119186,3,1.6363636363636365,0.4545454545454546,O5,de-protonated,0,-9999,C11 H18 O5,11,18,5,-9999,-9999,-9999,-9999,N/A,-9999,-9999
51,229.144546,229.14448058680543,229.14453273501908,1313550.3,-9999,538340.7,21.67,-1,-0.22757782175290975,0.9906464892160444,0,0.5943878935296266,2,1.8333333333333333,0.3333333333333333,O4,de-protonated,0,-9999,C12 H22 O4,12,22,4,-9999,-9999,-9999,-9999,N/A,-9999,-9999
52,231.087442,231.0873781319376,231.0874117807791,1353043.9,-9999,700938.2,22.29,-1,-0.145610880406556,0.9961602199395984,0,0.597696131963759,3,1.6,0.6,O6,de-protonated,0,-9999,C10 H16 O6,10,16,6,-9999,-9999,-9999,-9999,N/A,-9999,-9999
53,233.154777,233.15471477603268,233.15470349587903,1922673,-9999,504244.6,32.5,-1,0.0483805535363511,0.999575377236766,0,0.5997452263420596,5,1.4666666666666666,0.13333333333333333,O2,de-protonated,0,-9999,C15 H22 O2,15,22,2,-9999,-9999,-9999,-9999,N/A,-9999,-9999
59,239.0925,239.09244249814165,239.09249716120908,1572065.9,-9999,726205.7,25.99,-1,-0.228627280570336,0.9905604336019292,0,0.5943362601611575,5,1.3333333333333333,0.4166666666666667,O5,de-protonated,0,-9999,C12 H16 O5,12,16,5,-9999,-9999,-9999,-9999,N/A,-9999,-9999
60,239.128938,239.1288805271198,239.12888267055905,5449576,-9999,468407.5,94.99,-1,-0.00896353139194394,0.9877335627224024,0.9737907868728648,0.9821564523825872,4,1.5384615384615383,0.3076923076923077,O4,de-protonated,0,-9999,C13 H20 O4,13,20,4,-9999,-9999,-9999,-9999,N/A,-9999,-9999
61,240.132383,240.13232632513223,240.13223750562904,957778.4,-9999,581601.1,14.99,-1,0.36987746453661074,0.9754817038141914,0.9737907868728648,0.9748053370376608,4,1.6666666666666667,0.3333333333333333,13C1 O4,de-protonated,1,60,C12 H20 O4 13C1,12,20,4,-9999,-9999,-9999,1,N/A,-9999,-9999
65,241.046768,241.0467120523176,241.0466095962591,1867437.3,-9999,690149.5,31.11,-1,0.4250466691876998,0.9677501183662702,0,0.5806500710197621,6,1.1111111111111112,0.6666666666666666,N2 O6,de-protonated,0,-9999,C9 H10 O6 N2,9,10,6,2,-9999,-9999,-9999,N/A,-9999,-9999
66,241.108223,241.10816710119113,241.1081472256691,1221815.6,-9999,564446.9,19.67,-1,0.08243405405877476,0.9987677482938352,0,0.599260648976301,4,1.5,0.4166666666666667,O5,de-protonated,0,-9999,C12 H18 O5,12,18,5,-9999,-9999,-9999,-9999,N/A,-9999,-9999
67,241.136567,241.13651112373233,241.13629052652908,1745596.4,-9999,553919.8,28.95,-1,0.9148237404293468,0.8591129677720243,0,0.5154677806632145,3,1.7692307692307692,0.15384615384615383,P1 O2,de-protonated,0,-9999,C13 H23 O2 P1,13,23,2,-9999,1,-9999,-9999,N/A,-9999,-9999
68,241.14453,241.14447413006508,241.14453273501908,1522557.8,-9999,457048.8,25,-1,-0.2430283338437196,0.9893403587586022,0,0.5936042152551613,3,1.6923076923076923,0.3076923076923077,O4,de-protonated,0,-9999,C13 H22 O4,13,22,4,-9999,-9999,-9999,-9999,N/A,-9999,-9999
