Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,18O,33S,34S
10,212.01973,212.01989200354768,212.0200604951391,844632.5,-9999,979914.7,13.6,-1,-0.794696459458893,0.8917294048618624,0,0.5350376429171174,6,0.875,0.75,N1 O6,de-protonated,0,-9999,C8 H7 O6 N1,8,7,6,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999
11,212.978021,212.97818144699957,212.9780758048191,1132706.3,-9999,851829.1,18.92,-1,0.49602373423988694,0.9563383057639212,0,0.5738029834583527,6,0.875,0.375,S1 P1 O3,de-protonated,0,-9999,C8 H7 O3 P1 S1,8,7,3,-9999,1,1,-9999,-9999,-9999,-9999,-9999
13,217.047329,217.04748283723936,217.0474789761291,1186149.4,-9999,725507.8,19.76,-1,0.0177892425952112,0.9999425809140144,0,0.5999655485484086,3,1.75,0.125,N2 S2 O1,de-protonated,0,-9999,C8 H14 O1 N2 S2,8,14,1,2,-9999,2,-9999,-9999,-9999,-9999,-9999
15,218.985086,218.98523668974863,218.9852691855291,865845.4,-9999,841370.8,13.84,-1,-0.1483925405203042,0.9960124087720044,0,0.5976074452632026,9,0.5,0.4,P1 O4,de-protonated,0,-9999,C10 H5 O4 P1,10,5,4,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
59,232.089489,232.089618404321,232.0896746857791,974226.9,-9999,863487.6,15.55,-1,-0.24249875911379867,0.989386517122591,0,0.5936319102735546,7,1.2307692307692308,0.07692307692307693,N1 P1 O1,de-protonated,0,-9999,C13 H16 O1 N1 P1,13,16,1,1,1,-9999,-9999,-9999,-9999,-9999,-9999
60,232.089714,232.0898434039555,232.0896746857791,817746.9,-9999,1855733.6,12.73,-1,0.726952531033623,0.9085654339576846,0,0.5451392603746108,7,1.2307692307692308,0.07692307692307693,N1 P1 O1,de-protonated,0,-9999,C13 H16 O1 N1 P1,13,16,1,1,1,-9999,-9999,-9999,-9999,-9999,-9999
72,241.045828,241.04594285657657,241.04576144308905,2733743.3,-9999,793339.2,46.64,-1,0.7526101535184334,0.9023285892409828,0,0.5413971535445897,5,1.3636363636363635,0.18181818181818185,S1 P1 O2,de-protonated,0,-9999,C11 H15 O2 P1 S1,11,15,2,-9999,1,1,-9999,-9999,-9999,-9999,-9999
82,245.113537,245.11364524941365,245.11344708135908,805162.3,-9999,737096.9,12.27,-1,0.8084748385961577,0.8881624720227749,0,0.5328974832136649,2,1.9166666666666667,0.08333333333333333,S1 P1 O1,de-protonated,0,-9999,C12 H23 O1 P1 S1,12,23,1,-9999,1,1,-9999,-9999,-9999,-9999,-9999
86,251.077935,251.07803356146655,251.07811039978907,2016840,-9999,771360.3,33.43,-1,-0.30603353817990875,0.9831497273531704,0,0.5898898364119022,1,2,0.3,S2 O3,de-protonated,0,-9999,C10 H20 O3 S2,10,20,3,-9999,-9999,2,-9999,-9999,-9999,-9999,-9999
97,255.058134,255.0582260964458,255.0580402042291,1079098.4,-9999,562875.4,16.87,-1,0.7288231986613906,0.9081165915860822,0,0.5448699549516492,10,0.8666666666666667,0.13333333333333333,P1 O2,de-protonated,0,-9999,C15 H13 O2 P1,15,13,2,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
99,255.059654,255.05974609397688,255.05975773726908,1227834.6,-9999,480856.8,19.47,-1,-0.04564927187559373,0.9996219585378936,0,0.5997731751227362,10,0.8571428571428571,0.07142857142857142,N2 S1 O1,de-protonated,0,-9999,C14 H12 O1 N2 S1,14,12,1,2,-9999,1,-9999,-9999,-9999,-9999,-9999
101,255.061195,255.06128709147384,255.0614115075491,6180283,-9999,577629,106.08,-1,-0.4877887037451492,0.47887260114348473,0.8851212310995799,0.6413720531259228,5,1.4166666666666667,0.16666666666666666,S1 P1 O2,de-protonated,0,-9999,C12 H17 O2 P1 S1,12,17,2,-9999,1,1,-9999,-9999,-9999,-9999,-9999
103,255.06293,255.06302208865569,255.0631290405891,1269371.1,-9999,564552.9,20.2,-1,-0.41931553905399394,0.9686002316450886,0,0.5811601389870531,5,1.4545454545454546,0.09090909090909093,N2 S2 O1,de-protonated,0,-9999,C11 H16 O1 N2 S2,11,16,1,2,-9999,2,-9999,-9999,-9999,-9999,-9999
104,255.063263,255.0633550881148,255.0631290405891,1249467.3,-9999,633222.2,19.85,-1,0.8862414828462011,0.8671752864386081,0,0.5203051718631648,5,1.4545454545454546,0.09090909090909093,N2 S2 O1,de-protonated,0,-9999,C11 H16 O1 N2 S2,11,16,1,2,-9999,2,-9999,-9999,-9999,-9999,-9999
