Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,34S
18,262.974928,262.97490029198804,262.97509842466906,2839944,-9999,778075.2,47.5,-1,-0.7534275382265357,0.90212706263382,0,0.541276237580292,10,0.4545454545454546,0.5454545454545454,P1 O6,de-protonated,0,-9999,C11 H5 O6 P1,11,5,6,-9999,1,-9999,-9999,-9999,-9999
19,263.042429,263.0424014137009,263.04219292108905,1023056.9,-9999,622561,15.83,-1,0.792620413871026,0.8922627609801409,0,0.5353576565880845,9,0.8,0.5,N4 O5,de-protonated,0,-9999,C10 H8 O5 N4,10,8,5,4,-9999,-9999,-9999,-9999,-9999
21,265.144586,265.1445622041525,265.1445327350191,1000483.8,-9999,906042.7,15.33,-1,0.11114365864348566,0.9977610902956704,0,0.5986566541774022,5,1.4666666666666666,0.26666666666666666,O4,de-protonated,0,-9999,C15 H22 O4,15,22,4,-9999,-9999,-9999,-9999,-9999,-9999
38,277.056487,277.0564846827982,277.0565055750291,1114287.9,-9999,697078.4,17.02,-1,-0.07540783373306512,0.9989687529262852,0,0.5993812517557711,4,1.4,0.9,O9,de-protonated,0,-9999,C10 H14 O9,10,14,9,-9999,-9999,-9999,-9999,-9999,-9999
39,277.056876,277.05687368349965,277.0569948323791,844079.9,-9999,661742.9,12.41,-1,-0.43727060384455113,0.9659009352924756,0,0.5795405611754854,8,1.1538461538461535,0.07692307692307693,N2 S1 P1 O1,de-protonated,0,-9999,C13 H15 O1 N2 P1 S1,13,15,1,2,1,1,-9999,-9999,-9999
42,278.062239,278.0622384962947,278.0621397833491,1017375,-9999,814403.7,15.25,-1,0.3550031862576523,0.9773919980304396,0,0.5864351988182637,3,1.8,0.4,N1 S1 P1 O4,de-protonated,0,-9999,C10 H18 O4 N1 P1 S1,10,18,4,1,1,1,-9999,-9999,-9999
44,279.055969,279.0559702881141,279.0557349852691,2505483.8,-9999,750656.6,40.44,-1,0.8432109270618026,0.8789644174067919,0,0.5273786504440751,8,1.0909090909090908,0.2727272727272727,N4 S1 O3,de-protonated,0,-9999,C11 H12 O3 N4 S1,11,12,3,4,-9999,1,-9999,-9999,-9999
46,280.06797,280.06797311287835,280.0678938690391,991993.6,-9999,711073.9,14.82,-1,0.28294510362312414,0.985578592678766,0,0.5913471556072596,7,1.3333333333333333,0.08333333333333333,N3 S1 P1 O1,de-protonated,0,-9999,C12 H16 O1 N3 P1 S1,12,16,1,3,1,1,-9999,-9999,-9999
60,291.159115,291.1591381115984,291.1591512282791,1205370,-9999,572635.6,17.98,-1,-0.04504986580567344,0.9996318194264936,0,0.5997790916558962,2,2.272727272727273,0.2727272727272727,N4 P1 O3,de-protonated,0,-9999,C11 H25 O3 N4 P1,11,25,3,4,1,-9999,-9999,-9999,-9999
63,292.982521,292.98254739942723,292.98250973656906,5310642,-9999,753736.1,85.85,-1,0.128549851696112,0.9970060396438476,0,0.5982036237863084,5,1.375,0.5,N2 S2 P1 O4,de-protonated,0,-9999,C8 H11 O4 N2 P1 S2,8,11,4,2,1,2,-9999,-9999,-9999
64,292.982908,292.98293440012503,292.9831611852491,1230642,-9999,905149.5,18.4,-1,-0.7740551476304094,0.8969841888663753,0,0.5381905133198251,14,0.4375,0.125,S1 P1 O2,de-protonated,0,-9999,C16 H7 O2 P1 S1,16,7,2,-9999,1,1,-9999,-9999,-9999
67,293.171149,293.1711757395471,293.1709619587691,1393093,-9999,440730.5,21.08,-1,0.7292017482046543,0.9080256502409968,0,0.544815390144598,0,2.2142857142857144,0.14285714285714285,S1 P1 O2,de-protonated,0,-9999,C14 H31 O2 P1 S1,14,31,2,-9999,1,1,-9999,-9999,-9999
68,293.171644,293.17167074043965,293.1718101119391,1076677,-9999,631870,15.85,-1,-0.4753918851159259,0.9598224693304168,0,0.57589348159825,1,2.1666666666666665,0.5,N2 O6,de-protonated,0,-9999,C12 H26 O6 N2,12,26,6,2,-9999,-9999,-9999,-9999,-9999
69,293.172647,293.17267374224815,293.1726794918091,2557893,-9999,622101.3,40.34,-1,-0.01961151688930724,0.9999302151664764,0,0.5999581290998858,0,2.3076923076923075,0.07692307692307693,N2 S2 O1,de-protonated,0,-9999,C13 H30 O1 N2 S2,13,30,1,2,-9999,2,-9999,-9999,-9999
71,293.174742,293.1747687460257,293.17480129273906,17601734,-9999,516437.1,289.05,-1,-0.11101470263237088,0.9982057844545652,0.9933823667671856,0.9962764173796136,1,2.4545454545454546,0.2727272727272727,N4 P1 O3,de-protonated,0,-9999,C11 H27 O3 N4 P1,11,27,3,4,1,-9999,-9999,-9999,-9999
74,293.178738,293.178764753231,293.1788240447391,7775429.5,-9999,629707.3,126.6,-1,-0.2022366665578224,0.9942484531730408,0.9617264035973796,0.9812396333427762,5,1.6875,0.0625,N2 P1 O1,de-protonated,0,-9999,C16 H27 O1 N2 P1,16,27,1,2,1,-9999,-9999,-9999,-9999
75,294.178153,294.17818155530114,294.1781561278091,2241066.3,-9999,520862.1,35.1,-1,0.08643569052451434,0.9986452919774014,0.9933823667671856,0.9965401218933152,1,2.7,0.3,13C1 N4 P1 O3,de-protonated,1,71,C10 H27 O3 N4 P1 13C1,10,27,3,4,1,-9999,1,-9999,-9999
78,294.182106,294.1821345624288,294.1821788798091,953642.6,-9999,636642.9,13.81,-1,-0.15064603999868967,0.99589062856434,0.9617264035973796,0.982224938577556,5,1.8,0.06666666666666667,13C1 N2 P1 O1,de-protonated,1,74,C15 H27 O1 N2 P1 13C1,15,27,1,2,1,-9999,1,-9999,-9999
78,294.182106,294.1821345624288,294.18231522542914,953642.6,-9999,636642.9,13.81,-1,-0.6141191736259233,0.9338569736015724,0,0.5603141841609434,5,1.6666666666666667,0.2,N3 O3,de-protonated,0,-9999,C15 H25 O3 N3,15,25,3,3,-9999,-9999,-9999,-9999,-9999
87,299.149692,299.14972951960704,299.1500120386191,923677.8,-9999,628070.9,13.2,-1,-0.9444058187423736,0.8505819558614378,0,0.5103491735168627,4,1.6,0.4,O6,de-protonated,0,-9999,C15 H24 O6,15,24,6,-9999,-9999,-9999,-9999,-9999,-9999
89,299.186076,299.18611358521196,299.1863975479691,3290913.5,-9999,733987.4,52.01,-1,-0.9491165355465808,0.8492064069978362,0,0.5095238441987017,3,1.75,0.3125,O5,de-protonated,0,-9999,C16 H28 O5,16,28,5,-9999,-9999,-9999,-9999,-9999,-9999
