Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,17O,18O,33S,34S,36S
18,163.016344,163.01642103758957,163.0165693144491,2769944,-9999,819620.6,50.66,-1,-0.9095815238741968,0.8606051341863569,0,0.5163630805118141,2,1.8,0.8,P1 O4,de-protonated,0,-9999,C5 H9 O4 P1,5,9,4,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
24,163.018169,163.01824603674712,163.0182868474891,1437775,-9999,561456.5,25.34,-1,-0.2503445642075923,0.9886925899988636,0,0.5932155539993181,2,2,0.75,N2 S1 O3,de-protonated,0,-9999,C4 H8 O3 N2 S1,4,8,3,2,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999
27,163.018796,163.01887303645768,163.0189382961691,1036386,-9999,1634451.7,17.71,-1,-0.40031981622357743,0.9713404710465052,0,0.5828042826279032,11,0.3333333333333333,0.08333333333333333,O1,de-protonated,0,-9999,C12 H4 O1,12,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
28,163.018919,163.0189960364009,163.0189382961691,968792,-9999,976648.4,16.42,-1,0.3541933986279064,0.9774938531843556,0,0.5864963119106134,11,0.3333333333333333,0.08333333333333333,O1,de-protonated,0,-9999,C12 H4 O1,12,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
56,166.99189,166.9919652023934,166.99207209899905,980141.4,-9999,930624.2,16.64,-1,-0.6401298235301678,0.9283452887116224,0,0.5570071732269735,6,0.6666666666666666,0.3333333333333333,N2 S1 O2,de-protonated,0,-9999,C6 H4 O2 N2 S1,6,4,2,2,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999
57,166.99201,166.992085202338,166.99207209899905,878791.4,-9999,927995,14.72,-1,0.07846683246074747,0.9988834363132107,0,0.5993300617879265,6,0.6666666666666666,0.3333333333333333,N2 S1 O2,de-protonated,0,-9999,C6 H4 O2 N2 S1,6,4,2,2,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999
139,212.978167,212.97822097415468,212.9780758048191,3125744,-9999,754537.1,55.33,-1,0.6816163355465711,0.919154355855762,0,0.5514926135134571,6,0.875,0.375,S1 P1 O3,de-protonated,0,-9999,C8 H7 O3 P1 S1,8,7,3,-9999,1,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999
151,217.047414,217.04746609570412,217.0474789761291,1418897.6,-9999,707779.4,23.85,-1,-0.05934381286644073,0.999361198436676,0,0.5996167190620055,3,1.75,0.125,N2 S2 O1,de-protonated,0,-9999,C8 H14 O1 N2 S2,8,14,1,2,-9999,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999
154,218.985216,218.9852672011737,218.9852691855291,3501314.3,-9999,732164.2,61.5,-1,-0.00906159298322559,0.9999851009116542,0,0.5999910605469925,9,0.5,0.4,P1 O4,de-protonated,0,-9999,C10 H5 O4 P1,10,5,4,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
165,220.018618,220.01866872413348,220.0186212001191,1089352.3,-9999,580387.4,17.78,-1,0.21599996453893733,0.9915700657258169,0,0.5949420394354901,8,0.7777777777777778,0.2222222222222222,N3 S1 O2,de-protonated,0,-9999,C9 H7 O2 N3 S1,9,7,2,3,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999
