Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,17O,18O,33S,34S
44,256.065662,256.0656402328054,256.0656144957891,943460.9,-9999,768713.5,14.55,-1,0.10050945868675792,0.9981686568792842,0.9998795271583804,0.9988530049909228,6,1.3333333333333333,0.6666666666666666,13C1 N2 O6,de-protonated,1,41,C9 H12 O6 N2 13C1,9,12,6,2,-9999,-9999,1,N/A,-9999,-9999,-9999
45,257.139489,257.13946733114915,257.1394473545891,901185.2,-9999,934427,13.73,-1,0.07768765259341806,0.9989054892086854,0,0.5993432935252112,3,1.6923076923076923,0.38461538461538464,O5,de-protonated,0,-9999,C13 H22 O5,13,22,5,-9999,-9999,-9999,-9999,N/A,-9999,-9999,-9999
46,257.175862,257.17584033448026,257.1758328639391,3805254.5,-9999,776456.2,64.38,-1,0.02904837939188924,0.9998469038046662,0,0.5999081422827998,2,1.8571428571428572,0.2857142857142857,O4,de-protonated,0,-9999,C14 H26 O4,14,26,4,-9999,-9999,-9999,-9999,N/A,-9999,-9999,-9999
48,259.118755,259.11873351241513,259.1187119096991,1064666.1,-9999,707201.2,16.57,-1,0.08336995773570764,0.9987396267983768,0,0.5992437760790261,3,1.6666666666666667,0.5,O6,de-protonated,0,-9999,C12 H20 O6,12,20,6,-9999,-9999,-9999,-9999,N/A,-9999,-9999,-9999
49,259.129975,259.1299535134427,259.12994529898907,2319707.8,-9999,780903.2,38.47,-1,0.03170013250073228,0.9998176791278118,0,0.5998906074766871,3,1.818181818181818,0.4545454545454546,N2 O5,de-protonated,0,-9999,C11 H20 O5 N2,11,20,5,2,-9999,-9999,-9999,N/A,-9999,-9999,-9999
51,262.976033,262.976011865674,262.9759678045391,2636642.3,-9999,776652.8,43.72,-1,0.16754814250479788,0.9949192543903816,0,0.5969515526342289,9,0.75,0.08333333333333333,S2 P1 O1,de-protonated,0,-9999,C12 H9 O1 P1 S2,12,9,1,-9999,1,2,-9999,N/A,-9999,-9999,-9999
52,263.04404,263.04401887190227,263.0438466913691,933867,-9999,828875.5,14.2,-1,0.6545697052021869,0.9252014548799588,0,0.5551208729279753,4,1.625,0.75,N2 P1 O6,de-protonated,0,-9999,C8 H13 O6 N2 P1,8,13,6,2,1,-9999,-9999,N/A,-9999,-9999,-9999
53,263.165321,263.1652998830095,263.1652681799091,864186.8,-9999,773995.6,12.99,-1,0.12046840601458658,0.9973701651992654,0,0.5984220991195592,5,1.5,0.1875,O3,de-protonated,0,-9999,C16 H24 O3,16,24,3,-9999,-9999,-9999,-9999,N/A,-9999,-9999,-9999
54,265.057898,265.05787705633634,265.05784298554903,1661548.8,-9999,794934.5,26.64,-1,0.12854095137920613,0.9970064535898748,0,0.5982038721539248,8,1,0.5,N4 O5,de-protonated,0,-9999,C10 H10 O5 N4,10,10,5,4,-9999,-9999,-9999,N/A,-9999,-9999,-9999
55,265.14734,265.1473190645276,265.1475239158191,26681976,-9999,475261.1,457.75,-1,-0.7725936431381651,0.44867608245412255,0.8684926696514785,0.6166027173330649,5,1.6428571428571428,0.07142857142857142,N2 P1 O1,de-protonated,0,-9999,C14 H23 O1 N2 P1,14,23,1,2,1,-9999,-9999,N/A,-9999,-9999,-9999
56,265.147911,265.14789006457994,265.14790403833905,64717432,-9999,721967.8,1113.1,-1,-0.05270175210515891,0.999517602990189,0.994710516794316,0.9975947685118398,0,2.1666666666666665,0.3333333333333333,S1 O4,de-protonated,0,-9999,C12 H26 O4 S1,12,26,4,-9999,-9999,1,-9999,N/A,-9999,-9999,-9999
57,265.18094,265.1809190676048,265.1809182443691,1398524.3,-9999,730362.6,22.11,-1,0.00310443047183254,0.9999982512918916,0,0.5999989507751349,4,1.625,0.1875,O3,de-protonated,0,-9999,C16 H26 O3,16,26,3,-9999,-9999,-9999,-9999,N/A,-9999,-9999,-9999
61,266.151297,266.1512761564725,266.15125887340906,8173301,-9999,715771.8,138.84,-1,0.06493699668134134,0.9994306028316514,0.994710516794316,0.9975425684167172,0,2.363636363636364,0.3636363636363637,13C1 S1 O4,de-protonated,1,56,C11 H26 O4 S1 13C1,11,26,4,-9999,-9999,1,1,N/A,-9999,-9999,-9999
61,266.151297,266.1512761564725,266.15101509650907,8173301,-9999,715771.8,138.84,-1,0.9808715676402292,0.4199075963746399,0.8767281105990777,0.602635802064415,5,1.6153846153846154,0.2307692307692308,N3 O3,de-protonated,0,-9999,C13 H21 O3 N3,13,21,3,3,-9999,-9999,-9999,N/A,-9999,-9999,-9999
62,267.143729,267.1437082473618,267.1436998679391,2652526.8,-9999,749638.8,43.71,-1,0.03136672397444819,0.9996260482988376,0.994710516794316,0.997659835697029,0,2.1666666666666665,0.3333333333333333,34S1 O4,de-protonated,1,56,C12 H26 O4 34S1,12,26,4,-9999,-9999,-9999,-9999,N/A,-9999,-9999,1
63,267.160183,267.16016224886874,267.16018279947906,1186544.6,-9999,809674.8,18.45,-1,-0.07692242945918142,0.9989269333564594,0,0.5993561600138756,4,1.6,0.26666666666666666,O4,de-protonated,0,-9999,C15 H24 O4,15,24,4,-9999,-9999,-9999,-9999,N/A,-9999,-9999,-9999
