Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,17O,18O,34S
31,212.97786,212.97797376384165,212.9780758048191,1116152.1,-9999,908337.8,18.62,-1,-0.47911493738023464,0.9592037653652868,0,0.5755222592191721,6,0.875,0.375,S1 P1 O3,de-protonated,0,-9999,C8 H7 O3 P1 S1,8,7,3,-9999,1,1,-9999,-9999,-9999,-9999
69,242.985266,242.98536511190073,242.9852691855291,1922989,-9999,676643.1,32.14,-1,0.3947826630149308,0.9721167332471936,0,0.583270039948316,11,0.4166666666666667,0.3333333333333333,P1 O4,de-protonated,0,-9999,C12 H5 O4 P1,12,5,4,-9999,1,-9999,-9999,-9999,-9999,-9999
70,243.001726,243.00182510386367,243.00159141117908,792047.8,-9999,679455.5,12.07,-1,0.961691992350276,0.8455118566017724,0,0.5073071139610634,6,1.1428571428571428,0.2857142857142857,N4 S2 O2,de-protonated,0,-9999,C7 H8 O2 N4 S2,7,8,2,4,-9999,2,-9999,-9999,-9999,-9999
81,251.07781,251.07790516049363,251.07811039978907,3469680.5,-9999,633696.2,59.07,-1,-0.8174320537656431,0.8858185604091854,0,0.5314911362455113,1,2,0.3,S2 O3,de-protonated,0,-9999,C10 H20 O3 S2,10,20,3,-9999,-9999,2,-9999,-9999,-9999,-9999
87,255.061565,255.06165821531573,255.0614115075491,1684330.9,-9999,581978.5,27.51,-1,0.9672484958147236,0.8438691057163946,0,0.5063214634298367,5,1.4166666666666667,0.16666666666666666,S1 P1 O2,de-protonated,0,-9999,C12 H17 O2 P1 S1,12,17,2,-9999,1,1,-9999,-9999,-9999,-9999
102,259.100387,259.1004782432499,259.1005737224391,860113.2,-9999,745017.1,12.97,-1,-0.3685024229818663,0.9756614288764378,0,0.5853968573258627,8,1.2142857142857142,0.07142857142857142,N2 P1 O1,de-protonated,0,-9999,C14 H17 O1 N2 P1,14,17,1,2,1,-9999,-9999,-9999,-9999,-9999
111,262.974921,262.9750103514021,262.97509842466906,1074111.4,-9999,600552.7,16.56,-1,-0.33491105238971053,0.9798534426270252,0,0.5879120655762151,10,0.4545454545454546,0.5454545454545454,P1 O6,de-protonated,0,-9999,C11 H5 O6 P1,11,5,6,-9999,1,-9999,-9999,-9999,-9999,-9999
114,263.043507,263.0435963179131,263.0438466913691,2765705,-9999,582859.2,45.77,-1,-0.9518316399293328,0.8484114922500101,0,0.509046895350006,4,1.625,0.75,N2 P1 O6,de-protonated,0,-9999,C8 H13 O6 N2 P1,8,13,6,2,1,-9999,-9999,-9999,-9999,-9999
117,265.040682,265.0407703427375,265.0407363694891,863917.3,-9999,443694.9,12.83,-1,0.1281812331955744,0.9970231599264958,0,0.5982138959558975,17,0.3333333333333333,0.05555555555555555,N2 O1,de-protonated,0,-9999,C18 H6 O1 N2,18,6,1,2,-9999,-9999,-9999,-9999,-9999,-9999
119,265.120773,265.1208613036309,265.12103438523906,935336.3,-9999,809160.6,14.05,-1,-0.6528399701784774,0.9255811810391016,0,0.555348708623461,1,2.090909090909091,0.4545454545454546,P1 O5,de-protonated,0,-9999,C11 H23 O5 P1,11,23,5,-9999,1,-9999,-9999,-9999,-9999,-9999
