Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,34S
24,257.113726,257.11367666042526,257.1134470813591,1153789.5,-9999,424179.7,18.28,-1,0.8929096038267118,0.8653105834494959,0,0.5191863500696975,3,1.7692307692307692,0.07692307692307693,S1 P1 O1,de-protonated,0,-9999,C13 H23 O1 P1 S1,13,23,1,-9999,1,1,-9999,N/A
29,259.129313,259.1292644331728,259.1290971458191,2900898.8,-9999,540075.9,48.64,-1,0.6455753349701558,0.9271666855638324,0,0.5563000113382995,2,1.9230769230769231,0.07692307692307693,S1 P1 O1,de-protonated,0,-9999,C13 H25 O1 P1 S1,13,25,1,-9999,1,1,-9999,N/A
34,265.04081,265.0407636995569,265.0407363694891,893460.8,-9999,672089.7,13.4,-1,0.10311648017451557,0.9980725145696112,0,0.5988435087417667,17,0.3333333333333333,0.05555555555555555,N2 O1,de-protonated,0,-9999,C18 H6 O1 N2,18,6,1,2,-9999,-9999,-9999,N/A
36,265.147382,265.1473357404151,265.1475239158191,2475491,-9999,579071.3,40.63,-1,-0.7097007779380651,0.9126606061105536,0,0.5475963636663321,5,1.6428571428571428,0.07142857142857142,N2 P1 O1,de-protonated,0,-9999,C14 H23 O1 N2 P1,14,23,1,2,1,-9999,-9999,N/A
38,266.088395,266.0883491011861,266.0881400565791,1062751.8,-9999,750174.3,16.31,-1,0.7856216626557142,0.8940528558825835,0,0.5364317135295501,2,1.8888888888888888,0.8888888888888888,N1 O8,de-protonated,0,-9999,C9 H17 O8 N1,9,17,8,1,-9999,-9999,-9999,N/A
39,266.08903,266.08898410142956,266.0890094364491,3499359.8,-9999,446534.2,58.26,-1,-0.09521257410462182,0.998356440986146,0,0.5990138645916876,1,2.1,0.3,N1 S2 O3,de-protonated,0,-9999,C10 H21 O3 N1 S2,10,21,3,1,-9999,2,-9999,N/A
41,267.072441,267.0723954784554,267.0726448968391,1992160.8,-9999,631888.2,32.31,-1,-0.9338971567054396,0.8536337906107387,0,0.5121802743664432,6,1.4166666666666667,0.08333333333333333,N2 S1 P1 O1,de-protonated,0,-9999,C12 H17 O1 N2 P1 S1,12,17,1,2,1,1,-9999,N/A
42,267.073001,267.07295547867005,267.0730250193591,5258337,-9999,387420.1,88.53,-1,-0.2603808041670634,0.9877734712413098,0,0.5926640827447859,1,2,0.4,S2 O4,de-protonated,0,-9999,C10 H20 O4 S2,10,20,4,-9999,-9999,2,-9999,N/A
60,277.056825,277.0567833063266,277.0569948323791,1070521.4,-9999,653876.2,16.19,-1,-0.7634748676217731,0.8996357429813907,0,0.5397814457888344,8,1.1538461538461535,0.07692307692307693,N2 S1 P1 O1,de-protonated,0,-9999,C13 H15 O1 N2 P1 S1,13,15,1,2,1,1,-9999,N/A
61,277.05743,277.05738830655855,277.0573749548991,888249.4,-9999,653456.9,13.09,-1,0.04819095485025015,0.9995786981263612,0,0.5997472188758166,3,1.6363636363636365,0.3636363636363637,S2 O4,de-protonated,0,-9999,C11 H18 O4 S2,11,18,4,-9999,-9999,2,-9999,N/A
62,277.058107,277.05806530681815,277.05784298554903,1394361.5,-9999,662436.4,21.68,-1,0.8024362953413322,0.8897315095987497,0,0.5338389057592497,9,0.9090909090909092,0.4545454545454546,N4 O5,de-protonated,0,-9999,C11 H10 O5 N4,11,10,5,4,-9999,-9999,-9999,N/A
