Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,17O,33S,34S
8,265.147611,265.1475877066707,265.1475239158191,1396183.6,-9999,546207.2,22.38,-1,0.24058626193786647,0.989552391991713,0,0.5937314351950278,5,1.6428571428571428,0.07142857142857142,N2 P1 O1,de-protonated,0,-9999,C14 H23 O1 N2 P1,14,23,1,2,1,-9999,-9999,-9999,-9999,-9999,N/A
9,266.089122,266.0890988073673,266.0890094364491,884102.1,-9999,588813.6,13.44,-1,0.3358685065309228,0.979739263308169,0,0.5878435579849014,1,2.1,0.3,N1 S2 O3,de-protonated,0,-9999,C10 H21 O3 N1 S2,10,21,3,1,-9999,2,-9999,-9999,-9999,-9999,N/A
18,271.082088,271.08206534137554,271.0823264003491,1215346.8,-9999,686090.1,19.1,-1,-0.9630246906982386,0.8451184232815611,0,0.5070710539689366,5,1.3333333333333333,0.5833333333333334,O7,de-protonated,0,-9999,C12 H16 O7,12,16,7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
22,273.134161,273.13413856084907,273.13436197415905,1036490.8,-9999,658700.9,15.9,-1,-0.8179611981703571,0.8856794816146033,0,0.531407688968762,3,1.6923076923076923,0.4615384615384616,O6,de-protonated,0,-9999,C13 H22 O6,13,22,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
23,277.059458,277.05943598066784,277.0594967558291,2787159.3,-9999,691284.1,46.11,-1,-0.2193577985413787,0.9913070842527189,0,0.5947842505516312,4,1.6666666666666667,0.6666666666666666,N2 P1 O6,de-protonated,0,-9999,C9 H15 O6 N2 P1,9,15,6,2,1,-9999,-9999,-9999,-9999,-9999,N/A
24,277.071603,277.07158098196675,277.0717617163191,1053144.5,-9999,643639.1,16.18,-1,-0.6523015958806042,0.9256991962452898,0,0.5554195177471739,8,1,0.42857142857142855,O6,de-protonated,0,-9999,C14 H14 O6,14,14,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
26,279.050762,279.05074019364196,279.0508640800991,921881.3,-9999,663464.1,13.82,-1,-0.4439565436437603,0.964868876066306,0,0.5789213256397836,3,2.125,0.125,N4 S2 P1 O1,de-protonated,0,-9999,C8 H17 O1 N4 P1 S2,8,17,1,4,1,2,-9999,-9999,-9999,-9999,N/A
27,279.087201,279.08717919753917,279.08741178077906,1314972.8,-9999,588921.4,20.57,-1,-0.8333705859692605,0.8815995966103393,0,0.5289597579662035,7,1.1428571428571428,0.42857142857142855,O6,de-protonated,0,-9999,C14 H16 O6,14,16,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
28,279.123578,279.1235562014298,279.12379729012906,1208992.3,-9999,601140.8,18.75,-1,-0.8637339475315859,0.8733950439294456,0,0.5240370263576674,6,1.3333333333333333,0.3333333333333333,O5,de-protonated,0,-9999,C15 H20 O5,15,20,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
29,281.066499,281.06647740922926,281.0666763358891,1342553.5,-9999,663214.9,21.04,-1,-0.7077561183262238,0.9131171948553204,0,0.5478703169131921,7,1.0769230769230769,0.5384615384615384,O7,de-protonated,0,-9999,C13 H14 O7,13,14,7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
29,281.066499,281.06647740922926,281.06651414455905,1342553.5,-9999,663214.9,21.04,-1,-0.1306997736742252,0.9969052141184742,0,0.5981431284710845,2,2.375,0.125,N4 S2 P1 O1,de-protonated,0,-9999,C8 H19 O1 N4 P1 S2,8,19,1,4,1,2,-9999,-9999,-9999,-9999,N/A
30,281.102883,281.10286141312065,281.1030618452391,1905373,-9999,711406.4,30.7,-1,-0.7130200472792156,0.9118789076397144,0,0.5471273445838286,6,1.2857142857142858,0.42857142857142855,O6,de-protonated,0,-9999,C14 H18 O6,14,18,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
32,283.045805,283.0457836209202,283.0459408909991,837139.1,-9999,607930.9,12.29,-1,-0.5556344612889532,0.9455215582472528,0,0.5673129349483518,7,1,0.6666666666666666,O8,de-protonated,0,-9999,C12 H12 O8,12,12,8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
