Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,33S,34S
3,215.031694,215.0317598809808,215.0318289116691,1133279.1,-9999,809997.1,19,-1,-0.321025443805411,0.9814741349808423,0,0.5888844809885054,4,1.5,0.125,N2 S2 O1,de-protonated,0,-9999,C8 H12 O1 N2 S2,8,12,1,2,-9999,2,-9999,-9999,-9999
16,241.045861,241.0459124318945,241.04576144308905,1202736,-9999,680978.8,19.57,-1,0.6263906261630486,0.9312810634718371,0,0.5587686380831023,5,1.3636363636363635,0.18181818181818185,S1 P1 O2,de-protonated,0,-9999,C11 H15 O2 P1 S1,11,15,2,-9999,1,1,-9999,-9999,-9999
26,248.984997,248.9850440222487,248.98528644210904,843770.3,-9999,654048.5,13,-1,-0.9736312687637028,0.8419743687562768,0,0.5051846212537661,5,1.4,0.8,N4 S1 P1 O4,de-protonated,0,-9999,C5 H7 O4 N4 P1 S1,5,7,4,4,1,1,-9999,-9999,-9999
27,251.077992,251.07803785973348,251.07811039978907,1444740.1,-9999,623826.2,23.58,-1,-0.2889142963046593,0.9849683318957446,0,0.5909809991374467,1,2,0.3,S2 O3,de-protonated,0,-9999,C10 H20 O3 S2,10,20,3,-9999,-9999,2,-9999,-9999,-9999
29,251.095232,251.09527785015783,251.09548834200908,3692038.8,-9999,665448.9,63.37,-1,-0.8382940394912078,0.8802840084359985,0,0.5281704050615991,6,1.4166666666666667,0.16666666666666666,N2 P1 O2,de-protonated,0,-9999,C12 H17 O2 N2 P1,12,17,2,2,1,-9999,-9999,-9999,-9999
32,253.14451,253.1445547119244,253.14453273501908,794083.8,-9999,620736.5,12.06,-1,0.08681564274203767,0.9986333639655356,0,0.5991800183793213,4,1.5714285714285714,0.2857142857142857,O4,de-protonated,0,-9999,C14 H22 O4,14,22,4,-9999,-9999,-9999,-9999,-9999,-9999
34,255.059734,255.05977764814875,255.05975773726908,882598,-9999,745518.3,13.56,-1,0.0780635873285605,0.9988948766552836,0,0.5993369259931701,10,0.8571428571428571,0.07142857142857142,N2 S1 O1,de-protonated,0,-9999,C14 H12 O1 N2 S1,14,12,1,2,-9999,1,-9999,-9999,-9999
35,255.061243,255.06128664731065,255.0614115075491,3907430.3,-9999,722846.1,66.87,-1,-0.48953010080295767,0.957449489012811,0,0.5744696934076866,5,1.4166666666666667,0.16666666666666666,S1 P1 O2,de-protonated,0,-9999,C12 H17 O2 P1 S1,12,17,2,-9999,1,1,-9999,-9999,-9999
42,256.065053,256.06509608976296,256.06490268823904,1608059.8,-9999,716954.5,26.34,-1,0.7552832187675849,0.901668899190432,0,0.5410013395142592,5,1.3636363636363635,0.3636363636363637,N1 S1 O4,de-protonated,0,-9999,C11 H15 O4 N1 S1,11,15,4,1,-9999,1,-9999,-9999,-9999
46,258.981764,258.98180546973,258.9819013381391,1019554.8,-9999,745752.3,15.87,-1,-0.3701741651576764,0.9754428400573936,0,0.5852657040344361,11,0.3636363636363637,0.3636363636363637,N2 S1 O4,de-protonated,0,-9999,C11 H4 O4 N2 S1,11,4,4,2,-9999,1,-9999,-9999,-9999
51,260.979794,260.97983435996133,260.9797933378591,1030074.3,-9999,846322.7,15.96,-1,0.157184974685942,0.9955269601861524,0,0.5973161761116914,10,0.5454545454545454,0.18181818181818185,N2 S2 O2,de-protonated,0,-9999,C11 H6 O2 N2 S2,11,6,2,2,-9999,2,-9999,-9999,-9999
56,263.043576,263.04361521367184,263.0438466913691,6514386.5,-9999,675195.9,111.5,-1,-0.879996624717792,0.8689125560003511,0,0.5213475336002107,4,1.625,0.75,N2 P1 O6,de-protonated,0,-9999,C8 H13 O6 N2 P1,8,13,6,2,1,-9999,-9999,-9999,-9999
