Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,34S
1,215.031553,215.03164832331663,215.0318289116691,817148.3,-9999,1008790.6,13.12,-1,-0.8398214970217766,0.879874684961514,0,0.5279248109769084,4,1.5,0.125,N2 S2 O1,de-protonated,0,-9999,C8 H12 O1 N2 S2,8,12,1,2,-9999,2,-9999,N/A
2,215.031748,215.03184332311707,215.0318289116691,890364.3,-9999,740700.8,14.48,-1,0.0670200688476261,0.999185320849023,0,0.5995111925094138,4,1.5,0.125,N2 S2 O1,de-protonated,0,-9999,C8 H12 O1 N2 S2,8,12,1,2,-9999,2,-9999,N/A
11,245.048241,245.0483056091551,245.0485381486291,1132740,-9999,637854.8,18.22,-1,-0.948952708359752,0.8492543226460976,0,0.5095525935876585,9,0.9166666666666666,0.16666666666666666,N2 P1 O2,de-protonated,0,-9999,C12 H11 O2 N2 P1,12,11,2,2,1,-9999,-9999,N/A
14,251.095211,251.0952694216766,251.09548834200908,2688331.8,-9999,639416,45.61,-1,-0.8718608762410963,0.8711625837975173,0,0.5226975502785104,6,1.4166666666666667,0.16666666666666666,N2 P1 O2,de-protonated,0,-9999,C12 H17 O2 N2 P1,12,17,2,2,1,-9999,-9999,N/A
18,255.061367,255.06142136336223,255.0614115075491,1190952.4,-9999,864842.1,19,-1,0.03864094164721704,0.9997291116040988,0,0.5998374669624593,5,1.4166666666666667,0.16666666666666666,S1 P1 O2,de-protonated,0,-9999,C12 H17 O2 P1 S1,12,17,2,-9999,1,1,-9999,N/A
29,260.97973,260.979778307479,260.9797933378591,878705.8,-9999,771694,13.33,-1,-0.05759212200161041,0.9993983425366478,0,0.5996390055219887,10,0.5454545454545454,0.18181818181818185,N2 S2 O2,de-protonated,0,-9999,C11 H6 O2 N2 S2,11,6,2,2,-9999,2,-9999,N/A
33,263.043546,263.0435921957078,263.0438466913691,1161988.5,-9999,530712.5,18.26,-1,-0.9675028117791206,0.8437937687200059,0,0.5062762612320035,4,1.625,0.75,N2 P1 O6,de-protonated,0,-9999,C8 H13 O6 N2 P1,8,13,6,2,1,-9999,-9999,N/A
35,265.147515,265.14755904285056,265.1475239158191,1923731.3,-9999,594562.4,31.36,-1,0.13248108434929043,0.9968204165901922,0,0.5980922499541153,5,1.6428571428571428,0.07142857142857142,N2 P1 O1,de-protonated,0,-9999,C14 H23 O1 N2 P1,14,23,1,2,1,-9999,-9999,N/A
37,266.089104,266.08914707938266,266.0890094364491,868105.6,-9999,749720.9,13.06,-1,0.5172815437133396,0.9526077310138608,0,0.5715646386083165,1,2.1,0.3,N1 S2 O3,de-protonated,0,-9999,C10 H21 O3 N1 S2,10,21,3,1,-9999,2,-9999,N/A
39,267.196309,267.19635094645037,267.19656830882906,956562.7,-9999,698056.6,14.59,-1,-0.8134924039907662,0.8868519004368478,0,0.5321111402621087,3,1.75,0.1875,O3,de-protonated,0,-9999,C16 H28 O3,16,28,3,-9999,-9999,-9999,-9999,N/A
48,271.154832,271.1548698959464,271.15509741904907,833835.1,-9999,422274.2,12.38,-1,-0.8390884215708843,0.8800712015501051,0,0.528042720930063,3,1.7142857142857142,0.35714285714285715,O5,de-protonated,0,-9999,C14 H24 O5,14,24,5,-9999,-9999,-9999,-9999,N/A
49,271.191193,271.1912308587405,271.19148292839907,1548463.3,-9999,515539,24.69,-1,-0.9294895837591766,0.854906858539787,0,0.5129441151238722,2,1.8666666666666667,0.26666666666666666,O4,de-protonated,0,-9999,C15 H28 O4,15,28,4,-9999,-9999,-9999,-9999,N/A
