Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,17O,18O,34S
2,205.1597,205.1598486292785,205.15978887630908,3224648.3,-9999,700970.6,58.21,-1,0.29125088187060505,0.9847260862203044,0,0.5908356517321827,4,1.5714285714285714,0.07142857142857142,O1,de-protonated,0,-9999,C14 H22 O1,14,22,1,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
4,211.133958,211.13410049077055,211.13396805098907,819479.2,-9999,892265.1,13.19,-1,0.6272784182111812,0.931093008464866,0,0.5586558050789197,3,1.6666666666666667,0.25,O3,de-protonated,0,-9999,C12 H20 O3,12,20,3,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
20,233.154668,233.15478786464632,233.15470349587903,1026027.7,-9999,911515.9,16.57,-1,0.36185745342623155,0.9765209847307748,0,0.5859125908384649,5,1.4666666666666666,0.13333333333333333,O2,de-protonated,0,-9999,C15 H22 O2,15,22,2,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
24,239.128774,239.12888772629455,239.12888267055905,2128033.5,-9999,712792.1,36.22,-1,0.02114230386191723,0.999918896268366,0,0.5999513377610195,4,1.5384615384615383,0.3076923076923077,O4,de-protonated,0,-9999,C13 H20 O4,13,20,4,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
27,241.136391,241.13650266348225,241.13629052652908,1290549.1,-9999,547832.6,21.1,-1,0.8797388095473145,0.8689840885368134,0,0.521390453122088,3,1.7692307692307692,0.15384615384615383,P1 O2,de-protonated,0,-9999,C13 H23 O2 P1,13,23,2,-9999,1,-9999,-9999,-9999,N/A,-9999,-9999
29,242.176072,242.17618259521737,242.1761672165691,1751588.1,-9999,729625,29.34,-1,0.0635019062694463,0.9992685772260608,0,0.5995611463356364,2,1.9230769230769231,0.2307692307692308,N1 O3,de-protonated,0,-9999,C13 H25 O3 N1,13,25,3,1,-9999,-9999,-9999,-9999,N/A,-9999,-9999
32,245.049053,245.0491606432496,245.0489182711491,787971.9,-9999,495744,12.05,-1,0.9890763943786616,0.837355816149642,0,0.5024134896897852,4,1.4,0.5,S1 O5,de-protonated,0,-9999,C10 H14 O5 S1,10,14,5,-9999,-9999,1,-9999,-9999,N/A,-9999,-9999
33,249.149573,249.14967642999423,249.14961811544907,1505698.6,-9999,556392,24.73,-1,0.23405432296727727,0.9901092208973182,0,0.5940655325383909,5,1.4666666666666666,0.2,O3,de-protonated,0,-9999,C15 H22 O3,15,22,3,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
36,253.144467,253.14456632526884,253.14453273501908,4694553.5,-9999,602707.1,81.02,-1,0.13269198190410625,0.9968103015059462,0,0.5980861809035677,4,1.5714285714285714,0.2857142857142857,O4,de-protonated,0,-9999,C14 H22 O4,14,22,4,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
40,255.232902,255.2329991794166,255.2329538181791,8882264,-9999,514977.9,154.41,-1,0.17772484627898116,0.9954046580832194,0.9805297200896016,0.9894546828857722,1,2,0.125,O2,de-protonated,0,-9999,C16 H32 O2,16,32,2,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
