Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,17O,33S,34S
144,283.081103,283.0811533794295,283.08129482914904,4723446.5,-9999,500899.4,76.15,-1,-0.4996787923445402,0.9557069910842156,0,0.5734241946505293,2,2.4285714285714284,0.8571428571428571,N4 P1 O6,de-protonated,0,-9999,C7 H17 O6 N4 P1,7,17,6,4,1,-9999,-9999,N/A,-9999,-9999
153,285.124329,285.12437644008696,285.12446599538913,3274459.5,-9999,559637.3,52.19,-1,-0.3140919592963234,0.982258668976438,0,0.5893552013858627,9,1.125,0.1875,N2 O3,de-protonated,0,-9999,C16 H18 O3 N2,16,18,3,2,-9999,-9999,-9999,N/A,-9999,-9999
160,287.091413,287.09145761028066,287.0914655900091,898615.4,-9999,638160,12.79,-1,-0.02779507362409758,0.9998598287177544,0,0.5999158972306526,5,1.7,0.4,N4 P1 O4,de-protonated,0,-9999,C10 H17 O4 N4 P1,10,17,4,4,1,-9999,-9999,N/A,-9999,-9999
164,289.034391,289.0344328151528,289.03434463576906,971152.7,-9999,454570.1,13.97,-1,0.3050827189726274,0.9832533890156016,0,0.5899520334093609,6,1.375,0.75,N4 P1 O6,de-protonated,0,-9999,C8 H11 O6 N4 P1,8,11,6,4,1,-9999,-9999,N/A,-9999,-9999
165,289.070651,289.0706927629899,289.07073014511906,1452052.8,-9999,529137.3,21.86,-1,-0.12931827842214122,0.996970193376262,0,0.5981821160257571,5,1.6666666666666667,0.5555555555555556,N4 P1 O5,de-protonated,0,-9999,C9 H15 O5 N4 P1,9,15,5,4,1,-9999,-9999,N/A,-9999,-9999
167,289.107075,289.1071167105911,289.10711565446906,1597336.9,-9999,568363.3,24.24,-1,0.00365304746691025,0.9999975786145232,0,0.5999985471687139,4,1.9,0.4,N4 P1 O4,de-protonated,0,-9999,C10 H19 O4 N4 P1,10,19,4,4,1,-9999,-9999,N/A,-9999,-9999
172,291.04995,291.0499889156114,291.0499947002291,1967859,-9999,528628.5,30.04,-1,-0.01987499679837463,0.9999283275254578,0,0.5999569965152747,5,1.625,0.75,N4 P1 O6,de-protonated,0,-9999,C8 H13 O6 N4 P1,8,13,6,4,1,-9999,-9999,N/A,-9999,-9999
174,291.086368,291.08640686322116,291.0863802095791,2460791,-9999,458300.4,38.05,-1,0.09156609130109725,0.9984798275090924,0,0.5990878965054555,4,1.8888888888888888,0.5555555555555556,N4 P1 O5,de-protonated,0,-9999,C9 H17 O5 N4 P1,9,17,5,4,1,-9999,-9999,N/A,-9999,-9999
176,291.122728,291.1227668109144,291.1227657189291,2275963.3,-9999,580670,35.04,-1,0.00375094446007261,0.9999974470956629,0,0.5999984682573977,3,2.1,0.4,N4 P1 O4,de-protonated,0,-9999,C10 H21 O4 N4 P1,10,21,4,4,1,-9999,-9999,N/A,-9999,-9999
177,291.159202,291.1592407584437,291.1591512282791,890879.3,-9999,595339.7,12.54,-1,0.30749562295814353,0.9829897177997324,0,0.5897938306798395,2,2.272727272727273,0.2727272727272727,N4 P1 O3,de-protonated,0,-9999,C11 H25 O3 N4 P1,11,25,3,4,1,-9999,-9999,N/A,-9999,-9999
181,293.065632,293.065668015893,293.0656447646891,3056982.8,-9999,518977.8,47.73,-1,0.07933786942225254,0.9988585236734911,0,0.5993151142040947,4,1.875,0.75,N4 P1 O6,de-protonated,0,-9999,C8 H15 O6 N4 P1,8,15,6,4,1,-9999,-9999,N/A,-9999,-9999
183,293.102074,293.1021099634683,293.10203027403907,4938075,-9999,524620,78.29,-1,0.27188289745920113,0.9866768068928492,0,0.5920060841357094,3,2.111111111111111,0.5555555555555556,N4 P1 O5,de-protonated,0,-9999,C9 H19 O5 N4 P1,9,19,5,4,1,-9999,-9999,N/A,-9999,-9999
185,293.13844,293.1384759111529,293.13841578338906,2489951,-9999,587467.4,38.52,-1,0.2051173118492285,0.9923949549806592,0,0.5954369729883955,2,2.3,0.4,N4 P1 O4,de-protonated,0,-9999,C10 H23 O4 N4 P1,10,23,4,4,1,-9999,-9999,N/A,-9999,-9999
187,293.172546,293.17258186208875,293.1726794918091,2739554.8,-9999,669302.5,42.57,-1,-0.33301097676326996,0.9800791062781228,0,0.5880474637668737,0,2.3076923076923075,0.07692307692307693,N2 S2 O1,de-protonated,0,-9999,C13 H30 O1 N2 S2,13,30,1,2,-9999,2,-9999,N/A,-9999,-9999
189,293.174853,293.1748888587699,293.17480129273906,29049188,-9999,514114.9,470.01,-1,0.29868198245708893,0.9883001552825512,0.9584354005371668,0.9763542533843974,1,2.4545454545454546,0.2727272727272727,N4 P1 O3,de-protonated,0,-9999,C11 H27 O3 N4 P1,11,27,3,4,1,-9999,-9999,N/A,-9999,-9999
193,294.177552,294.1775864163079,294.1774443202591,2280661.3,-9999,552790.3,35.12,-1,0.483028361155693,0.9585486572276484,0,0.575129194336589,0,2.5,0.08333333333333333,N3 S1 P1 O1,de-protonated,0,-9999,C12 H30 O1 N3 P1 S1,12,30,1,3,1,1,-9999,N/A,-9999,-9999
194,294.178181,294.17821541540303,294.1781561278091,5041621.5,-9999,550045.1,79.97,-1,0.20153635720748853,0.992657207258266,0.9584354005371668,0.9789684845698264,1,2.7,0.3,13C1 N4 P1 O3,de-protonated,1,189,C10 H27 O3 N4 P1 13C1,10,27,3,4,1,-9999,1,N/A,-9999,-9999
199,295.08139,295.0814231160653,295.08129482914904,5400124.5,-9999,525787,85.79,-1,0.4347510957594735,0.9662860729929011,0,0.5797716437957408,3,2.125,0.75,N4 P1 O6,de-protonated,0,-9999,C8 H17 O6 N4 P1,8,17,6,4,1,-9999,-9999,N/A,-9999,-9999
201,295.117713,295.11774606381175,295.11768033849904,6547521,-9999,507933,104.43,-1,0.22270882799491212,0.9910406625215542,0,0.5946243975129325,2,2.3333333333333335,0.5555555555555556,N4 P1 O5,de-protonated,0,-9999,C9 H21 O5 N4 P1,9,21,5,4,1,-9999,-9999,N/A,-9999,-9999
203,295.154149,295.15418201139573,295.1540658478491,1732421,-9999,519358.6,26.21,-1,0.39356919005106505,0.9722854896027734,0,0.583371293761664,1,2.5,0.4,N4 P1 O4,de-protonated,0,-9999,C10 H25 O4 N4 P1,10,25,4,4,1,-9999,-9999,N/A,-9999,-9999
205,296.084767,296.0847986726279,296.0845893053491,941104.2,-9999,659551.6,13.23,-1,0.7071198110415381,0.9132663715828396,0,0.5479598229497038,11,0.9411764705882352,0.1176470588235294,N1 P1 O2,de-protonated,0,-9999,C17 H16 O2 N1 P1,17,16,2,1,1,-9999,-9999,N/A,-9999,-9999
206,296.121065,296.12109662041036,296.1209748146991,1133620.4,-9999,620979.1,16.33,-1,0.41133766816065026,0.9697656082031694,0,0.5818593649219016,10,1.1111111111111112,0.05555555555555555,N1 P1 O1,de-protonated,0,-9999,C18 H20 O1 N1 P1,18,20,1,1,1,-9999,-9999,N/A,-9999,-9999
211,297.097136,297.09716621625483,297.0969448936091,6597925.5,-9999,458534.9,104.29,-1,0.744950931206254,0.9042085110325726,0,0.5425251066195436,2,2.375,0.75,N4 P1 O6,de-protonated,0,-9999,C8 H19 O6 N4 P1,8,19,6,4,1,-9999,-9999,N/A,-9999,-9999
215,297.149667,297.14969714068485,297.1496181154491,1687339.6,-9999,665927.2,25.24,-1,0.26594426161000456,0.9872487910823796,0,0.5923492746494277,9,1.1578947368421053,0.15789473684210523,O3,de-protonated,0,-9999,C19 H22 O3,19,22,3,-9999,-9999,-9999,-9999,N/A,-9999,-9999
219,298.100393,298.1004217729901,298.1002393698091,1351834.8,-9999,639089.1,19.84,-1,0.6118853891954656,0.9343211418723611,0,0.5605926851234166,10,1.0588235294117647,0.1176470588235294,N1 P1 O2,de-protonated,0,-9999,C17 H18 O2 N1 P1,17,18,2,1,1,-9999,-9999,N/A,-9999,-9999
233,301.070929,301.07095349963856,301.07073014511906,1011068,-9999,565764.7,14.21,-1,0.7418672661993181,0.9049610485211824,0,0.5429766291127095,6,1.5,0.5,N4 P1 O5,de-protonated,0,-9999,C10 H15 O5 N4 P1,10,15,5,4,1,-9999,-9999,N/A,-9999,-9999
240,303.013773,303.01379470470346,303.0136091908791,897640.8,-9999,631083.3,12.4,-1,0.6122293479097616,0.9342497642859822,0,0.5605498585715892,7,1.125,0.875,N4 P1 O7,de-protonated,0,-9999,C8 H9 O7 N4 P1,8,9,7,4,1,-9999,-9999,N/A,-9999,-9999
241,303.050151,303.0501726523708,303.0499947002291,1441517.3,-9999,446234.9,21.07,-1,0.5872039096652646,0.9393519682590076,0,0.5636111809554046,6,1.4444444444444444,0.6666666666666666,N4 P1 O6,de-protonated,0,-9999,C9 H13 O6 N4 P1,9,13,6,4,1,-9999,-9999,N/A,-9999,-9999
246,303.12293,303.1229515476724,303.1227657189291,1467894.3,-9999,448930.4,21.49,-1,0.6130477956209345,0.934079782423246,0,0.5604478694539475,4,1.9090909090909092,0.3636363636363637,N4 P1 O4,de-protonated,0,-9999,C11 H21 O4 N4 P1,11,21,4,4,1,-9999,-9999,N/A,-9999,-9999
250,305.065826,305.06584475266254,305.0656447646891,2659304.8,-9999,479615.2,40.49,-1,0.6555571787554019,0.9249842957994766,0,0.5549905774796859,5,1.6666666666666667,0.6666666666666666,N4 P1 O6,de-protonated,0,-9999,C9 H15 O6 N4 P1,9,15,6,4,1,-9999,-9999,N/A,-9999,-9999
254,305.138642,305.1386606479109,305.13841578338906,2220530,-9999,480733.9,33.49,-1,0.8024703189790763,0.8897226942162586,0,0.5338336165297551,3,2.090909090909091,0.3636363636363637,N4 P1 O4,de-protonated,0,-9999,C11 H23 O4 N4 P1,11,23,4,4,1,-9999,-9999,N/A,-9999,-9999
261,307.092914,307.0929298365357,307.0927116364691,992748.1,-9999,599608.7,13.77,-1,0.7105348264601874,0.9124644652054922,0,0.5474786791232953,7,1.3125,0.125,S1 P1 O2,de-protonated,0,-9999,C16 H21 O2 P1 S1,16,21,2,-9999,1,1,-9999,N/A,-9999,-9999
263,307.117966,307.11798180049647,307.11768033849904,5121519.5,-9999,479351.8,78.99,-1,0.9815846391242996,0.8396019788744115,0,0.5037611873246468,3,2.1,0.5,N4 P1 O5,de-protonated,0,-9999,C10 H21 O5 N4 P1,10,21,5,4,1,-9999,-9999,N/A,-9999,-9999
272,309.060283,309.06029600631945,309.0605593842591,2045166.8,-9999,565179.2,30.39,-1,-0.8521887754188512,0.8765402092783832,0,0.5259241255670298,4,1.875,0.875,N4 P1 O7,de-protonated,0,-9999,C8 H15 O7 N4 P1,8,15,7,4,1,-9999,-9999,N/A,-9999,-9999
274,309.096665,309.096677953981,309.0969448936091,2963187.8,-9999,467716.7,44.89,-1,-0.863611344274684,0.8734286064109351,0,0.5240571638465611,3,2.111111111111111,0.6666666666666666,N4 P1 O6,de-protonated,0,-9999,C9 H19 O6 N4 P1,9,19,6,4,1,-9999,-9999,N/A,-9999,-9999
276,309.100678,309.100690948208,309.1009676456091,1077108.3,-9999,628729.8,15.1,-1,-0.8951683432071335,0.8646766855817126,0,0.5188060113490276,7,1.3571428571428572,0.2857142857142857,N2 P1 O4,de-protonated,0,-9999,C14 H19 O4 N2 P1,14,19,4,2,1,-9999,-9999,N/A,-9999,-9999
277,309.133014,309.13302690169013,309.1333304029591,2323704.5,-9999,654985.3,34.79,-1,-0.981781125152586,0.8395432103251802,0,0.5037259261951081,2,2.3,0.5,N4 P1 O5,de-protonated,0,-9999,C10 H23 O5 N4 P1,10,23,5,4,1,-9999,-9999,N/A,-9999,-9999
