Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,17O,18O,33S,34S
32,235.067466,235.067341205646,235.0675595164091,2082115.1,-9999,712189.3,35.43,-1,-0.928714976884748,0.855130166504007,0,0.5130780999024042,2,2.125,0.25,N2 S1 P1 O2,de-protonated,0,-9999,C8 H17 O2 N2 P1 S1,8,17,2,2,1,1,-9999,N/A,N/A,N/A,-9999,-9999
33,236.111714,236.1115901189007,236.11145895844908,789237.6,-9999,870290.7,12.19,-1,0.5555022708117632,0.945546758141954,0,0.5673280548851724,5,1.4615384615384617,0.07692307692307693,N1 S1 O1,de-protonated,0,-9999,C13 H19 O1 N1 S1,13,19,1,1,-9999,1,-9999,N/A,N/A,N/A,-9999,-9999
34,237.08315,237.08302696847713,237.08320958086907,1264411.5,-9999,612273.8,20.65,-1,-0.7702459919513197,0.8979421130274754,0,0.5387652678164853,1,2.375,0.25,N2 S1 P1 O2,de-protonated,0,-9999,C8 H19 O2 N2 P1 S1,8,19,2,2,1,1,-9999,N/A,N/A,N/A,-9999,-9999
53,245.053684,245.0535679391658,245.05362698498908,10965725,-9999,756939.5,192.78,-1,-0.2409506197420937,0.6631096469578932,0.9239095033931554,0.767429589531998,4,1.75,0.125,N4 S2 O1,de-protonated,0,-9999,C8 H14 O1 N4 S2,8,14,1,4,-9999,2,-9999,N/A,N/A,N/A,-9999,-9999
57,246.057089,246.05697381670092,246.0569818200591,1046466.1,-9999,824907.7,16.59,-1,-0.03252644211150341,0.666538700840079,0.9239095033931554,0.7694870218613097,4,2,0.14285714285714285,13C1 N4 S2 O1,de-protonated,1,53,C7 H14 O1 N4 S2 13C1,7,14,1,4,-9999,2,1,N/A,N/A,N/A,-9999,-9999
60,247.05123,247.0511156861342,247.05130105351907,5270565,-9999,502799,91.24,-1,-0.7503194035739177,0.45144622411913793,0.8604105061749866,0.6150319369414774,13,0.5333333333333333,0.13333333333333333,N2 O2,de-protonated,0,-9999,C15 H8 O2 N2,15,8,2,2,-9999,-9999,-9999,N/A,N/A,N/A,-9999,-9999
62,247.104059,247.1039447323362,247.10394502575912,802093.6,-9999,782154.3,12.19,-1,-0.00118744730837733,0.99999974415174,0,0.599999846491044,2,2.1,0.1,N2 S1 P1 O1,de-protonated,0,-9999,C10 H21 O1 N2 P1 S1,10,21,1,2,1,1,-9999,N/A,N/A,N/A,-9999,-9999
64,249.083349,249.0832364633387,249.08320958086907,1161517.6,-9999,697959.8,18.55,-1,0.10792565934724643,0.9978887270258,0,0.5987332362154799,2,2.111111111111111,0.2222222222222222,N2 S1 P1 O2,de-protonated,0,-9999,C9 H19 O2 N2 P1 S1,9,19,2,2,1,1,-9999,N/A,N/A,N/A,-9999,-9999
68,251.062688,251.0625771943841,251.0624741359791,1064423.5,-9999,731592.8,16.75,-1,0.4104890837025201,0.9698883304879696,0,0.5819329982927818,2,2.125,0.375,N2 S1 P1 O3,de-protonated,0,-9999,C8 H17 O3 N2 P1 S1,8,17,3,2,1,1,-9999,N/A,N/A,N/A,-9999,-9999
69,251.098998,251.09888722613923,251.0988596453291,1639405.1,-9999,522066.8,26.88,-1,0.10984044358223942,0.9978132300356412,0,0.5986879380213846,1,2.3333333333333335,0.2222222222222222,N2 S1 P1 O2,de-protonated,0,-9999,C9 H21 O2 N2 P1 S1,9,21,2,2,1,1,-9999,N/A,N/A,N/A,-9999,-9999
70,251.135358,251.13524725793812,251.13524515467913,901090.9,-9999,515271.2,13.88,-1,0.00837500523453717,0.9999872731408148,0,0.5999923638844888,0,2.5,0.1,N2 S1 P1 O1,de-protonated,0,-9999,C10 H25 O1 N2 P1 S1,10,25,1,2,1,1,-9999,N/A,N/A,N/A,-9999,-9999
72,253.07841,253.0783009572484,253.07812420043908,1418976,-9999,557043.8,22.99,-1,0.6984278467248833,0.9152931032617724,0,0.5491758619570634,1,2.375,0.375,N2 S1 P1 O3,de-protonated,0,-9999,C8 H19 O3 N2 P1 S1,8,19,3,2,1,1,-9999,N/A,N/A,N/A,-9999,-9999
77,255.057656,255.05754868821245,255.05738875554908,1070602.8,-9999,536535,16.77,-1,0.627045796028702,0.9311423053322716,0,0.558685383199363,1,2.4285714285714284,0.5714285714285714,N2 S1 P1 O4,de-protonated,0,-9999,C7 H17 O4 N2 P1 S1,7,17,4,2,1,1,-9999,N/A,N/A,N/A,-9999,-9999
93,261.083405,261.0833029580752,261.0832095808691,959775.1,-9999,786514.9,14.62,-1,0.3576530495730643,0.9770571469031716,0,0.586234288141903,3,1.9,0.2,N2 S1 P1 O2,de-protonated,0,-9999,C10 H19 O2 N2 P1 S1,10,19,2,2,1,1,-9999,N/A,N/A,N/A,-9999,-9999
109,267.057647,267.05755018289204,267.0573887555491,948822.1,-9999,711029.2,14.32,-1,0.6044668665104934,0.9358521672307762,0,0.5615113003384657,2,2.125,0.5,N2 S1 P1 O4,de-protonated,0,-9999,C8 H17 O4 N2 P1 S1,8,17,4,2,1,1,-9999,N/A,N/A,N/A,-9999,-9999
110,267.05795,267.0578531831571,267.0580402042291,1117526.1,-9999,634191.5,17.22,-1,-0.7003012224065519,0.9148580231244458,0,0.5489148138746675,11,0.8125,0.125,P1 O2,de-protonated,0,-9999,C16 H13 O2 P1,16,13,2,-9999,1,-9999,-9999,N/A,N/A,N/A,-9999,-9999
113,267.150547,267.1504502641385,267.1502868207091,2725217.3,-9999,613389.4,44.85,-1,0.6118033087658507,0.9343381699072656,0,0.5606029019443594,9,1.1764705882352942,0.0588235294117647,N2 O1,de-protonated,0,-9999,C17 H20 O1 N2,17,20,1,2,-9999,-9999,-9999,N/A,N/A,N/A,-9999,-9999
117,269.073557,269.0734619459209,269.07369026868906,1891909.8,-9999,642384.9,30.31,-1,-0.8485510714632921,0.8775247523031179,0,0.5265148513818707,10,0.9375,0.125,P1 O2,de-protonated,0,-9999,C16 H15 O2 P1,16,15,2,-9999,1,-9999,-9999,N/A,N/A,N/A,-9999,-9999
118,269.109943,269.1098479777425,269.11007577803906,2695114,-9999,469283.1,44.02,-1,-0.84649486236505,0.8780798881682541,0,0.5268479329009524,9,1.1176470588235294,0.0588235294117647,P1 O1,de-protonated,0,-9999,C17 H19 O1 P1,17,19,1,-9999,1,-9999,-9999,N/A,N/A,N/A,-9999,-9999
