Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,34S
0,243.032867,243.03291442626377,243.0328880841691,1307563.1,-9999,508338.2,21.35,-1,0.1083890121388053,0.9978705789846308,0,0.5987223473907785,10,0.75,0.16666666666666666,N2 P1 O2,de-protonated,0,-9999,C12 H9 O2 N2 P1,12,9,2,2,1,-9999,-9999,N/A
4,257.048313,257.0483543350611,257.0485381486291,2300008.8,-9999,826386.1,38.59,-1,-0.7150928355339384,0.911389250777042,0,0.5468335504662252,10,0.8461538461538461,0.15384615384615383,N2 P1 O2,de-protonated,0,-9999,C13 H11 O2 N2 P1,13,11,2,2,1,-9999,-9999,N/A
5,257.048632,257.04867333492246,257.0489182711491,2762473,-9999,509821.5,46.75,-1,-0.9528778735328336,0.8481047742443,0,0.5088628645465799,5,1.2727272727272727,0.4545454545454546,S1 O5,de-protonated,0,-9999,C11 H14 O5 S1,11,14,5,-9999,-9999,1,-9999,N/A
5,257.048632,257.04867333492246,257.0485381486291,2762473,-9999,509821.5,46.75,-1,0.5259173785170025,0.9510518210070282,0,0.570631092604217,10,0.8461538461538461,0.15384615384615383,N2 P1 O2,de-protonated,0,-9999,C13 H11 O2 N2 P1,13,11,2,2,1,-9999,-9999,N/A
8,265.147382,265.1474198151538,265.1475239158191,997716.7,-9999,556470.2,15.32,-1,-0.39261413323893146,0.9724179634811426,0,0.5834507780886855,5,1.6428571428571428,0.07142857142857142,N2 P1 O1,de-protonated,0,-9999,C14 H23 O1 N2 P1,14,23,1,2,1,-9999,-9999,N/A
9,265.147681,265.14771881502384,265.14790403833905,874388.8,-9999,804961,13.18,-1,-0.6985660169003324,0.9152610468269432,0,0.5491566280961659,0,2.1666666666666665,0.3333333333333333,S1 O4,de-protonated,0,-9999,C12 H26 O4 S1,12,26,4,-9999,-9999,1,-9999,N/A
9,265.147681,265.14771881502384,265.1475239158191,874388.8,-9999,804961,13.18,-1,0.7350594939714629,0.9066135578231056,0,0.5439681346938633,5,1.6428571428571428,0.07142857142857142,N2 P1 O1,de-protonated,0,-9999,C14 H23 O1 N2 P1,14,23,1,2,1,-9999,-9999,N/A
11,269.048516,269.048552119696,269.0485381486291,849671.3,-9999,413656.4,12.67,-1,0.0519276818523688,0.9995108461694352,0,0.5997065077016611,11,0.7857142857142857,0.14285714285714285,N2 P1 O2,de-protonated,0,-9999,C14 H11 O2 N2 P1,14,11,2,2,1,-9999,-9999,N/A
12,269.066382,269.0664181119313,269.0666763358891,1314729.4,-9999,437023,20.7,-1,-0.9597024846445632,0.8460985163862416,0,0.5076591098317449,6,1.1666666666666667,0.5833333333333334,O7,de-protonated,0,-9999,C12 H14 O7,12,14,7,-9999,-9999,-9999,-9999,N/A
13,269.102972,269.1030080960291,269.1030618452391,851629.6,-9999,552819.1,12.7,-1,-0.1997346653286265,0.992787433927834,0,0.5956724603567003,5,1.3846153846153846,0.4615384615384616,O6,de-protonated,0,-9999,C13 H18 O6,13,18,6,-9999,-9999,-9999,-9999,N/A
16,271.064285,271.0643202436299,271.06456833560907,6342734,-9999,442464.7,107.47,-1,-0.9152504907269232,0.9081647720858792,0.9981089362618016,0.9441424377562484,5,1.3333333333333333,0.4166666666666667,S1 O5,de-protonated,0,-9999,C12 H16 O5 S1,12,16,5,-9999,-9999,1,-9999,N/A
