Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,34S
0,265.14727799999997,265.1473299958063,265.1475239158191,818203.9,-9999,710671,12.32,-1,-0.7313664858756327,0.9075048699972422,0,0.5445029219983453,5,1.6428571428571428,0.07142857142857142,N2 P1 O1,de-protonated,0,-9999,C14 H23 O1 N2 P1,14,23,1,2,1,-9999,-9999,-9999
1,265.147577,265.1476289956558,265.1475239158191,1110747.9,-9999,604792,17.45,-1,0.396307063942094,0.9719040419687416,0,0.5831424251812448,5,1.6428571428571428,0.07142857142857142,N2 P1 O1,de-protonated,0,-9999,C14 H23 O1 N2 P1,14,23,1,2,1,-9999,-9999,-9999
4,293.17498,293.17501789069007,293.17480129273906,840068.9,-9999,1202734.4,12.34,-1,0.7388013910285333,0.9057067670631797,0,0.5434240602379077,1,2.4545454545454546,0.2727272727272727,N4 P1 O3,de-protonated,0,-9999,C11 H27 O3 N4 P1,11,27,3,4,1,-9999,-9999,-9999
6,293.175676,293.17571389033986,293.1758328639391,1228613,-9999,590724.1,18.97,-1,-0.4058097083453197,0.97056078530886,0,0.582336471185316,5,1.5294117647058822,0.2352941176470588,O4,de-protonated,0,-9999,C17 H26 O4,17,26,4,-9999,-9999,-9999,-9999,-9999
7,297.152678,297.1527138888887,297.1529894187691,1178979.9,-9999,598853.2,18.03,-1,-0.9272324029138382,0.8555572143201046,0,0.5133343285920627,4,1.625,0.1875,S1 O3,de-protonated,0,-9999,C16 H26 O3 S1,16,26,3,-9999,-9999,1,-9999,-9999
8,305.10282,305.10285188793006,305.1030618452391,989624.4,-9999,639975,14.73,-1,-0.6881520879182589,0.917662481226692,0,0.5505974887360152,8,1.125,0.375,O6,de-protonated,0,-9999,C16 H18 O6,16,18,6,-9999,-9999,-9999,-9999,-9999
9,307.082207,307.0822378917912,307.0823264003491,928438.5,-9999,502962.8,13.62,-1,-0.2882242001089268,0.9850395157444866,0,0.5910237094466919,8,1.0666666666666669,0.4666666666666667,O7,de-protonated,0,-9999,C15 H16 O7,15,16,7,-9999,-9999,-9999,-9999,-9999
9,307.082207,307.0822378917912,307.0821642090191,928438.5,-9999,502962.8,13.62,-1,0.23994481179610047,0.9896077383625036,0,0.5937646430175022,3,2.1,0.1,N4 S2 P1 O1,de-protonated,0,-9999,C10 H21 O1 N4 P1 S2,10,21,1,4,1,2,-9999,-9999
10,307.118393,307.1184238735804,307.1187119096991,1096248.9,-9999,602850.8,16.44,-1,-0.937865742110592,0.8524839984492104,0,0.5114903990695262,7,1.25,0.375,O6,de-protonated,0,-9999,C16 H20 O6,16,20,6,-9999,-9999,-9999,-9999,-9999
11,309.061281,309.06131089580987,309.06159095545905,904761.9,-9999,712847.2,13.22,-1,-0.9061612875265568,0.8615754495920004,0,0.5169452697552002,8,1,0.5714285714285714,O8,de-protonated,0,-9999,C14 H14 O8,14,14,8,-9999,-9999,-9999,-9999,-9999
11,309.061281,309.06131089580987,309.06142876412906,904761.9,-9999,712847.2,13.22,-1,-0.3813750543545139,0.9739540483337236,0,0.5843724290002342,3,2.111111111111111,0.2222222222222222,N4 S2 P1 O2,de-protonated,0,-9999,C9 H19 O2 N4 P1 S2,9,19,2,4,1,2,-9999,-9999
