Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C
20,305.066627,305.0666191357387,305.0666763358891,906311.8,-9999,551310.8,13.3,-1,-0.1875004871376131,0.9936412146657008,0,0.5961847287994205,9,0.9333333333333332,0.4666666666666667,O7,de-protonated,0,-9999,C15 H14 O7,15,14,7,-9999,-9999,-9999,-9999
20,305.066627,305.0666191357387,305.0665141445591,906311.8,-9999,551310.8,13.3,-1,0.34415832187736706,0.9787376198749332,0,0.5872425719249599,4,1.9,0.1,N4 S2 P1 O1,de-protonated,0,-9999,C10 H19 O1 N4 P1 S2,10,19,1,4,1,2,-9999
21,305.103076,305.1030681408675,305.1030618452391,1179082.9,-9999,658501.7,17.91,-1,0.02063443204213141,0.9999227458014858,0,0.5999536474808914,8,1.125,0.375,O6,de-protonated,0,-9999,C16 H18 O6,16,18,6,-9999,-9999,-9999,-9999
22,307.045876,307.0458684142424,307.0459408909991,887148.1,-9999,597619.7,12.9,-1,-0.2360453176692504,0.9899410851419276,0,0.5939646510851565,9,0.8571428571428571,0.5714285714285714,O8,de-protonated,0,-9999,C14 H12 O8,14,12,8,-9999,-9999,-9999,-9999
22,307.045876,307.0458684142424,307.0457786996691,887148.1,-9999,597619.7,12.9,-1,0.2921863108317933,0.9846285754268824,0,0.5907771452561295,4,1.8888888888888888,0.2222222222222222,N4 S2 P1 O2,de-protonated,0,-9999,C9 H17 O2 N4 P1 S2,9,17,2,4,1,2,-9999
23,307.082383,307.08237541937933,307.0823264003491,1569135.1,-9999,627803.7,24.34,-1,0.15962830173823347,0.9953871427509308,0,0.5972322856505585,8,1.0666666666666669,0.4666666666666667,O7,de-protonated,0,-9999,C15 H16 O7,15,16,7,-9999,-9999,-9999,-9999
23,307.082383,307.08237541937933,307.0821642090191,1569135.1,-9999,627803.7,24.34,-1,0.6877975501851423,0.917743712082171,0,0.5506462272493026,3,2.1,0.1,N4 S2 P1 O1,de-protonated,0,-9999,C10 H21 O1 N4 P1 S2,10,21,1,4,1,2,-9999
24,307.118686,307.1186784244876,307.1187119096991,1302002.3,-9999,591526.3,19.86,-1,-0.10903018987840736,0.997845338430376,0,0.5987072030582256,7,1.25,0.375,O6,de-protonated,0,-9999,C16 H20 O6,16,20,6,-9999,-9999,-9999,-9999
25,309.061622,309.0616146978816,309.06159095545905,1402134,-9999,528820.8,21.53,-1,0.07682100676695217,0.9989297596670348,0,0.5993578558002208,8,1,0.5714285714285714,O8,de-protonated,0,-9999,C14 H14 O8,14,14,8,-9999,-9999,-9999,-9999
25,309.061622,309.0616146978816,309.06142876412906,1402134,-9999,528820.8,21.53,-1,0.6016077557950378,0.9364379034843014,0,0.5618627420905808,3,2.111111111111111,0.2222222222222222,N4 S2 P1 O2,de-protonated,0,-9999,C9 H19 O2 N4 P1 S2,9,19,2,4,1,2,-9999
26,309.098031,309.0980237030048,309.0979764648091,2866457.3,-9999,563916.8,46.1,-1,0.1528259622769078,0.995771092473683,0,0.5974626554842097,7,1.2,0.4666666666666667,O7,de-protonated,0,-9999,C15 H18 O7,15,18,7,-9999,-9999,-9999,-9999
26,309.098031,309.0980237030048,309.09781427347906,2866457.3,-9999,563916.8,46.1,-1,0.6775509759963173,0.9200763579121009,0,0.5520458147472604,2,2.3,0.1,N4 S2 P1 O1,de-protonated,0,-9999,C10 H23 O1 N4 P1 S2,10,23,1,4,1,2,-9999
27,309.098655,309.09864770309264,309.0988458446791,949017.2,-9999,968271.8,13.93,-1,-0.6410298489163688,0.9281510767595612,0,0.5568906460557367,6,1.375,0.125,S2 O2,de-protonated,0,-9999,C16 H22 O2 S2,16,22,2,-9999,-9999,2,-9999
28,309.134338,309.1343307081136,309.13436197415905,1391260.3,-9999,590798,21.35,-1,-0.10114063420809737,0.998145605266494,0,0.5988873631598964,6,1.375,0.375,O6,de-protonated,0,-9999,C16 H22 O6,16,22,6,-9999,-9999,-9999,-9999
29,311.077263,311.07725598150614,311.0772410199191,2599619.3,-9999,537351.1,41.62,-1,0.04809605166370014,0.9995803554970756,0,0.5997482132982452,7,1.1428571428571428,0.5714285714285714,O8,de-protonated,0,-9999,C14 H16 O8,14,16,8,-9999,-9999,-9999,-9999
29,311.077263,311.07725598150614,311.0770788285891,2599619.3,-9999,537351.1,41.62,-1,0.5694823858896788,0.9428522800671668,0,0.5657113680403,2,2.3333333333333335,0.2222222222222222,N4 S2 P1 O2,de-protonated,0,-9999,C9 H21 O2 N4 P1 S2,9,21,2,4,1,2,-9999
30,311.113608,311.11360098662027,311.1136265292691,3046086.3,-9999,565514.1,49.11,-1,-0.08210070738069229,0.9987776880171776,0,0.5992666128103065,6,1.3333333333333333,0.4666666666666667,O7,de-protonated,0,-9999,C15 H20 O7,15,20,7,-9999,-9999,-9999,-9999
30,311.113608,311.11360098662027,311.1134643379391,3046086.3,-9999,565514.1,49.11,-1,0.4392245815152013,0.9656008200401268,0,0.579360492024076,1,2.5,0.1,N4 S2 P1 O1,de-protonated,0,-9999,C10 H25 O1 N4 P1 S2,10,25,1,4,1,2,-9999
31,311.114317,311.11430998672006,311.11449590913907,997062.4,-9999,979488.9,14.74,-1,-0.5976012736524977,0.9372546367297062,0,0.5623527820378237,5,1.5,0.125,S2 O2,de-protonated,0,-9999,C16 H24 O2 S2,16,24,2,-9999,-9999,2,-9999
32,311.150047,311.15003999174763,311.1500120386191,1036105.5,-9999,648135.7,15.39,-1,0.08983810853250834,0.9985366201702648,0,0.5991219721021589,5,1.5,0.375,O6,de-protonated,0,-9999,C16 H24 O6,16,24,6,-9999,-9999,-9999,-9999
33,311.168649,311.1686419943652,311.16863948322913,5520587,-9999,567795.5,90.61,-1,0.00807001656195379,0.9971019877733855,0.9892550269853287,0.9939632034581628,4,1.6470588235294117,0.17647058823529413,S1 O3,de-protonated,0,-9999,C17 H28 O3 S1,17,28,3,-9999,-9999,1,-9999
37,311.937355,311.93734810253125,311.93733319083907,1359630.1,-9999,605875.9,20.69,-1,0.04780348675685219,0.999585444250344,0,0.5997512665502064,10,0.4,0.7,N1 S1 P1 O7,de-protonated,0,-9999,C10 H4 O7 N1 P1 S1,10,4,7,1,1,1,-9999
38,312.172057,312.17205013555656,312.17199431829914,932962.7,-9999,532811.6,13.58,-1,0.17880289851322706,0.9942157923530064,0.9892550269853287,0.9922314862059354,4,1.75,0.1875,13C1 S1 O3,de-protonated,1,33,C16 H28 O3 S1 13C1,16,28,3,-9999,-9999,1,1
38,312.172057,312.17205013555656,312.1717505413991,932962.7,-9999,532811.6,13.58,-1,0.9597093809692196,0.8460964842158758,0,0.5076578905295255,9,1.2777777777777777,0.1111111111111111,N3 O2,de-protonated,0,-9999,C18 H23 O2 N3,18,23,2,3,-9999,-9999,-9999
39,313.056582,313.05657526001966,313.0565055750291,1244528.8,-9999,558346.2,18.77,-1,0.22259556755506577,0.991049732004226,0,0.5946298392025355,7,1.0769230769230769,0.6923076923076923,O9,de-protonated,0,-9999,C13 H14 O9,13,14,9,-9999,-9999,-9999,-9999
39,313.056582,313.05657526001966,313.056343383699,1244528.8,-9999,558346.2,18.77,-1,0.7406855843715232,0.9052487641706836,0,0.54314925850241,2,2.375,0.375,N4 S2 P1 O3,de-protonated,0,-9999,C8 H19 O3 N4 P1 S2,8,19,3,4,1,2,-9999
40,313.09287,313.0928632651258,313.0928910843791,2400372,-9999,515275.1,38.04,-1,-0.08885303407046063,0.998568513278489,0,0.5991411079670933,6,1.2857142857142858,0.5714285714285714,O8,de-protonated,0,-9999,C14 H18 O8,14,18,8,-9999,-9999,-9999,-9999
41,313.093565,313.0935582652236,313.0937604642491,937332.1,-9999,948435.4,13.65,-1,-0.6458098213875932,0.9271157438916062,0,0.5562694463349637,5,1.4666666666666666,0.2,S2 O3,de-protonated,0,-9999,C15 H22 O3 S2,15,22,3,-9999,-9999,2,-9999
42,313.129281,313.12927427024925,313.12927659372906,1760119.3,-9999,569849.4,27.36,-1,-0.00742019344302454,0.9999900096175608,0,0.5999940057705364,5,1.4666666666666666,0.4666666666666667,O7,de-protonated,0,-9999,C15 H22 O7,15,22,7,-9999,-9999,-9999,-9999
43,315.07223,315.0722235436451,315.0721556394891,1191077.8,-9999,622142.4,17.88,-1,0.2155193812295668,0.991607378226908,0,0.5949644269361448,6,1.2307692307692308,0.6923076923076923,O9,de-protonated,0,-9999,C13 H16 O9,13,16,9,-9999,-9999,-9999,-9999
44,315.108517,315.1085105487511,315.10854114883904,1317289.1,-9999,566484.3,19.98,-1,-0.09710967474105528,0.9982903495825484,0,0.598974209749529,5,1.4285714285714286,0.5714285714285714,O8,de-protonated,0,-9999,C14 H20 O8,14,20,8,-9999,-9999,-9999,-9999
45,317.06662,317.06661382427933,317.0666763358891,971485.6,-9999,629229.2,14.21,-1,-0.1971560382561992,0.9929718122629764,0,0.5957830873577857,10,0.875,0.4375,O7,de-protonated,0,-9999,C16 H14 O7,16,14,7,-9999,-9999,-9999,-9999
45,317.06662,317.06661382427933,317.0665141445591,971485.6,-9999,629229.2,14.21,-1,0.31438110230874194,0.982226281887993,0,0.5893357691327957,5,1.7272727272727273,0.09090909090909093,N4 S2 P1 O1,de-protonated,0,-9999,C11 H19 O1 N4 P1 S2,11,19,1,4,1,2,-9999
46,317.10304,317.10303382940407,317.1030618452391,1022688.9,-9999,592628.8,15.06,-1,-0.08834930468613875,0.998584686701597,0,0.5991508120209581,9,1.0588235294117647,0.35294117647058826,O6,de-protonated,0,-9999,C17 H18 O6,17,18,6,-9999,-9999,-9999,-9999
47,319.046007,319.0460011028024,319.0459408909991,938777,-9999,544415.4,13.58,-1,0.1887245553025077,0.993558187811511,0,0.5961349126869065,10,0.8,0.5333333333333333,O8,de-protonated,0,-9999,C15 H12 O8,15,12,8,-9999,-9999,-9999,-9999
47,319.046007,319.0460011028024,319.0457786996691,938777,-9999,544415.4,13.58,-1,0.6970884686629327,0.9156035776395248,0,0.5493621465837148,5,1.7,0.2,N4 S2 P1 O2,de-protonated,0,-9999,C10 H17 O2 N4 P1 S2,10,17,2,4,1,2,-9999
48,319.082295,319.0822891079086,319.0823264003491,1720220.5,-9999,594076,26.52,-1,-0.11687403969425993,0.9975245631614,0,0.59851473789684,9,1,0.4375,O7,de-protonated,0,-9999,C16 H16 O7,16,16,7,-9999,-9999,-9999,-9999
48,319.082295,319.0822891079086,319.0821642090191,1720220.5,-9999,594076,26.52,-1,0.3914317486831805,0.9725815485099126,0,0.5835489291059476,4,1.9090909090909092,0.09090909090909093,N4 S2 P1 O1,de-protonated,0,-9999,C11 H21 O1 N4 P1 S2,11,21,1,4,1,2,-9999
49,319.118725,319.11871911303473,319.1187119096991,1333408,-9999,614035.4,20.11,-1,0.02257258940678157,0.9999075522136588,0,0.5999445313281954,8,1.1764705882352942,0.35294117647058826,O6,de-protonated,0,-9999,C17 H20 O6,17,20,6,-9999,-9999,-9999,-9999
50,321.06161,321.06160438642155,321.06159095545905,1593181.8,-9999,620867.1,24.41,-1,0.04183297808022208,0.999682515560716,0,0.5998095093364295,9,0.9333333333333332,0.5333333333333333,O8,de-protonated,0,-9999,C15 H14 O8,15,14,8,-9999,-9999,-9999,-9999
50,321.06161,321.06160438642155,321.0614287641291,1593181.8,-9999,620867.1,24.41,-1,0.5470052665853593,0.9471553779115918,0,0.568293226746955,4,1.9,0.2,N4 S2 P1 O2,de-protonated,0,-9999,C10 H19 O2 N4 P1 S2,10,19,2,4,1,2,-9999
51,321.097897,321.0978913915276,321.0979764648091,2293089.3,-9999,582102.4,36.01,-1,-0.26494493195445834,0.9873438327402362,0,0.5924062996441417,8,1.125,0.4375,O7,de-protonated,0,-9999,C16 H18 O7,16,18,7,-9999,-9999,-9999,-9999
51,321.097897,321.0978913915276,321.09781427347906,2293089.3,-9999,582102.4,36.01,-1,0.24016995786019316,0.9895883285170556,0,0.5937529971102334,3,2.090909090909091,0.09090909090909093,N4 S2 P1 O1,de-protonated,0,-9999,C11 H23 O1 N4 P1 S2,11,23,1,4,1,2,-9999
52,321.134333,321.13432739665456,321.13436197415905,1650020.9,-9999,584473.8,25.35,-1,-0.10767301350395347,0.9978985897373434,0,0.598739153842406,7,1.2941176470588236,0.35294117647058826,O6,de-protonated,0,-9999,C17 H22 O6,17,22,6,-9999,-9999,-9999,-9999
53,323.040881,323.04087566492836,323.0408555105691,961445,-9999,594290.2,13.8,-1,0.0623895056393061,0.9992939693428824,0,0.5995763816057295,9,0.8571428571428571,0.6428571428571429,O9,de-protonated,0,-9999,C14 H12 O9,14,12,9,-9999,-9999,-9999,-9999
