Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,18O,33S,34S
0,157.123489,157.12343695509298,157.12340336695908,1014330.8,-9999,1130933,17.39,-1,0.2137691342148153,0.9917425767035902,0,0.5950455460221541,1,2,0.2222222222222222,O2,de-protonated,0,-9999,C9 H18 O2,9,18,2,-9999,-9999,-9999,-9999,N/A,-9999,-9999
2,199.006727,199.00669869812347,199.0066733356791,1228884.4,-9999,1070232.1,21.2,-1,0.12744519543325303,0.997057198577269,0,0.5982343191463614,10,0.5,0.1,N2 P1 O1,de-protonated,0,-9999,C10 H5 O1 N2 P1,10,5,1,2,1,-9999,-9999,N/A,-9999,-9999
3,199.006844,199.0068156981898,199.0066733356791,1223956.4,-9999,2164254.7,21.11,-1,0.7153655116918829,0.9113247500300397,0,0.5467948500180237,10,0.5,0.1,N2 P1 O1,de-protonated,0,-9999,C10 H5 O1 N2 P1,10,5,1,2,1,-9999,-9999,N/A,-9999,-9999
4,199.007186,199.00715769838365,199.0070534581991,7179668.5,-9999,619892.9,133.46,-1,0.5238014570027942,0.9514351909600836,0,0.5708611145760502,5,1,0.5,S1 O4,de-protonated,0,-9999,C8 H8 O4 S1,8,8,4,-9999,-9999,1,-9999,N/A,-9999,-9999
6,205.159914,205.15988918628037,205.15978887630908,12766258,-9999,658165,236.94,-1,0.4889358281997084,0.9632193738725628,0.9826693087938534,0.970999347841079,4,1.5714285714285714,0.07142857142857142,O1,de-protonated,0,-9999,C14 H22 O1,14,22,1,-9999,-9999,-9999,-9999,N/A,-9999,-9999
9,206.163254,206.16322975506,206.1631437113791,1645484.3,-9999,794655.9,28.73,-1,0.4173572412613213,0.9688882348561486,0.9826693087938534,0.9744006644312304,4,1.6923076923076923,0.07692307692307693,13C1 O1,de-protonated,1,6,C13 H22 O1 13C1,13,22,1,-9999,-9999,-9999,1,N/A,-9999,-9999
11,211.134117,211.1340955729737,211.13396805098907,1153113.5,-9999,711849.9,19.42,-1,0.6039861129088856,0.9359508261316716,0,0.561570495679003,3,1.6666666666666667,0.25,O3,de-protonated,0,-9999,C12 H20 O3,12,20,3,-9999,-9999,-9999,-9999,N/A,-9999,-9999
12,215.002094,215.0020747656766,215.00196807776908,2488037,-9999,714742.7,44.05,-1,0.4962182834244654,0.9563048088495858,0,0.5737828853097514,5,1,0.625,S1 O5,de-protonated,0,-9999,C8 H8 O5 S1,8,8,5,-9999,-9999,1,-9999,N/A,-9999,-9999
21,221.15482,221.1548042535722,221.15470349587903,791098.9,-9999,786993.7,12.56,-1,0.4555982375241175,0.9630371802182,0,0.57782230813092,4,1.5714285714285714,0.14285714285714285,O2,de-protonated,0,-9999,C14 H22 O2,14,22,2,-9999,-9999,-9999,-9999,N/A,-9999,-9999
22,227.201811,227.2017986815281,227.20165368925908,966391.3,-9999,640934.4,15.67,-1,0.6381655530733623,0.928768341737382,0,0.5572610050424291,1,2,0.14285714285714285,O2,de-protonated,0,-9999,C14 H28 O2,14,28,2,-9999,-9999,-9999,-9999,N/A,-9999,-9999
23,229.020696,229.0206847126289,229.02060932302905,804583.1,-9999,614905.3,12.66,-1,0.32918260098921565,0.9805300417229236,0,0.5883180250337542,5,1.375,0.25,N2 S1 P1 O2,de-protonated,0,-9999,C8 H11 O2 N2 P1 S1,8,11,2,2,1,1,-9999,N/A,-9999,-9999
25,236.105712,236.10570472902683,236.10571867340903,1020399.4,-9999,716873,16.46,-1,-0.05905990876433831,0.9993672940113638,0,0.5996203764068183,1,2.2222222222222223,0.4444444444444444,N1 P1 O4,de-protonated,0,-9999,C9 H20 O4 N1 P1,9,20,4,1,1,-9999,-9999,N/A,-9999,-9999
26,239.128988,239.12898244288036,239.12888267055905,1993929.3,-9999,662163,33.94,-1,0.41723241538975553,0.9689065499530376,0,0.5813439299718225,4,1.5384615384615383,0.3076923076923077,O4,de-protonated,0,-9999,C13 H20 O4,13,20,4,-9999,-9999,-9999,-9999,N/A,-9999,-9999
28,241.144676,241.14467158554612,241.14453273501908,968214.8,-9999,596142.1,15.39,-1,0.5757979476547733,0.9416156599320566,0,0.564969395959234,3,1.6923076923076923,0.3076923076923077,O4,de-protonated,0,-9999,C13 H22 O4,13,22,4,-9999,-9999,-9999,-9999,N/A,-9999,-9999
29,242.17628,242.1762761703482,242.1761672165691,3157696,-9999,723299.3,54.72,-1,0.4498947206185538,0.9639400563984182,0,0.5783640338390509,2,1.9230769230769231,0.2307692307692308,N1 O3,de-protonated,0,-9999,C13 H25 O3 N1,13,25,3,1,-9999,-9999,-9999,N/A,-9999,-9999
31,245.048507,245.0485047985741,245.0485381486291,3563152.8,-9999,705526.5,61.76,-1,-0.1360957108471306,0.9966448408864592,0,0.5979869045318754,9,0.9166666666666666,0.16666666666666666,N2 P1 O2,de-protonated,0,-9999,C12 H11 O2 N2 P1,12,11,2,2,1,-9999,-9999,N/A,-9999,-9999
32,245.049022,245.04901979886608,245.0489182711491,33013136,-9999,556211,588.8,-1,0.4143161197386493,0.9707214195119136,0.988349135152109,0.9777725057679916,4,1.4,0.5,S1 O5,de-protonated,0,-9999,C10 H14 O5 S1,10,14,5,-9999,-9999,1,-9999,N/A,-9999,-9999
33,245.050449,245.050446799675,245.05025568166903,4637585,-9999,842905.4,80.99,-1,0.7799135137080053,0.8955037218649333,0,0.53730223311896,9,0.9090909090909092,0.09090909090909093,N4 S1 O1,de-protonated,0,-9999,C11 H10 O1 N4 S1,11,10,1,4,-9999,1,-9999,N/A,-9999,-9999
34,246.052375,246.05237336765305,246.05227310621908,4067632.3,-9999,680767.3,70.79,-1,0.4074802183511835,0.9710509434109316,0.988349135152109,0.9779702201074024,4,1.5555555555555556,0.5555555555555556,13C1 S1 O5,de-protonated,1,32,C9 H14 O5 S1 13C1,9,14,5,-9999,-9999,1,1,N/A,-9999,-9999
35,247.044812,247.0448109302519,247.04471410074908,1488076.5,-9999,572546.6,24.53,-1,0.39195132423554935,0.9717803325447144,0.988349135152109,0.9784078535876722,4,1.4,0.5,34S1 O5,de-protonated,1,32,C10 H14 O5 34S1,10,14,5,-9999,-9999,-9999,-9999,N/A,-9999,1
36,249.149708,249.14970812348844,249.14961811544907,2678290.3,-9999,675611,45.74,-1,0.36126099668821393,0.9765974106717212,0,0.5859584464030326,5,1.4666666666666666,0.2,O3,de-protonated,0,-9999,C15 H22 O3,15,22,3,-9999,-9999,-9999,-9999,N/A,-9999,-9999
37,253.144628,253.14463038815356,253.14453273501908,3174499,-9999,666365.8,54.37,-1,0.3857603931622696,0.9733597083415844,0,0.5840158250049506,4,1.5714285714285714,0.2857142857142857,O4,de-protonated,0,-9999,C14 H22 O4,14,22,4,-9999,-9999,-9999,-9999,N/A,-9999,-9999
42,255.233044,255.2330475720478,255.2329538181791,22489994,-9999,579990.5,395.78,-1,0.3673266609754068,0.9713204343319556,0.9788856789056112,0.974346532161418,1,2,0.125,O2,de-protonated,0,-9999,C16 H32 O2,16,32,2,-9999,-9999,-9999,-9999,N/A,-9999,-9999
45,256.236415,256.236419140845,256.23630865324907,3254291.3,-9999,488174.1,55.55,-1,0.43119414457418553,0.9668262663619208,0.9788856789056112,0.971650031379397,1,2.1333333333333333,0.13333333333333333,13C1 O2,de-protonated,1,42,C15 H32 O2 13C1,15,32,2,-9999,-9999,-9999,1,N/A,-9999,-9999
47,261.043957,261.04396386617424,261.0438328907191,1231612.3,-9999,641453.3,19.57,-1,0.5017374043483738,0.9553495648056036,0,0.5732097388833621,4,1.4,0.6,S1 O6,de-protonated,0,-9999,C10 H14 O6 S1,10,14,6,-9999,-9999,1,-9999,N/A,-9999,-9999
49,265.147355,265.14736419233407,265.1475239158191,8592469,-9999,496171.1,147.74,-1,-0.6023947825478252,0.4681384542446774,0.8684926696514785,0.6282801404073979,5,1.6428571428571428,0.07142857142857142,N2 P1 O1,de-protonated,0,-9999,C14 H23 O1 N2 P1,14,23,1,2,1,-9999,-9999,N/A,-9999,-9999
50,265.14797600000003,265.1479851926861,265.14790403833905,45736020,-9999,614547.4,795.03,-1,0.30607199165358445,0.9877288349697184,0.986555538534569,0.9872595163956588,0,2.1666666666666665,0.3333333333333333,S1 O4,de-protonated,0,-9999,C12 H26 O4 S1,12,26,4,-9999,-9999,1,-9999,N/A,-9999,-9999
53,266.15131,266.15131976146233,266.15125887340906,5291714,-9999,542882.6,90.22,-1,0.2287723662374151,0.9901964941540808,0.986555538534569,0.988740111906276,0,2.363636363636364,0.3636363636363637,13C1 S1 O4,de-protonated,1,50,C11 H26 O4 S1 13C1,11,26,4,-9999,-9999,1,1,N/A,-9999,-9999
55,267.143754,267.14376432406516,267.1436998679391,1855531.1,-9999,714673.2,30.33,-1,0.241278855058071,0.9898444822913948,0.986555538534569,0.9885289047886644,0,2.1666666666666665,0.3333333333333333,34S1 O4,de-protonated,1,50,C12 H26 O4 34S1,12,26,4,-9999,-9999,-9999,-9999,N/A,-9999,1
58,269.131265,269.1312764507577,269.1312051460991,3913718.5,-9999,640422.8,65.85,-1,0.26494385355859584,0.9873439351131842,0,0.5924063610679104,4,1.6428571428571428,0.21428571428571427,P1 O3,de-protonated,0,-9999,C14 H23 O3 P1,14,23,3,-9999,1,-9999,-9999,N/A,-9999,-9999
59,269.139479,269.13949045541415,269.1394473545891,1009911.4,-9999,774573.5,15.51,-1,0.16014309859306325,0.9953574113842888,0,0.5972144468305733,4,1.5714285714285714,0.35714285714285715,O5,de-protonated,0,-9999,C14 H22 O5,14,22,5,-9999,-9999,-9999,-9999,N/A,-9999,-9999
63,277.144597,277.1446129934052,277.1445327350191,1513048.8,-9999,631102.7,24.09,-1,0.2895903639660128,0.9848984350286524,0,0.5909390610171915,6,1.375,0.25,O4,de-protonated,0,-9999,C16 H22 O4,16,22,4,-9999,-9999,-9999,-9999,N/A,-9999,-9999
64,277.180962,277.18097801402007,277.1809182443691,2736091.8,-9999,635803.1,45.18,-1,0.21563407527149417,0.9915984808014238,0,0.5949590884808542,5,1.5294117647058822,0.17647058823529413,O3,de-protonated,0,-9999,C17 H26 O3,17,26,3,-9999,-9999,-9999,-9999,N/A,-9999,-9999
69,281.248603,281.24862131990966,281.2486038826391,1679018,-9999,541783.9,26.8,-1,0.06199949201788563,0.9993027658599504,0,0.5995816595159703,2,1.8888888888888888,0.1111111111111111,O2,de-protonated,0,-9999,C18 H34 O2,18,34,2,-9999,-9999,-9999,-9999,N/A,-9999,-9999
74,283.264272,283.26429146256464,283.26425394709906,14315208,-9999,545396.7,242.14,-1,0.1324398156694856,0.996938121614696,0.999180276593532,0.9978349836062304,1,2,0.1111111111111111,O2,de-protonated,0,-9999,C18 H36 O2,18,36,2,-9999,-9999,-9999,-9999,N/A,-9999,-9999
77,284.267625,284.26764503135166,284.2676087821691,2770197.3,-9999,675295.7,45.26,-1,0.12751780880232746,0.9970538491779526,0.999180276593532,0.9979044201441843,1,2.1176470588235294,0.1176470588235294,13C1 O2,de-protonated,1,74,C17 H36 O2 13C1,17,36,2,-9999,-9999,-9999,1,N/A,-9999,-9999
79,285.126116,285.12613651801837,285.1261197656691,839894.5,-9999,541482,12.34,-1,0.05875417265018737,0.9993738256826872,0,0.5996242954096123,4,1.6428571428571428,0.2857142857142857,P1 O4,de-protonated,0,-9999,C14 H23 O4 P1,14,23,4,-9999,1,-9999,-9999,N/A,-9999,-9999
80,288.987286,288.9873087068624,288.9875951169991,5437557.5,-9999,653463.4,90.21,-1,-0.9910810759663792,0.8367529059889315,0,0.5020517435933589,6,1.2222222222222223,0.3333333333333333,N2 S2 P1 O3,de-protonated,0,-9999,C9 H11 O3 N2 P1 S2,9,11,3,2,1,2,-9999,N/A,-9999,-9999
81,293.169045,293.16907007744396,293.1693081884891,1471396.1,-9999,425465,22.83,-1,-0.8121963605002223,0.8871910138186828,0,0.5323146082912097,5,1.625,0.0625,N2 S1 O1,de-protonated,0,-9999,C16 H26 O1 N2 S1,16,26,1,2,-9999,1,-9999,N/A,-9999,-9999
83,293.175849,293.1758740813011,293.1758328639391,40671652,-9999,583513.7,683.54,-1,0.14058922122653275,0.9976581080946804,0.98872387513214,0.9940844149096644,5,1.5294117647058822,0.2352941176470588,O4,de-protonated,0,-9999,C17 H26 O4,17,26,4,-9999,-9999,-9999,-9999,N/A,-9999,-9999
85,293.17901,293.179035083093,293.17920416725906,4278693,-9999,514339.1,70.14,-1,-0.5767263285684642,0.9414328660617054,0,0.5648597196370232,0,2.142857142857143,0.2857142857142857,S1 O4,de-protonated,0,-9999,C14 H30 O4 S1,14,30,4,-9999,-9999,1,-9999,N/A,-9999,-9999
85,293.17901,293.179035083093,293.1788240447391,4278693,-9999,514339.1,70.14,-1,0.7198280934051038,0.910266297613007,0,0.5461597785678042,5,1.6875,0.0625,N2 P1 O1,de-protonated,0,-9999,C16 H27 O1 N2 P1,16,27,1,2,1,-9999,-9999,N/A,-9999,-9999
