Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,18O,33S,34S
38,241.21734,241.21729513124532,241.21730375371908,835600.5,-9999,814530.7,12.96,-1,-0.03574566842027754,0.999768180305386,0,0.5998609081832316,1,2,0.13333333333333333,O2,de-protonated,0,-9999,C15 H30 O2,15,30,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
39,242.176202,242.17615786151435,242.1761672165691,11538864,-9999,572063,204.42,-1,-0.03862913040053107,0.9998194733114358,0.985521410211256,0.994100248071364,2,1.9230769230769231,0.2307692307692308,N1 O3,de-protonated,0,-9999,C13 H25 O3 N1,13,25,3,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999
42,243.160252,243.1602086109666,243.16018279947903,1116564.1,-9999,710293.2,17.91,-1,0.10615014041061029,0.9979575516430372,0,0.5987745309858223,2,1.8461538461538465,0.3076923076923077,O4,de-protonated,0,-9999,C13 H24 O4,13,24,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
43,243.17956,243.17951662567157,243.17952205163908,1843415.4,-9999,646476.8,30.86,-1,-0.02231260045877238,0.9999096694634074,0.985521410211256,0.9941543657625468,2,2.0833333333333335,0.25,13C1 N1 O3,de-protonated,1,39,C12 H25 O3 N1 13C1,12,25,3,1,-9999,-9999,1,-9999,-9999,-9999,-9999
45,245.048946,245.04890404939545,245.0489182711491,95098256,-9999,556064.9,1692.62,-1,-0.05803638614402772,0.9995847502731972,0.9949751447584988,0.997740908067318,4,1.4,0.5,S1 O5,de-protonated,0,-9999,C10 H14 O5 S1,10,14,5,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999
46,246.052299,246.05225781354883,246.05227310621908,9797681,-9999,520865.8,172.59,-1,-0.06215211933705538,0.9995623259640636,0.9949751447584988,0.9977274534818376,4,1.5555555555555556,0.5555555555555556,13C1 S1 O5,de-protonated,1,45,C9 H14 O5 S1 13C1,9,14,5,-9999,-9999,1,1,-9999,-9999,-9999,-9999
46,246.052299,246.05225781354883,246.05202932931903,9797681,-9999,520865.8,172.59,-1,0.9286012816172224,0.4275814662217241,0.89367660343270094,0.6140195211061148,9,0.8181818181818182,0.3636363636363637,N3 O4,de-protonated,0,-9999,C11 H9 O4 N3,11,9,4,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999
47,247.044746,247.0447055693962,247.04471410074908,4163282.8,-9999,600196.8,71.9,-1,-0.03453363860368901,0.9996834016509416,0.9949751447584988,0.9978000988939644,4,1.4,0.5,34S1 O5,de-protonated,1,45,C10 H14 O5 34S1,10,14,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1
48,247.053197,247.0531565758325,247.05295482379907,913812.1,-9999,596448.8,14.23,-1,0.8166347719958015,0.8860279868848636,0,0.5316167921309182,8,1,0.2307692307692308,P1 O3,de-protonated,0,-9999,C13 H13 O3 P1,13,13,3,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
48,247.053197,247.0531565758325,247.0531632644391,913812.1,-9999,596448.8,14.23,-1,-0.02707355170481456,0.9997042462361436,0.9949751447584988,0.9978126056450856,4,1.4,0.4,S1 O4 18O1,de-protonated,1,45,C10 H14 O4 S1 18O1,10,14,4,-9999,-9999,1,-9999,-9999,1,-9999,-9999
49,249.149648,249.14960917248905,249.14961811544907,7704102.5,-9999,537038,134.74,-1,-0.03589393440921693,0.999511468080804,0.9757605322021268,0.9900110937293332,5,1.4666666666666666,0.2,O3,de-protonated,0,-9999,C15 H22 O3,15,22,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
50,250.144911,250.14487293048103,250.1448670876491,1256900.9,-9999,769360.8,20.22,-1,0.023357792768687,0.9999010089493232,0,0.5999406053695939,5,1.5,0.21428571428571427,N1 O3,de-protonated,0,-9999,C14 H21 O3 N1,14,21,3,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999
51,250.152995,250.15295693663785,250.15297295051909,1509446.1,-9999,719157,24.69,-1,-0.06401635386257878,0.999256682704096,0.9757605322021268,0.9898582225033083,5,1.5714285714285714,0.21428571428571427,13C1 O3,de-protonated,1,49,C14 H22 O3 13C1,14,22,3,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999
52,251.092614,251.0925766522514,251.09249716120908,1197594.5,-9999,680415.9,19.17,-1,0.31658071518177183,0.98197896143811,0,0.589187376862866,6,1.2307692307692308,0.38461538461538464,O5,de-protonated,0,-9999,C13 H16 O5,13,16,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
53,251.128983,251.12894567995005,251.12888267055905,955520.2,-9999,499695.2,14.89,-1,0.2509045965918303,0.988642231723686,0,0.5931853390342117,5,1.4285714285714286,0.2857142857142857,O4,de-protonated,0,-9999,C14 H20 O4,14,20,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
54,253.071836,253.0718001596264,253.0717617163191,1046670.6,-9999,624449.1,16.5,-1,0.15190674387693764,0.9958217054826431,0,0.5974930232895859,6,1.1666666666666667,0.5,O6,de-protonated,0,-9999,C12 H14 O6,12,14,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
55,253.108152,253.10811618728465,253.1081472256691,1079956.1,-9999,548223.5,17.09,-1,-0.12262894262280016,0.9972751197432772,0,0.5983650718459662,5,1.3846153846153846,0.38461538461538464,O5,de-protonated,0,-9999,C13 H18 O5,13,18,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
56,253.144545,253.14450921500153,253.14453273501908,6568601.5,-9999,527530.4,114.11,-1,-0.09291141821416209,0.977607623024334,0.9856973672245392,0.9808435207044162,4,1.5714285714285714,0.2857142857142857,O4,de-protonated,0,-9999,C14 H22 O4,14,22,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
57,254.148048,254.1480129792691,254.14788757008907,872083.2,-9999,483026.3,13.35,-1,0.4934496260063174,0.9567803814693476,0.9856973672245392,0.9683471757714244,4,1.6923076923076923,0.3076923076923077,13C1 O4,de-protonated,1,56,C13 H22 O4 13C1,13,22,4,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999
58,255.087445,255.08741069471367,255.08741178077904,1652161.3,-9999,726607.7,27.08,-1,-0.00425762050842495,0.9999967108247602,0,0.5999980264948561,5,1.3333333333333333,0.5,O6,de-protonated,0,-9999,C12 H16 O6,12,16,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
59,255.12383,255.1237957224245,255.12379729012903,916742.7,-9999,642891.2,14.14,-1,-0.00614487785550529,0.9999931486074708,0,0.5999958891644825,4,1.5384615384615383,0.38461538461538464,O5,de-protonated,0,-9999,C13 H20 O5,13,20,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
62,255.233007,255.23297280557364,255.2329538181791,23845848,-9999,511521.9,417.7,-1,0.07439240992179791,0.9988939953110738,0.979789872062174,0.991252346011514,1,2,0.125,O2,de-protonated,0,-9999,C16 H32 O2,16,32,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
64,256.236363,256.2363295697293,256.23630865324907,3478764.5,-9999,449808.4,59.23,-1,0.08162965023436074,0.9987916654851648,0.979789872062174,0.9911909481159684,1,2.1333333333333333,0.13333333333333333,13C1 O2,de-protonated,1,62,C15 H32 O2 13C1,15,32,2,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999
67,257.10312,257.1030872298512,257.1030618452391,1038059.9,-9999,661226,16.27,-1,0.09873321590666674,0.998232756637265,0,0.5989396539823589,4,1.5,0.5,O6,de-protonated,0,-9999,C12 H18 O6,12,18,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
68,257.139479,257.1394462575422,257.1394473545891,1033585.3,-9999,747316.5,16.08,-1,-0.00426635003672025,0.999996697323164,0,0.5999980183938983,3,1.6923076923076923,0.38461538461538464,O5,de-protonated,0,-9999,C13 H22 O5,13,22,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
69,257.175847,257.17581428524005,257.1758328639391,988982.6,-9999,674755.4,15.3,-1,-0.07224123213496651,0.9990535046001664,0,0.5994321027600997,2,1.8571428571428572,0.2857142857142857,O4,de-protonated,0,-9999,C14 H26 O4,14,26,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
73,261.043873,261.0438432311277,261.0438328907191,2558746,-9999,540406.3,42.45,-1,0.03961177129941465,0.9997153307666732,0,0.5998291984600039,4,1.4,0.6,S1 O6,de-protonated,0,-9999,C10 H14 O6 S1,10,14,6,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999
77,263.09253,263.09250179138434,263.0924971612091,885102.7,-9999,584007.7,13.38,-1,0.0175990394112295,0.9999438021691924,0,0.5999662813015154,7,1.1428571428571428,0.35714285714285715,O5,de-protonated,0,-9999,C14 H16 O5,14,16,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
78,263.128965,263.12893681913323,263.12888267055905,849075.5,-9999,620934,12.75,-1,0.2057872690736693,0.992345385360951,0,0.5954072312165706,6,1.3333333333333333,0.26666666666666666,O4,de-protonated,0,-9999,C15 H20 O4,15,20,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
80,265.071757,265.0717302987631,265.0717617163191,1046065.9,-9999,712123.6,16.06,-1,-0.1185247186817418,0.9974542350576576,0,0.5984725410345946,7,1.0769230769230769,0.4615384615384616,O6,de-protonated,0,-9999,C13 H14 O6,13,14,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
81,265.108185,265.10815832650667,265.1081472256691,1516342.6,-9999,685603.7,24.17,-1,0.04187286471071772,0.999681909942518,0,0.5998091459655108,6,1.2857142857142858,0.35714285714285715,O5,de-protonated,0,-9999,C14 H18 O5,14,18,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
84,265.147947,265.14792035678937,265.14790403833905,28217660,-9999,588755.9,484.75,-1,0.06154470796207483,0.998742389782686,0.9969834774156924,0.9980388248358886,0,2.1666666666666665,0.3333333333333333,S1 O4,de-protonated,0,-9999,C12 H26 O4 S1,12,26,4,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999
85,266.151304,266.1512781209458,266.15125887340906,3759036.3,-9999,580879.5,62.85,-1,0.07231803752715679,0.9986552358591564,0.9969834774156924,0.9979865324817708,0,2.363636363636364,0.3636363636363637,13C1 S1 O4,de-protonated,1,84,C11 H26 O4 S1 13C1,11,26,4,-9999,-9999,1,1,-9999,-9999,-9999,-9999
85,266.151304,266.1512781209458,266.15101509650907,3759036.3,-9999,580879.5,62.85,-1,0.9882526152465948,0.8376033404120268,0,0.5025620042472161,5,1.6153846153846154,0.2307692307692308,N3 O3,de-protonated,0,-9999,C13 H21 O3 N3,13,21,3,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999
88,267.087466,267.08744083392656,267.08741178077906,1860914.4,-9999,629264.3,30.11,-1,0.1087776743446138,0.997855296631284,0,0.5987131779787703,6,1.2307692307692308,0.4615384615384616,O6,de-protonated,0,-9999,C13 H16 O6,13,16,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
90,267.12381800000003,267.12379286161223,267.12379729012906,1439158.9,-9999,524632.5,22.84,-1,-0.01657851856103021,0.9999501305660504,0,0.5999700783396303,5,1.4285714285714286,0.35714285714285715,O5,de-protonated,0,-9999,C14 H20 O5,14,20,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
91,267.143754,267.1437288767955,267.1436998679391,1283641.4,-9999,543280.4,20.15,-1,0.10858895932471768,0.9982589798216144,0.9969834774156924,0.9977487788592456,0,2.1666666666666665,0.3333333333333333,34S1 O4,de-protonated,1,84,C12 H26 O4 34S1,12,26,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1
94,269.066702,269.0666783413122,269.0666763358891,1464103.3,-9999,660177.7,23.1,-1,0.00745325698370769,0.9999899203876292,0,0.5999939522325775,6,1.1666666666666667,0.5833333333333334,O7,de-protonated,0,-9999,C12 H14 O7,12,14,7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
95,269.103075,269.1030513690138,269.1030618452391,1778859.8,-9999,598059.3,28.49,-1,-0.03893016006045966,0.9997250419154796,0,0.5998350251492878,5,1.3846153846153846,0.4615384615384616,O6,de-protonated,0,-9999,C13 H18 O6,13,18,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
96,269.131243,269.1312193904666,269.1312051460991,3270447.3,-9999,545569.6,54.04,-1,0.05292722367152935,0.999491838584831,0,0.5996951031508986,4,1.6428571428571428,0.21428571428571427,P1 O3,de-protonated,0,-9999,C14 H23 O3 P1,14,23,3,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
97,269.139464,269.13944039672765,269.1394473545891,2497072.3,-9999,625199.8,40.79,-1,-0.02585225433404225,0.999878738109431,0,0.5999272428656586,4,1.5714285714285714,0.35714285714285715,O5,de-protonated,0,-9999,C14 H22 O5,14,22,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
98,269.248667,269.24864347989666,269.2486038826391,896509.5,-9999,632197.6,13.38,-1,0.14706578603511436,0.996083255666946,0,0.5976499534001675,1,2,0.1176470588235294,O2,de-protonated,0,-9999,C17 H34 O2,17,34,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
99,270.207542,270.20751921017563,270.2074673454891,834289.6,-9999,582930.9,12.31,-1,0.1919439424228308,0.993337275973269,0,0.5960023655839614,2,1.9333333333333331,0.2,N1 O3,de-protonated,0,-9999,C15 H29 O3 N1,15,29,3,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999
101,271.082368,271.08234587644284,271.0823264003491,1425946.4,-9999,681780.6,22.44,-1,0.07184567886613509,0.9990638363606652,0,0.5994383018163991,5,1.3333333333333333,0.5833333333333334,O7,de-protonated,0,-9999,C12 H16 O7,12,16,7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
102,271.118763,271.1187409041613,271.1187119096991,1057054.8,-9999,550325.9,16.12,-1,0.10694378870674828,0.997926927891046,0,0.5987561567346275,4,1.5384615384615383,0.4615384615384616,O6,de-protonated,0,-9999,C13 H20 O6,13,20,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
103,271.227937,271.22791498730817,271.2278684377491,862539.7,-9999,480419.5,12.79,-1,0.17162528066466032,0.9946696429869458,0,0.5968017857921675,1,2,0.1875,O3,de-protonated,0,-9999,C16 H32 O3,16,32,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
104,273.097998,273.0979774115462,273.0979764648091,932743.6,-9999,732657.2,13.89,-1,0.00346665728168459,0.999997819404194,0,0.5999986916425164,4,1.5,0.5833333333333334,O7,de-protonated,0,-9999,C12 H18 O7,12,18,7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
105,273.149634,273.1496134508721,273.1496181154491,997773.6,-9999,594839.6,15,-1,-0.01707700347268572,0.9999470865996284,0,0.599968251959777,7,1.2941176470588236,0.17647058823529413,O3,de-protonated,0,-9999,C17 H22 O3,17,22,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
106,275.056119,275.05609990285063,275.0561116518591,855145,-9999,639647.6,12.57,-1,-0.04271495153640303,0.999668989495453,0,0.5998013936972718,9,0.8571428571428571,0.42857142857142855,O6,de-protonated,0,-9999,C14 H12 O6,14,12,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
107,275.092561,275.0925419306048,275.0924971612091,843757.1,-9999,594802.3,12.37,-1,0.16274306332508345,0.9952058052773102,0,0.5971234831663861,8,1.0666666666666669,0.3333333333333333,O5,de-protonated,0,-9999,C15 H16 O5,15,16,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
110,277.071782,277.071764437979,277.0717617163191,1417932.4,-9999,586940.7,22.13,-1,0.00982294233933622,0.9999824921339217,0,0.599989495280353,8,1,0.42857142857142855,O6,de-protonated,0,-9999,C14 H14 O6,14,14,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
111,277.108231,277.1082134657386,277.1081472256691,1342352.5,-9999,537201.5,20.85,-1,0.23904049790520143,0.9896855196940588,0,0.5938113118164353,7,1.2,0.3333333333333333,O5,de-protonated,0,-9999,C15 H18 O5,15,18,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
112,277.144581,277.14456349342277,277.1445327350191,4354772.5,-9999,528157.8,72.07,-1,0.11098325981136438,0.998858004879043,0.983329019872718,0.992646410876513,6,1.375,0.25,O4,de-protonated,0,-9999,C16 H22 O4,16,22,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
113,277.181064,277.18104652120815,277.1809182443691,873320.6,-9999,460419.6,12.87,-1,0.46279101705951253,0.9618835671242436,0,0.5771301402745461,5,1.5294117647058822,0.17647058823529413,O3,de-protonated,0,-9999,C17 H26 O3,17,26,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
114,278.147909,278.1478922575571,278.1478875700891,855492.1,-9999,640870.7,12.47,-1,0.01685243067411266,0.9999484690989148,0.983329019872718,0.993300689408436,6,1.4666666666666666,0.26666666666666666,13C1 O4,de-protonated,1,112,C15 H22 O4 13C1,15,22,4,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999
115,278.152865,278.1528482613316,278.1526688667891,1360068.6,-9999,583164.3,20.99,-1,0.6449499234723557,0.9273024780745792,0,0.5563814868447475,1,2.1666666666666665,0.3333333333333333,N1 P1 O4,de-protonated,0,-9999,C12 H26 O4 N1 P1,12,26,4,1,1,-9999,-9999,-9999,-9999,-9999,-9999
119,279.051019,279.0510029453654,279.05102627142907,848423.7,-9999,697513.5,12.35,-1,-0.083590675135457565,0.9987329486615756,0,0.5992397691969453,8,0.9230769230769232,0.5384615384615384,O7,de-protonated,0,-9999,C13 H12 O7,13,12,7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
119,279.051019,279.0510029453654,279.0508640800991,848423.7,-9999,697513.5,12.35,-1,0.49763424587809263,0.956060652284491,0,0.5736363913706946,3,2.125,0.125,N4 S2 P1 O1,de-protonated,0,-9999,C8 H17 O1 N4 P1 S2,8,17,1,4,1,2,-9999,-9999,-9999,-9999,-9999
