Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,33S,34S
1,265.147445,265.14749051654195,265.1475239158191,2039755.9,-9999,471277.9,33.63,-1,-0.12596488413547757,0.9971250666663236,0,0.5982750399997943,5,1.6428571428571428,0.07142857142857142,N2 P1 O1,de-protonated,0,-9999,C14 H23 O1 N2 P1,14,23,1,2,1,-9999,-9999,N/A,N/A,N/A
2,267.050719,267.0507638361619,267.05102627142907,832797.9,-9999,828248.4,12.54,-1,-0.9827158159728744,0.8392635416209927,0,0.5035581249725956,7,1,0.5833333333333334,O7,de-protonated,0,-9999,C12 H12 O7,12,12,7,-9999,-9999,-9999,-9999,N/A,N/A,N/A
2,267.050719,267.0507638361619,267.0508640800991,832797.9,-9999,828248.4,12.54,-1,-0.3753739481151894,0.9747569353104016,0,0.584854161186241,2,2.4285714285714284,0.14285714285714285,N4 S2 P1 O1,de-protonated,0,-9999,C7 H17 O1 N4 P1 S2,7,17,1,4,1,2,-9999,N/A,N/A,N/A
10,279.050821,279.0508615463799,279.05102627142907,872496.8,-9999,633301.5,13,-1,-0.5903044018905393,0.9387299072704052,0,0.5632379443622431,8,0.9230769230769232,0.5384615384615384,O7,de-protonated,0,-9999,C13 H12 O7,13,12,7,-9999,-9999,-9999,-9999,N/A,N/A,N/A
10,279.050821,279.0508615463799,279.0508640800991,872496.8,-9999,633301.5,13,-1,-0.00907977539165957,0.9999850410610146,0,0.5999910246366087,3,2.125,0.125,N4 S2 P1 O1,de-protonated,0,-9999,C8 H17 O1 N4 P1 S2,8,17,1,4,1,2,-9999,N/A,N/A,N/A
11,279.087204,279.08724453337373,279.08741178077906,1100468,-9999,525196.3,16.92,-1,-0.5992653135524943,0.9369159934713284,0,0.562149596082797,7,1.1428571428571428,0.42857142857142855,O6,de-protonated,0,-9999,C14 H16 O6,14,16,6,-9999,-9999,-9999,-9999,N/A,N/A,N/A
13,281.029989,281.0300288388693,281.0302908265391,921950.3,-9999,717908,13.85,-1,-0.9322399695885316,0.8541129305603942,0,0.5124677583362365,8,0.8333333333333334,0.6666666666666666,O8,de-protonated,0,-9999,C12 H10 O8,12,10,8,-9999,-9999,-9999,-9999,N/A,N/A,N/A
13,281.029989,281.0300288388693,281.0301286352091,921950.3,-9999,717908,13.85,-1,-0.3551090421046217,0.9773786670685036,0,0.5864272002411022,3,2.142857142857143,0.2857142857142857,N4 S2 P1 O2,de-protonated,0,-9999,C7 H15 O2 N4 P1 S2,7,15,2,4,1,2,-9999,N/A,N/A,N/A
14,281.066352,281.0663918258703,281.06651414455905,1225441.5,-9999,463505.9,19.06,-1,-0.4351948118436336,0.9662183958898294,0,0.5797310375338977,2,2.375,0.125,N4 S2 P1 O1,de-protonated,0,-9999,C8 H19 O1 N4 P1 S2,8,19,1,4,1,2,-9999,N/A,N/A,N/A
15,281.102205,281.1022448130537,281.10203027403907,839780.6,-9999,570477.2,12.43,-1,0.7632069196083258,0.8997025213360367,0,0.5398215128016219,2,2.375,0.625,N4 P1 O5,de-protonated,0,-9999,C8 H19 O5 N4 P1,8,19,5,4,1,-9999,-9999,N/A,N/A,N/A
16,281.102763,281.1028028128542,281.1030618452391,1452068.6,-9999,510040.7,22.96,-1,-0.9214854623684448,0.8572081452772853,0,0.5143248871663711,6,1.2857142857142858,0.42857142857142855,O6,de-protonated,0,-9999,C14 H18 O6,14,18,6,-9999,-9999,-9999,-9999,N/A,N/A,N/A
17,283.045697,283.0457361182965,283.0459408909991,957515.2,-9999,550417.4,14.37,-1,-0.7234610111624895,0.9094006829314922,0,0.5456404097588953,7,1,0.6666666666666666,O8,de-protonated,0,-9999,C12 H12 O8,12,12,8,-9999,-9999,-9999,-9999,N/A,N/A,N/A
