Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,17O,18O,34S
27,249.05888,249.0588848101229,249.0590890320091,2571818.3,-9999,616563.7,43.47,-1,-0.8199736335702731,0.8851499168149068,0,0.5310899500889441,7,1.0769230769230769,0.2307692307692308,S1 O3,de-protonated,0,-9999,C13 H14 O3 S1,13,14,3,-9999,-9999,1,-9999,-9999,-9999,-9999
28,253.053832,253.05383282891265,253.05400365157908,871593.9,-9999,669224.9,13.35,-1,-0.6750443145275146,0.92064256441376,0,0.5523855386482559,6,1.1666666666666667,0.3333333333333333,S1 O4,de-protonated,0,-9999,C12 H14 O4 S1,12,14,4,-9999,-9999,1,-9999,-9999,-9999,-9999
28,253.053832,253.05383282891265,253.0536235290591,871593.9,-9999,669224.9,13.35,-1,0.8270968446078163,0.8832675837677448,0,0.5299605502606469,11,0.7857142857142857,0.07142857142857142,N2 P1 O1,de-protonated,0,-9999,C14 H11 O1 N2 P1,14,11,1,2,1,-9999,-9999,-9999,-9999,-9999
30,255.033131,255.033129856422,255.03326820668903,5791838.5,-9999,453982.4,99.51,-1,-0.5424792931436497,0.9480031955333984,0,0.568801917320039,6,1.0909090909090908,0.4545454545454546,S1 O5,de-protonated,0,-9999,C11 H12 O5 S1,11,12,5,-9999,-9999,1,-9999,-9999,-9999,-9999
30,255.033131,255.033129856422,255.0328880841691,5791838.5,-9999,453982.4,99.51,-1,0.9480042151513034,0.42476581270018504,0.8767281105990778,0.6055507318597422,11,0.6923076923076923,0.15384615384615383,N2 P1 O2,de-protonated,0,-9999,C13 H9 O2 N2 P1,13,9,2,2,1,-9999,-9999,-9999,-9999,-9999
31,255.069048,255.06904682062856,255.06927359351909,1344484,-9999,915785,21.57,-1,-0.8890639289210092,0.8663872214407985,0,0.519832332864479,10,0.9285714285714286,0.07142857142857142,N2 P1 O1,de-protonated,0,-9999,C14 H13 O1 N2 P1,14,13,1,2,1,-9999,-9999,-9999,-9999,-9999
32,255.069512,255.06951082016613,255.06965371603903,2498916,-9999,662280.5,41.8,-1,-0.5602229463386323,0.9446435439985884,0,0.5667861263991529,5,1.3333333333333333,0.3333333333333333,S1 O4,de-protonated,0,-9999,C12 H16 O4 S1,12,16,4,-9999,-9999,1,-9999,-9999,-9999,-9999
32,255.069512,255.06951082016613,255.06927359351909,2498916,-9999,662280.5,41.8,-1,0.9300479187569848,0.8547458193729435,0,0.5128474916237661,10,0.9285714285714286,0.07142857142857142,N2 P1 O1,de-protonated,0,-9999,C14 H13 O1 N2 P1,14,13,1,2,1,-9999,-9999,-9999,-9999,-9999
36,257.048766,257.04876284772035,257.0489182711491,18609554,-9999,507107.8,324.13,-1,-0.6046453328113919,0.9273075568371972,0.9926816338968144,0.953457187661044,5,1.2727272727272727,0.4545454545454546,S1 O5,de-protonated,0,-9999,C11 H14 O5 S1,11,14,5,-9999,-9999,1,-9999,-9999,-9999,-9999
36,257.048766,257.04876284772035,257.0485381486291,18609554,-9999,507107.8,324.13,-1,0.8741504342035628,0.8714444729912484,0.9886477997961612,0.9183258037132136,10,0.8461538461538461,0.15384615384615383,N2 P1 O2,de-protonated,0,-9999,C13 H11 O2 N2 P1,13,11,2,2,1,-9999,-9999,-9999,-9999,-9999
37,257.050177,257.0501738463142,257.05025568166906,1095569.9,-9999,703496.2,17.2,-1,-0.3183632502507507,0.98177731762542,0,0.589066390575252,10,0.8333333333333334,0.08333333333333333,N4 S1 O1,de-protonated,0,-9999,C12 H10 O1 N4 S1,12,10,1,4,-9999,1,-9999,-9999,-9999,-9999
39,257.066448,257.06644483009916,257.0666763358891,826260.4,-9999,737915.8,12.48,-1,-0.9005670950458804,0.8631569733151494,0,0.5178941839890896,5,1.2727272727272727,0.6363636363636364,O7,de-protonated,0,-9999,C11 H14 O7,11,14,7,-9999,-9999,-9999,-9999,-9999,-9999,-9999
40,257.102954,257.1029507937187,257.1030618452391,972569.9,-9999,837381.5,15.05,-1,-0.43193386955679475,0.9667142651785622,0,0.5800285591071372,4,1.5,0.5,O6,de-protonated,0,-9999,C12 H18 O6,12,18,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999
