Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,17O,18O,33S,34S
38,233.161037,233.1617070454385,233.16191413316903,2348447.3,-9999,711074.6,40.31,-1,-0.8881713436276082,0.8666366367012176,0,0.5199819820207305,1,2.4444444444444446,0.3333333333333333,N4 O3,de-protonated,0,-9999,C9 H22 O3 N4,9,22,3,4,-9999,-9999,-9999,-9999,N/A,-9999,-9999
39,233.161431,233.16210104399033,233.16191413316903,6391071,-9999,485085.9,113.1,-1,0.8016353012244104,0.8899389610609129,0,0.5339633766365477,1,2.4444444444444446,0.3333333333333333,N4 O3,de-protonated,0,-9999,C9 H22 O3 N4,9,22,3,4,-9999,-9999,-9999,-9999,N/A,-9999,-9999
53,241.144049,241.1446897037324,241.14453273501908,1079688,-9999,689002.6,17.22,-1,0.6509320843670846,0.9259990310350366,0,0.5555994186210219,3,1.6923076923076923,0.3076923076923077,O4,de-protonated,0,-9999,C13 H22 O4,13,22,4,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
69,245.007479,245.00810550362505,245.00812988727907,1088285.6,-9999,882579.7,17.29,-1,-0.09952181612002362,0.9982044387665556,0,0.5989226632599333,6,1.1666666666666667,0.8333333333333334,N4 P1 O5,de-protonated,0,-9999,C6 H7 O5 N4 P1,6,7,5,4,1,-9999,-9999,-9999,N/A,-9999,-9999
115,263.063378,263.0639381388392,263.06419166901907,817996.7,-9999,691460.3,12.12,-1,-0.9637578503295988,0.8449018290002742,0,0.5069410974001645,3,2,0.25,N4 S2 O2,de-protonated,0,-9999,C8 H16 O2 N4 S2,8,16,2,4,-9999,2,-9999,-9999,N/A,-9999,-9999
123,265.155092,265.15564445070635,265.1557661243091,6996004.5,-9999,392839.2,117.75,-1,-0.4588759449322151,0.9615807709243114,0.9943151266808252,0.9746745132269168,5,1.5714285714285714,0.21428571428571427,N2 O3,de-protonated,0,-9999,C14 H22 O3 N2,14,22,3,2,-9999,-9999,-9999,-9999,N/A,-9999,-9999
124,266.158447,266.15899576285676,266.1591209593791,1006951.6,-9999,457221,15.26,-1,-0.4703822355662711,0.9606479866862015,0.9943151266808252,0.974114842684051,5,1.6923076923076923,0.2307692307692308,13C1 N2 O3,de-protonated,1,123,C13 H22 O3 N2 13C1,13,22,3,2,-9999,-9999,1,-9999,N/A,-9999,-9999
149,271.068533,271.06906371574615,271.06927704944906,2220816,-9999,450173,35.76,-1,-0.7870080491021557,0.8936992317449916,0,0.5362195390469949,5,1.6,0.1,N4 S2 O1,de-protonated,0,-9999,C10 H16 O1 N4 S2,10,16,1,4,-9999,2,-9999,-9999,N/A,-9999,-9999
157,273.003332,273.00385560435717,273.0040760780491,999928.7,-9999,485759.6,15.01,-1,-0.8075838832827797,0.8883945404393234,0,0.533036724263594,11,0.4615384615384616,0.5384615384615384,O7,de-protonated,0,-9999,C13 H6 O7,13,6,7,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
157,273.003332,273.00385560435717,273.0039138867191,999928.7,-9999,485759.6,15.01,-1,-0.2134854445490508,0.991764388317604,0,0.5950586329905624,6,1.375,0.125,N4 S2 P1 O1,de-protonated,0,-9999,C8 H11 O1 N4 P1 S2,8,11,1,4,1,2,-9999,-9999,N/A,-9999,-9999
