Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,18O,34S
1,205.159531,205.15966074317197,205.15978887630908,1104626.9,-9999,1092064.4,18.66,-1,-0.6245528805237992,0.9316696146958342,0,0.5590017688175005,4,1.5714285714285714,0.07142857142857142,O1,de-protonated,0,-9999,C14 H22 O1,14,22,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2,205.159729,205.1598587429936,205.15978887630908,3292754.8,-9999,989883.5,59.56,-1,0.34054765268261095,0.9791767662891068,0,0.5875060597734639,4,1.5714285714285714,0.07142857142857142,O1,de-protonated,0,-9999,C14 H22 O1,14,22,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999
4,211.133927,211.13405136084097,211.13396805098907,989903.8,-9999,1048222.5,16.37,-1,0.3945828928971483,0.9721445487655672,0,0.5832867292593403,3,1.6666666666666667,0.25,O3,de-protonated,0,-9999,C12 H20 O3,12,20,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999
13,239.12881,239.1289091402618,239.12888267055905,3132236.3,-9999,812790.5,54.5,-1,0.11069220273483188,0.997779221699625,0,0.5986675330197749,4,1.5384615384615383,0.3076923076923077,O4,de-protonated,0,-9999,C13 H20 O4,13,20,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999
15,241.13639,241.13648733163384,241.13629052652908,1435912.4,-9999,748289.2,23.81,-1,0.8161571379650102,0.8861533754979677,0,0.5316920252987806,3,1.7692307692307692,0.15384615384615383,P1 O2,de-protonated,0,-9999,C13 H23 O2 P1,13,23,2,-9999,1,-9999,-9999,-9999,-9999,-9999
16,242.176072,242.1761683949847,242.1761672165691,1528235.3,-9999,829284.3,25.47,-1,0.00486594372636979,0.9999957037745888,0,0.5999974222647533,2,1.9230769230769231,0.2307692307692308,N1 O3,de-protonated,0,-9999,C13 H25 O3 N1,13,25,3,1,-9999,-9999,-9999,-9999,-9999,-9999
17,249.149549,249.149639112582,249.14961811544907,2296665.3,-9999,712940.7,38.99,-1,0.08427519614231767,0.9987121254425178,0,0.5992272752655107,5,1.4666666666666666,0.2,O3,de-protonated,0,-9999,C15 H22 O3,15,22,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999
18,251.128845,251.12893332943503,251.12888267055905,920830.8,-9999,837705.9,14.37,-1,0.20172461024372432,0.992643533801732,0,0.5955861202810392,5,1.4285714285714286,0.2857142857142857,O4,de-protonated,0,-9999,C14 H20 O4,14,20,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999
19,253.108083,253.10816954634024,253.1081472256691,807774.3,-9999,756610.8,12.36,-1,0.0881863006887773,0.9985899006944304,0,0.5991539404166581,5,1.3846153846153846,0.38461538461538464,O5,de-protonated,0,-9999,C13 H18 O5,13,18,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999
20,253.14446,253.14454651356823,253.14453273501908,6909347.5,-9999,648402.5,120.87,-1,0.05442957438439445,0.9980097475083194,0.9792960493010024,0.9905242682253924,4,1.5714285714285714,0.2857142857142857,O4,de-protonated,0,-9999,C14 H22 O4,14,22,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999
21,254.147837,254.1479226096263,254.14788757008907,1240498.5,-9999,712190.5,19.97,-1,0.13787066094842934,0.9965569065485016,0.9792960493010024,0.989652563649502,4,1.6923076923076923,0.3076923076923077,13C1 O4,de-protonated,1,20,C13 H22 O4 13C1,13,22,4,-9999,-9999,-9999,1,-9999,-9999,-9999
22,255.087345,255.0874297632239,255.08741178077904,910006.9,-9999,843511,14.11,-1,0.07049522634394581,0.999098683223405,0,0.599459209934043,5,1.3333333333333333,0.5,O6,de-protonated,0,-9999,C12 H16 O6,12,16,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999
24,255.232912,255.23299663208263,255.2329538181791,10719947,-9999,692029.6,187.88,-1,0.16774441899954062,0.9961211379285546,0.997944362483518,0.99685042775054,1,2,0.125,O2,de-protonated,0,-9999,C16 H32 O2,16,32,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999
26,256.236256,256.23633972817044,256.23630865324907,1824854.4,-9999,702075.7,30.31,-1,0.1212744654733241,0.9973349018727452,0.997944362483518,0.9975786861170542,1,2.1333333333333333,0.13333333333333333,13C1 O2,de-protonated,1,24,C15 H32 O2 13C1,15,32,2,-9999,-9999,-9999,1,-9999,-9999,-9999
34,265.10815,265.1082257354846,265.1081472256691,869573.9,-9999,705690.5,13.14,-1,0.2961425981999158,0.9842128155496468,0,0.590527689329788,6,1.2857142857142858,0.35714285714285715,O5,de-protonated,0,-9999,C14 H18 O5,14,18,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999
36,265.14787,265.14794569970087,265.14790403833905,10012619,-9999,627616.5,172.27,-1,0.15712499018626788,0.997257106738748,0.986197446640678,0.99283324269952,0,2.1666666666666665,0.3333333333333333,S1 O4,de-protonated,0,-9999,C12 H26 O4 S1,12,26,4,-9999,-9999,1,-9999,-9999,-9999,-9999
37,266.151204,266.1512787957977,266.15125887340906,1478720.8,-9999,836598.6,23.74,-1,0.07485363286036074,0.9989838476039028,0.986197446640678,0.9938692872186128,0,2.363636363636364,0.3636363636363637,13C1 S1 O4,de-protonated,1,36,C11 H26 O4 S1 13C1,11,26,4,-9999,-9999,1,1,-9999,-9999,-9999
37,266.151204,266.1512787957977,266.15101509650907,1478720.8,-9999,836598.6,23.74,-1,0.990788212902238,0.8368410339123056,0,0.5021046203473833,5,1.6153846153846154,0.2307692307692308,N3 O3,de-protonated,0,-9999,C13 H21 O3 N3,13,21,3,3,-9999,-9999,-9999,-9999,-9999,-9999
41,267.087283,267.08735695248447,267.08741178077906,863277.4,-9999,750700.4,13.03,-1,-0.20528221165004515,0.9923827689381572,0,0.5954296613628943,6,1.2307692307692308,0.4615384615384616,O6,de-protonated,0,-9999,C13 H16 O6,13,16,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999
44,269.102997,269.1030691365285,269.1030618452391,979474.1,-9999,872914.8,14.95,-1,0.02709478432211884,0.9998668024306162,0,0.5999200814583697,5,1.3846153846153846,0.4615384615384616,O6,de-protonated,0,-9999,C13 H18 O6,13,18,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999
45,269.131149,269.1312211111664,269.1312051460991,5033365.5,-9999,695011.6,85.08,-1,0.059320758745250723,0.9993616945102206,0,0.5996170167061323,4,1.6428571428571428,0.21428571428571427,P1 O3,de-protonated,0,-9999,C14 H23 O3 P1,14,23,3,-9999,1,-9999,-9999,-9999,-9999,-9999
47,269.1394,269.13947210373306,269.1394473545891,1471510.3,-9999,637779.6,23.46,-1,0.09195658311760796,0.998466844003598,0,0.5990801064021588,4,1.5714285714285714,0.35714285714285715,O5,de-protonated,0,-9999,C14 H22 O5,14,22,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999
49,270.134517,270.1345882072326,270.1346963267891,901636.6,-9999,843245.1,13.6,-1,-0.400243130448898,0.9713512913147058,0,0.5828107747888235,4,1.6153846153846154,0.38461538461538464,N1 O5,de-protonated,0,-9999,C13 H21 O5 N1,13,21,5,1,-9999,-9999,-9999,-9999,-9999,-9999
52,271.227794,271.22786422229973,271.2278684377491,1148796.1,-9999,685620.5,17.88,-1,-0.01554209535427442,0.9999561708095616,0,0.5999737024857369,1,2,0.1875,O3,de-protonated,0,-9999,C16 H32 O3,16,32,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999
54,277.071712,277.07177695751625,277.0717617163191,1571038.9,-9999,679063.7,25.01,-1,0.05500812160293589,0.9994511063072692,0,0.5996706637843614,8,1,0.42857142857142855,O6,de-protonated,0,-9999,C14 H14 O6,14,14,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999
56,277.144482,277.1445468919578,277.1445327350191,1457382.3,-9999,723693.6,23.06,-1,0.05108142885845102,0.99952665576027,0,0.599715993456162,6,1.375,0.25,O4,de-protonated,0,-9999,C16 H22 O4,16,22,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999
57,277.180873,277.1809378591732,277.1809182443691,1203305.9,-9999,602817.9,18.69,-1,0.07076534787087008,0.9990917658554976,0,0.5994550595132985,5,1.5294117647058822,0.17647058823529413,O3,de-protonated,0,-9999,C17 H26 O3,17,26,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999
59,279.087363,279.0874261416171,279.08741178077906,969896.1,-9999,660930.7,14.58,-1,0.0514564161705108,0.999519682314096,0,0.5997118093884576,7,1.1428571428571428,0.42857142857142855,O6,de-protonated,0,-9999,C14 H16 O6,14,16,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999
60,279.12374,279.12380310884504,279.12379729012906,1178667.6,-9999,753922.9,18.15,-1,0.02084636291528368,0.9999211507995012,0,0.5999526904797008,6,1.3333333333333333,0.3333333333333333,O5,de-protonated,0,-9999,C15 H20 O5,15,20,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999
61,279.163547,279.1636100729829,279.1635541027991,843695.6,-9999,805683.2,12.43,-1,0.20049244614628856,0.9927328017816236,0,0.595639681068974,0,2.1538461538461537,0.3076923076923077,S1 O4,de-protonated,0,-9999,C13 H28 O4 S1,13,28,4,-9999,-9999,1,-9999,-9999,-9999,-9999
63,281.066627,281.0666883584989,281.0666763358891,857321.8,-9999,716481.5,12.65,-1,0.04277493845000564,0.9996680592852,0,0.59980083557112,7,1.0769230769230769,0.5384615384615384,O7,de-protonated,0,-9999,C13 H14 O7,13,14,7,-9999,-9999,-9999,-9999,-9999,-9999,-9999
