Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,17O,18O,34S
41,254.147832,254.14799355975404,254.14788757008907,981930.9,-9999,688779.3,15.3,-1,0.4170393308672272,0.9689348702019026,0.9703616985861956,0.9695056015556198,4,1.6923076923076923,0.3076923076923077,13C1 O4,de-protonated,1,39,C13 H22 O4 13C1,13,22,4,-9999,-9999,-9999,1,-9999,N/A,-9999,-9999
42,255.087241,255.08740064616583,255.08741178077904,1156151,-9999,555099,18.36,-1,-0.04365018691154057,0.9996543385292986,0,0.5997926031175792,5,1.3333333333333333,0.5,O6,de-protonated,0,-9999,C12 H16 O6,12,16,6,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
43,255.23283,255.2329893495992,255.2329538181791,2249484.5,-9999,728168.5,37.62,-1,0.13921172630183964,0.9964897172426804,0,0.5978938303456082,1,2,0.125,O2,de-protonated,0,-9999,C16 H32 O2,16,32,2,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
45,257.175742,257.1758973918625,257.1758328639391,828262.9,-9999,738490.3,12.51,-1,0.25090974804713895,0.9886417679929383,0,0.593185060795763,2,1.8571428571428572,0.2857142857142857,O4,de-protonated,0,-9999,C14 H26 O4,14,26,4,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
47,261.043694,261.04384151279464,261.0438328907191,1855931.5,-9999,534881.5,30.31,-1,0.03302922518860059,0.999802071826438,0,0.5998812430958629,4,1.4,0.6,S1 O6,de-protonated,0,-9999,C10 H14 O6 S1,10,14,6,-9999,-9999,1,-9999,-9999,N/A,-9999,-9999
53,262.975033,262.9751765786323,262.97509842466906,862070.9,-9999,603347.9,13.01,-1,0.29719149715668747,0.9841016804401124,0,0.5904610082640674,10,0.4545454545454546,0.5454545454545454,P1 O6,de-protonated,0,-9999,C11 H5 O6 P1,11,5,6,-9999,1,-9999,-9999,-9999,N/A,-9999,-9999
58,265.147796,265.14793515268616,265.14790403833905,65237320,-9999,512423.9,1126.13,-1,0.11734713582707434,0.9949272110931394,0.9835793918610471,0.9903880834003024,0,2.1666666666666665,0.3333333333333333,S1 O4,de-protonated,0,-9999,C12 H26 O4 S1,12,26,4,-9999,-9999,1,-9999,-9999,N/A,-9999,-9999
63,266.151159,266.15129610882286,266.15125887340906,7375809,-9999,476184.4,125.56,-1,0.13990320375346582,0.9945773157328048,0.9835793918610471,0.9901781461841016,0,2.363636363636364,0.3636363636363637,13C1 S1 O4,de-protonated,1,58,C11 H26 O4 S1 13C1,11,26,4,-9999,-9999,1,1,-9999,N/A,-9999,-9999
66,267.087406,267.08754120167566,267.08741178077906,904177.2,-9999,555572.7,13.64,-1,0.4845638202707863,0.9582902884313376,0,0.5749741730588026,6,1.2307692307692308,0.4615384615384616,O6,de-protonated,0,-9999,C13 H16 O6,13,16,6,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
67,267.143625,267.14376008715686,267.1436998679391,2560248,-9999,333406.1,42.28,-1,0.22541882055865625,0.9926998105835269,0.9835793918610471,0.9890516430945352,0,2.1666666666666665,0.3333333333333333,34S1 O4,de-protonated,1,58,C12 H26 O4 34S1,12,26,4,-9999,-9999,-9999,-9999,-9999,N/A,-9999,1
