Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,17O,18O,33S,34S
5,239.083715,239.08401724274304,239.08425495271908,835107.1,-9999,524566.6,13.11,-1,-0.9942519055017448,0.8357976730324842,0,0.5014786038194905,5,1.4166666666666667,0.25,P1 O3,de-protonated,0,-9999,C12 H17 O3 P1,12,17,3,-9999,1,-9999,-9999,-9999,N/A,-9999,-9999
6,239.085798,239.0861002404947,239.08597248575907,778595.4,-9999,837488.5,12.09,-1,0.5343464289731007,0.9495108356229864,0,0.5697065013737918,5,1.4545454545454546,0.18181818181818185,N2 S1 O2,de-protonated,0,-9999,C11 H16 O2 N2 S1,11,16,2,2,-9999,1,-9999,-9999,N/A,-9999,-9999
8,293.182955,293.1831988500455,293.18304350122906,9851717,-9999,424916.9,166.2,-1,0.529869717593416,0.911242634602438,0.9491909375827268,0.9264219557945536,1,2.363636363636364,0.4545454545454546,N4 O5,de-protonated,0,-9999,C11 H26 O5 N4,11,26,5,4,-9999,-9999,-9999,-9999,N/A,-9999,-9999
10,294.186411,294.1866537669527,294.1863983362991,1836616.6,-9999,407539.8,29.36,-1,0.8682612624802379,0.8721532686003353,0.9491909375827268,0.902968336193292,1,2.6,0.5,13C1 N4 O5,de-protonated,1,8,C10 H26 O5 N4 13C1,10,26,5,4,-9999,-9999,1,-9999,N/A,-9999,-9999
25,323.1972,323.19741145379146,323.1976309372591,961923.4,-9999,436899.5,13.8,-1,-0.6790998652464517,0.9197256194747754,0,0.5518353716848652,5,1.6470588235294117,0.2352941176470588,N2 O4,de-protonated,0,-9999,C17 H28 O4 N2,17,28,4,2,-9999,-9999,-9999,-9999,N/A,-9999,-9999
29,325.191717,325.19192630098433,325.1921516336591,30347828,-9999,428556.8,495.12,-1,-0.6929216268381845,0.93305286698512,0.9724529148693284,0.9488128861388034,9,1.3,0.1,N2 O2,de-protonated,0,-9999,C20 H26 O2 N2,20,26,2,2,-9999,-9999,-9999,-9999,N/A,-9999,-9999
30,326.195124,326.1953322179443,326.1955064687291,5367986,-9999,375205,85.97,-1,-0.5341912482271798,0.9495394041574516,0.9724529148693284,0.9587048084422024,9,1.368421052631579,0.10526315789473684,13C1 N2 O2,de-protonated,1,29,C19 H26 O2 N2 13C1,19,26,2,2,-9999,-9999,1,-9999,N/A,-9999,-9999
38,333.105614,333.1058147590197,333.106056481969,984949.9,-9999,562576.5,13.91,-1,-0.7256636274836671,0.9088741470877916,0,0.5453244882526749,4,1.8333333333333333,0.25,N4 S2 O3,de-protonated,0,-9999,C12 H22 O3 N4 S2,12,22,3,4,-9999,2,-9999,-9999,N/A,-9999,-9999
39,333.141948,333.1421487198022,333.1424419913191,982395.5,-9999,396785.8,13.86,-1,-0.8803186863748239,0.868823176678903,0,0.5212939060073417,3,2,0.15384615384615383,N4 S2 O2,de-protonated,0,-9999,C13 H26 O2 N4 S2,13,26,2,4,-9999,2,-9999,-9999,N/A,-9999,-9999
43,335.157678,335.15787654409854,335.1580920557791,888948.6,-9999,580397.1,12.13,-1,-0.6430149999638088,0.927721890488781,0,0.55663313429326855,2,2.1538461538461537,0.15384615384615383,N4 S2 O2,de-protonated,0,-9999,C13 H28 O2 N4 S2,13,28,2,4,-9999,2,-9999,-9999,N/A,-9999,-9999
