Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,17O,18O,33S,34S,36S
4,163.016443,163.01644933513535,163.0165693144491,773908.4,-9999,1158037.4,12.74,-1,-0.7359945940231096,0.9063872974173964,0,0.5438323784504377,2,1.8,0.8,P1 O4,de-protonated,0,-9999,C5 H9 O4 P1,5,9,4,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
5,163.016573,163.0165793351278,163.0165693144491,941268.4,-9999,1525773.3,15.93,-1,0.06147030785385996,0.999314613206046,0,0.5995887679236276,2,1.8,0.8,P1 O4,de-protonated,0,-9999,C5 H9 O4 P1,5,9,4,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
82,220.018554,220.0185570403416,220.0186212001191,865465.5,-9999,537244.6,13.8,-1,-0.29161066972527994,0.9846886171501686,0,0.5908131702901012,8,0.7777777777777778,0.2222222222222222,N3 S1 O2,de-protonated,0,-9999,C9 H7 O2 N3 S1,9,7,2,3,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,N/A
86,220.020183,220.02018604024747,220.02027497039907,3315833.8,-9999,670452.2,58.45,-1,-0.4041907120484528,0.9707917573110564,0,0.5824750543866337,3,1.7142857142857142,0.42857142857142855,N1 S1 P1 O3,de-protonated,0,-9999,C7 H12 O3 N1 P1 S1,7,12,3,1,1,1,-9999,-9999,-9999,-9999,-9999,-9999,N/A
131,241.134735,241.13473681979983,241.1346367562491,2985861.3,-9999,580328.7,51,-1,0.41496962885253846,0.9692376675660526,0,0.5815426005396315,8,1.2,0.06666666666666667,N2 O1,de-protonated,0,-9999,C15 H18 O1 N2,15,18,1,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
154,250.97984400000001,250.97984525074017,250.97980713850907,1176869.5,-9999,591383.4,18.63,-1,0.15185377461883146,0.995824612792134,0,0.5974947676752803,9,0.625,0.25,N4 S1 P1 O2,de-protonated,0,-9999,C8 H5 O2 N4 P1 S1,8,5,2,4,1,1,-9999,-9999,-9999,-9999,-9999,-9999,N/A
216,265.144556,265.14455643200193,265.1445327350191,1310905.9,-9999,688492.5,20.47,-1,0.08937383172193882,0.9985516954381224,0,0.5991310172628734,5,1.4666666666666666,0.26666666666666666,O4,de-protonated,0,-9999,C15 H22 O4,15,22,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
235,269.129757,269.1297572016523,269.1295513758191,4468502.5,-9999,522782.6,74.04,-1,0.7647834737024716,0.4496546725077379,0.8524773804394659,0.6107837556804291,9,1.125,0.125,N2 O2,de-protonated,0,-9999,C16 H18 O2 N2,16,18,2,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
258,274.970249,274.97024886406456,274.9702912822591,14258076,-9999,559241.6,238.99,-1,-0.15426464561421643,0.33189708984679833,0.8349751823216102,0.5331283268367231,11,0.4,0.2,N4 S2 O2,de-protonated,0,-9999,C10 H4 O2 N4 S2,10,4,2,4,-9999,2,-9999,-9999,-9999,-9999,-9999,-9999,N/A
259,275.054806,275.054805859177,275.0550800806591,890149.1,-9999,447081.8,13.07,-1,-0.9969693415310668,0.834977471360222,0,0.5009864828161332,5,1.625,0.625,N4 P1 O5,de-protonated,0,-9999,C8 H13 O5 N4 P1,8,13,5,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
264,277.070461,277.07046074266964,277.07073014511906,3110776,-9999,566242.7,50.6,-1,-0.9723237430307904,0.8423631774750622,0,0.5054179064850373,4,1.875,0.625,N4 P1 O5,de-protonated,0,-9999,C8 H15 O5 N4 P1,8,15,5,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
266,277.143237,277.1432367384631,277.14350116381905,1880959.5,-9999,643828.6,29.81,-1,-0.954109892004494,0.8477433012181109,0,0.5086459807308665,2,2.3,0.3,N4 P1 O3,de-protonated,0,-9999,C10 H23 O3 N4 P1,10,23,3,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
269,279.086117,279.08611662616215,279.0863802095791,1531846.1,-9999,604456.5,23.75,-1,-0.9444510217241008,0.8505687783695977,0,0.5103412670217585,3,2.125,0.625,N4 P1 O5,de-protonated,0,-9999,C8 H17 O5 N4 P1,8,17,5,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
274,281.065431,281.0654305117553,281.0656447646891,1512716.5,-9999,722428.8,23.43,-1,-0.7622878775561207,0.8999314257258832,0,0.5399588554355299,3,2.142857142857143,0.8571428571428571,N4 P1 O6,de-protonated,0,-9999,C7 H15 O6 N4 P1,7,15,6,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
276,281.101786,281.10178550965395,281.10203027403907,2359312,-9999,518425.7,37.64,-1,-0.8707314738244493,0.8714737375948669,0,0.5228842425569201,2,2.375,0.625,N4 P1 O5,de-protonated,0,-9999,C8 H19 O5 N4 P1,8,19,5,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
279,283.060033,283.0600323964648,283.06016546108907,1042897.2,-9999,392687.8,15.43,-1,-0.4700930773789181,0.9606953903286596,0,0.5764172341971957,7,1.3,0.4,N4 P1 O4,de-protonated,0,-9999,C10 H13 O4 N4 P1,10,13,4,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
281,283.081088,283.08108739524783,283.08129482914904,2476499.3,-9999,519403.8,39.33,-1,-0.7327714864908039,0.9071661972418652,0,0.544299718345119,2,2.4285714285714284,0.8571428571428571,N4 P1 O6,de-protonated,0,-9999,C7 H17 O6 N4 P1,7,17,6,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
305,288.986075,288.98607405393216,288.98594134671913,26754316,-9999,546256.2,440.94,-1,0.4592168477406546,0.320819631893622,0.827502122610731,0.5234926281804656,11,0.5454545454545454,0.18181818181818185,N4 S2 O2,de-protonated,0,-9999,C11 H6 O2 N4 S2,11,6,2,4,-9999,2,-9999,-9999,-9999,-9999,-9999,-9999,N/A
306,289.119479,289.1194780462212,289.1193806149591,882073.7,-9999,576105,12.65,-1,0.3369931892028781,0.9796047422316309,0,0.5877628453389784,8,1.2,0.26666666666666666,N2 O4,de-protonated,0,-9999,C15 H18 O4 N2,15,18,4,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
311,289.989437,289.98943599593656,289.9893687646491,1000812.8,-9999,411789.6,14.61,-1,0.231840524865772,0.9902945328748544,0,0.5941767197249127,6,1.1111111111111112,0.6666666666666666,N1 S1 P1 O6,de-protonated,0,-9999,C9 H10 O6 N1 P1 S1,9,10,6,1,1,1,-9999,-9999,-9999,-9999,-9999,-9999,N/A
313,290.98306,290.9830589385039,290.98296396656906,2016331.6,-9999,452271.7,31.42,-1,0.32638314478014985,0.9808566122414454,0,0.5885139673448672,11,0.4,0.5,N4 S1 O5,de-protonated,0,-9999,C10 H4 O5 N4 S1,10,4,5,4,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,N/A
314,291.049867,291.04986593464236,291.0499947002291,1438546,-9999,582721.1,21.7,-1,-0.44241741653309047,0.9651077492272268,0,0.5790646495363361,5,1.625,0.75,N4 P1 O6,de-protonated,0,-9999,C8 H13 O6 N4 P1,8,13,6,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
315,291.086317,291.0863159325355,291.0863802095791,1296725.5,-9999,517639.5,19.37,-1,-0.22081776389262064,0.991191498263448,0,0.5947148989580687,4,1.8888888888888888,0.5555555555555556,N4 P1 O5,de-protonated,0,-9999,C9 H17 O5 N4 P1,9,17,5,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
316,291.122698,291.12269693043265,291.1227657189291,942937,-9999,603007.8,13.55,-1,-0.23628690207417133,0.9899205888570556,0,0.59395235331423335,3,2.1,0.4,N4 P1 O4,de-protonated,0,-9999,C10 H21 O4 N4 P1,10,21,4,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
323,293.065642,293.0656408181281,293.0656447646891,2359826.8,-9999,435943,36.84,-1,-0.01346647451717304,0.999967095559522,0,0.5999802573357131,4,1.875,0.75,N4 P1 O6,de-protonated,0,-9999,C8 H15 O6 N4 P1,8,15,6,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
324,293.101977,293.1019758160278,293.10203027403907,2252182.3,-9999,508358.1,35.07,-1,-0.18579881970258363,0.9937557502209782,0,0.5962534501325869,3,2.111111111111111,0.5555555555555556,N4 P1 O5,de-protonated,0,-9999,C9 H19 O5 N4 P1,9,19,5,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
325,293.138313,293.13831181392754,293.13841578338906,1031705.8,-9999,518014.6,15.01,-1,-0.3546770260127349,0.9774330491918172,0,0.5864598295150902,2,2.3,0.4,N4 P1 O4,de-protonated,0,-9999,C10 H23 O4 N4 P1,10,23,4,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
326,293.172393,293.1723918119577,293.1726794918091,5251741,-9999,653581.7,84.36,-1,-0.9812641883797976,0.8396978085908209,0,0.5038186851544925,0,2.3076923076923075,0.07692307692307693,N2 S2 O1,de-protonated,0,-9999,C13 H30 O1 N2 S2,13,30,1,2,-9999,2,-9999,-9999,-9999,-9999,-9999,-9999,N/A
328,293.174739,293.17473781182207,293.17480129273906,61894300,-9999,590148.9,1015.23,-1,-0.21652924027733544,0.6627612146593397,0.9727427090822334,0.7867538124284972,1,2.4545454545454546,0.2727272727272727,N4 P1 O3,de-protonated,0,-9999,C11 H27 O3 N4 P1,11,27,3,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
332,294.178118,294.1781167538255,294.1781561278091,9429758,-9999,501723.8,153.02,-1,-0.13384400824567963,0.6645031771812456,0.9727427090822334,0.7877989899416407,1,2.7,0.3,13C1 N4 P1 O3,de-protonated,1,328,C10 H27 O3 N4 P1 13C1,10,27,3,4,1,-9999,1,-9999,-9999,-9999,-9999,-9999,N/A
340,295.081292,295.08129070162096,295.08129482914904,2443348.5,-9999,470761.4,38.21,-1,-0.01398776594368063,0.9999644988164036,0,0.5999786992898422,3,2.125,0.75,N4 P1 O6,de-protonated,0,-9999,C8 H17 O6 N4 P1,8,17,6,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
341,295.11762,295.11761869952113,295.11768033849904,2896984,-9999,434917.4,45.66,-1,-0.20886236920951748,0.9921158196622172,0,0.5952694917973304,2,2.3333333333333335,0.5555555555555556,N4 P1 O5,de-protonated,0,-9999,C9 H21 O5 N4 P1,9,21,5,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
343,295.154087,295.1540856974133,295.1540658478491,916571.6,-9999,585222.5,13.11,-1,0.06725153565318874,0.9991796861393312,0,0.5995078116835986,1,2.5,0.4,N4 P1 O4,de-protonated,0,-9999,C10 H25 O4 N4 P1,10,25,4,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
