Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,17O,18O,34S
6,227.038282,227.0383609009018,227.03835358711905,835007.3,-9999,972305,13.15,-1,0.0322138645048766,0.9998117224248184,0,0.5998870334548911,5,1.2,0.4,S1 O4,de-protonated,0,-9999,C10 H12 O4 S1,10,12,4,-9999,-9999,1,-9999,N/A,-9999,-9999
7,227.056035,227.05611388822436,227.05611165185908,1456770.3,-9999,975000,24.42,-1,0.00984939475888204,0.999982397713146,0,0.5999894386278876,5,1.2,0.6,O6,de-protonated,0,-9999,C10 H12 O6,10,12,6,-9999,-9999,-9999,-9999,N/A,-9999,-9999
8,229.017554,229.0176314875022,229.01761814222908,2222414,-9999,861064.9,38.15,-1,0.05827181867468869,0.9993840617283388,0,0.59963043703700325,5,1.1111111111111112,0.5555555555555556,S1 O5,de-protonated,0,-9999,C9 H10 O5 S1,9,10,5,-9999,-9999,1,-9999,N/A,-9999,-9999
9,229.071716,229.0717934488251,229.0717617163191,1417943.1,-9999,877169.6,23.62,-1,0.13852648523269903,0.996524129500434,0,0.5979144777002604,4,1.4,0.6,O6,de-protonated,0,-9999,C10 H14 O6,10,14,6,-9999,-9999,-9999,-9999,N/A,-9999,-9999
10,235.043341,235.0434141844833,235.04343896754904,1054238,-9999,875510,16.91,-1,-0.1054403639732536,0.9979847466745344,0,0.5987908480047206,7,1,0.25,S1 O3,de-protonated,0,-9999,C12 H12 O3 S1,12,12,3,-9999,-9999,1,-9999,N/A,-9999,-9999
14,239.001918,239.00198835766057,239.00196807776905,1453970.8,-9999,835386.5,23.96,-1,0.08485240384644063,0.9986944350727914,0,0.5992166610436749,7,0.8,0.5,S1 O5,de-protonated,0,-9999,C10 H8 O5 S1,10,8,5,-9999,-9999,1,-9999,N/A,-9999,-9999
15,239.067235,239.0673053110177,239.06734504114908,995102.3,-9999,900580,15.77,-1,-0.1661880312955665,0.995001202181424,0,0.5970007213088544,6,1.2,0.5,N2 O5,de-protonated,0,-9999,C10 H12 O5 N2,10,12,5,2,-9999,-9999,-9999,N/A,-9999,-9999
16,239.074669,239.07473930570904,239.07473909646907,916575.6,-9999,836976.6,14.37,-1,8.7520735949809e-4,0.9999998610125076,0,0.5999999166075045,5,1.3333333333333333,0.25,S1 O3,de-protonated,0,-9999,C12 H16 O3 S1,12,16,3,-9999,-9999,1,-9999,N/A,-9999,-9999
17,239.092428,239.09249829302735,239.09249716120908,901154.7,-9999,913782.6,14.09,-1,0.00473380921281225,0.9999959339337884,0,0.5999975603602731,5,1.3333333333333333,0.4166666666666667,O5,de-protonated,0,-9999,C12 H16 O5,12,16,5,-9999,-9999,-9999,-9999,N/A,-9999,-9999
18,240.051305,240.05137460829255,240.0513606240591,790602.7,-9999,834276.3,12.07,-1,0.05825517272528496,0.9993844134680702,0,0.5996306480808421,6,1.1,0.6,N1 O6,de-protonated,0,-9999,C10 H11 O6 N1,10,11,6,1,-9999,-9999,-9999,N/A,-9999,-9999
