Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,17O,18O,33S,34S
15,233.154483,233.15451649053097,233.15470349587903,819109.9,-9999,628683.1,12.79,-1,-0.8020655183883444,0.8898275577883702,0,0.5338965346730221,5,1.4666666666666666,0.13333333333333333,O2,de-protonated,0,-9999,C15 H22 O2,15,22,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
17,239.128615,239.12864729822,239.12888267055905,4342432.5,-9999,600660,75.78,-1,-0.984290715676299,0.8387919252887769,0,0.5032751551732662,4,1.5384615384615383,0.3076923076923077,O4,de-protonated,0,-9999,C13 H20 O4,13,20,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
20,241.136187,241.1362188975509,241.13629052652908,2757088.5,-9999,584822.8,47.21,-1,-0.2970476904748352,0.9841169398424032,0,0.5904701639054419,3,1.7692307692307692,0.15384615384615383,P1 O2,de-protonated,0,-9999,C13 H23 O2 P1,13,23,2,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
29,245.048584,245.0486151167188,245.0485381486291,1882570.6,-9999,576876.5,31.48,-1,0.3140932417338121,0.9822585253932562,0,0.5893551152359537,9,0.9166666666666666,0.16666666666666666,N2 P1 O2,de-protonated,0,-9999,C12 H11 O2 N2 P1,12,11,2,2,1,-9999,-9999,-9999,-9999,-9999,-9999
30,247.110504,247.110534705203,247.11046970120907,948427.6,-9999,476435,14.8,-1,0.26305641366517535,0.9875224888032944,0,0.5925134932819767,2,1.9090909090909092,0.3636363636363637,P1 O4,de-protonated,0,-9999,C11 H21 O4 P1,11,21,4,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
35,253.144262,253.14429150099195,253.14453273501908,7998746.5,-9999,485306.1,139.11,-1,-0.952949781387064,0.8761741554801092,0.9857406659135332,0.9200007596534788,4,1.5714285714285714,0.2857142857142857,O4,de-protonated,0,-9999,C14 H22 O4,14,22,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
37,254.147669,254.14769830073303,254.14788757008907,1364908.8,-9999,611805.8,21.98,-1,-0.7447213424566183,0.9042646258083612,0.9857406659135332,0.93685504185043,4,1.6923076923076923,0.3076923076923077,13C1 O4,de-protonated,1,35,C13 H22 O4 13C1,13,22,4,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999
43,257.175574,257.17560269642695,257.1758328639391,1471931,-9999,436774.8,23.71,-1,-0.8949811091494353,0.8647292745829905,0,0.5188375647497943,2,1.8571428571428572,0.2857142857142857,O4,de-protonated,0,-9999,C14 H26 O4,14,26,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
61,265.147418,265.14744510541476,265.1475239158191,6592878.5,-9999,609143.2,111.68,-1,-0.29723228470781626,0.9534269594769728,0.9930755440767852,0.9692863933168978,5,1.6428571428571428,0.07142857142857142,N2 P1 O1,de-protonated,0,-9999,C14 H23 O1 N2 P1,14,23,1,2,1,-9999,-9999,-9999,-9999,-9999,-9999
62,265.147728,265.14775510535287,265.14790403833905,7667566.5,-9999,493388.1,130.21,-1,-0.5616977690942515,0.92210621395071,0.993494440128324,0.9506615044217556,0,2.1666666666666665,0.3333333333333333,S1 O4,de-protonated,0,-9999,C12 H26 O4 S1,12,26,4,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999
62,265.147728,265.14775510535287,265.1475239158191,7667566.5,-9999,493388.1,130.21,-1,0.8719279379954927,0.8969503333478355,0.9898769984235746,0.9341209993781312,5,1.6428571428571428,0.07142857142857142,N2 P1 O1,de-protonated,0,-9999,C14 H23 O1 N2 P1,14,23,1,2,1,-9999,-9999,-9999,-9999,-9999,-9999
