Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,17O,18O,33S,34S
47,284.088012,284.08795665442835,284.0879606086691,878226.4,-9999,609793.8,12.92,-1,-0.01391907191360315,0.9999648466472636,0,0.5999789079883582,5,1.5384615384615383,0.15384615384615383,N1 S1 P1 O2,de-protonated,0,-9999,C13 H20 O2 N1 P1 S1,13,20,2,1,1,1,-9999,N/A,N/A,N/A,-9999
50,285.128328,285.1282727225358,285.1284887473891,2736244.8,-9999,458698.2,44.43,-1,-0.7576403684606887,0.9010856359964768,0,0.5406513815978861,13,0.8571428571428571,0.04761904761904761,O1,de-protonated,0,-9999,C21 H18 O1,21,18,1,-9999,-9999,-9999,-9999,N/A,N/A,N/A,-9999
76,297.15527,297.1552155099166,297.1554913422191,892003.4,-9999,587716.3,12.85,-1,-0.9282423192576268,0.855266364032105,0,0.513159818419263,0,2.1666666666666665,0.6666666666666666,O8,de-protonated,0,-9999,C12 H26 O8,12,26,8,-9999,-9999,-9999,-9999,N/A,N/A,N/A,-9999
78,298.103745,298.1036905720115,298.1036106731291,1355583.3,-9999,575351.6,20.54,-1,0.2680238666819074,0.987049891949237,0,0.5922299351695421,5,1.5714285714285714,0.14285714285714285,N1 S1 P1 O2,de-protonated,0,-9999,C14 H22 O2 N1 P1 S1,14,22,2,1,1,1,-9999,N/A,N/A,N/A,-9999
81,299.080675,299.0806206359692,299.0806123232391,1095966.6,-9999,474462.7,16.23,-1,0.02779427930648636,0.9998598367286072,0,0.5999159020371644,1,2,0.8,S1 O8,de-protonated,0,-9999,C10 H20 O8 S1,10,20,8,-9999,-9999,1,-9999,N/A,N/A,N/A,-9999
84,300.08289,300.0828357015823,300.08287522823906,854401.3,-9999,651584.4,12.22,-1,-0.13171913493954046,0.996856828041968,0,0.5981140968251808,5,1.5384615384615383,0.2307692307692308,N1 S1 P1 O3,de-protonated,0,-9999,C13 H20 O3 N1 P1 S1,13,20,3,1,1,1,-9999,N/A,N/A,N/A,-9999
85,300.119485,300.1194307039781,300.1192607375891,903428.9,-9999,622853.5,13.03,-1,0.5663294936452765,0.9434651299753604,0,0.5660790779852162,4,1.7142857142857142,0.14285714285714285,N1 S1 P1 O2,de-protonated,0,-9999,C14 H24 O2 N1 P1 S1,14,24,2,1,1,1,-9999,N/A,N/A,N/A,-9999
88,301.095884,301.0958297679011,301.0958822651791,1749094.1,-9999,624584.8,26.86,-1,-0.17435402184540633,0.9944992671672817,0,0.5966995603003689,5,1.5833333333333333,0.4166666666666667,N2 P1 O5,de-protonated,0,-9999,C12 H19 O5 N2 P1,12,19,5,2,1,-9999,-9999,N/A,N/A,N/A,-9999
109,310.067452,310.0673983552524,310.06722516377914,933915.8,-9999,606580.6,13.31,-1,0.5585610448650523,0.9449622913363788,0,0.5669773748018273,7,1.2857142857142858,0.21428571428571427,N1 S1 P1 O3,de-protonated,0,-9999,C14 H18 O3 N1 P1 S1,14,18,3,1,1,1,-9999,N/A,N/A,N/A,-9999
111,310.103928,310.1038743576404,310.1036106731291,1489951.9,-9999,421945.6,22.4,-1,0.8503110000487695,0.8770488162875305,0,0.5262292897725183,6,1.4666666666666666,0.13333333333333333,N1 S1 P1 O2,de-protonated,0,-9999,C15 H22 O2 N1 P1 S1,15,22,2,1,1,1,-9999,N/A,N/A,N/A,-9999
