Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,18O,34S
2,199.006598,199.0067212887523,199.0066733356791,2479242.3,-9999,1082125.8,44.72,-1,0.2409621365379496,0.98951989311043,0,0.593711935866258,10,0.5,0.1,N2 P1 O1,de-protonated,0,-9999,C10 H5 O1 N2 P1,10,5,1,2,1,-9999,-9999,-9999,-9999,-9999
3,199.00696,199.0070832885584,199.0070534581991,10745674,-9999,602432.1,200.46,-1,0.1498959901453404,0.9977592319860128,0.994140091495438,0.9963115757897828,5,1,0.5,S1 O4,de-protonated,0,-9999,C8 H8 O4 S1,8,8,4,-9999,-9999,1,-9999,-9999,-9999,-9999
5,200.010276,200.0103987511937,200.01040829326908,855911.7,-9999,770730,14.1,-1,-0.04770789430028515,0.999587100221846,0.994140091495438,0.9974082967312828,5,1.1428571428571428,0.5714285714285714,13C1 S1 O4,de-protonated,1,3,C7 H8 O4 S1 13C1,7,8,4,-9999,-9999,1,1,-9999,-9999,-9999
6,205.159699,205.1598189932207,205.15978887630908,6194242.5,-9999,622202.7,113.79,-1,0.14679734184079624,0.4980487567198553,0.8684926696514785,0.6462263218925046,4,1.5714285714285714,0.07142857142857142,O1,de-protonated,0,-9999,C14 H22 O1,14,22,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999
7,211.133874,211.13399079351993,211.13396805098907,1077089.1,-9999,965689.5,17.98,-1,0.10771611536207032,0.9978969087685768,0,0.598738145261146,3,1.6666666666666667,0.25,O3,de-protonated,0,-9999,C12 H20 O3,12,20,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999
8,215.001884,215.00199872185735,215.00196807776908,2691312.8,-9999,578846.9,47.74,-1,0.1425293384221397,0.9963207254619314,0,0.5977924352771589,5,1,0.625,S1 O5,de-protonated,0,-9999,C8 H8 O5 S1,8,8,5,-9999,-9999,1,-9999,-9999,-9999,-9999
19,239.128802,239.12890379975195,239.12888267055905,3351928.3,-9999,561018.6,58.33,-1,0.08835901655213212,0.998584375746024,0,0.5991506254476143,4,1.5384615384615383,0.3076923076923077,O4,de-protonated,0,-9999,C13 H20 O4,13,20,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999
20,241.136391,241.1364917245099,241.13629052652908,3178300,-9999,558012.4,55,-1,0.8343745372768876,0.8813318021608768,0,0.5287990812965261,3,1.7692307692307692,0.15384615384615383,P1 O2,de-protonated,0,-9999,C13 H23 O2 P1,13,23,2,-9999,1,-9999,-9999,-9999,-9999,-9999
21,242.176074,242.1761741676674,242.1761672165691,2615394.5,-9999,682927.5,44.9,-1,0.02870265220362239,0.9998505260795248,0,0.5999103156477148,2,1.9230769230769231,0.2307692307692308,N1 O3,de-protonated,0,-9999,C13 H25 O3 N1,13,25,3,1,-9999,-9999,-9999,-9999,-9999,-9999
23,245.040778,245.0408766333642,245.04067606265903,987048.3,-9999,682763.4,15.64,-1,0.8185200447920189,0.8855325219879019,0,0.5313195131927411,4,1.5,0.3,S1 P1 O3,de-protonated,0,-9999,C10 H15 O3 P1 S1,10,15,3,-9999,1,1,-9999,-9999,-9999,-9999
28,245.044425,245.04452363141093,245.0445153966291,2705961,-9999,428728.2,46.35,-1,0.03360524848851568,0.9997951086825304,0,0.5998770652095183,5,1.5714285714285714,0.5714285714285714,N4 P1 O4,de-protonated,0,-9999,C7 H11 O4 N4 P1,7,11,4,4,1,-9999,-9999,-9999,-9999,-9999
29,245.045505,245.0456036308325,245.04554696782907,4497321,-9999,348409.6,78.35,-1,0.23123457708634831,0.9903449543903547,0,0.5942069726342128,9,0.7692307692307693,0.38461538461538464,O5,de-protonated,0,-9999,C13 H10 O5,13,10,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999
31,245.046851,245.0469496301116,245.0468843783491,6413609.5,-9999,475195.4,112.59,-1,0.2662827674254732,0.4936082591503216,0.8684926696514785,0.6435620233507844,14,0.42857142857142855,0.07142857142857142,N4 O1,de-protonated,0,-9999,C14 H6 O1 N4,14,6,1,4,-9999,-9999,-9999,-9999,-9999,-9999
33,245.04832,245.0484186293248,245.0485381486291,12121386,-9999,498085.6,214.56,-1,-0.4877372670522885,0.9531004754883584,0.9854932693352744,0.9660575930271248,9,0.9166666666666666,0.16666666666666666,N2 P1 O2,de-protonated,0,-9999,C12 H11 O2 N2 P1,12,11,2,2,1,-9999,-9999,-9999,-9999,-9999
34,245.048879,245.04897762902544,245.0489182711491,86844712,-9999,649442,1549.59,-1,0.2422286812900923,0.9792737603653376,0.9929109194360888,0.984728623993638,4,1.4,0.5,S1 O5,de-protonated,0,-9999,C10 H14 O5 S1,10,14,5,-9999,-9999,1,-9999,-9999,-9999,-9999
