Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,17O,18O,34S
58,269.131145,269.13121828405144,269.1312051460991,4755021.5,-9999,621922.9,80.24,-1,0.0488161614101373,0.999567698053759,0,0.5997406188322554,4,1.6428571428571428,0.21428571428571427,P1 O3,de-protonated,0,-9999,C14 H23 O3 P1,14,23,3,-9999,1,-9999,-9999,N/A,N/A,-9999
59,269.139386,269.1394592839354,269.1394473545891,1987022.4,-9999,612918.9,32.37,-1,0.04432403516392085,0.9996435857956238,0,0.5997861514773742,4,1.5714285714285714,0.35714285714285715,O5,de-protonated,0,-9999,C14 H22 O5,14,22,5,-9999,-9999,-9999,-9999,N/A,N/A,-9999
61,271.227811,271.227884254539,271.2278684377491,2494263,-9999,591177.9,41.14,-1,0.0583155040816908,0.9993831381499496,0,0.5996298828899698,1,2,0.1875,O3,de-protonated,0,-9999,C16 H32 O3,16,32,3,-9999,-9999,-9999,-9999,N/A,N/A,-9999
62,277.071728,277.07180117228074,277.0717617163191,1175456.4,-9999,625342.2,18.21,-1,0.14240340268099425,0.9963272124898224,0,0.5977963274938934,8,1,0.42857142857142855,O6,de-protonated,0,-9999,C14 H14 O6,14,14,6,-9999,-9999,-9999,-9999,N/A,N/A,-9999
63,277.144498,277.1445711712565,277.1445327350191,1581095.8,-9999,579257.1,25.18,-1,0.13868661600499535,0.9965161029590748,0,0.5979096617754448,6,1.375,0.25,O4,de-protonated,0,-9999,C16 H22 O4,16,22,4,-9999,-9999,-9999,-9999,N/A,N/A,-9999
64,277.180823,277.18089617074514,277.1809182443691,996203.4,-9999,518722.7,15.13,-1,-0.07963615994304188,0.99884992915452675,0,0.599309957492716,5,1.5294117647058822,0.17647058823529413,O3,de-protonated,0,-9999,C17 H26 O3,17,26,3,-9999,-9999,-9999,-9999,N/A,N/A,-9999
66,279.163465,279.1635381428377,279.1635541027991,1161075,-9999,749070,17.84,-1,-0.05717064836535746,0.9994071138736352,0,0.5996442683241812,0,2.1538461538461537,0.3076923076923077,S1 O4,de-protonated,0,-9999,C13 H28 O4 S1,13,28,4,-9999,-9999,1,-9999,N/A,N/A,-9999
67,281.116107,281.11618011535256,281.1159490048091,1105715.6,-9999,742125.9,16.9,-1,0.8221182193926806,0.8845844947003937,0,0.5307506968202362,1,2.090909090909091,0.5454545454545454,P1 O6,de-protonated,0,-9999,C11 H23 O6 P1,11,23,6,-9999,1,-9999,-9999,N/A,N/A,-9999
68,283.264212,283.2642850851161,283.26425394709906,7453699.5,-9999,610476.8,124.52,-1,0.1099256846433591,0.9986757466800786,0.9939797264037712,0.9967973385695558,1,2,0.1111111111111111,O2,de-protonated,0,-9999,C18 H36 O2,18,36,2,-9999,-9999,-9999,-9999,N/A,N/A,-9999
70,284.26755000000003,284.2676230709933,284.2676087821691,1515619.6,-9999,632211.7,23.74,-1,0.05026539702947818,0.9995416549817276,0.9939797264037712,0.997316883550545,1,2.1176470588235294,0.1176470588235294,13C1 O2,de-protonated,1,68,C17 H36 O2 13C1,17,36,2,-9999,-9999,-9999,1,N/A,N/A,-9999
71,285.12607,285.12614305890884,285.1261197656691,1189301.1,-9999,643913.4,18.2,-1,0.08169451383272261,0.9987897455798872,0,0.5992738473479323,4,1.6428571428571428,0.2857142857142857,P1 O4,de-protonated,0,-9999,C14 H23 O4 P1,14,23,4,-9999,1,-9999,-9999,N/A,N/A,-9999
72,285.207063,285.20713605776876,285.2071329928591,887868.8,-9999,665616.7,13.08,-1,0.01074625880072178,0.9999790461481508,0,0.5999874276888906,2,1.875,0.25,O4,de-protonated,0,-9999,C16 H30 O4,16,30,4,-9999,-9999,-9999,-9999,N/A,N/A,-9999
73,287.222741,287.2228140293963,287.2227830573191,1207034.5,-9999,712430.3,18.38,-1,0.10783294037818517,0.9978923492342712,0,0.5987354095405627,1,2,0.25,O4,de-protonated,0,-9999,C16 H32 O4,16,32,4,-9999,-9999,-9999,-9999,N/A,N/A,-9999
74,289.121161,289.1212340026744,289.12103438523906,2417707.3,-9999,593812,38.78,-1,0.69042861496565,0.9171400631883068,0,0.550284037912984,3,1.7692307692307692,0.38461538461538464,P1 O5,de-protonated,0,-9999,C13 H23 O5 P1,13,23,5,-9999,1,-9999,-9999,N/A,N/A,-9999
75,293.102976,293.10304894662687,293.1030618452391,935066.8,-9999,535256.5,13.69,-1,-0.04400708796798305,0.9996486638901576,0,0.5997891983340946,7,1.2,0.4,O6,de-protonated,0,-9999,C15 H18 O6,15,18,6,-9999,-9999,-9999,-9999,N/A,N/A,-9999
76,293.171005,293.1710779456693,293.1709619587691,1320609,-9999,544924.3,20.14,-1,0.3956288829669537,0.9719987602997828,0,0.5831992561798697,0,2.2142857142857144,0.14285714285714285,S1 P1 O2,de-protonated,0,-9999,C14 H31 O2 P1 S1,14,31,2,-9999,1,1,-9999,N/A,N/A,-9999
77,293.174852,293.17492494561515,293.17480129273906,2625569.5,-9999,481218.8,42,-1,0.4217718423921099,0.9682372036526702,0,0.5809423221916021,1,2.4545454545454546,0.2727272727272727,N4 P1 O3,de-protonated,0,-9999,C11 H27 O3 N4 P1,11,27,3,4,1,-9999,-9999,N/A,N/A,-9999
78,293.175763,293.1758359456024,293.1758328639391,30821282,-9999,610958.9,514.14,-1,0.01051131419742371,0.9999711968657872,0.9919282714201964,0.9967540266875508,5,1.5294117647058822,0.2352941176470588,O4,de-protonated,0,-9999,C17 H26 O4,17,26,4,-9999,-9999,-9999,-9999,N/A,N/A,-9999
81,293.179072,293.1791449455558,293.17920416725906,9098146,-9999,568439,150.38,-1,-0.20199830833833052,0.996311810603002,0.9982364369644978,0.9970816611476004,0,2.142857142857143,0.2857142857142857,S1 O4,de-protonated,0,-9999,C14 H30 O4 S1,14,30,4,-9999,-9999,1,-9999,N/A,N/A,-9999
82,294.179119,294.17919193147924,294.1791876990091,6019069.5,-9999,569542.7,98.82,-1,0.01438738805997009,0.999962441383382,0.9919282714201964,0.9967487733981076,5,1.625,0.25,13C1 O4,de-protonated,1,78,C16 H26 O4 13C1,16,26,4,-9999,-9999,-9999,1,N/A,N/A,-9999
85,294.182486,294.1825589314318,294.18255900232907,1356414,-9999,588703.4,20.74,-1,-2.4099753667774e-4,0.9999999894614944,0.9982364369644978,0.9992945684626956,0,2.3076923076923075,0.3076923076923077,13C1 S1 O4,de-protonated,1,81,C13 H30 O4 S1 13C1,13,30,4,-9999,-9999,1,1,N/A,N/A,-9999
85,294.182486,294.1825589314318,294.18231522542914,1356414,-9999,588703.4,20.74,-1,0.8284182632695227,0.8829170470527955,0,0.5297502282316773,5,1.6666666666666667,0.2,N3 O3,de-protonated,0,-9999,C15 H25 O3 N3,15,25,3,3,-9999,-9999,-9999,N/A,N/A,-9999
