Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,17O,33S,34S
2,257.079023,257.0797517790117,257.07956349545907,1041081.3,-9999,815709.6,16.41,-1,0.7323940887078708,0.9072572196927368,0,0.5443543318156421,0,2.375,0.875,P1 O7,de-protonated,0,-9999,C8 H19 O7 P1,8,19,7,-9999,1,-9999,-9999,N/A,N/A,N/A,-9999
32,285.127781,285.12842668049205,285.1284887473891,1372013.6,-9999,665909.5,21.44,-1,-0.2176804475652427,0.9914389507020424,0,0.5948633704212255,13,0.8571428571428571,0.04761904761904761,O1,de-protonated,0,-9999,C21 H18 O1,21,18,1,-9999,-9999,-9999,-9999,N/A,N/A,N/A,-9999
63,307.084477,307.0850576305909,307.08531758114907,2159573.3,-9999,513960.2,33.84,-1,-0.8465092380058182,0.8780760104868763,0,0.5268456062921257,8,1.2142857142857142,0.2857142857142857,N2 P1 O4,de-protonated,0,-9999,C14 H17 O4 N2 P1,14,17,4,2,1,-9999,-9999,N/A,N/A,N/A,-9999
67,309.10012,309.1006946589558,309.1009676456091,3834499,-9999,572602.8,61.6,-1,-0.8831633734696978,0.8680326925920332,0,0.5208196155552199,7,1.3571428571428572,0.2857142857142857,N2 P1 O4,de-protonated,0,-9999,C14 H19 O4 N2 P1,14,19,4,2,1,-9999,-9999,N/A,N/A,N/A,-9999
70,311.079412,311.0799807950157,311.0802322007191,4164914.5,-9999,566494.5,67.08,-1,-0.8081699747699684,0.8882419023177643,0,0.5329451413906586,7,1.3076923076923077,0.38461538461538464,N2 P1 O5,de-protonated,0,-9999,C13 H17 O5 N2 P1,13,17,5,2,1,-9999,-9999,N/A,N/A,N/A,-9999
72,311.170791,311.17135952429214,311.17114140667906,2456122.5,-9999,574753.2,38.75,-1,0.7009570749444219,0.914705478917237,0,0.5488232873503421,0,2.1538461538461537,0.6153846153846154,O8,de-protonated,0,-9999,C13 H28 O8,13,28,8,-9999,-9999,-9999,-9999,N/A,N/A,N/A,-9999
73,313.058679,313.0592419311497,313.0594967558291,2920422.8,-9999,522052,46.14,-1,-0.8139816298722234,0.8867237863011616,0,0.532034271780697,7,1.25,0.5,N2 P1 O6,de-protonated,0,-9999,C12 H15 O6 N2 P1,12,15,6,2,1,-9999,-9999,N/A,N/A,N/A,-9999
74,313.095032,313.09559482344866,313.0958822651791,4397034,-9999,586335.6,70.47,-1,-0.9180629536553566,0.8581879600662639,0,0.5149127760397583,6,1.4615384615384617,0.38461538461538464,N2 P1 O5,de-protonated,0,-9999,C13 H19 O5 N2 P1,13,19,5,2,1,-9999,-9999,N/A,N/A,N/A,-9999
76,315.037961,315.0385180672393,315.0387613109391,1241761,-9999,614828.1,18.49,-1,-0.7721072124174091,0.8974745170937667,0,0.53848471025626,7,1.181818181818182,0.6363636363636364,N2 P1 O7,de-protonated,0,-9999,C11 H13 O7 N2 P1,11,13,7,2,1,-9999,-9999,N/A,N/A,N/A,-9999
77,315.053191,315.05374802211827,315.05401745222906,1141666.4,-9999,608223.6,16.84,-1,-0.8551870341780009,0.8757264007779141,0,0.5254358404667484,11,0.8666666666666667,0.26666666666666666,N2 P1 O4,de-protonated,0,-9999,C15 H13 O4 N2 P1,15,13,4,2,1,-9999,-9999,N/A,N/A,N/A,-9999
