Sample_Name,Calibration_Points,Calibration_Threshold,Calibration_RMSE,Calibration_Order
CM_001_SED-1,319,0.600000000000016,0.195833472902363,1
CM_001_SED-2,40,0.600000000000016,0.323536061890595,1
CM_001_SED-3,141,0.600000000000016,0.181046747595727,1
CM_002_SED-1,365,0.600000000000016,0.130473216341361,1
CM_002_SED-2,26,0.600000000000016,0.415339183965229,1
CM_002_SED-3,24,0.600000000000016,0.386405552146108,1
CM_003_SED-1,126,0.600000000000016,0.322968031012523,1
CM_003_SED-2,28,0.600000000000016,0.315963334781022,1
CM_003_SED-3,32,0.600000000000016,0.337097389474958,1
CM_004_SED-1,274,0.600000000000016,0.154485303962062,1
CM_004_SED-2,32,0.600000000000016,0.299518864128292,1
CM_004_SED-3,298,0.600000000000016,0.195992231893544,1
CM_005_SED-1,266,0.600000000000016,0.122469332937285,1
CM_005_SED-2,63,0.600000000000016,0.351501695763888,1
CM_005_SED-3,48,0.600000000000016,0.317917111098206,1
CM_006_SED-1,311,0.600000000000016,0.169962994880607,1
CM_006_SED-2,15,0.600000000000016,0.316350683343256,1
CM_006_SED-3,29,0.600000000000016,0.269393528435234,1
CM_007_SED-1,183,0.600000000000016,0.141498968872956,1
CM_007_SED-2,22,0.600000000000016,0.348053834625201,1
CM_007_SED-3,23,0.600000000000016,0.343119091275832,1
CM_008_SED-1,203,0.600000000000016,0.167739543639384,1
CM_008_SED-2,32,0.600000000000016,0.344748536280998,1
CM_008_SED-3,128,0.600000000000016,0.287468200600707,1
CM_009_SED-1,92,0.600000000000016,0.297267832798217,1
CM_009_SED-2,283,0.600000000000016,0.100875973061338,1
CM_009_SED-3,22,0.600000000000016,0.309695287241727,1
CM_010_SED-1,29,0.600000000000016,0.300932694119662,1
CM_010_SED-2,23,0.600000000000016,0.35639486400224,1
CM_010_SED-3,30,0.600000000000016,0.236155716442728,1
CM_011_SED-1,27,0.600000000000016,0.392671550832666,1
CM_011_SED-2,39,0.600000000000016,0.327187358929376,1
CM_011_SED-3,18,0.600000000000016,0.308131935585454,1
CM_012_SED-1,49,0.600000000000016,0.305339764421152,1
CM_012_SED-2,198,0.600000000000016,0.225869899460093,1
CM_012_SED-3,56,0.600000000000016,0.341019272073196,1
CM_013_SED-1,16,0.600000000000016,0.340250804208867,1
CM_013_SED-2,15,0.600000000000016,0.277721662326012,1
CM_013_SED-3,18,0.600000000000016,0.220208474195982,1
CM_014_SED-1,106,0.600000000000016,0.216084073974802,1
CM_014_SED-2,7,0.600000000000016,0.222642567331517,1
CM_014_SED-3,14,0.600000000000016,0.253599970517154,1
CM_015_SED-1,328,0.600000000000016,0.138007298218253,1
CM_015_SED-2,10,0.600000000000016,0.319784065592958,1
CM_015_SED-3,304,0.600000000000016,0.15503624400741,1
CM_016_SED-1,310,0.600000000000016,0.166089453056875,1
CM_016_SED-2,20,0.600000000000016,0.358816496419846,1
CM_016_SED-3,264,0.600000000000016,0.132939744766003,1
CM_017_SED-1,45,0.600000000000016,0.355629102946977,1
CM_017_SED-2,25,0.600000000000016,0.321341583887179,1
CM_017_SED-3,142,0.600000000000016,0.148010330394292,1
CM_018_SED-1,18,0.600000000000016,0.307432714408185,1
CM_018_SED-2,21,0.600000000000016,0.337748112403174,1
CM_018_SED-3,17,0.600000000000016,0.379989905292414,1
CM_020_SED-1,34,0.600000000000016,0.282476908230237,1
CM_020_SED-2,21,0.600000000000016,0.223422292705814,1
CM_020_SED-3,17,0.600000000000016,0.31218867988849,1
CM_021_SED-1,10,0.600000000000016,0.335910849530707,1
CM_021_SED-2,26,0.600000000000016,0.340364983874574,1
CM_021_SED-3,45,0.600000000000016,0.36544939627696,1
CM_022_SED-1,35,0.600000000000016,0.325649904494527,1
CM_022_SED-2,34,0.600000000000016,0.400966960419099,1
CM_022_SED-3,41,0.600000000000016,0.354008495086044,1
CM_023_SED-1,250,0.600000000000016,0.205507424774255,1
CM_023_SED-2,39,0.600000000000016,0.325192561835354,1
CM_023_SED-3,39,0.600000000000016,0.34733920245007,1
CM_024_SED-1,21,0.600000000000016,0.315592681243227,1
CM_024_SED-2,34,0.600000000000016,0.357725596429418,1
CM_024_SED-3,23,0.600000000000016,0.361966570576976,1
CM_027_SED-1,301,0.600000000000016,0.255125475216205,1
CM_027_SED-2,26,0.600000000000016,0.428213639401739,1
CM_027_SED-3,19,0.600000000000016,0.326642244512996,1
CM_028_SED-1,38,0.600000000000016,0.336454352500512,1
CM_028_SED-2,180,0.600000000000016,0.267397875268692,1
CM_028_SED-3,39,0.600000000000016,0.270205161889163,1
CM_032_SED-1,23,0.600000000000016,0.353462006551397,1
CM_032_SED-2,18,0.600000000000016,0.152031637536985,1
CM_032_SED-3,13,0.600000000000016,0.220312864668279,1
CM_033_SED-1,31,0.600000000000016,0.358971438679743,1
CM_033_SED-2,27,0.600000000000016,0.402599525376202,1
CM_033_SED-3,15,0.600000000000016,0.353910353028192,1
CM_034_SED-1,162,0.600000000000016,0.242679212747024,1
CM_034_SED-2,28,0.600000000000016,0.329460468090565,1
CM_034_SED-3,19,0.600000000000016,0.305639442021301,1
CM_035_SED-1,70,0.600000000000016,0.340342474278693,1
CM_035_SED-2,124,0.600000000000016,0.187694608910056,1
CM_035_SED-3,24,0.600000000000016,0.275289937420196,1
CM_037_SED-1,34,0.600000000000016,0.280147652580425,1
CM_037_SED-2,135,0.600000000000016,0.163137622837306,1
CM_037_SED-3,21,0.600000000000016,0.323509256154027,1
